symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DNB","2015-01-02T00:00:00-05:00","2015-01-02","116.1966","116.8458","114.9554","116.1489","424496",""
"DNB","2015-01-05T00:00:00-05:00","2015-01-05","115.2227","115.9961","111.7091","112.3202","373699",""
"DNB","2015-01-06T00:00:00-05:00","2015-01-06","112.3297","112.7403","111.079","111.8619","359350",""
"DNB","2015-01-07T00:00:00-05:00","2015-01-07","112.387","112.8931","111.2604","112.1006","286244",""
"DNB","2015-01-08T00:00:00-05:00","2015-01-08","113.2941","114.4303","112.9408","114.4016","383753",""
"DNB","2015-01-09T00:00:00-05:00","2015-01-09","113.4277","114.8981","113.2272","114.4207","324682",""
"DNB","2015-01-12T00:00:00-05:00","2015-01-12","114.7931","114.9076","111.0026","111.1936","243930",""
"DNB","2015-01-13T00:00:00-05:00","2015-01-13","112.1388","114.3061","110.382","111.5277","239950",""
"DNB","2015-01-14T00:00:00-05:00","2015-01-14","109.981","110.8498","109.5036","110.6398","173338",""
"DNB","2015-01-15T00:00:00-05:00","2015-01-15","110.7448","111.2127","109.0167","110.0574","169358",""
"DNB","2015-01-16T00:00:00-05:00","2015-01-16","110.1337","111.9287","109.5227","111.8619","208215",""
"DNB","2015-01-20T00:00:00-05:00","2015-01-20","112.5398","112.788","110.1528","111.8046","181926",""
"DNB","2015-01-21T00:00:00-05:00","2015-01-21","110.2865","111.5755","109.2267","110.2197","270533",""
"DNB","2015-01-22T00:00:00-05:00","2015-01-22","110.6971","113.2463","110.2197","113.1508","246339",""
"DNB","2015-01-23T00:00:00-05:00","2015-01-23","112.8453","113.6378","112.4252","112.9694","223507",""
"DNB","2015-01-26T00:00:00-05:00","2015-01-26","112.8644","113.8192","111.776","113.6282","136366",""
"DNB","2015-01-27T00:00:00-05:00","2015-01-27","112.1579","112.387","110.6875","111.0981","204026",""
"DNB","2015-01-28T00:00:00-05:00","2015-01-28","111.7091","111.7091","109.6182","109.7518","178889",""
"DNB","2015-01-29T00:00:00-05:00","2015-01-29","109.7614","111.3081","109.0167","110.8403","270638",""
"DNB","2015-01-30T00:00:00-05:00","2015-01-30","109.876","111.9574","109.7996","109.9046","268020",""
"DNB","2015-02-02T00:00:00-05:00","2015-02-02","110.0669","113.4182","108.7398","113.0554","306982",""
"DNB","2015-02-03T00:00:00-05:00","2015-02-03","114.1916","115.7097","113.5232","115.6046","223611",""
"DNB","2015-02-04T00:00:00-05:00","2015-02-04","115.4137","116.7599","114.9267","115.9388","215233",""
