symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DOV","2015-01-02T00:00:00-05:00","2015-01-02","67.5219","68.00861","66.51103","67.37215","1812851",""
"DOV","2015-01-05T00:00:00-05:00","2015-01-05","66.49232","68.03669","64.70458","65.02282","4383407",""
"DOV","2015-01-06T00:00:00-05:00","2015-01-06","65.24746","65.36913","63.96516","64.71394","2702182",""
"DOV","2015-01-07T00:00:00-05:00","2015-01-07","65.53761","65.81841","64.48931","65.24746","2583270",""
"DOV","2015-01-08T00:00:00-05:00","2015-01-08","66.0056","66.62335","65.36913","66.57655","1761568",""
"DOV","2015-01-09T00:00:00-05:00","2015-01-09","66.5672","66.75439","65.13514","65.18194","2067342",""
"DOV","2015-01-12T00:00:00-05:00","2015-01-12","65.36913","65.43466","63.45973","64.33955","1985183",""
"DOV","2015-01-13T00:00:00-05:00","2015-01-13","64.78883","65.49081","63.75925","64.7233","2404634",""
"DOV","2015-01-14T00:00:00-05:00","2015-01-14","63.80604","64.66714","63.44101","64.37699","2515106",""
"DOV","2015-01-15T00:00:00-05:00","2015-01-15","64.76075","65.67801","64.11491","64.19915","2470661",""
"DOV","2015-01-16T00:00:00-05:00","2015-01-16","64.16172","65.30361","63.78732","65.11642","2932741",""
"DOV","2015-01-20T00:00:00-05:00","2015-01-20","65.47209","65.84649","64.83562","65.64057","1976742",""
"DOV","2015-01-21T00:00:00-05:00","2015-01-21","65.26618","67.27854","65.26618","67.11006","2549615",""
"DOV","2015-01-22T00:00:00-05:00","2015-01-22","66.02432","67.48446","66.02432","67.4283","2014029",""
"DOV","2015-01-23T00:00:00-05:00","2015-01-23","66.77311","67.21302","65.22874","65.29426","2184118",""
"DOV","2015-01-26T00:00:00-05:00","2015-01-26","65.53761","66.95095","65.50018","66.41743","2262324",""
"DOV","2015-01-27T00:00:00-05:00","2015-01-27","65.10706","66.95095","63.93708","66.12728","3140651",""
"DOV","2015-01-28T00:00:00-05:00","2015-01-28","66.31448","66.31448","64.01196","64.20851","2427284",""
"DOV","2015-01-29T00:00:00-05:00","2015-01-29","64.13364","65.95881","63.75925","65.64993","2726328",""
"DOV","2015-01-30T00:00:00-05:00","2015-01-30","64.90114","65.77161","64.33955","65.55634","4182122",""
"DOV","2015-02-02T00:00:00-05:00","2015-02-02","65.06962","67.85886","63.74989","67.74654","4187463",""
"DOV","2015-02-03T00:00:00-05:00","2015-02-03","69.83378","69.92738","68.7106","69.10371","4214708",""
"DOV","2015-02-04T00:00:00-05:00","2015-02-04","68.48596","68.70124","67.4283","67.63422","2267559",""
"DOV","2015-02-05T00:00:00-05:00","2015-02-05","68.17709","68.37365","67.61549","68.07413","1463699",""
"DOV","2015-02-06T00:00:00-05:00","2015-02-06","68.03669","68.383","67.2879","67.49382","1465729",""
"DOV","2015-02-09T00:00:00-05:00","2015-02-09","67.35342","68.47661","67.27854","68.35493","1846826",""
"DOV","2015-02-10T00:00:00-05:00","2015-02-10","68.54212","68.70124","67.16623","67.8027","1217755",""
"DOV","2015-02-11T00:00:00-05:00","2015-02-11","67.49382","67.81205","66.68887","67.46574","1013478",""
"DOV","2015-02-12T00:00:00-05:00","2015-02-12","67.92437","68.67316","67.60614","68.58892","1189977",""
"DOV","2015-02-13T00:00:00-05:00","2015-02-13","68.6638","69.79634","68.51404","69.64658","2285188",""
"DOV","2015-02-17T00:00:00-05:00","2015-02-17","69.36579","69.63722","68.40173","69.53426","1616800",""
"DOV","2015-02-18T00:00:00-05:00","2015-02-18","69.39387","69.76826","68.71996","69.12243","2177066",""
"DOV","2015-02-19T00:00:00-05:00","2015-02-19","68.67316","69.62786","68.31748","69.54362","2088283",""
"DOV","2015-02-20T00:00:00-05:00","2015-02-20","69.18795","69.88058","68.03669","69.73082","1458571",""
"DOV","2015-02-23T00:00:00-05:00","2015-02-23","69.34707","69.66531","68.57021","69.00076","1063479",""
"DOV","2015-02-24T00:00:00-05:00","2015-02-24","68.90716","69.57171","68.73868","69.31898","987089",""
"DOV","2015-02-25T00:00:00-05:00","2015-02-25","69.25311","69.58249","68.68847","69.10255","945522",""
"DOV","2015-02-26T00:00:00-05:00","2015-02-26","68.96138","69.29076","68.0015","68.24617","1438580",""
"DOV","2015-02-27T00:00:00-05:00","2015-02-27","68.1803","68.75435","67.70036","67.80387","1399475",""
"DOV","2015-03-02T00:00:00-05:00","2015-03-02","67.31451","68.40616","66.81575","68.14266","1563119",""
"DOV","2015-03-03T00:00:00-05:00","2015-03-03","67.87916","68.50967","67.25806","67.87916","1731970",""
"DOV","2015-03-04T00:00:00-05:00","2015-03-04","67.57801","67.70976","66.76869","67.40862","1227861",""
"DOV","2015-03-05T00:00:00-05:00","2015-03-05","67.40862","68.21794","67.08866","68.1897","1871705",""
"DOV","2015-03-06T00:00:00-05:00","2015-03-06","67.40862","67.86975","66.33581","66.54284","1390336",""
"DOV","2015-03-09T00:00:00-04:00","2015-03-09","66.90044","67.70036","66.74988","67.48391","1228924",""
"DOV","2015-03-10T00:00:00-04:00","2015-03-10","66.90044","66.90044","66.03466","66.03466","1374185",""
"DOV","2015-03-11T00:00:00-04:00","2015-03-11","66.21347","66.46755","65.73352","66.3264","1239763",""
"DOV","2015-03-12T00:00:00-04:00","2015-03-12","66.73106","67.83211","66.62754","67.69094","1389593",""
"DOV","2015-03-13T00:00:00-04:00","2015-03-13","67.47449","67.49332","66.3264","67.05102","1579802",""
"DOV","2015-03-16T00:00:00-04:00","2015-03-16","67.211","67.43686","66.79694","67.16395","1886900",""
"DOV","2015-03-17T00:00:00-04:00","2015-03-17","66.86281","66.86281","64.78304","65.2724","2590251",""
"DOV","2015-03-18T00:00:00-04:00","2015-03-18","65.02773","68.07677","64.66071","67.85092","2251593",""
"DOV","2015-03-19T00:00:00-04:00","2015-03-19","67.24864","67.41804","66.39227","66.9475","1360902",""
"DOV","2015-03-20T00:00:00-04:00","2015-03-20","67.26746","67.63448","66.97573","67.09808","3593899",""
"DOV","2015-03-23T00:00:00-04:00","2015-03-23","66.49579","66.74046","65.2724","65.33828","1936950",""
"DOV","2015-03-24T00:00:00-04:00","2015-03-24","65.32887","65.94997","65.08419","65.73352","1117986",""
"DOV","2015-03-25T00:00:00-04:00","2015-03-25","65.99702","66.03466","64.98067","65.35709","1572683",""
"DOV","2015-03-26T00:00:00-04:00","2015-03-26","64.88656","65.59236","64.77364","65.40415","1671613",""
"DOV","2015-03-27T00:00:00-04:00","2015-03-27","65.55473","66.11936","65.25358","65.63942","1253470",""
"DOV","2015-03-30T00:00:00-04:00","2015-03-30","66.08172","66.46755","65.71471","66.34521","1028938",""
"DOV","2015-03-31T00:00:00-04:00","2015-03-31","65.91233","65.91233","64.61366","65.04655","1910916",""
"DOV","2015-04-01T00:00:00-04:00","2015-04-01","65.01831","65.7994","64.50072","65.32887","1193220",""
"DOV","2015-04-02T00:00:00-04:00","2015-04-02","65.34769","66.45815","64.93362","65.57354","1408932",""
"DOV","2015-04-06T00:00:00-04:00","2015-04-06","65.23476","67.87916","65.1783","67.18277","1719856",""
"DOV","2015-04-07T00:00:00-04:00","2015-04-07","66.86281","67.77563","66.81575","67.16395","1406807",""
"DOV","2015-04-08T00:00:00-04:00","2015-04-08","66.82516","67.70036","66.68401","67.24864","2180822",""
"DOV","2015-04-09T00:00:00-04:00","2015-04-09","67.0322","67.64389","66.77811","67.39922","1396181",""
"DOV","2015-04-10T00:00:00-04:00","2015-04-10","66.80634","66.81575","64.99949","65.31004","4802527",""
"DOV","2015-04-13T00:00:00-04:00","2015-04-13","65.31004","66.34521","64.99008","65.77116","1470883",""
"DOV","2015-04-14T00:00:00-04:00","2015-04-14","65.59236","66.92868","65.5359","66.73106","1725594",""
"DOV","2015-04-15T00:00:00-04:00","2015-04-15","67.28629","69.8554","67.0322","69.62954","2804476",""
"DOV","2015-04-16T00:00:00-04:00","2015-04-16","69.37546","69.82716","68.82964","68.97079","1823674",""
"DOV","2015-04-17T00:00:00-04:00","2015-04-17","68.28381","68.54731","67.50273","67.87916","1647066",""
"DOV","2015-04-20T00:00:00-04:00","2015-04-20","68.1803","68.91434","68.1803","68.68847","1576083",""
"DOV","2015-04-21T00:00:00-04:00","2015-04-21","68.58495","69.16842","67.31451","67.69094","2163289",""
"DOV","2015-04-22T00:00:00-04:00","2015-04-22","67.64389","67.75682","66.85339","67.6533","1599248",""
"DOV","2015-04-23T00:00:00-04:00","2015-04-23","67.72858","70.42004","67.70036","69.99655","2655496",""
"DOV","2015-04-24T00:00:00-04:00","2015-04-24","69.79893","70.21301","68.82964","69.48838","1649617",""
"DOV","2015-04-27T00:00:00-04:00","2015-04-27","69.64836","71.07878","69.34722","70.99409","2210788",""
"DOV","2015-04-28T00:00:00-04:00","2015-04-28","70.69295","71.36111","70.55179","71.25759","2317688",""
"DOV","2015-04-29T00:00:00-04:00","2015-04-29","70.76823","72.87623","70.36357","72.04808","2897137",""
"DOV","2015-04-30T00:00:00-04:00","2015-04-30","71.794","72.21748","70.96586","71.25759","2245749",""
"DOV","2015-05-01T00:00:00-04:00","2015-05-01","71.25759","71.89751","70.48592","70.87175","3025502",""
"DOV","2015-05-04T00:00:00-04:00","2015-05-04","70.89057","71.5399","70.58002","71.06937","1658224",""
"DOV","2015-05-05T00:00:00-04:00","2015-05-05","71.25759","72.33041","70.55179","70.76823","1264947",""
"DOV","2015-05-06T00:00:00-04:00","2015-05-06","71.45521","71.52109","70.46709","70.9188","1455369",""
"DOV","2015-05-07T00:00:00-04:00","2015-05-07","70.66471","70.8247","69.8554","69.96832","2116640",""
"DOV","2015-05-08T00:00:00-04:00","2015-05-08","71.38934","71.52109","70.15654","70.69295","1855553",""
"DOV","2015-05-11T00:00:00-04:00","2015-05-11","70.80587","71.05997","70.36357","70.5612","989833",""
"DOV","2015-05-12T00:00:00-04:00","2015-05-12","70.26946","71.23876","70.23182","70.96586","988983",""
"DOV","2015-05-13T00:00:00-04:00","2015-05-13","71.267","72.18924","71.19171","71.85987","1602542",""
"DOV","2015-05-14T00:00:00-04:00","2015-05-14","72.25512","72.65036","71.76576","72.00103","1366427",""
"DOV","2015-05-15T00:00:00-04:00","2015-05-15","71.98221","72.04808","70.74941","71.47403","994828",""
"DOV","2015-05-18T00:00:00-04:00","2015-05-18","71.40816","71.72812","70.94704","71.40816","923738",""
"DOV","2015-05-19T00:00:00-04:00","2015-05-19","71.00349","71.33288","70.13772","71.25759","2010590",""
"DOV","2015-05-20T00:00:00-04:00","2015-05-20","71.50227","72.46215","71.01291","71.81281","1236256",""
"DOV","2015-05-21T00:00:00-04:00","2015-05-21","71.71871","73.58202","71.65283","72.98915","1887751",""
"DOV","2015-05-22T00:00:00-04:00","2015-05-22","73.18677","73.60085","72.61272","73.18677","1995926",""
"DOV","2015-05-26T00:00:00-04:00","2015-05-26","72.72565","73.13972","72.31158","72.63155","1850452",""
"DOV","2015-05-27T00:00:00-04:00","2015-05-27","72.82074","73.00047","71.97882","72.5937","1155956",""
"DOV","2015-05-28T00:00:00-04:00","2015-05-28","72.23424","72.82074","71.75179","72.43289","1611891",""
"DOV","2015-05-29T00:00:00-04:00","2015-05-29","72.25315","72.38559","71.09908","71.32611","1735362",""
"DOV","2015-06-01T00:00:00-04:00","2015-06-01","71.77071","71.77071","70.86259","71.10853","1558083",""
"DOV","2015-06-02T00:00:00-04:00","2015-06-02","70.80582","72.28154","70.67339","71.71395","2325127",""
"DOV","2015-06-03T00:00:00-04:00","2015-06-03","71.93153","72.75452","71.33557","71.7045","1506390",""
"DOV","2015-06-04T00:00:00-04:00","2015-06-04","71.25043","71.25043","69.5666","69.69904","1988118",""
"DOV","2015-06-05T00:00:00-04:00","2015-06-05","69.64228","70.20986","69.18822","69.79363","1187987",""
"DOV","2015-06-08T00:00:00-04:00","2015-06-08","69.46255","69.68012","68.71523","68.82875","1544870",""
"DOV","2015-06-09T00:00:00-04:00","2015-06-09","68.9801","69.68958","68.22333","68.49766","2688035",""
"DOV","2015-06-10T00:00:00-04:00","2015-06-10","69.19768","69.97337","68.91388","69.39633","1776589",""
"DOV","2015-06-11T00:00:00-04:00","2015-06-11","69.5666","69.68012","68.85712","69.41525","1010709",""
"DOV","2015-06-12T00:00:00-04:00","2015-06-12","69.21659","69.45309","68.94226","69.17876","971067",""
"DOV","2015-06-15T00:00:00-04:00","2015-06-15","68.4882","68.72469","67.77872","68.00575","1365265",""
"DOV","2015-06-16T00:00:00-04:00","2015-06-16","68.00575","68.11927","67.41925","68.02467","1281119",""
"DOV","2015-06-17T00:00:00-04:00","2015-06-17","68.31792","69.00848","68.31792","68.75307","1351734",""
"DOV","2015-06-18T00:00:00-04:00","2015-06-18","68.84766","69.92607","68.40306","69.46255","1719717",""
"DOV","2015-06-19T00:00:00-04:00","2015-06-19","69.27335","69.31119","68.54495","68.62064","1320021",""
"DOV","2015-06-22T00:00:00-04:00","2015-06-22","68.93281","68.97064","68.37468","68.63955","830259",""
"DOV","2015-06-23T00:00:00-04:00","2015-06-23","68.51658","68.82875","68.20441","68.63955","618624",""
"DOV","2015-06-24T00:00:00-04:00","2015-06-24","68.64901","68.85712","67.96791","68.20441","744632",""
"DOV","2015-06-25T00:00:00-04:00","2015-06-25","68.33684","68.33684","67.13546","67.13546","749495",""
"DOV","2015-06-26T00:00:00-04:00","2015-06-26","67.23952","67.56115","66.90843","67.32465","3143441",""
"DOV","2015-06-29T00:00:00-04:00","2015-06-29","66.42599","67.25844","66.20841","66.303","1045805",""
"DOV","2015-06-30T00:00:00-04:00","2015-06-30","67.20168","67.55169","66.32193","66.38815","1470660",""
"DOV","2015-07-01T00:00:00-04:00","2015-07-01","67.01248","67.14492","66.03813","66.24625","1388945",""
"DOV","2015-07-02T00:00:00-04:00","2015-07-02","66.67194","66.93681","66.01922","66.20841","1537153",""
"DOV","2015-07-06T00:00:00-04:00","2015-07-06","65.43272","66.48274","65.19622","65.69759","1352263",""
"DOV","2015-07-07T00:00:00-04:00","2015-07-07","65.70705","66.18003","64.71378","66.0003","1932197",""
"DOV","2015-07-08T00:00:00-04:00","2015-07-08","65.44218","65.71651","64.08944","64.40161","1666015",""
"DOV","2015-07-09T00:00:00-04:00","2015-07-09","65.65029","65.65029","63.59754","63.60699","1995413",""
"DOV","2015-07-10T00:00:00-04:00","2015-07-10","62.43399","63.31374","61.19477","61.75289","3253698",""
