symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DOW","2015-01-02T00:00:00-05:00","2015-01-02","45.69","46.04","45.28","45.59","6091100",""
"DOW","2015-01-05T00:00:00-05:00","2015-01-05","45.14","45.24","43.96","44.18","12123300",""
"DOW","2015-01-06T00:00:00-05:00","2015-01-06","44.22","44.3","42.98","43.47","11534800",""
"DOW","2015-01-07T00:00:00-05:00","2015-01-07","44.05","44.15","43.24","43.4","9132400",""
"DOW","2015-01-08T00:00:00-05:00","2015-01-08","44.1","44.86","43.85","44.48","12182000",""
"DOW","2015-01-09T00:00:00-05:00","2015-01-09","44.83","45","44","44.41","6431600",""
"DOW","2015-01-12T00:00:00-05:00","2015-01-12","44.38","44.5","43.31","44.15","8210100",""
"DOW","2015-01-13T00:00:00-05:00","2015-01-13","44.52","44.79","43.11","43.61","10737300",""
"DOW","2015-01-14T00:00:00-05:00","2015-01-14","43.06","43.74","41.95","43.43","12861300",""
"DOW","2015-01-15T00:00:00-05:00","2015-01-15","43.8","44.26","43.26","43.31","7716300",""
"DOW","2015-01-16T00:00:00-05:00","2015-01-16","43.26","44.83","43.25","44.79","9936300",""
"DOW","2015-01-20T00:00:00-05:00","2015-01-20","45","45.03","43.68","44.13","8796700",""
"DOW","2015-01-21T00:00:00-05:00","2015-01-21","43.95","44.79","43.65","44.74","7001700",""
"DOW","2015-01-22T00:00:00-05:00","2015-01-22","44.98","45.47","44.39","45.36","6231200",""
"DOW","2015-01-23T00:00:00-05:00","2015-01-23","45.15","45.33","44.56","44.57","7287800",""
"DOW","2015-01-26T00:00:00-05:00","2015-01-26","44.43","44.59","43.92","44.56","11887900",""
"DOW","2015-01-27T00:00:00-05:00","2015-01-27","43.77","44.65","43.31","44.17","7023700",""
"DOW","2015-01-28T00:00:00-05:00","2015-01-28","44.24","44.47","42.91","43.03","11385500",""
"DOW","2015-01-29T00:00:00-05:00","2015-01-29","44.06","45.34","43.11","45.01","17682800",""
"DOW","2015-01-30T00:00:00-05:00","2015-01-30","44.48","45.72","44.14","45.16","12216100",""
"DOW","2015-02-02T00:00:00-05:00","2015-02-02","45.32","45.67","44.43","45.22","7874900",""
"DOW","2015-02-03T00:00:00-05:00","2015-02-03","45.88","47.05","45.77","46.89","10549200",""
"DOW","2015-02-04T00:00:00-05:00","2015-02-04","46.53","46.66","46","46.22","6620200",""
"DOW","2015-02-05T00:00:00-05:00","2015-02-05","46.59","48.02","46.47","47.8","15836300",""
"DOW","2015-02-06T00:00:00-05:00","2015-02-06","48.02","48.5","47.85","48.4","8661600",""
"DOW","2015-02-09T00:00:00-05:00","2015-02-09","48.21","48.87","48.2","48.26","9200900",""
"DOW","2015-02-10T00:00:00-05:00","2015-02-10","48.5","48.63","47.97","48.5","6266800",""
"DOW","2015-02-11T00:00:00-05:00","2015-02-11","48.21","48.4","47.77","48.08","6281500",""
"DOW","2015-02-12T00:00:00-05:00","2015-02-12","48.55","49.46","48.39","49.15","7004300",""
"DOW","2015-02-13T00:00:00-05:00","2015-02-13","49.06","49.81","48.95","49.44","8249500",""
"DOW","2015-02-17T00:00:00-05:00","2015-02-17","48.51","49.75","48.51","49.57","9006600",""
"DOW","2015-02-18T00:00:00-05:00","2015-02-18","49.12","49.7","48.99","49.41","6104600",""
"DOW","2015-02-19T00:00:00-05:00","2015-02-19","48.91","49.88","48.7","49.68","7609800",""
"DOW","2015-02-20T00:00:00-05:00","2015-02-20","49.56","49.81","48.96","49.53","6068700",""
"DOW","2015-02-23T00:00:00-05:00","2015-02-23","49.2","49.72","49.11","49.49","7759400",""
"DOW","2015-02-24T00:00:00-05:00","2015-02-24","49.7","50.22","49.6","49.81","12414800",""
"DOW","2015-02-25T00:00:00-05:00","2015-02-25","49.85","50.14","49.58","49.85","5132100",""
"DOW","2015-02-26T00:00:00-05:00","2015-02-26","49.6","49.85","49.03","49.25","7216500",""
"DOW","2015-02-27T00:00:00-05:00","2015-02-27","49.24","49.66","49.1","49.24","6661600",""
"DOW","2015-03-02T00:00:00-05:00","2015-03-02","49.14","49.45","48.9","49.35","5748400",""
"DOW","2015-03-03T00:00:00-05:00","2015-03-03","49.13","49.49","48.93","49.25","4908900",""
"DOW","2015-03-04T00:00:00-05:00","2015-03-04","49.11","50.13","48.85","49.57","10630300",""
"DOW","2015-03-05T00:00:00-05:00","2015-03-05","49.79","49.87","48.71","48.89","7875800",""
"DOW","2015-03-06T00:00:00-05:00","2015-03-06","49.41","49.41","47.76","47.94","12678200",""
"DOW","2015-03-09T00:00:00-04:00","2015-03-09","48.13","48.38","47.83","47.93","9569400",""
"DOW","2015-03-10T00:00:00-04:00","2015-03-10","47.37","47.65","46.85","47.11","9115100",""
"DOW","2015-03-11T00:00:00-04:00","2015-03-11","47.09","47.42","46.7","46.78","7308100",""
"DOW","2015-03-12T00:00:00-04:00","2015-03-12","47.03","47.64","46.88","47.46","7355600",""
"DOW","2015-03-13T00:00:00-04:00","2015-03-13","47.13","47.22","46.72","47.05","6903700",""
"DOW","2015-03-16T00:00:00-04:00","2015-03-16","46.98","47.09","46.38","47.03","7606900",""
"DOW","2015-03-17T00:00:00-04:00","2015-03-17","46.75","46.85","46.25","46.63","6361400",""
"DOW","2015-03-18T00:00:00-04:00","2015-03-18","46.29","48.04","45.93","47.54","8784500",""
"DOW","2015-03-19T00:00:00-04:00","2015-03-19","47.07","47.18","46.5","46.73","6600500",""
"DOW","2015-03-20T00:00:00-04:00","2015-03-20","46.76","47.58","46.56","47.29","12337400",""
