symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DRI","2015-01-02T00:00:00-05:00","2015-01-02","53.55361","53.97115","52.76392","53.02715","1144996",""
"DRI","2015-01-05T00:00:00-05:00","2015-01-05","52.90007","53.11792","52.45531","52.63685","1030419",""
"DRI","2015-01-06T00:00:00-05:00","2015-01-06","53.49007","53.79869","52.23746","52.81838","1667422",""
"DRI","2015-01-07T00:00:00-05:00","2015-01-07","53.17576","55.20089","52.80922","55.15508","2940253",""
"DRI","2015-01-08T00:00:00-05:00","2015-01-08","55.69572","56.07142","55.36583","56.0256","1961369",""
"DRI","2015-01-09T00:00:00-05:00","2015-01-09","55.96146","56.33717","54.7977","54.88017","1684837",""
"DRI","2015-01-12T00:00:00-05:00","2015-01-12","55.04511","55.34751","54.58694","54.83435","1582256",""
"DRI","2015-01-13T00:00:00-05:00","2015-01-13","55.25587","55.43914","53.79888","54.2937","2031757",""
"DRI","2015-01-14T00:00:00-05:00","2015-01-14","54.35785","54.43116","53.72557","54.32119","1616304",""
"DRI","2015-01-15T00:00:00-05:00","2015-01-15","54.36702","54.62359","53.7439","53.86302","1954712",""
"DRI","2015-01-16T00:00:00-05:00","2015-01-16","53.73473","54.30287","53.15743","54.15625","2671469",""
"DRI","2015-01-20T00:00:00-05:00","2015-01-20","54.51363","54.55945","53.95466","54.2937","1356360",""
"DRI","2015-01-21T00:00:00-05:00","2015-01-21","54.08295","54.68774","54.02797","54.65108","1218421",""
"DRI","2015-01-22T00:00:00-05:00","2015-01-22","54.96264","55.90648","54.73355","55.84233","1778142",""
"DRI","2015-01-23T00:00:00-05:00","2015-01-23","55.88816","56.30051","55.78736","56.09892","947564",""
"DRI","2015-01-26T00:00:00-05:00","2015-01-26","56.11724","57.11607","56.10808","56.96944","1539696",""
"DRI","2015-01-27T00:00:00-05:00","2015-01-27","56.45629","57.02443","56.17222","56.27302","1167022",""
"DRI","2015-01-28T00:00:00-05:00","2015-01-28","56.37382","56.89614","55.59492","55.64074","1064768",""
"DRI","2015-01-29T00:00:00-05:00","2015-01-29","55.91565","57.02443","55.28336","57.01527","1490152",""
"DRI","2015-01-30T00:00:00-05:00","2015-01-30","56.50211","56.7312","55.87899","56.24553","3341301",""
"DRI","2015-02-02T00:00:00-05:00","2015-02-02","56.17222","56.23637","54.25705","54.99929","1764828",""
"DRI","2015-02-03T00:00:00-05:00","2015-02-03","55.11842","55.73238","54.61443","55.67739","1062913",""
"DRI","2015-02-04T00:00:00-05:00","2015-02-04","55.51245","56.19055","55.38416","55.58576","1614231",""
"DRI","2015-02-05T00:00:00-05:00","2015-02-05","55.82401","56.25469","55.53994","55.87899","739237",""
"DRI","2015-02-06T00:00:00-05:00","2015-02-06","55.86983","56.2272","55.36583","55.5766","617668",""
"DRI","2015-02-09T00:00:00-05:00","2015-02-09","55.12758","55.48496","54.88017","55.13675","957604",""
"DRI","2015-02-10T00:00:00-05:00","2015-02-10","55.50329","56.11724","54.44948","55.94313","850003",""
"DRI","2015-02-11T00:00:00-05:00","2015-02-11","56.00728","56.23637","55.40249","55.72321","660992",""
"DRI","2015-02-12T00:00:00-05:00","2015-02-12","55.49413","56.30968","54.91682","56.27302","1175534",""
