symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"DVN","2015-01-02T00:00:00-05:00","2015-01-02","58.19504","59.15488","57.2064","58.51178","3146048",""
"DVN","2015-01-05T00:00:00-05:00","2015-01-05","57.29279","57.29279","55.47869","56.34255","4029113",""
"DVN","2015-01-06T00:00:00-05:00","2015-01-06","56.24656","56.81287","54.49006","55.19074","4881860",""
"DVN","2015-01-07T00:00:00-05:00","2015-01-07","55.75705","56.57291","55.07556","55.4499","4384798",""
"DVN","2015-01-08T00:00:00-05:00","2015-01-08","56.38094","58.02227","55.68026","57.41757","4742253",""
"DVN","2015-01-09T00:00:00-05:00","2015-01-09","57.59034","58.28143","56.69769","57.98387","3705100",""
"DVN","2015-01-12T00:00:00-05:00","2015-01-12","56.83207","57.1968","55.59387","56.75528","4514299",""
"DVN","2015-01-13T00:00:00-05:00","2015-01-13","56.89925","57.38877","56.12179","56.52492","5117212",""
"DVN","2015-01-14T00:00:00-05:00","2015-01-14","55.93941","56.99524","55.00837","56.15058","6223960",""
"DVN","2015-01-15T00:00:00-05:00","2015-01-15","57.51355","57.75351","55.4595","55.53629","4045678",""
"DVN","2015-01-16T00:00:00-05:00","2015-01-16","56.0258","58.36781","55.94902","58.26223","5471647",""
"DVN","2015-01-20T00:00:00-05:00","2015-01-20","57.2064","57.59034","56.0546","57.2448","4969062",""
"DVN","2015-01-21T00:00:00-05:00","2015-01-21","57.97428","59.19327","57.54235","59.12608","4168928",""
"DVN","2015-01-22T00:00:00-05:00","2015-01-22","59.49082","59.68279","57.51355","58.79014","4050992",""
"DVN","2015-01-23T00:00:00-05:00","2015-01-23","58.50219","59.14528","57.72472","57.74391","4165490",""
"DVN","2015-01-26T00:00:00-05:00","2015-01-26","57.97428","59.66359","57.60954","59.24126","3476416",""
"DVN","2015-01-27T00:00:00-05:00","2015-01-27","58.75174","60.05713","58.19504","59.606","2852040",""
"DVN","2015-01-28T00:00:00-05:00","2015-01-28","59.0301","59.06849","55.98741","56.08339","4951768",""
"DVN","2015-01-29T00:00:00-05:00","2015-01-29","56.56331","56.83207","54.62444","56.36175","3216372",""
"DVN","2015-01-30T00:00:00-05:00","2015-01-30","55.78584","58.48299","55.36351","57.84949","3951183",""
"DVN","2015-02-02T00:00:00-05:00","2015-02-02","58.87652","60.32588","58.4062","60.31628","4771112",""
"DVN","2015-02-03T00:00:00-05:00","2015-02-03","61.4105","62.33195","60.78661","61.49688","6717168",""
"DVN","2015-02-04T00:00:00-05:00","2015-02-04","60.2203","61.68885","59.84596","61.4297","5476960",""
"DVN","2015-02-05T00:00:00-05:00","2015-02-05","61.94801","62.77347","61.49688","62.38953","5469146",""
"DVN","2015-02-06T00:00:00-05:00","2015-02-06","63.07102","63.26299","62.25516","62.64869","5058348",""
"DVN","2015-02-09T00:00:00-05:00","2015-02-09","63.01343","63.215","62.0248","62.13038","4106105",""
"DVN","2015-02-10T00:00:00-05:00","2015-02-10","62.10158","62.12078","60.17231","61.60247","4435535",""
"DVN","2015-02-11T00:00:00-05:00","2015-02-11","60.46986","62.04399","59.94194","62.0056","4046199",""
"DVN","2015-02-12T00:00:00-05:00","2015-02-12","62.95584","63.61813","62.48552","63.13821","5139820",""
"DVN","2015-02-13T00:00:00-05:00","2015-02-13","64.00207","64.01167","62.78307","63.8005","5076164",""
"DVN","2015-02-17T00:00:00-05:00","2015-02-17","63.46456","64.386","63.167","63.97327","4773717",""
"DVN","2015-02-18T00:00:00-05:00","2015-02-18","62.25516","63.20539","60.98817","61.3817","7126299",""
"DVN","2015-02-19T00:00:00-05:00","2015-02-19","59.68279","62.19757","59.68279","61.82323","4417928",""
"DVN","2015-02-20T00:00:00-05:00","2015-02-20","61.59286","62.11118","60.78661","61.25692","2886942",""
"DVN","2015-02-23T00:00:00-05:00","2015-02-23","60.46026","61.80403","60.16271","61.3817","2358103",""
"DVN","2015-02-24T00:00:00-05:00","2015-02-24","61.9768","62.29355","61.32411","62.23596","3118127",""
"DVN","2015-02-25T00:00:00-05:00","2015-02-25","62.13038","62.89825","61.4105","62.82146","3496107",""
"DVN","2015-02-26T00:00:00-05:00","2015-02-26","62.13038","62.33195","59.75957","60.03793","3710726",""
"DVN","2015-02-27T00:00:00-05:00","2015-02-27","60.2203","60.40267","59.0301","59.11648","3415364",""
"DVN","2015-03-02T00:00:00-05:00","2015-03-02","58.9917","59.07809","57.8111","58.4158","4718604",""
"DVN","2015-03-03T00:00:00-05:00","2015-03-03","58.31982","59.47162","58.21424","58.79014","3766673",""
"DVN","2015-03-04T00:00:00-05:00","2015-03-04","58.97251","59.49082","58.09905","59.37564","3901696",""
"DVN","2015-03-05T00:00:00-05:00","2015-03-05","59.16447","59.16447","58.37741","58.38701","2604082",""
"DVN","2015-03-06T00:00:00-05:00","2015-03-06","57.46556","57.77271","56.73608","56.80327","4764028",""
"DVN","2015-03-09T00:00:00-04:00","2015-03-09","56.77448","57.09122","55.68986","55.70906","2906737",""
"DVN","2015-03-10T00:00:00-04:00","2015-03-10","55.17154","55.77625","54.68203","54.70123","2927157",""
"DVN","2015-03-11T00:00:00-04:00","2015-03-11","56.19526","56.36877","55.39523","55.75187","7777792",""
"DVN","2015-03-12T00:00:00-04:00","2015-03-12","55.83862","56.00248","55.02895","55.10606","3452854",""
"DVN","2015-03-13T00:00:00-04:00","2015-03-13","54.50844","55.66512","54.31566","55.61692","3830176",""
"DVN","2015-03-16T00:00:00-04:00","2015-03-16","55.05786","56.67721","54.73978","56.62902","3701947",""
"DVN","2015-03-17T00:00:00-04:00","2015-03-17","56.12779","56.5519","55.45306","55.95429","2612827",""
"DVN","2015-03-18T00:00:00-04:00","2015-03-18","55.13498","58.39295","54.9422","58.06523","3666154",""
"DVN","2015-03-19T00:00:00-04:00","2015-03-19","56.95675","57.30375","56.0796","56.15671","2322029",""
"DVN","2015-03-20T00:00:00-04:00","2015-03-20","56.78324","57.46761","56.4748","56.54227","4499023",""
"DVN","2015-03-23T00:00:00-04:00","2015-03-23","56.63866","57.09169","55.8579","55.87718","2940974",""
"DVN","2015-03-24T00:00:00-04:00","2015-03-24","55.99284","56.46516","55.65548","55.75187","2976351",""
"DVN","2015-03-25T00:00:00-04:00","2015-03-25","56.33985","58.17125","56.23382","57.48689","6413540",""
"DVN","2015-03-26T00:00:00-04:00","2015-03-26","58.73995","58.97129","57.47725","57.89173","3953840",""
"DVN","2015-03-27T00:00:00-04:00","2015-03-27","57.72786","57.72786","56.8218","57.01458","2362697",""
"DVN","2015-03-30T00:00:00-04:00","2015-03-30","57.76642","58.61465","57.37122","58.51826","3370065",""
"DVN","2015-03-31T00:00:00-04:00","2015-03-31","57.62183","58.85563","57.3905","58.1327","3252833",""
"DVN","2015-04-01T00:00:00-04:00","2015-04-01","58.48934","60.0123","58.40259","59.35685","3716160",""
"DVN","2015-04-02T00:00:00-04:00","2015-04-02","59.15443","60.64847","58.85563","60.29183","4918050",""
"DVN","2015-04-06T00:00:00-04:00","2015-04-06","60.68703","61.73768","60.581","61.12078","4069932",""
"DVN","2015-04-07T00:00:00-04:00","2015-04-07","61.18826","61.96901","60.95692","61.04367","3516035",""
"DVN","2015-04-08T00:00:00-04:00","2015-04-08","61.38103","61.67985","60.68703","60.76414","2926969",""
"DVN","2015-04-09T00:00:00-04:00","2015-04-09","61.3714","62.88472","61.17862","62.59555","3999177",""
"DVN","2015-04-10T00:00:00-04:00","2015-04-10","62.62447","62.62447","61.72804","62.51844","2428679",""
