symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"EA","2015-01-02T00:00:00-05:00","2015-01-02","47.19","47.67","46.58","46.87","1959700",""
"EA","2015-01-05T00:00:00-05:00","2015-01-05","46.96","47.34","46.51","46.57","2736000",""
"EA","2015-01-06T00:00:00-05:00","2015-01-06","46.87","47.33","45.42","45.96","4418800",""
"EA","2015-01-07T00:00:00-05:00","2015-01-07","46.35","47.03","46.1","46.81","4849400",""
"EA","2015-01-08T00:00:00-05:00","2015-01-08","47.01","48.25","47.01","48.13","3876900",""
"EA","2015-01-09T00:00:00-05:00","2015-01-09","48.05","48.25","47.07","47.51","3181400",""
"EA","2015-01-12T00:00:00-05:00","2015-01-12","47.59","47.62","46.51","47.06","2158800",""
"EA","2015-01-13T00:00:00-05:00","2015-01-13","47.59","48.18","46.02","46.42","3288600",""
"EA","2015-01-14T00:00:00-05:00","2015-01-14","45.55","46.95","45.21","46.9","3100400",""
"EA","2015-01-15T00:00:00-05:00","2015-01-15","46.93","46.99","45.99","46.64","3073500",""
"EA","2015-01-16T00:00:00-05:00","2015-01-16","46.67","48.16","46.26","48.08","3220000",""
"EA","2015-01-20T00:00:00-05:00","2015-01-20","48.24","48.59","47.51","47.81","4050000",""
"EA","2015-01-21T00:00:00-05:00","2015-01-21","47.67","48.49","47.29","48.07","4209300",""
"EA","2015-01-22T00:00:00-05:00","2015-01-22","48.34","49.4","47.92","49.36","3478600",""
"EA","2015-01-23T00:00:00-05:00","2015-01-23","49.43","50.41","49.33","49.79","5258500",""
"EA","2015-01-26T00:00:00-05:00","2015-01-26","49.3","49.79","48.79","49.47","4312000",""
"EA","2015-01-27T00:00:00-05:00","2015-01-27","48.8","49.17","48.22","48.41","5997900",""
"EA","2015-01-28T00:00:00-05:00","2015-01-28","51.86","55.17","51.22","54.61","16170000",""
"EA","2015-01-29T00:00:00-05:00","2015-01-29","54.43","55.58","53.88","55.33","8256700",""
"EA","2015-01-30T00:00:00-05:00","2015-01-30","55","55.8","54.47","54.86","5048600",""
"EA","2015-02-02T00:00:00-05:00","2015-02-02","55.03","55.11","53.55","54.97","5238800",""
"EA","2015-02-03T00:00:00-05:00","2015-02-03","55.04","55.25","53.97","54.52","4349000",""
"EA","2015-02-04T00:00:00-05:00","2015-02-04","54.54","55.28","54.04","54.56","3670300",""
"EA","2015-02-05T00:00:00-05:00","2015-02-05","54.73","56.69","54.61","56.39","4959300",""
"EA","2015-02-06T00:00:00-05:00","2015-02-06","56.28","56.95","54.8","55.14","4833600",""
"EA","2015-02-09T00:00:00-05:00","2015-02-09","54.7","55","54.08","54.28","3216800",""
"EA","2015-02-10T00:00:00-05:00","2015-02-10","54.47","55.08","53.86","54.76","3769400",""
"EA","2015-02-11T00:00:00-05:00","2015-02-11","54.87","55.28","54.52","54.94","2192900",""
"EA","2015-02-12T00:00:00-05:00","2015-02-12","55.29","56.64","55.22","56.19","3783100",""
"EA","2015-02-13T00:00:00-05:00","2015-02-13","56.37","56.91","55.64","56.39","2907100",""
"EA","2015-02-17T00:00:00-05:00","2015-02-17","56.46","56.9","55.94","56.76","3173900",""
"EA","2015-02-18T00:00:00-05:00","2015-02-18","56.58","57.62","56.52","57.6","3469500",""
"EA","2015-02-19T00:00:00-05:00","2015-02-19","57.61","57.7","57.08","57.14","3000800",""
"EA","2015-02-20T00:00:00-05:00","2015-02-20","57.14","57.72","56.67","57.67","2284400",""
"EA","2015-02-23T00:00:00-05:00","2015-02-23","57.79","57.9","57.2","57.55","1833300",""
"EA","2015-02-24T00:00:00-05:00","2015-02-24","57.4","57.81","57.14","57.63","3351800",""
"EA","2015-02-25T00:00:00-05:00","2015-02-25","57.65","57.84","57.01","57.39","2556800",""
"EA","2015-02-26T00:00:00-05:00","2015-02-26","57.52","58.87","57.36","57.72","2751200",""
"EA","2015-02-27T00:00:00-05:00","2015-02-27","56.73","57.76","56.55","57.18","2955000",""
"EA","2015-03-02T00:00:00-05:00","2015-03-02","57.18","57.8","56.99","57.44","1606600",""
"EA","2015-03-03T00:00:00-05:00","2015-03-03","57.27","57.36","56.33","56.67","1980800",""
"EA","2015-03-04T00:00:00-05:00","2015-03-04","56.48","57.21","56.22","57.2","2631100",""
"EA","2015-03-05T00:00:00-05:00","2015-03-05","57.19","57.83","57.01","57.38","1998600",""
"EA","2015-03-06T00:00:00-05:00","2015-03-06","57.22","57.22","56.17","56.36","1769400",""
"EA","2015-03-09T00:00:00-04:00","2015-03-09","56.39","56.92","56.25","56.67","2344100",""
"EA","2015-03-10T00:00:00-04:00","2015-03-10","55.38","56","54.51","55.05","4566800",""
"EA","2015-03-11T00:00:00-04:00","2015-03-11","54.8","56.13","54.75","55.09","2814400",""
"EA","2015-03-12T00:00:00-04:00","2015-03-12","55.49","55.49","54.79","55.06","2891100",""
"EA","2015-03-13T00:00:00-04:00","2015-03-13","55.1","56.37","54.85","55.3","3546400",""
"EA","2015-03-16T00:00:00-04:00","2015-03-16","55.62","56.46","55.51","55.81","2820900",""
"EA","2015-03-17T00:00:00-04:00","2015-03-17","55.26","55.4","54.03","54.17","4692900",""
"EA","2015-03-18T00:00:00-04:00","2015-03-18","54.23","55.79","54.02","55.63","7022900",""
"EA","2015-03-19T00:00:00-04:00","2015-03-19","55.6","56.35","55.38","55.96","2384900",""
"EA","2015-03-20T00:00:00-04:00","2015-03-20","56.42","57.48","56.31","57.28","4443400",""
"EA","2015-03-23T00:00:00-04:00","2015-03-23","57.44","57.97","57.27","57.27","2146800",""
"EA","2015-03-24T00:00:00-04:00","2015-03-24","57.36","58.38","57.11","57.96","3347800",""
"EA","2015-03-25T00:00:00-04:00","2015-03-25","57.88","58.25","56.07","56.08","2855800",""
"EA","2015-03-26T00:00:00-04:00","2015-03-26","55.29","56.3","54.69","56.08","3926700",""
"EA","2015-03-27T00:00:00-04:00","2015-03-27","56.43","58.28","56.2","58.24","4672000",""
"EA","2015-03-30T00:00:00-04:00","2015-03-30","58.72","60.21","58.58","59.47","4117400",""
"EA","2015-03-31T00:00:00-04:00","2015-03-31","59","59.44","58.49","58.81","2470900",""
"EA","2015-04-01T00:00:00-04:00","2015-04-01","58.9","58.96","57.17","57.28","4341000",""
"EA","2015-04-02T00:00:00-04:00","2015-04-02","57.24","57.98","56.95","57.65","2709400",""
"EA","2015-04-06T00:00:00-04:00","2015-04-06","57.11","58.07","57.01","57.12","2374900",""
"EA","2015-04-07T00:00:00-04:00","2015-04-07","57.03","58.14","56.97","57.8","2071100",""
"EA","2015-04-08T00:00:00-04:00","2015-04-08","57.84","58.34","57.61","58.15","2091300",""
"EA","2015-04-09T00:00:00-04:00","2015-04-09","57.98","58.85","57.32","57.5","2008100",""
"EA","2015-04-10T00:00:00-04:00","2015-04-10","57.74","58.39","57.25","58.35","2546700",""
"EA","2015-04-13T00:00:00-04:00","2015-04-13","58.17","58.44","57.23","57.33","1577700",""
"EA","2015-04-14T00:00:00-04:00","2015-04-14","57.22","57.98","56.64","57.07","2287500",""
"EA","2015-04-15T00:00:00-04:00","2015-04-15","57.14","57.69","56.62","56.86","2362000",""
"EA","2015-04-16T00:00:00-04:00","2015-04-16","56.82","57.05","56.6","56.86","1372200",""
"EA","2015-04-17T00:00:00-04:00","2015-04-17","56.4","56.58","55.52","56.03","2853600",""
"EA","2015-04-20T00:00:00-04:00","2015-04-20","56.44","57.32","56.1","57.29","2048500",""
"EA","2015-04-21T00:00:00-04:00","2015-04-21","57.54","59.13","57.36","59.03","4089700",""
"EA","2015-04-22T00:00:00-04:00","2015-04-22","59.35","59.89","59.03","59.81","2569200",""
"EA","2015-04-23T00:00:00-04:00","2015-04-23","59.76","60.28","59.44","59.88","2476400",""
"EA","2015-04-24T00:00:00-04:00","2015-04-24","59.9","59.91","59.38","59.89","1824300",""
"EA","2015-04-27T00:00:00-04:00","2015-04-27","59.99","60.63","59.69","59.84","3178100",""
"EA","2015-04-28T00:00:00-04:00","2015-04-28","59.7","60.14","58.62","59.11","2695900",""
"EA","2015-04-29T00:00:00-04:00","2015-04-29","58.88","59.51","58.2","58.62","1959600",""
"EA","2015-04-30T00:00:00-04:00","2015-04-30","58.27","58.87","57.63","58.09","2578300",""
"EA","2015-05-01T00:00:00-04:00","2015-05-01","58.25","59.52","58.11","59.33","2257800",""
"EA","2015-05-04T00:00:00-04:00","2015-05-04","59.52","59.58","58.49","59.31","3425800",""
"EA","2015-05-05T00:00:00-04:00","2015-05-05","59.41","59.68","58.55","59.16","4662200",""
"EA","2015-05-06T00:00:00-04:00","2015-05-06","61.35","63.25","60.54","60.93","12687800",""
"EA","2015-05-07T00:00:00-04:00","2015-05-07","61.16","61.45","60.16","60.27","4081400",""
"EA","2015-05-08T00:00:00-04:00","2015-05-08","61","62.24","60.83","61.88","3324200",""
"EA","2015-05-11T00:00:00-04:00","2015-05-11","61.9","63.46","61.6","62.59","4825000",""
