symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"EBAY","2015-01-02T00:00:00-05:00","2015-01-02","56.38","56.84","55.73","56.21","5901200",""
"EBAY","2015-01-05T00:00:00-05:00","2015-01-05","55.85","56.24","55.3","55.74","7447000",""
"EBAY","2015-01-06T00:00:00-05:00","2015-01-06","55.8","55.8","54.69","55.02","9649300",""
"EBAY","2015-01-07T00:00:00-05:00","2015-01-07","55.18","55.48","54.44","54.92","9251500",""
"EBAY","2015-01-08T00:00:00-05:00","2015-01-08","55.31","56.42","55.3","56.41","10238400",""
"EBAY","2015-01-09T00:00:00-05:00","2015-01-09","56.32","56.43","55.5","55.63","7008700",""
"EBAY","2015-01-12T00:00:00-05:00","2015-01-12","55.66","55.85","54.97","55.2","4541900",""
"EBAY","2015-01-13T00:00:00-05:00","2015-01-13","55.82","56.4","54.92","55.13","6468300",""
"EBAY","2015-01-14T00:00:00-05:00","2015-01-14","54.37","54.73","53.51","54.03","10080900",""
"EBAY","2015-01-15T00:00:00-05:00","2015-01-15","54.17","54.31","52.95","53.01","11705000",""
"EBAY","2015-01-16T00:00:00-05:00","2015-01-16","52.96","53.95","52.76","53.66","9823600",""
"EBAY","2015-01-20T00:00:00-05:00","2015-01-20","53.9","54.07","52.92","53.68","8338900",""
"EBAY","2015-01-21T00:00:00-05:00","2015-01-21","53.41","53.98","53.15","53.38","15990700",""
"EBAY","2015-01-22T00:00:00-05:00","2015-01-22","55.17","57.23","54.99","57.15","29893300",""
"EBAY","2015-01-23T00:00:00-05:00","2015-01-23","56.99","57.28","56.31","56.76","13389600",""
"EBAY","2015-01-26T00:00:00-05:00","2015-01-26","56.48","56.93","55.83","56.06","10291000",""
"EBAY","2015-01-27T00:00:00-05:00","2015-01-27","55.53","55.76","54.67","54.69","9527300",""
"EBAY","2015-01-28T00:00:00-05:00","2015-01-28","55.05","55.28","53.79","53.84","8592900",""
