symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ECL","2015-01-02T00:00:00-05:00","2015-01-02","101.3392","101.8716","100.2938","100.9714","1230793",""
"ECL","2015-01-05T00:00:00-05:00","2015-01-05","100.5068","100.8552","98.67726","98.71598","2142886",""
"ECL","2015-01-06T00:00:00-05:00","2015-01-06","98.43526","98.47398","94.65041","95.7636","3508494",""
"ECL","2015-01-07T00:00:00-05:00","2015-01-07","96.74127","97.41886","95.9088","97.16718","2392061",""
"ECL","2015-01-08T00:00:00-05:00","2015-01-08","98.21262","99.85822","98.1255","99.33549","1999496",""
"ECL","2015-01-09T00:00:00-05:00","2015-01-09","99.27741","99.50974","97.9803","98.08678","1844330",""
"ECL","2015-01-12T00:00:00-05:00","2015-01-12","98.33846","98.49334","96.32504","97.53503","2229044",""
"ECL","2015-01-13T00:00:00-05:00","2015-01-13","98.00934","98.96765","97.5931","98.6579","2151770",""
"ECL","2015-01-14T00:00:00-05:00","2015-01-14","97.06071","98.1739","96.75095","98.08678","1778111",""
"ECL","2015-01-15T00:00:00-05:00","2015-01-15","98.47398","99.12254","97.42855","97.45759","1508791",""
"ECL","2015-01-16T00:00:00-05:00","2015-01-16","97.70927","99.11285","97.3027","98.93861","1812202",""
"ECL","2015-01-20T00:00:00-05:00","2015-01-20","99.69365","100.168","98.1255","99.27741","2001976",""
"ECL","2015-01-21T00:00:00-05:00","2015-01-21","99.12254","100.7197","98.54174","100.6713","1773049",""
"ECL","2015-01-22T00:00:00-05:00","2015-01-22","101.3973","103.0332","100.9424","102.9655","2147431",""
"ECL","2015-01-23T00:00:00-05:00","2015-01-23","103.0429","103.7592","102.3847","102.4911","1811685",""
"ECL","2015-01-26T00:00:00-05:00","2015-01-26","102.617","103.6334","102.0459","103.5947","1947223",""
"ECL","2015-01-27T00:00:00-05:00","2015-01-27","102.2588","104.0012","102.162","103.072","1511063",""
"ECL","2015-01-28T00:00:00-05:00","2015-01-28","103.5366","103.5366","100.2261","100.2648","1787615",""
"ECL","2015-01-29T00:00:00-05:00","2015-01-29","100.1486","101.3005","99.17093","101.0392","2115820",""
"ECL","2015-01-30T00:00:00-05:00","2015-01-30","99.72269","101.2908","99.72269","100.4487","2721609",""
"ECL","2015-02-02T00:00:00-05:00","2015-02-02","99.24837","101.0004","98.3191","100.1776","2126977",""
"ECL","2015-02-03T00:00:00-05:00","2015-02-03","100.5842","102.7428","100.468","102.6848","1618089",""
"ECL","2015-02-04T00:00:00-05:00","2015-02-04","102.6073","102.6073","100.7972","101.0972","1429761",""
"ECL","2015-02-05T00:00:00-05:00","2015-02-05","101.7555","103.2849","101.2908","102.9751","1323975",""
"ECL","2015-02-06T00:00:00-05:00","2015-02-06","103.1978","103.9141","102.9461","103.2655","1087610",""
"ECL","2015-02-09T00:00:00-05:00","2015-02-09","103.1784","104.0012","103.13","103.8076","1403418",""
"ECL","2015-02-10T00:00:00-05:00","2015-02-10","104.1658","104.8724","103.343","104.8627","1348976",""
"ECL","2015-02-11T00:00:00-05:00","2015-02-11","104.7853","106.2954","104.4271","105.8114","1895364",""
"ECL","2015-02-12T00:00:00-05:00","2015-02-12","106.5277","107.6022","106.1115","107.2246","1637407",""
"ECL","2015-02-13T00:00:00-05:00","2015-02-13","107.6796","108.5121","107.0794","108.0474","1188334",""
"ECL","2015-02-17T00:00:00-05:00","2015-02-17","108.0765","108.3959","107.3505","108.0958","1063643",""
"ECL","2015-02-18T00:00:00-05:00","2015-02-18","107.757","107.999","107.1375","107.9893","1288025",""
"ECL","2015-02-19T00:00:00-05:00","2015-02-19","107.3021","108.2217","106.489","108.1926","1367984",""
"ECL","2015-02-20T00:00:00-05:00","2015-02-20","108.1539","108.967","107.3698","108.9283","2260345",""
"ECL","2015-02-23T00:00:00-05:00","2015-02-23","108.483","108.5121","107.4279","107.8442","1530382",""
"ECL","2015-02-24T00:00:00-05:00","2015-02-24","107.6699","109.7511","106.8471","109.3833","2254664",""
"ECL","2015-02-25T00:00:00-05:00","2015-02-25","109.3833","111.9775","109.2865","111.9484","2206109",""
"ECL","2015-02-26T00:00:00-05:00","2015-02-26","111.629","112.9842","110.8546","112.4324","1880694",""
"ECL","2015-02-27T00:00:00-05:00","2015-02-27","112.2679","113.2552","111.7548","111.842","1666023",""
"ECL","2015-03-02T00:00:00-05:00","2015-03-02","111.8226","112.3163","111.0773","112.2485","1415092",""
"ECL","2015-03-03T00:00:00-05:00","2015-03-03","111.6","112.6454","111.0579","112.4712","1217983",""
"ECL","2015-03-04T00:00:00-05:00","2015-03-04","111.9194","112.81","111.0869","112.4615","1736788",""
"ECL","2015-03-05T00:00:00-05:00","2015-03-05","113.0036","113.1488","112.0065","113.0326","1063643",""
"ECL","2015-03-06T00:00:00-05:00","2015-03-06","113.0909","113.3044","111.1591","111.3338","1401306",""
"ECL","2015-03-09T00:00:00-04:00","2015-03-09","111.4503","112.8288","111.1591","112.489","1151084",""
"ECL","2015-03-10T00:00:00-04:00","2015-03-10","111.3921","112.1201","110.8193","111.528","1715294",""
"ECL","2015-03-11T00:00:00-04:00","2015-03-11","111.1591","112.023","110.9649","111.1494","1202797",""
"ECL","2015-03-12T00:00:00-04:00","2015-03-12","111.0911","112.489","111.0911","112.421","1061461",""
"ECL","2015-03-13T00:00:00-04:00","2015-03-13","111.9454","112.1589","110.6737","111.1203","1106685",""
"ECL","2015-03-16T00:00:00-04:00","2015-03-16","111.4212","112.2075","111.13","111.7998","1257395",""
"ECL","2015-03-17T00:00:00-04:00","2015-03-17","111.062","111.5086","110.0913","110.9649","1191259",""
"ECL","2015-03-18T00:00:00-04:00","2015-03-18","110.5378","113.0423","109.4506","112.3143","1379158",""
"ECL","2015-03-19T00:00:00-04:00","2015-03-19","111.7901","112.1492","110.9649","111.6445","997489",""
"ECL","2015-03-20T00:00:00-04:00","2015-03-20","112.3628","112.6249","111.8677","111.8968","1619800",""
"ECL","2015-03-23T00:00:00-04:00","2015-03-23","112.0813","112.0813","110.9261","110.9358","1328990",""
"ECL","2015-03-24T00:00:00-04:00","2015-03-24","110.9358","111.2173","110.1981","110.2563","1575092",""
"ECL","2015-03-25T00:00:00-04:00","2015-03-25","110.829","111.6153","110.0039","110.4893","1950683",""
"ECL","2015-03-26T00:00:00-04:00","2015-03-26","110.2951","111.295","110.1592","110.9164","1060637",""
"ECL","2015-03-27T00:00:00-04:00","2015-03-27","110.7999","111.1979","110.3825","110.897","1109672",""
"ECL","2015-03-30T00:00:00-04:00","2015-03-30","111.528","112.2851","110.9941","111.4309","1224739",""
"ECL","2015-03-31T00:00:00-04:00","2015-03-31","110.9844","112.0328","110.8484","111.0329","957520",""
"ECL","2015-04-01T00:00:00-04:00","2015-04-01","111.0329","111.227","109.8389","110.2175","1317967",""
"ECL","2015-04-02T00:00:00-04:00","2015-04-02","109.8486","111.0135","109.8486","110.0524","927851",""
"ECL","2015-04-06T00:00:00-04:00","2015-04-06","109.8971","111.6153","109.7321","111.2853","1118428",""
"ECL","2015-04-07T00:00:00-04:00","2015-04-07","111.227","111.9065","111.0426","111.2173","532173",""
"ECL","2015-04-08T00:00:00-04:00","2015-04-08","111.3532","112.1201","111.3532","111.9648","831739",""
"ECL","2015-04-09T00:00:00-04:00","2015-04-09","112.1201","112.7899","111.926","112.4696","928881",""
"ECL","2015-04-10T00:00:00-04:00","2015-04-10","112.6055","113.518","112.0619","112.9549","975650",""
"ECL","2015-04-13T00:00:00-04:00","2015-04-13","112.6928","113.4209","112.023","112.0522","924761",""
"ECL","2015-04-14T00:00:00-04:00","2015-04-14","112.1104","112.9161","111.693","112.7511","1046524",""
"ECL","2015-04-15T00:00:00-04:00","2015-04-15","112.9647","113.848","112.8773","113.5956","875829",""
"ECL","2015-04-16T00:00:00-04:00","2015-04-16","113.1782","113.8771","112.8773","113.4112","834108",""
"ECL","2015-04-17T00:00:00-04:00","2015-04-17","112.4405","112.8676","111.1397","111.8289","1225769",""
"ECL","2015-04-20T00:00:00-04:00","2015-04-20","112.5861","113.0326","112.2657","112.7511","883349",""
"ECL","2015-04-21T00:00:00-04:00","2015-04-21","112.8288","113.217","112.0813","112.489","1012426",""
