symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"EFX","2015-01-02T00:00:00-05:00","2015-01-02","78.88154","79.24992","78.14478","78.83307","443462",""
"EFX","2015-01-05T00:00:00-05:00","2015-01-05","78.25142","78.64887","77.99937","78.17386","723836",""
"EFX","2015-01-06T00:00:00-05:00","2015-01-06","78.05753","78.49377","77.18506","77.55344","654310",""
"EFX","2015-01-07T00:00:00-05:00","2015-01-07","77.99937","78.98817","77.71823","78.86214","397867",""
"EFX","2015-01-08T00:00:00-05:00","2015-01-08","79.17236","80.7719","79.04634","80.54893","677210",""
"EFX","2015-01-09T00:00:00-05:00","2015-01-09","80.79129","80.83006","80.17086","80.20964","546719",""
"EFX","2015-01-12T00:00:00-05:00","2015-01-12","80.40353","80.45199","79.84126","80.09332","480494",""
"EFX","2015-01-13T00:00:00-05:00","2015-01-13","80.62649","81.53774","79.89942","80.6071","489675",""
"EFX","2015-01-14T00:00:00-05:00","2015-01-14","79.88973","80.49077","79.67646","80.44231","440573",""
"EFX","2015-01-15T00:00:00-05:00","2015-01-15","80.5974","80.96578","79.85096","80.16117","480288",""
"EFX","2015-01-16T00:00:00-05:00","2015-01-16","80.06422","80.81068","79.6086","80.7719","768089",""
"EFX","2015-01-20T00:00:00-05:00","2015-01-20","80.99487","81.38263","79.82187","81.04333","573643",""
"EFX","2015-01-21T00:00:00-05:00","2015-01-21","81.04333","81.92551","80.88824","81.82857","513091",""
"EFX","2015-01-22T00:00:00-05:00","2015-01-22","82.08061","83.04034","81.78979","83.04034","470797",""
"EFX","2015-01-23T00:00:00-05:00","2015-01-23","82.78829","83.26331","82.63318","82.63318","343298",""
"EFX","2015-01-26T00:00:00-05:00","2015-01-26","82.58472","82.85616","81.96429","82.57502","636464",""
"EFX","2015-01-27T00:00:00-05:00","2015-01-27","81.89643","83.31178","81.65408","82.81738","648017",""
"EFX","2015-01-28T00:00:00-05:00","2015-01-28","82.99187","83.67046","82.4296","82.6138","602526",""
"EFX","2015-01-29T00:00:00-05:00","2015-01-29","82.6235","82.7689","81.57652","82.6041","556519",""
"EFX","2015-01-30T00:00:00-05:00","2015-01-30","81.84795","82.6138","81.55713","81.87704","649771",""
"EFX","2015-02-02T00:00:00-05:00","2015-02-02","81.82857","82.09031","80.33566","81.87704","669473",""
"EFX","2015-02-03T00:00:00-05:00","2015-02-03","82.53624","82.9434","81.94489","82.69135","514845",""
"EFX","2015-02-04T00:00:00-05:00","2015-02-04","82.47808","83.08881","82.08061","82.4296","775207",""
"EFX","2015-02-05T00:00:00-05:00","2015-02-05","82.4296","82.88523","82.15817","82.82707","644819",""
"EFX","2015-02-06T00:00:00-05:00","2015-02-06","82.7689","83.33116","82.40052","82.65257","488437",""
"EFX","2015-02-09T00:00:00-05:00","2015-02-09","82.46838","82.98217","82.27451","82.4393","430670",""
"EFX","2015-02-10T00:00:00-05:00","2015-02-10","82.69135","83.11789","82.12909","82.85616","839988",""
"EFX","2015-02-11T00:00:00-05:00","2015-02-11","82.92401","83.23422","82.54594","82.85616","981001",""
"EFX","2015-02-12T00:00:00-05:00","2015-02-12","84.65927","90.03954","84.54294","89.90382","1310683",""
"EFX","2015-02-13T00:00:00-05:00","2015-02-13","88.97318","89.80688","87.96498","89.72932","1172559",""
"EFX","2015-02-17T00:00:00-05:00","2015-02-17","89.28339","90.48547","88.98287","89.69054","906936",""
"EFX","2015-02-18T00:00:00-05:00","2015-02-18","89.65177","90.2625","89.64207","90.15587","909824",""
"EFX","2015-02-19T00:00:00-05:00","2015-02-19","89.86504","90.65996","89.86504","90.13648","827403",""
"EFX","2015-02-20T00:00:00-05:00","2015-02-20","90.02015","91.46458","89.59361","90.75691","1846056",""
"EFX","2015-02-23T00:00:00-05:00","2015-02-23","90.83446","91.23192","89.84566","90.48547","730541",""
"EFX","2015-02-24T00:00:00-05:00","2015-02-24","90.34006","90.58241","90.10739","90.22372","755092",""
"EFX","2015-02-25T00:00:00-05:00","2015-02-25","90.13648","90.40792","89.70994","90.23342","698976",""
"EFX","2015-02-26T00:00:00-05:00","2015-02-26","90.23342","90.64058","90.04923","90.35944","766233",""
"EFX","2015-02-27T00:00:00-05:00","2015-02-27","90.5921","90.91201","90.13648","90.51456","794187",""
"EFX","2015-03-02T00:00:00-05:00","2015-03-02","90.87435","92.28439","90.72849","92.22604","745959",""
"EFX","2015-03-03T00:00:00-05:00","2015-03-03","91.93432","92.1288","91.38003","92.06073","618445",""
"EFX","2015-03-04T00:00:00-05:00","2015-03-04","91.63286","91.83707","91.26333","91.3703","434886",""
"EFX","2015-03-05T00:00:00-05:00","2015-03-05","91.32169","91.8079","91.20499","91.61341","553968",""
"EFX","2015-03-06T00:00:00-05:00","2015-03-06","91.02995","91.87597","90.69932","90.80628","447432",""
"EFX","2015-03-09T00:00:00-04:00","2015-03-09","91.27306","91.31196","90.04778","90.40759","785756",""
"EFX","2015-03-10T00:00:00-04:00","2015-03-10","89.97971","90.16447","89.44488","89.47404","614537",""
"EFX","2015-03-11T00:00:00-04:00","2015-03-11","89.44488","89.95054","88.9392","88.99755","589857",""
"EFX","2015-03-12T00:00:00-04:00","2015-03-12","89.40598","89.87274","89.26984","89.46432","769200",""
"EFX","2015-03-13T00:00:00-04:00","2015-03-13","89.55183","89.88247","88.90031","89.1337","526922",""
"EFX","2015-03-16T00:00:00-04:00","2015-03-16","89.55183","90.09641","89.47404","89.63936","645902",""
"EFX","2015-03-17T00:00:00-04:00","2015-03-17","89.4546","89.62963","88.9392","89.44488","525688",""
"EFX","2015-03-18T00:00:00-04:00","2015-03-18","89.40598","90.41731","88.78362","90.12558","683848",""
"EFX","2015-03-19T00:00:00-04:00","2015-03-19","89.99917","90.52428","89.82413","90.23255","488668",""
"EFX","2015-03-20T00:00:00-04:00","2015-03-20","90.4951","90.74794","89.83385","90.51456","724878",""
"EFX","2015-03-23T00:00:00-04:00","2015-03-23","90.72849","90.96188","90.26172","90.26172","378533",""
"EFX","2015-03-24T00:00:00-04:00","2015-03-24","90.03806","90.29089","89.63936","89.64909","411337",""
"EFX","2015-03-25T00:00:00-04:00","2015-03-25","89.57129","89.93109","88.62802","88.72527","824628",""
"EFX","2015-03-26T00:00:00-04:00","2015-03-26","88.61829","89.67826","88.20988","89.29901","493810",""
"EFX","2015-03-27T00:00:00-04:00","2015-03-27","89.30873","89.90192","89.017","89.43515","693720",""
"EFX","2015-03-30T00:00:00-04:00","2015-03-30","89.83385","90.98132","89.80467","90.75767","564148",""
"EFX","2015-03-31T00:00:00-04:00","2015-03-31","90.27145","91.02995","90.27145","90.43676","573095",""
"EFX","2015-04-01T00:00:00-04:00","2015-04-01","90.5729","90.67014","89.46432","90.42703","485275",""
"EFX","2015-04-02T00:00:00-04:00","2015-04-02","90.43676","91.41892","90.32979","90.89381","411542",""
"EFX","2015-04-06T00:00:00-04:00","2015-04-06","90.39786","92.04128","90.20338","91.22443","648678",""
"EFX","2015-04-07T00:00:00-04:00","2015-04-07","91.23416","91.43837","90.04778","90.07696","472420",""
"EFX","2015-04-08T00:00:00-04:00","2015-04-08","89.98944","90.67987","89.55183","90.30062","570216",""
"EFX","2015-04-09T00:00:00-04:00","2015-04-09","90.30062","90.48538","89.48376","90.37842","321357",""
"EFX","2015-04-10T00:00:00-04:00","2015-04-10","90.38814","90.86463","89.8922","90.83546","388405",""
"EFX","2015-04-13T00:00:00-04:00","2015-04-13","90.74794","91.36057","90.63124","90.92298","387171",""
