symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ESRX","2015-01-02T00:00:00-05:00","2015-01-02","84.91","85.42","84.18","84.65","2491000",""
"ESRX","2015-01-05T00:00:00-05:00","2015-01-05","84.58","85.5","83.81","84.22","4429700",""
"ESRX","2015-01-06T00:00:00-05:00","2015-01-06","84.25","85.21","83.04","83.28","3966800",""
"ESRX","2015-01-07T00:00:00-05:00","2015-01-07","83.61","85.08","83.55","84.56","3442000",""
"ESRX","2015-01-08T00:00:00-05:00","2015-01-08","85.19","86.64","85.1","86.41","4480700",""
"ESRX","2015-01-09T00:00:00-05:00","2015-01-09","86.08","86.38","84.71","84.9","2629000",""
"ESRX","2015-01-12T00:00:00-05:00","2015-01-12","85.13","85.47","82.91","83.08","9929600",""
"ESRX","2015-01-13T00:00:00-05:00","2015-01-13","83.81","84.77","83.04","83.58","2959000",""
"ESRX","2015-01-14T00:00:00-05:00","2015-01-14","82.62","84.4","82.62","84.26","4435500",""
"ESRX","2015-01-15T00:00:00-05:00","2015-01-15","84.95","85.62","84.24","84.3","3394300",""
"ESRX","2015-01-16T00:00:00-05:00","2015-01-16","84.19","85.45","83.6","85.38","3369700",""
"ESRX","2015-01-20T00:00:00-05:00","2015-01-20","85.32","85.32","82.75","83.48","5339400",""
"ESRX","2015-01-21T00:00:00-05:00","2015-01-21","83.09","84.1","82.9","83.54","3761600",""
"ESRX","2015-01-22T00:00:00-05:00","2015-01-22","83.79","85.01","83.24","84.99","3716900",""
"ESRX","2015-01-23T00:00:00-05:00","2015-01-23","84.89","85.42","84.42","84.8","2449600",""
"ESRX","2015-01-26T00:00:00-05:00","2015-01-26","85","85.24","84.1","84.75","3548700",""
"ESRX","2015-01-27T00:00:00-05:00","2015-01-27","84.3","84.73","83.29","83.67","2878700",""
"ESRX","2015-01-28T00:00:00-05:00","2015-01-28","83.54","84.08","81.75","81.95","5764300",""
"ESRX","2015-01-29T00:00:00-05:00","2015-01-29","82.2","82.29","80.81","82.28","4543800",""
"ESRX","2015-01-30T00:00:00-05:00","2015-01-30","81.87","82.48","80.6","80.71","4553300",""
"ESRX","2015-02-02T00:00:00-05:00","2015-02-02","81.33","81.91","79.01","81.78","5404300",""
"ESRX","2015-02-03T00:00:00-05:00","2015-02-03","81.84","82.47","80.94","81.87","4300200",""
"ESRX","2015-02-04T00:00:00-05:00","2015-02-04","82.06","83.26","81.61","82.34","6078300",""
"ESRX","2015-02-05T00:00:00-05:00","2015-02-05","82.75","83.1","82.2","82.69","1812800",""
"ESRX","2015-02-06T00:00:00-05:00","2015-02-06","83.13","83.13","81.45","81.84","2305700",""
"ESRX","2015-02-09T00:00:00-05:00","2015-02-09","82","82.46","80.87","81.24","3072000",""
"ESRX","2015-02-10T00:00:00-05:00","2015-02-10","81.59","82.27","80.91","82.24","3319700",""
"ESRX","2015-02-11T00:00:00-05:00","2015-02-11","82.23","84.88","82.23","84.79","4142300",""
"ESRX","2015-02-12T00:00:00-05:00","2015-02-12","85","85.1","83.99","84.5","3445000",""
"ESRX","2015-02-13T00:00:00-05:00","2015-02-13","84.57","84.92","83.93","84.9","2097900",""
"ESRX","2015-02-17T00:00:00-05:00","2015-02-17","84.6","85.29","84.29","85.19","2838300",""
"ESRX","2015-02-18T00:00:00-05:00","2015-02-18","85.1","85.27","84.79","85.17","2318300",""
"ESRX","2015-02-19T00:00:00-05:00","2015-02-19","85.07","85.73","84.86","85.5","2971400",""
"ESRX","2015-02-20T00:00:00-05:00","2015-02-20","85.62","86.12","84.92","86.08","3754800",""
"ESRX","2015-02-23T00:00:00-05:00","2015-02-23","86.08","86.87","85.83","86.72","5345700",""
"ESRX","2015-02-24T00:00:00-05:00","2015-02-24","88","88.83","86.05","87.62","5942300",""
"ESRX","2015-02-25T00:00:00-05:00","2015-02-25","87.33","87.44","84.85","85.09","5194300",""
"ESRX","2015-02-26T00:00:00-05:00","2015-02-26","84.9","85.05","84.16","84.54","6628400",""
"ESRX","2015-02-27T00:00:00-05:00","2015-02-27","84.76","84.97","84.09","84.79","3398700",""
"ESRX","2015-03-02T00:00:00-05:00","2015-03-02","84.36","85.19","84.35","84.93","2605200",""
"ESRX","2015-03-03T00:00:00-05:00","2015-03-03","84.7","84.76","84.14","84.35","2098700",""
"ESRX","2015-03-04T00:00:00-05:00","2015-03-04","84.08","85.03","83.61","84.83","2912600",""
"ESRX","2015-03-05T00:00:00-05:00","2015-03-05","83.09","84.47","83.02","84.28","3457700",""
"ESRX","2015-03-06T00:00:00-05:00","2015-03-06","84","84.45","82.1","82.27","3552300",""
"ESRX","2015-03-09T00:00:00-04:00","2015-03-09","82.39","82.92","81.83","81.89","3419700",""
"ESRX","2015-03-10T00:00:00-04:00","2015-03-10","81.68","82.25","81.36","81.39","3091400",""
"ESRX","2015-03-11T00:00:00-04:00","2015-03-11","81.62","82.26","81.15","81.24","3018400",""
"ESRX","2015-03-12T00:00:00-04:00","2015-03-12","81.66","82.5","81.6","82.29","2207600",""
"ESRX","2015-03-13T00:00:00-04:00","2015-03-13","81.75","82.89","80.94","81.37","3089800",""
"ESRX","2015-03-16T00:00:00-04:00","2015-03-16","81.93","84.09","81.77","83.65","3494300",""
"ESRX","2015-03-17T00:00:00-04:00","2015-03-17","83.04","83.63","82.72","83.01","1864700",""
"ESRX","2015-03-18T00:00:00-04:00","2015-03-18","83.13","83.69","81.91","83.29","3764500",""
"ESRX","2015-03-19T00:00:00-04:00","2015-03-19","83.31","84","83.09","83.95","2710300",""
"ESRX","2015-03-20T00:00:00-04:00","2015-03-20","84.52","85.92","84.45","85.38","7753200",""
"ESRX","2015-03-23T00:00:00-04:00","2015-03-23","85.33","85.88","85","85.31","2461800",""
"ESRX","2015-03-24T00:00:00-04:00","2015-03-24","85.06","85.28","84.06","84.06","2572800",""
"ESRX","2015-03-25T00:00:00-04:00","2015-03-25","83.87","84.74","83.13","83.45","4111600",""
"ESRX","2015-03-26T00:00:00-04:00","2015-03-26","82.94","83.57","82.2","82.99","2894200",""
"ESRX","2015-03-27T00:00:00-04:00","2015-03-27","83.02","83.35","82.31","82.38","2606400",""
"ESRX","2015-03-30T00:00:00-04:00","2015-03-30","82.73","85.56","82.73","85.4","5932500",""
"ESRX","2015-03-31T00:00:00-04:00","2015-03-31","85.38","88.55","85.25","86.77","6738500",""
"ESRX","2015-04-01T00:00:00-04:00","2015-04-01","86.95","87.16","83.76","84.23","5290800",""
"ESRX","2015-04-02T00:00:00-04:00","2015-04-02","84.41","85.22","84.14","84.58","2622600",""
"ESRX","2015-04-06T00:00:00-04:00","2015-04-06","84","85.39","83.92","84.88","2206900",""
"ESRX","2015-04-07T00:00:00-04:00","2015-04-07","84.34","85.08","84.04","84.11","1741800",""
"ESRX","2015-04-08T00:00:00-04:00","2015-04-08","84.32","85.12","83.9","84.36","2253600",""
"ESRX","2015-04-09T00:00:00-04:00","2015-04-09","84.82","89.25","84.82","88.47","8641500",""
"ESRX","2015-04-10T00:00:00-04:00","2015-04-10","88.39","89.59","88.05","88.85","4469800",""
"ESRX","2015-04-13T00:00:00-04:00","2015-04-13","88.78","89.33","87.98","88.1","2863900",""
"ESRX","2015-04-14T00:00:00-04:00","2015-04-14","88.08","88.65","87.79","88.06","2449300",""
"ESRX","2015-04-15T00:00:00-04:00","2015-04-15","88.27","88.57","86.37","87.06","4172500",""
"ESRX","2015-04-16T00:00:00-04:00","2015-04-16","86.85","87.05","85.85","86.37","2553700",""
"ESRX","2015-04-17T00:00:00-04:00","2015-04-17","85.5","86.06","84.58","85.55","3491200",""
"ESRX","2015-04-20T00:00:00-04:00","2015-04-20","85.79","86.14","85.33","85.78","2075300",""
"ESRX","2015-04-21T00:00:00-04:00","2015-04-21","86.04","86.88","86.03","86.1","1805800",""
"ESRX","2015-04-22T00:00:00-04:00","2015-04-22","86.19","86.73","85.52","86.12","2417500",""
"ESRX","2015-04-23T00:00:00-04:00","2015-04-23","85.92","87.24","85.38","86.89","3131900",""
"ESRX","2015-04-24T00:00:00-04:00","2015-04-24","86.97","87.58","86.13","87.34","2512000",""
"ESRX","2015-04-27T00:00:00-04:00","2015-04-27","87.5","88.11","86.71","86.84","3371900",""
"ESRX","2015-04-28T00:00:00-04:00","2015-04-28","86.34","87.73","85.5","87.5","3776600",""
"ESRX","2015-04-29T00:00:00-04:00","2015-04-29","88.86","88.99","84.29","84.79","7154900",""
"ESRX","2015-04-30T00:00:00-04:00","2015-04-30","84.77","88.86","84.65","86.4","9928600",""
"ESRX","2015-05-01T00:00:00-04:00","2015-05-01","86.95","87.16","86.22","86.52","2892300",""
"ESRX","2015-05-04T00:00:00-04:00","2015-05-04","86.47","87.49","86.25","87.4","4503000",""
"ESRX","2015-05-05T00:00:00-04:00","2015-05-05","87.32","87.34","84.58","84.61","4413300",""
"ESRX","2015-05-06T00:00:00-04:00","2015-05-06","84.73","85.23","83.65","84.08","4268200",""
"ESRX","2015-05-07T00:00:00-04:00","2015-05-07","83.79","84.7","83.41","83.85","4129500",""
"ESRX","2015-05-08T00:00:00-04:00","2015-05-08","84.86","85.92","84.81","85.71","6803200",""
"ESRX","2015-05-11T00:00:00-04:00","2015-05-11","85.55","86.46","85.55","86.12","2676000",""
"ESRX","2015-05-12T00:00:00-04:00","2015-05-12","85.41","86.45","85.31","85.89","2872300",""
"ESRX","2015-05-13T00:00:00-04:00","2015-05-13","85.55","86.82","85.39","85.78","6005500",""
"ESRX","2015-05-14T00:00:00-04:00","2015-05-14","86.69","87.53","86.4","87.46","9652000",""
"ESRX","2015-05-15T00:00:00-04:00","2015-05-15","87.86","88.17","87.31","87.37","6730900",""
"ESRX","2015-05-18T00:00:00-04:00","2015-05-18","87.13","87.79","86.75","87.43","2470000",""
"ESRX","2015-05-19T00:00:00-04:00","2015-05-19","87.61","88.76","87.38","88.75","3543900",""
"ESRX","2015-05-20T00:00:00-04:00","2015-05-20","88.8","89.25","88.3","88.73","4131400",""
"ESRX","2015-05-21T00:00:00-04:00","2015-05-21","88.53","90.99","88.4","90.2","10622200",""
"ESRX","2015-05-22T00:00:00-04:00","2015-05-22","90.06","91.21","90.01","90.44","3501400",""
"ESRX","2015-05-26T00:00:00-04:00","2015-05-26","90.32","90.37","89.04","89.08","3097100",""
"ESRX","2015-05-27T00:00:00-04:00","2015-05-27","89.38","90.4","89.23","89.73","2716000",""
"ESRX","2015-05-28T00:00:00-04:00","2015-05-28","89.8","90.19","88.81","89.23","2829900",""
"ESRX","2015-05-29T00:00:00-04:00","2015-05-29","89.2","89.7","86.16","87.14","8329300",""
"ESRX","2015-06-01T00:00:00-04:00","2015-06-01","86.15","86.55","84.94","86","7836300",""
"ESRX","2015-06-02T00:00:00-04:00","2015-06-02","85.49","86.16","85.3","86.1","3420000",""
"ESRX","2015-06-03T00:00:00-04:00","2015-06-03","86.52","86.69","86.02","86.53","2514300",""
"ESRX","2015-06-04T00:00:00-04:00","2015-06-04","86.09","86.77","86.09","86.56","4180100",""
"ESRX","2015-06-05T00:00:00-04:00","2015-06-05","86.27","87.02","85.87","86.88","2430100",""
"ESRX","2015-06-08T00:00:00-04:00","2015-06-08","86.89","87.22","86.49","87","3883600",""
"ESRX","2015-06-09T00:00:00-04:00","2015-06-09","86.72","87.19","86.28","86.93","2676800",""
"ESRX","2015-06-10T00:00:00-04:00","2015-06-10","87.09","88.15","86.68","87.73","3916100",""
"ESRX","2015-06-11T00:00:00-04:00","2015-06-11","87.68","88.45","87.24","88.09","3919100",""
"ESRX","2015-06-12T00:00:00-04:00","2015-06-12","87.67","87.92","87.18","87.41","2629400",""
"ESRX","2015-06-15T00:00:00-04:00","2015-06-15","86.93","88.57","86.12","87.78","6426400",""
"ESRX","2015-06-16T00:00:00-04:00","2015-06-16","88","88.94","87.77","88.64","2640400",""
"ESRX","2015-06-17T00:00:00-04:00","2015-06-17","88.57","88.87","87.89","88.09","5617300",""
"ESRX","2015-06-18T00:00:00-04:00","2015-06-18","88.36","89.74","88.16","89.59","4592700",""
"ESRX","2015-06-19T00:00:00-04:00","2015-06-19","89.57","90.82","89.08","89.87","7288100",""
"ESRX","2015-06-22T00:00:00-04:00","2015-06-22","90.56","92.46","90.26","91.05","5482100",""
"ESRX","2015-06-23T00:00:00-04:00","2015-06-23","91.21","91.95","90.68","90.82","3029700",""
"ESRX","2015-06-24T00:00:00-04:00","2015-06-24","90.67","90.98","90.35","90.62","4381400",""
"ESRX","2015-06-25T00:00:00-04:00","2015-06-25","90.98","91.9","90.33","91.18","4298000",""
"ESRX","2015-06-26T00:00:00-04:00","2015-06-26","91.61","92.04","90.55","90.85","4324800",""
"ESRX","2015-06-29T00:00:00-04:00","2015-06-29","90.3","90.81","88.79","88.84","3524900",""
"ESRX","2015-06-30T00:00:00-04:00","2015-06-30","89.89","90.32","88.65","88.94","3562900",""
"ESRX","2015-07-01T00:00:00-04:00","2015-07-01","89.55","90.14","89.35","89.71","3181400",""
"ESRX","2015-07-02T00:00:00-04:00","2015-07-02","89.76","90.22","89.09","89.24","2265900",""
"ESRX","2015-07-06T00:00:00-04:00","2015-07-06","88.72","88.88","87.67","88.03","3580600",""
"ESRX","2015-07-07T00:00:00-04:00","2015-07-07","88.26","88.9","87.16","88.83","2765300",""
"ESRX","2015-07-08T00:00:00-04:00","2015-07-08","88.34","88.67","87.48","87.59","2333000",""
"ESRX","2015-07-09T00:00:00-04:00","2015-07-09","88.65","88.9","87.89","87.91","2528600",""
"ESRX","2015-07-10T00:00:00-04:00","2015-07-10","88.92","90.14","88.57","89.75","3798700",""
"ESRX","2015-07-13T00:00:00-04:00","2015-07-13","90.71","91.28","90.07","91.09","4313500",""
"ESRX","2015-07-14T00:00:00-04:00","2015-07-14","91.09","92.01","90.82","91.36","3313100",""
"ESRX","2015-07-15T00:00:00-04:00","2015-07-15","91.36","91.87","90.68","90.79","3294100",""
"ESRX","2015-07-16T00:00:00-04:00","2015-07-16","91.23","91.81","90.96","91.07","3385800",""
"ESRX","2015-07-17T00:00:00-04:00","2015-07-17","91.22","91.44","90.53","91.24","2941800",""
"ESRX","2015-07-20T00:00:00-04:00","2015-07-20","91.36","92.15","91.19","91.89","2796900",""
"ESRX","2015-07-21T00:00:00-04:00","2015-07-21","91.71","93.89","91.29","93.42","5407300",""
"ESRX","2015-07-22T00:00:00-04:00","2015-07-22","93.66","94.61","93.41","94.08","4830500",""
"ESRX","2015-07-23T00:00:00-04:00","2015-07-23","94.2","94.2","92.81","93.06","2871200",""
"ESRX","2015-07-24T00:00:00-04:00","2015-07-24","92.93","93.27","91.93","92.29","4078000",""
"ESRX","2015-07-27T00:00:00-04:00","2015-07-27","92.13","92.27","90.97","91.1","3385800",""
"ESRX","2015-07-28T00:00:00-04:00","2015-07-28","91.39","92.49","90.63","92.38","3482800",""
"ESRX","2015-07-29T00:00:00-04:00","2015-07-29","94.13","94.22","91.03","91.29","6265500",""
"ESRX","2015-07-30T00:00:00-04:00","2015-07-30","90.73","91.3","89.64","90.25","3767400",""
"ESRX","2015-07-31T00:00:00-04:00","2015-07-31","90.61","90.77","89.59","90.07","3816600",""
"ESRX","2015-08-03T00:00:00-04:00","2015-08-03","90.06","90.86","88.32","89.23","5598900",""
"ESRX","2015-08-04T00:00:00-04:00","2015-08-04","89.52","89.75","88.47","89.31","4569500",""
"ESRX","2015-08-05T00:00:00-04:00","2015-08-05","89.96","91.04","89.8","90.75","3751900",""
"ESRX","2015-08-06T00:00:00-04:00","2015-08-06","90.6","91.04","88.33","89.29","3942200",""
"ESRX","2015-08-07T00:00:00-04:00","2015-08-07","89.03","89.35","87.61","87.88","12088000",""
"ESRX","2015-08-10T00:00:00-04:00","2015-08-10","88.57","89.44","88.49","88.77","4001000",""
"ESRX","2015-08-11T00:00:00-04:00","2015-08-11","89.21","89.93","88.8","89.5","3713400",""
"ESRX","2015-08-12T00:00:00-04:00","2015-08-12","88.78","89.64","88.14","89","3431700",""
"ESRX","2015-08-13T00:00:00-04:00","2015-08-13","88.83","89.61","88.3","88.51","2356000",""
"ESRX","2015-08-14T00:00:00-04:00","2015-08-14","88.25","89.13","88.08","88.26","3263400",""
"ESRX","2015-08-17T00:00:00-04:00","2015-08-17","88","89.26","87.79","89.12","2179900",""
"ESRX","2015-08-18T00:00:00-04:00","2015-08-18","89.33","91.37","88.96","89.87","4945500",""
"ESRX","2015-08-19T00:00:00-04:00","2015-08-19","89.26","90.6","88.77","89.79","4104900",""
"ESRX","2015-08-20T00:00:00-04:00","2015-08-20","89.29","89.73","88.13","88.13","4134600",""
"ESRX","2015-08-21T00:00:00-04:00","2015-08-21","87.07","87.92","84.57","84.81","7248300",""
"ESRX","2015-08-24T00:00:00-04:00","2015-08-24","79.34","83.51","68.06","81.81","9987900",""
"ESRX","2015-08-25T00:00:00-04:00","2015-08-25","82.54","84.35","80.85","80.92","6337300",""
"ESRX","2015-08-26T00:00:00-04:00","2015-08-26","82.79","84.28","80.74","84.1","7155000",""
"ESRX","2015-08-27T00:00:00-04:00","2015-08-27","84.9","85.5","83.56","85.2","3953500",""
"ESRX","2015-08-28T00:00:00-04:00","2015-08-28","84.54","85.17","83.98","84.46","3145100",""
"ESRX","2015-08-31T00:00:00-04:00","2015-08-31","84.03","85.03","83.05","83.6","5436900",""
"ESRX","2015-09-01T00:00:00-04:00","2015-09-01","81.91","83.09","81.41","81.93","5281500",""
"ESRX","2015-09-02T00:00:00-04:00","2015-09-02","83.02","83.52","82.19","83.49","3192300",""
"ESRX","2015-09-03T00:00:00-04:00","2015-09-03","84.08","84.99","83.63","83.86","3124000",""
"ESRX","2015-09-04T00:00:00-04:00","2015-09-04","82.55","83.91","82.22","83.1","3111400",""
"ESRX","2015-09-08T00:00:00-04:00","2015-09-08","84.38","84.72","83.25","84.51","3437800",""
"ESRX","2015-09-09T00:00:00-04:00","2015-09-09","85.28","85.58","83.28","83.61","3101100",""
"ESRX","2015-09-10T00:00:00-04:00","2015-09-10","83.46","84.71","82.91","83.9","7736500",""
"ESRX","2015-09-11T00:00:00-04:00","2015-09-11","83.89","84.64","83.54","84.49","3492100",""
"ESRX","2015-09-14T00:00:00-04:00","2015-09-14","84.77","84.97","83.46","84.14","7483100",""
"ESRX","2015-09-15T00:00:00-04:00","2015-09-15","84.63","85.27","84.14","85.03","3336400",""
"ESRX","2015-09-16T00:00:00-04:00","2015-09-16","84.92","85.18","83.87","84.44","4170500",""
"ESRX","2015-09-17T00:00:00-04:00","2015-09-17","84.7","85.91","84.23","84.68","4547800",""
