symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ETFC","2015-01-02T00:00:00-05:00","2015-01-02","24.38","24.61","23.63","24.01","2110300",""
"ETFC","2015-01-05T00:00:00-05:00","2015-01-05","23.84","23.84","23.09","23.23","2156100",""
"ETFC","2015-01-06T00:00:00-05:00","2015-01-06","23.17","23.27","22.26","22.59","3173800",""
"ETFC","2015-01-07T00:00:00-05:00","2015-01-07","22.8","22.97","22.59","22.95","2111200",""
"ETFC","2015-01-08T00:00:00-05:00","2015-01-08","23.6","23.75","23.44","23.58","2754000",""
"ETFC","2015-01-09T00:00:00-05:00","2015-01-09","23.59","23.59","23.06","23.08","1634400",""
"ETFC","2015-01-12T00:00:00-05:00","2015-01-12","23.05","23.17","22.55","22.72","2059900",""
"ETFC","2015-01-13T00:00:00-05:00","2015-01-13","23.47","23.63","22.67","22.99","3588700",""
"ETFC","2015-01-14T00:00:00-05:00","2015-01-14","22.54","22.73","21.99","22.49","3224900",""
"ETFC","2015-01-15T00:00:00-05:00","2015-01-15","22.5","22.73","21.74","21.77","4342300",""
"ETFC","2015-01-16T00:00:00-05:00","2015-01-16","21.6","22.19","21.01","22.17","6604700",""
"ETFC","2015-01-20T00:00:00-05:00","2015-01-20","22.44","22.5","21.93","22.5","3210200",""
"ETFC","2015-01-21T00:00:00-05:00","2015-01-21","22.06","22.61","21.38","22.02","4859300",""
"ETFC","2015-01-22T00:00:00-05:00","2015-01-22","22.14","22.88","21.69","22.65","6832400",""
"ETFC","2015-01-23T00:00:00-05:00","2015-01-23","23.9","24.97","23.78","24.56","12273200",""
"ETFC","2015-01-26T00:00:00-05:00","2015-01-26","24.64","24.65","23.95","24.19","4126100",""
"ETFC","2015-01-27T00:00:00-05:00","2015-01-27","23.78","24.18","23.53","23.86","3403000",""
"ETFC","2015-01-28T00:00:00-05:00","2015-01-28","23.92","24.01","23.16","23.22","3685300",""
"ETFC","2015-01-29T00:00:00-05:00","2015-01-29","23.19","23.74","23.08","23.65","2390300",""
"ETFC","2015-01-30T00:00:00-05:00","2015-01-30","23.21","23.51","23.01","23.05","2636300",""
"ETFC","2015-02-02T00:00:00-05:00","2015-02-02","23.26","23.72","23.01","23.65","3073700",""
"ETFC","2015-02-03T00:00:00-05:00","2015-02-03","23.86","24.88","23.86","24.82","4403800",""
"ETFC","2015-02-04T00:00:00-05:00","2015-02-04","24.82","25.6","24.81","25.3","5560200",""
"ETFC","2015-02-05T00:00:00-05:00","2015-02-05","25.37","25.74","25.07","25.11","3406800",""
"ETFC","2015-02-06T00:00:00-05:00","2015-02-06","25.42","26.07","25.37","25.46","5608200",""
"ETFC","2015-02-09T00:00:00-05:00","2015-02-09","25.25","25.41","24.99","25.09","2443800",""
"ETFC","2015-02-10T00:00:00-05:00","2015-02-10","25.36","25.63","25.21","25.61","2850400",""
"ETFC","2015-02-11T00:00:00-05:00","2015-02-11","25.49","25.82","25.3","25.63","2069000",""
"ETFC","2015-02-12T00:00:00-05:00","2015-02-12","25.63","25.95","25.5","25.91","1734800",""
"ETFC","2015-02-13T00:00:00-05:00","2015-02-13","25.95","26.21","25.31","25.65","3351400",""
"ETFC","2015-02-17T00:00:00-05:00","2015-02-17","25.61","25.91","25.38","25.86","2424500",""
"ETFC","2015-02-18T00:00:00-05:00","2015-02-18","25.72","25.85","25.3","25.53","2107000",""
"ETFC","2015-02-19T00:00:00-05:00","2015-02-19","25.42","25.69","25.36","25.64","1501900",""
"ETFC","2015-02-20T00:00:00-05:00","2015-02-20","25.52","26.23","25.4","26.15","2375000",""
"ETFC","2015-02-23T00:00:00-05:00","2015-02-23","26.15","26.15","25.85","26.04","1471300",""
"ETFC","2015-02-24T00:00:00-05:00","2015-02-24","26.09","26.8","25.96","26.43","2687500",""
"ETFC","2015-02-25T00:00:00-05:00","2015-02-25","26.43","26.56","26.22","26.36","1565100",""
"ETFC","2015-02-26T00:00:00-05:00","2015-02-26","26.38","26.49","25.94","26.08","1958300",""
"ETFC","2015-02-27T00:00:00-05:00","2015-02-27","26.04","26.23","25.96","26.03","3512100",""
"ETFC","2015-03-02T00:00:00-05:00","2015-03-02","26.16","26.49","25.99","26.49","2757100",""
"ETFC","2015-03-03T00:00:00-05:00","2015-03-03","26.49","26.79","26.25","26.48","2571100",""
"ETFC","2015-03-04T00:00:00-05:00","2015-03-04","26.44","26.84","26.31","26.51","3152200",""
"ETFC","2015-03-05T00:00:00-05:00","2015-03-05","26.6","27","26.46","26.97","3199400",""
"ETFC","2015-03-06T00:00:00-05:00","2015-03-06","27.28","28.13","27.19","27.85","7106300",""
"ETFC","2015-03-09T00:00:00-04:00","2015-03-09","27.9","28.04","27.59","27.93","2752700",""
"ETFC","2015-03-10T00:00:00-04:00","2015-03-10","27.82","28.18","27.47","27.55","5683000",""
"ETFC","2015-03-11T00:00:00-04:00","2015-03-11","27.59","28.07","27.37","27.72","3743200",""
"ETFC","2015-03-12T00:00:00-04:00","2015-03-12","27.94","28.14","27.57","27.98","2513300",""
"ETFC","2015-03-13T00:00:00-04:00","2015-03-13","27.96","28.24","27.75","27.98","3243800",""
"ETFC","2015-03-16T00:00:00-04:00","2015-03-16","28.08","28.43","28.05","28.28","2741500",""
"ETFC","2015-03-17T00:00:00-04:00","2015-03-17","28.06","28.52","28.06","28.38","1981500",""
"ETFC","2015-03-18T00:00:00-04:00","2015-03-18","28.31","28.65","27.77","27.85","6422700",""
"ETFC","2015-03-19T00:00:00-04:00","2015-03-19","27.83","27.84","26.94","27.32","4497000",""
"ETFC","2015-03-20T00:00:00-04:00","2015-03-20","27.44","27.99","27.08","27.86","5910200",""
"ETFC","2015-03-23T00:00:00-04:00","2015-03-23","27.8","28","27.59","27.91","2576600",""
"ETFC","2015-03-24T00:00:00-04:00","2015-03-24","27.85","27.88","27.56","27.59","1713400",""
"ETFC","2015-03-25T00:00:00-04:00","2015-03-25","27.56","27.68","26.92","27.05","3624300",""
"ETFC","2015-03-26T00:00:00-04:00","2015-03-26","27.26","27.56","26.83","27.45","4657200",""
"ETFC","2015-03-27T00:00:00-04:00","2015-03-27","27.4","27.9","27.29","27.85","2742000",""
"ETFC","2015-03-30T00:00:00-04:00","2015-03-30","28.06","28.35","28","28.24","2018700",""
"ETFC","2015-03-31T00:00:00-04:00","2015-03-31","28.02","28.67","27.85","28.56","3280700",""
"ETFC","2015-04-01T00:00:00-04:00","2015-04-01","28.45","28.5","28.06","28.47","3292600",""
"ETFC","2015-04-02T00:00:00-04:00","2015-04-02","28.5","28.53","28.22","28.47","2131900",""
"ETFC","2015-04-06T00:00:00-04:00","2015-04-06","28.05","28.39","27.61","28.07","2733800",""
"ETFC","2015-04-07T00:00:00-04:00","2015-04-07","28.13","28.33","27.74","27.75","2107200",""
"ETFC","2015-04-08T00:00:00-04:00","2015-04-08","27.83","28.25","27.76","28.2","2769500",""
"ETFC","2015-04-09T00:00:00-04:00","2015-04-09","28.18","28.41","27.83","28.4","2380500",""
"ETFC","2015-04-10T00:00:00-04:00","2015-04-10","28.35","28.38","27.98","28.25","1637300",""
"ETFC","2015-04-13T00:00:00-04:00","2015-04-13","28.28","28.48","28.06","28.15","2167400",""
"ETFC","2015-04-14T00:00:00-04:00","2015-04-14","27.91","28.09","27.49","27.82","2300700",""
"ETFC","2015-04-15T00:00:00-04:00","2015-04-15","27.81","28.2","27.6","27.93","2540600",""
"ETFC","2015-04-16T00:00:00-04:00","2015-04-16","27.9","28.38","27.7","28.25","2304000",""
"ETFC","2015-04-17T00:00:00-04:00","2015-04-17","28.05","28.07","27.26","27.56","2558000",""
"ETFC","2015-04-20T00:00:00-04:00","2015-04-20","27.65","27.89","27.57","27.61","1556500",""
"ETFC","2015-04-21T00:00:00-04:00","2015-04-21","27.62","27.77","27.24","27.53","1928100",""
"ETFC","2015-04-22T00:00:00-04:00","2015-04-22","27.65","28.67","27.49","28.6","5960000",""
"ETFC","2015-04-23T00:00:00-04:00","2015-04-23","28.44","28.77","28.17","28.19","3826600",""
"ETFC","2015-04-24T00:00:00-04:00","2015-04-24","28.1","28.48","27.85","28.17","4912800",""
"ETFC","2015-04-27T00:00:00-04:00","2015-04-27","28.34","28.55","27.75","27.84","2376700",""
"ETFC","2015-04-28T00:00:00-04:00","2015-04-28","27.85","28.65","27.79","28.52","2805100",""
"ETFC","2015-04-29T00:00:00-04:00","2015-04-29","28.43","29.26","28.31","29.2","4232400",""
"ETFC","2015-04-30T00:00:00-04:00","2015-04-30","29.11","29.5","28.78","28.79","4020600",""
"ETFC","2015-05-01T00:00:00-04:00","2015-05-01","29.03","29.26","28.81","29.1","2417100",""
"ETFC","2015-05-04T00:00:00-04:00","2015-05-04","29","29.46","28.66","29.32","2415200",""
"ETFC","2015-05-05T00:00:00-04:00","2015-05-05","29.18","29.57","28.93","29.01","3052900",""
"ETFC","2015-05-06T00:00:00-04:00","2015-05-06","29.15","29.31","28.4","28.45","3214100",""
"ETFC","2015-05-07T00:00:00-04:00","2015-05-07","28.39","28.92","28.39","28.86","4070000",""
"ETFC","2015-05-08T00:00:00-04:00","2015-05-08","28.91","29.23","28.76","29.16","3278200",""
"ETFC","2015-05-11T00:00:00-04:00","2015-05-11","29.2","29.99","29.19","29.85","4150200",""
"ETFC","2015-05-12T00:00:00-04:00","2015-05-12","29.62","29.91","29.37","29.39","2597300",""
"ETFC","2015-05-13T00:00:00-04:00","2015-05-13","29.33","29.66","29.3","29.46","2412900",""
"ETFC","2015-05-14T00:00:00-04:00","2015-05-14","29.69","29.76","29.18","29.59","3599300",""
"ETFC","2015-05-15T00:00:00-04:00","2015-05-15","29.57","29.8","28.86","29.01","2286000",""
"ETFC","2015-05-18T00:00:00-04:00","2015-05-18","29.05","30.12","29.04","29.84","3217200",""
