symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ETR","2015-01-02T00:00:00-05:00","2015-01-02","77.01188","77.55769","76.29","77.21436","2209722",""
"ETR","2015-01-05T00:00:00-05:00","2015-01-05","77.30238","77.69854","76.20197","76.63333","1887913",""
"ETR","2015-01-06T00:00:00-05:00","2015-01-06","76.68615","78.12991","76.43966","76.49248","2087837",""
"ETR","2015-01-07T00:00:00-05:00","2015-01-07","76.60692","77.74255","76.2988","77.26717","1242819",""
"ETR","2015-01-08T00:00:00-05:00","2015-01-08","77.41683","78.1123","77.29359","77.72495","1156829",""
"ETR","2015-01-09T00:00:00-05:00","2015-01-09","77.91862","78.25315","76.48367","77.28478","1667770",""
"ETR","2015-01-12T00:00:00-05:00","2015-01-12","77.58409","77.66332","76.19317","76.62453","1266333",""
"ETR","2015-01-13T00:00:00-05:00","2015-01-13","77.04709","78.02426","75.45368","75.74419","2948075",""
"ETR","2015-01-14T00:00:00-05:00","2015-01-14","75.35684","76.76538","74.97829","76.72137","1727974",""
"ETR","2015-01-15T00:00:00-05:00","2015-01-15","76.95026","78.03307","76.58932","77.90102","1684241",""
"ETR","2015-01-16T00:00:00-05:00","2015-01-16","77.95384","78.34999","77.46965","78.05947","1471822",""
"ETR","2015-01-20T00:00:00-05:00","2015-01-20","78.43802","78.84297","77.41683","78.08588","1359479",""
"ETR","2015-01-21T00:00:00-05:00","2015-01-21","77.88341","79.01904","77.40803","78.94862","1087651",""
"ETR","2015-01-22T00:00:00-05:00","2015-01-22","79.26554","79.52084","78.09469","78.71973","1708209",""
"ETR","2015-01-23T00:00:00-05:00","2015-01-23","78.93981","79.12468","78.54366","78.87819","1425704",""
"ETR","2015-01-26T00:00:00-05:00","2015-01-26","78.78135","78.98383","77.82178","78.20033","1382766",""
"ETR","2015-01-27T00:00:00-05:00","2015-01-27","78.25315","78.58768","77.76896","77.857","1301433",""
"ETR","2015-01-28T00:00:00-05:00","2015-01-28","77.8658","79.33597","77.8658","78.28836","2304231",""
"ETR","2015-01-29T00:00:00-05:00","2015-01-29","78.05947","79.28314","77.70734","79.1423","1364136",""
"ETR","2015-01-30T00:00:00-05:00","2015-01-30","78.85178","79.04546","76.96786","77.03828","1455465",""
"ETR","2015-02-02T00:00:00-05:00","2015-02-02","77.0823","77.97144","76.39564","77.6017","1751829",""
"ETR","2015-02-03T00:00:00-05:00","2015-02-03","77.65452","78.80776","77.00307","78.71973","1996394",""
"ETR","2015-02-04T00:00:00-05:00","2015-02-04","78.40281","78.57007","76.73017","77.00307","1796812",""
"ETR","2015-02-05T00:00:00-05:00","2015-02-05","77.01188","77.58409","75.35684","76.16675","2513242",""
"ETR","2015-02-06T00:00:00-05:00","2015-02-06","75.84103","76.03471","72.17883","72.54857","3239214",""
"ETR","2015-02-09T00:00:00-05:00","2015-02-09","72.66301","73.19122","71.3337","71.5714","2384200",""
"ETR","2015-02-10T00:00:00-05:00","2015-02-10","71.96274","72.83436","71.67812","72.78989","2784520",""
"ETR","2015-02-11T00:00:00-05:00","2015-02-11","72.75432","72.76321","71.58028","72.0072","1939472",""
"ETR","2015-02-12T00:00:00-05:00","2015-02-12","72.11394","72.29182","71.38461","71.73148","1697403",""
"ETR","2015-02-13T00:00:00-05:00","2015-02-13","71.29568","71.37572","69.68582","70.37068","2347830",""
"ETR","2015-02-17T00:00:00-05:00","2015-02-17","70.33511","71.01105","69.50794","70.13943","1705274",""
"ETR","2015-02-18T00:00:00-05:00","2015-02-18","70.175","71.48245","69.84592","71.38461","1465454",""
"ETR","2015-02-19T00:00:00-05:00","2015-02-19","71.54471","71.8649","70.66418","70.9399","913744",""
"ETR","2015-02-20T00:00:00-05:00","2015-02-20","70.86875","71.00217","69.81924","70.54856","1304899",""
"ETR","2015-02-23T00:00:00-05:00","2015-02-23","70.84207","71.42019","70.56635","71.4024","1124107",""
"ETR","2015-02-24T00:00:00-05:00","2015-02-24","71.37572","72.10504","71.03774","71.56249","1540896",""
"ETR","2015-02-25T00:00:00-05:00","2015-02-25","71.30457","71.87379","70.41515","70.60192","1358755",""
"ETR","2015-02-26T00:00:00-05:00","2015-02-26","70.89543","71.00217","70.21947","70.44183","1155813",""
"ETR","2015-02-27T00:00:00-05:00","2015-02-27","70.4863","70.77091","69.82813","70.71755","1697066",""
"ETR","2015-03-02T00:00:00-05:00","2015-03-02","70.42404","70.61082","68.3428","69.08102","2327704",""
"ETR","2015-03-03T00:00:00-05:00","2015-03-03","69.17886","69.17886","68.23608","68.91203","1200449",""
"ETR","2015-03-04T00:00:00-05:00","2015-03-04","68.39617","68.73415","67.60459","68.04041","1289159",""
"ETR","2015-03-05T00:00:00-05:00","2015-03-05","68.3428","68.76083","68.14714","68.5029","951409",""
"ETR","2015-03-06T00:00:00-05:00","2015-03-06","67.68464","67.68464","66.08369","66.41277","1399905",""
"ETR","2015-03-09T00:00:00-04:00","2015-03-09","66.56397","66.99089","66.22599","66.43945","1159973",""
"ETR","2015-03-10T00:00:00-04:00","2015-03-10","66.19931","67.49786","66.12816","67.1332","1849526",""
"ETR","2015-03-11T00:00:00-04:00","2015-03-11","67.33776","67.33776","66.18153","66.43056","1245984",""
"ETR","2015-03-12T00:00:00-04:00","2015-03-12","66.81301","68.2094","66.81301","67.82695","1357855",""
"ETR","2015-03-13T00:00:00-04:00","2015-03-13","67.36445","67.41782","65.71013","66.39498","2154782",""
"ETR","2015-03-16T00:00:00-04:00","2015-03-16","66.69738","68.17382","66.69738","67.5957","1210118",""
"ETR","2015-03-17T00:00:00-04:00","2015-03-17","67.32887","67.91589","67.21325","67.56902","1045066",""
"ETR","2015-03-18T00:00:00-04:00","2015-03-18","67.45338","69.95265","67.30219","69.49905","1456459",""
"ETR","2015-03-19T00:00:00-04:00","2015-03-19","69.33006","70.21947","69.08102","69.32117","2733138",""
"ETR","2015-03-20T00:00:00-04:00","2015-03-20","69.64136","70.58414","69.41011","70.30842","3414596",""
"ETR","2015-03-23T00:00:00-04:00","2015-03-23","70.25505","70.39736","69.61467","69.81034","1365726",""
"ETR","2015-03-24T00:00:00-04:00","2015-03-24","69.53462","69.97933","68.63631","68.74304","1371235",""
"ETR","2015-03-25T00:00:00-04:00","2015-03-25","69.09882","69.49905","68.37838","68.43175","1543707",""
"ETR","2015-03-26T00:00:00-04:00","2015-03-26","68.08488","68.79641","67.50675","68.05819","1083069",""
"ETR","2015-03-27T00:00:00-04:00","2015-03-27","68.00483","68.69857","67.81805","68.2005","928698",""
"ETR","2015-03-30T00:00:00-04:00","2015-03-30","68.36949","69.2767","67.92478","68.76083","1341777",""
"ETR","2015-03-31T00:00:00-04:00","2015-03-31","68.77863","69.44569","68.29834","68.92093","1471300",""
"ETR","2015-04-01T00:00:00-04:00","2015-04-01","68.76083","69.22333","67.81805","69.09882","1070139",""
"ETR","2015-04-02T00:00:00-04:00","2015-04-02","68.99208","69.44569","68.73415","69.08102","945900",""
"ETR","2015-04-06T00:00:00-04:00","2015-04-06","69.30338","70.67308","69.30338","70.62861","1275442",""
"ETR","2015-04-07T00:00:00-04:00","2015-04-07","70.62861","70.6464","69.39232","69.47237","935444",""
"ETR","2015-04-08T00:00:00-04:00","2015-04-08","69.39232","69.55241","68.55627","69.33895","1170204",""
"ETR","2015-04-09T00:00:00-04:00","2015-04-09","69.17886","69.52573","68.2094","68.49401","1270607",""
"ETR","2015-04-10T00:00:00-04:00","2015-04-10","68.85867","69.72141","68.57405","69.45457","668190",""
"ETR","2015-04-13T00:00:00-04:00","2015-04-13","69.09882","69.46347","68.68079","68.73415","636934",""
"ETR","2015-04-14T00:00:00-04:00","2015-04-14","68.9743","69.43679","68.63631","69.17886","679995",""
"ETR","2015-04-15T00:00:00-04:00","2015-04-15","69.17886","70.05938","69.17886","69.20554","717323",""
"ETR","2015-04-16T00:00:00-04:00","2015-04-16","69.13439","69.33006","68.2005","68.80531","954557",""
"ETR","2015-04-17T00:00:00-04:00","2015-04-17","68.54737","69.23222","68.5029","68.74304","1258127",""
"ETR","2015-04-20T00:00:00-04:00","2015-04-20","68.99208","70.21059","68.9565","69.69472","969399",""
"ETR","2015-04-21T00:00:00-04:00","2015-04-21","69.75698","70.35289","69.25891","69.42789","1343126",""
"ETR","2015-04-22T00:00:00-04:00","2015-04-22","69.5791","69.69472","68.58295","69.25891","1077784",""
"ETR","2015-04-23T00:00:00-04:00","2015-04-23","69.25002","70.45962","69.08992","69.8815","1058221",""
"ETR","2015-04-24T00:00:00-04:00","2015-04-24","69.81034","71.01105","69.46347","70.38847","1582497",""
"ETR","2015-04-27T00:00:00-04:00","2015-04-27","70.62861","70.62861","69.20554","69.49905","1252505",""
"ETR","2015-04-28T00:00:00-04:00","2015-04-28","69.31227","70.45962","69.00098","70.28173","1535387",""
"ETR","2015-04-29T00:00:00-04:00","2015-04-29","69.02766","69.98823","68.28054","69.7303","2099465",""
"ETR","2015-04-30T00:00:00-04:00","2015-04-30","69.67693","69.67693","68.16492","68.64521","1405077",""
"ETR","2015-05-01T00:00:00-04:00","2015-05-01","68.56516","68.85867","68.12045","68.65411","1005602",""
"ETR","2015-05-04T00:00:00-04:00","2015-05-04","68.63631","69.78366","68.48512","69.21443","1018644",""
"ETR","2015-05-05T00:00:00-04:00","2015-05-05","68.88535","69.30338","67.08873","67.19546","1444429",""
"ETR","2015-05-06T00:00:00-04:00","2015-05-06","67.24883","67.80026","66.59955","67.40002","1563720",""
"ETR","2015-05-07T00:00:00-04:00","2015-05-07","67.78247","68.44064","67.39113","68.01373","1280726",""
"ETR","2015-05-08T00:00:00-04:00","2015-05-08","68.60963","69.00986","67.5868","67.95146","1438695",""
"ETR","2015-05-11T00:00:00-04:00","2015-05-11","67.95146","68.24497","67.60459","67.67574","2091257",""
"ETR","2015-05-12T00:00:00-04:00","2015-05-12","67.45094","67.56784","66.49776","66.74954","1979257",""
"ETR","2015-05-13T00:00:00-04:00","2015-05-13","67.05528","67.63978","66.09311","66.3269","1763071",""
"ETR","2015-05-14T00:00:00-04:00","2015-05-14","66.59667","67.12722","66.4528","66.74954","1285661",""
"ETR","2015-05-15T00:00:00-04:00","2015-05-15","66.87543","67.71172","66.84846","67.42397","1669658",""
"ETR","2015-05-18T00:00:00-04:00","2015-05-18","67.10024","67.79264","67.06427","67.69373","815923",""
"ETR","2015-05-19T00:00:00-04:00","2015-05-19","67.46893","68.58396","67.21714","68.53001","1291110",""
"ETR","2015-05-20T00:00:00-04:00","2015-05-20","68.44009","68.8897","68.14334","68.37714","1231614",""
"ETR","2015-05-21T00:00:00-04:00","2015-05-21","68.41311","68.70087","68.03544","68.44908","923683",""
"ETR","2015-05-22T00:00:00-04:00","2015-05-22","68.17032","68.59296","67.78365","68.37714","733186",""
"ETR","2015-05-26T00:00:00-04:00","2015-05-26","68.41311","68.61094","67.39698","67.87358","1421556",""
"ETR","2015-05-27T00:00:00-04:00","2015-05-27","68.0714","68.84473","67.93652","68.70986","1261195",""
"ETR","2015-05-28T00:00:00-04:00","2015-05-28","68.55698","69.07854","68.27823","68.83575","1188244",""
"ETR","2015-05-29T00:00:00-04:00","2015-05-29","68.83575","69.31234","68.60195","68.76381","1198697",""
"ETR","2015-06-01T00:00:00-04:00","2015-06-01","68.82675","69.38428","68.72784","68.86272","1255301",""
"ETR","2015-06-02T00:00:00-04:00","2015-06-02","68.26025","68.61993","67.06427","67.54086","1582138",""
"ETR","2015-06-03T00:00:00-04:00","2015-06-03","67.29807","67.63078","65.97621","66.38985","2283186",""
"ETR","2015-06-04T00:00:00-04:00","2015-06-04","66.1021","66.97435","65.99419","66.3269","1143427",""
"ETR","2015-06-05T00:00:00-04:00","2015-06-05","65.65249","65.67947","64.68132","64.85218","1373403",""
"ETR","2015-06-08T00:00:00-04:00","2015-06-08","64.96008","65.27481","64.7083","64.72629","1182906",""
"ETR","2015-06-09T00:00:00-04:00","2015-06-09","65.31078","65.31078","63.73713","63.75512","1622951",""
"ETR","2015-06-10T00:00:00-04:00","2015-06-10","64.24969","64.51047","63.52132","63.58427","3012368",""
"ETR","2015-06-11T00:00:00-04:00","2015-06-11","64.1328","64.51946","63.59326","64.22272","1939557",""
"ETR","2015-06-12T00:00:00-04:00","2015-06-12","63.98892","64.36659","63.57527","63.58427","1005865",""
"ETR","2015-06-15T00:00:00-04:00","2015-06-15","63.38644","63.84504","63.05373","63.80008","1641189",""
"ETR","2015-06-16T00:00:00-04:00","2015-06-16","63.73713","64.0159","63.34148","63.69218","870526",""
"ETR","2015-06-17T00:00:00-04:00","2015-06-17","63.63822","64.40257","63.32349","64.0159","1762071",""
"ETR","2015-06-18T00:00:00-04:00","2015-06-18","64.1328","65.06799","64.1328","64.78024","2172312",""
"ETR","2015-06-19T00:00:00-04:00","2015-06-19","64.42055","64.9511","64.25868","64.3576","1661540",""
"ETR","2015-06-22T00:00:00-04:00","2015-06-22","64.58241","64.65435","64.06985","64.29465","940475",""
"ETR","2015-06-23T00:00:00-04:00","2015-06-23","64.25868","64.36659","63.4314","63.64721","1185464",""
"ETR","2015-06-24T00:00:00-04:00","2015-06-24","63.71016","64.0069","63.39543","63.40442","1328364",""
"ETR","2015-06-25T00:00:00-04:00","2015-06-25","63.41341","63.42241","62.46023","62.46923","874196",""
"ETR","2015-06-26T00:00:00-04:00","2015-06-26","62.39729","63.51233","62.10054","63.40442","2209233",""
"ETR","2015-06-29T00:00:00-04:00","2015-06-29","63.4404","64.0159","62.80194","62.90085","1506629",""
"ETR","2015-06-30T00:00:00-04:00","2015-06-30","63.21559","64.21373","62.93682","63.39543","5064133",""
"ETR","2015-07-01T00:00:00-04:00","2015-07-01","63.53931","64.29465","63.37745","64.24969","2588782",""
"ETR","2015-07-02T00:00:00-04:00","2015-07-02","64.96008","65.34675","64.3576","64.63636","1550222",""
"ETR","2015-07-06T00:00:00-04:00","2015-07-06","64.29465","65.16691","64.27667","65.16691","1581360",""
"ETR","2015-07-07T00:00:00-04:00","2015-07-07","65.42768","66.54272","65.34675","66.19202","2987235",""
"ETR","2015-07-08T00:00:00-04:00","2015-07-08","65.93124","66.62365","65.76939","65.91326","1925989",""
"ETR","2015-07-09T00:00:00-04:00","2015-07-09","66.06613","66.29993","65.07699","65.21186","1408099",""
"ETR","2015-07-10T00:00:00-04:00","2015-07-10","65.18489","65.78738","64.84319","65.18489","1055908",""
"ETR","2015-07-13T00:00:00-04:00","2015-07-13","65.48164","65.6345","64.76225","64.96908","933358",""
"ETR","2015-07-14T00:00:00-04:00","2015-07-14","64.97807","65.5176","64.73528","65.00504","1442240",""
"ETR","2015-07-15T00:00:00-04:00","2015-07-15","65.13993","65.21186","64.51047","64.96908","1709136",""
"ETR","2015-07-16T00:00:00-04:00","2015-07-16","65.06799","66.03915","65.06799","65.61652","1649085",""
"ETR","2015-07-17T00:00:00-04:00","2015-07-17","65.7514","65.7514","65.02303","65.07699","963940",""
"ETR","2015-07-20T00:00:00-04:00","2015-07-20","65.05","65.13094","64.41155","64.99605","1006977",""
"ETR","2015-07-21T00:00:00-04:00","2015-07-21","64.9421","65.09496","63.7821","64.11481","1154993",""
"ETR","2015-07-22T00:00:00-04:00","2015-07-22","64.15078","64.56442","63.72815","63.84504","1582805",""
"ETR","2015-07-23T00:00:00-04:00","2015-07-23","63.56628","63.6562","62.18148","62.67604","1896520",""
"ETR","2015-07-24T00:00:00-04:00","2015-07-24","62.74799","62.8469","62.18148","62.23543","1024992",""
