symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"EVHC","2015-01-02T00:00:00-05:00","2015-01-02","34.86","34.86","34.06","34.57","630200",""
"EVHC","2015-01-05T00:00:00-05:00","2015-01-05","34.28","34.3","33.7","33.91","1305800",""
"EVHC","2015-01-06T00:00:00-05:00","2015-01-06","32.12","34.81","31.99","34.3","4192800",""
"EVHC","2015-01-07T00:00:00-05:00","2015-01-07","34.5","36.05","34.5","36","2949100",""
"EVHC","2015-01-08T00:00:00-05:00","2015-01-08","36.18","37.59","35.79","37.2","4100200",""
"EVHC","2015-01-09T00:00:00-05:00","2015-01-09","37.27","37.5","36.71","36.73","1531100",""
"EVHC","2015-01-12T00:00:00-05:00","2015-01-12","36.77","36.92","36.37","36.89","1405400",""
"EVHC","2015-01-13T00:00:00-05:00","2015-01-13","37.03","37.26","36.48","37.13","1246700",""
"EVHC","2015-01-14T00:00:00-05:00","2015-01-14","37.05","37.1","35.62","35.8","2002000",""
"EVHC","2015-01-15T00:00:00-05:00","2015-01-15","35.33","35.66","34.65","34.78","1298800",""
"EVHC","2015-01-16T00:00:00-05:00","2015-01-16","33.5","35.22","33.5","35.21","1443000",""
"EVHC","2015-01-20T00:00:00-05:00","2015-01-20","34.94","35.24","34.46","34.99","1159300",""
"EVHC","2015-01-21T00:00:00-05:00","2015-01-21","34.9","35.2","34.69","34.8","772100",""
"EVHC","2015-01-22T00:00:00-05:00","2015-01-22","34.95","34.95","34.53","34.9","612600",""
"EVHC","2015-01-23T00:00:00-05:00","2015-01-23","34.8","34.87","34.5","34.58","487800",""
"EVHC","2015-01-26T00:00:00-05:00","2015-01-26","34.56","35.48","34.39","35.46","924900",""
"EVHC","2015-01-27T00:00:00-05:00","2015-01-27","34.94","35.51","34.89","35.43","970000",""
"EVHC","2015-01-28T00:00:00-05:00","2015-01-28","35.66","35.76","34.68","34.78","608500",""
"EVHC","2015-01-29T00:00:00-05:00","2015-01-29","34.83","34.85","34.37","34.83","635400",""
"EVHC","2015-01-30T00:00:00-05:00","2015-01-30","34.64","34.7","34.15","34.38","743100",""
"EVHC","2015-02-02T00:00:00-05:00","2015-02-02","34.54","34.72","34","34.61","1184200",""
"EVHC","2015-02-03T00:00:00-05:00","2015-02-03","34.67","35.33","34.61","35.21","642200",""
"EVHC","2015-02-04T00:00:00-05:00","2015-02-04","35.03","35.36","34.64","34.72","1143900",""
"EVHC","2015-02-05T00:00:00-05:00","2015-02-05","34.54","36.06","34.31","35.79","827000",""
"EVHC","2015-02-06T00:00:00-05:00","2015-02-06","35.78","36","34.76","34.88","825800",""
"EVHC","2015-02-09T00:00:00-05:00","2015-02-09","34.82","34.86","34.07","34.36","1041300",""
"EVHC","2015-02-10T00:00:00-05:00","2015-02-10","34.42","34.96","34.42","34.9","936000",""
"EVHC","2015-02-11T00:00:00-05:00","2015-02-11","34.95","36.43","34.55","36.31","1404400",""
"EVHC","2015-02-12T00:00:00-05:00","2015-02-12","36.25","36.65","35.98","36.29","690700",""
"EVHC","2015-02-13T00:00:00-05:00","2015-02-13","36.26","36.32","35.89","36.2","653100",""
"EVHC","2015-02-17T00:00:00-05:00","2015-02-17","36.13","36.86","35.86","36.86","925500",""
"EVHC","2015-02-18T00:00:00-05:00","2015-02-18","37.04","37.04","36.64","36.82","697900",""
"EVHC","2015-02-19T00:00:00-05:00","2015-02-19","36.6","37.15","36.52","36.94","727800",""
"EVHC","2015-02-20T00:00:00-05:00","2015-02-20","36.84","37.22","36.64","36.98","1044800",""
"EVHC","2015-02-23T00:00:00-05:00","2015-02-23","37","37.65","37","37.42","737000",""
"EVHC","2015-02-24T00:00:00-05:00","2015-02-24","37.39","37.47","37.09","37.25","505900",""
"EVHC","2015-02-25T00:00:00-05:00","2015-02-25","37.41","37.76","37.03","37.69","986400",""
"EVHC","2015-02-26T00:00:00-05:00","2015-02-26","37.58","37.88","37.33","37.55","799000",""
"EVHC","2015-02-27T00:00:00-05:00","2015-02-27","37.64","37.79","36.17","36.62","1699500",""
"EVHC","2015-03-02T00:00:00-05:00","2015-03-02","36.75","37.23","36.15","36.32","1686600",""
"EVHC","2015-03-03T00:00:00-05:00","2015-03-03","36.32","36.45","35.99","36.2","1159700",""
"EVHC","2015-03-04T00:00:00-05:00","2015-03-04","35.82","37.59","35.67","37.51","1376900",""
"EVHC","2015-03-05T00:00:00-05:00","2015-03-05","37.65","37.86","36.78","37.01","1828200",""
"EVHC","2015-03-06T00:00:00-05:00","2015-03-06","36.43","36.59","35.75","35.82","7023700",""
"EVHC","2015-03-09T00:00:00-04:00","2015-03-09","36","36.14","35.88","36","2326700",""
"EVHC","2015-03-10T00:00:00-04:00","2015-03-10","35.71","36.09","35.5","35.91","1079300",""
"EVHC","2015-03-11T00:00:00-04:00","2015-03-11","36.16","36.56","35.91","36.52","3469500",""
"EVHC","2015-03-12T00:00:00-04:00","2015-03-12","36.52","37.18","36.41","36.96","3445400",""
"EVHC","2015-03-13T00:00:00-04:00","2015-03-13","36.9","37","36.4","36.43","3556700",""
"EVHC","2015-03-16T00:00:00-04:00","2015-03-16","36.57","37.03","36.47","36.93","1440300",""
"EVHC","2015-03-17T00:00:00-04:00","2015-03-17","37.07","37.49","37.02","37.48","2461100",""
"EVHC","2015-03-18T00:00:00-04:00","2015-03-18","37.93","38.01","37.58","37.77","3672000",""
"EVHC","2015-03-19T00:00:00-04:00","2015-03-19","37.76","38.36","37.76","38.18","3001200",""
"EVHC","2015-03-20T00:00:00-04:00","2015-03-20","38.61","38.84","38.28","38.6","4024400",""
"EVHC","2015-03-23T00:00:00-04:00","2015-03-23","38.67","39","38.59","38.69","1485900",""
"EVHC","2015-03-24T00:00:00-04:00","2015-03-24","38.79","38.85","38.53","38.66","1081900",""
"EVHC","2015-03-25T00:00:00-04:00","2015-03-25","38.51","38.85","37.91","38.01","1750700",""
"EVHC","2015-03-26T00:00:00-04:00","2015-03-26","38.12","38.12","37.47","37.85","1458900",""
"EVHC","2015-03-27T00:00:00-04:00","2015-03-27","37.86","38.36","37.83","38.26","1029400",""
"EVHC","2015-03-30T00:00:00-04:00","2015-03-30","38.58","38.76","38.27","38.59","1767900",""
"EVHC","2015-03-31T00:00:00-04:00","2015-03-31","38.53","38.71","38.32","38.35","1270400",""
"EVHC","2015-04-01T00:00:00-04:00","2015-04-01","38.35","38.5","37.83","38.32","1989100",""
"EVHC","2015-04-02T00:00:00-04:00","2015-04-02","38.38","38.81","38.18","38.73","2114000",""
