symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"EXC","2015-01-02T00:00:00-05:00","2015-01-02","33.64239","33.92169","33.44417","33.84961","5522797",""
"EXC","2015-01-05T00:00:00-05:00","2015-01-05","33.60635","33.8406","32.62429","32.88557","9768645",""
"EXC","2015-01-06T00:00:00-05:00","2015-01-06","32.99369","33.45319","32.58825","32.6333","8439639",""
"EXC","2015-01-07T00:00:00-05:00","2015-01-07","32.79548","32.93062","32.50716","32.67834","8348738",""
"EXC","2015-01-08T00:00:00-05:00","2015-01-08","32.8225","33.46219","32.67834","32.93062","5959436",""
"EXC","2015-01-09T00:00:00-05:00","2015-01-09","33.26398","33.33606","32.67834","32.87656","4717336",""
"EXC","2015-01-12T00:00:00-05:00","2015-01-12","33.12883","33.25497","32.61528","33.0027","5640337",""
"EXC","2015-01-13T00:00:00-05:00","2015-01-13","33.24596","33.54328","32.73241","32.89458","6061214",""
"EXC","2015-01-14T00:00:00-05:00","2015-01-14","32.69637","33.31804","32.65132","33.26398","6578210",""
"EXC","2015-01-15T00:00:00-05:00","2015-01-15","33.50724","33.68744","33.22794","33.57932","8349847",""
"EXC","2015-01-16T00:00:00-05:00","2015-01-16","33.51625","33.82258","33.49823","33.67843","6928387",""
"EXC","2015-01-20T00:00:00-05:00","2015-01-20","33.78654","33.85862","33.14685","33.5613","7195875",""
"EXC","2015-01-21T00:00:00-05:00","2015-01-21","33.48922","34.25505","33.23695","34.22802","6830271",""
"EXC","2015-01-22T00:00:00-05:00","2015-01-22","34.43525","34.46228","33.33606","33.5613","7496327",""
"EXC","2015-01-23T00:00:00-05:00","2015-01-23","33.66942","33.92169","33.62437","33.66942","3561699",""
"EXC","2015-01-26T00:00:00-05:00","2015-01-26","33.57031","33.71447","33.29101","33.64239","4707347",""
"EXC","2015-01-27T00:00:00-05:00","2015-01-27","33.67843","33.96674","33.55229","33.70546","4207444",""
"EXC","2015-01-28T00:00:00-05:00","2015-01-28","33.6514","34.02981","33.30903","33.33606","4318657",""
"EXC","2015-01-29T00:00:00-05:00","2015-01-29","33.33606","33.5613","32.9126","33.36309","4813343",""
"EXC","2015-01-30T00:00:00-05:00","2015-01-30","33.08379","33.33606","32.44409","32.47112","7375347",""
"EXC","2015-02-02T00:00:00-05:00","2015-02-02","32.43508","32.81349","32.1738","32.48013","7938848",""
"EXC","2015-02-03T00:00:00-05:00","2015-02-03","32.52518","33.32705","32.39003","33.27299","9466971",""
"EXC","2015-02-04T00:00:00-05:00","2015-02-04","33.13784","33.15586","32.47112","32.60627","6811624",""
"EXC","2015-02-05T00:00:00-05:00","2015-02-05","32.73241","33.26398","32.48013","32.97567","6184747",""
"EXC","2015-02-06T00:00:00-05:00","2015-02-06","32.75943","32.83151","31.27283","31.53411","10264663",""
