symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FAST","2015-01-02T00:00:00-05:00","2015-01-02","43.98808","44.43854","43.27104","43.57441","1463518",""
"FAST","2015-01-05T00:00:00-05:00","2015-01-05","43.34458","43.4457","42.65511","42.82059","2081821",""
"FAST","2015-01-06T00:00:00-05:00","2015-01-06","42.91251","42.9309","41.55196","42.09435","1946499",""
"FAST","2015-01-07T00:00:00-05:00","2015-01-07","42.04838","42.29659","41.48761","41.81856","2335386",""
"FAST","2015-01-08T00:00:00-05:00","2015-01-08","42.25062","42.78381","42.12192","42.76543","1731660",""
"FAST","2015-01-09T00:00:00-05:00","2015-01-09","42.71946","42.82059","42.25062","42.2782","2268160",""
"FAST","2015-01-12T00:00:00-05:00","2015-01-12","42.18627","42.51722","41.67147","41.97483","1548366",""
"FAST","2015-01-13T00:00:00-05:00","2015-01-13","42.2782","43.23426","41.65308","42.17708","3165264",""
"FAST","2015-01-14T00:00:00-05:00","2015-01-14","41.87371","42.06676","40.79815","41.30375","4717221",""
"FAST","2015-01-15T00:00:00-05:00","2015-01-15","41.43245","42.34255","40.31092","40.43962","5382951",""
"FAST","2015-01-16T00:00:00-05:00","2015-01-16","40.39365","41.64389","40.19141","41.59793","3555021",""
"FAST","2015-01-20T00:00:00-05:00","2015-01-20","41.66228","41.99322","41.31295","41.73582","2358665",""
"FAST","2015-01-21T00:00:00-05:00","2015-01-21","41.55196","42.32417","41.39568","42.16788","1757658",""
"FAST","2015-01-22T00:00:00-05:00","2015-01-22","42.42529","42.90332","41.91048","42.70108","1722087",""
"FAST","2015-01-23T00:00:00-05:00","2015-01-23","42.74704","43.01364","42.48045","42.55399","1582849",""
"FAST","2015-01-26T00:00:00-05:00","2015-01-26","42.51722","42.793","42.29659","42.37932","1391289",""
"FAST","2015-01-27T00:00:00-05:00","2015-01-27","41.80017","41.80017","41.07393","41.73582","1827059",""
"FAST","2015-01-28T00:00:00-05:00","2015-01-28","41.88382","42.07807","41.31957","41.37507","1947143",""
"FAST","2015-01-29T00:00:00-05:00","2015-01-29","41.19932","41.74507","40.89407","41.61557","2438064",""
"FAST","2015-01-30T00:00:00-05:00","2015-01-30","41.28257","41.73582","40.94957","41.06982","2747363",""
"FAST","2015-02-02T00:00:00-05:00","2015-02-02","41.09757","41.76357","40.67208","41.59707","2933310",""
"FAST","2015-02-03T00:00:00-05:00","2015-02-03","42.00407","42.37407","41.83757","42.34632","2011251",""
"FAST","2015-02-04T00:00:00-05:00","2015-02-04","41.29182","41.30107","38.88683","39.05333","9837556",""
"FAST","2015-02-05T00:00:00-05:00","2015-02-05","38.96083","39.19208","38.52608","38.90533","5178400",""
"FAST","2015-02-06T00:00:00-05:00","2015-02-06","39.06258","39.46958","38.71108","39.15508","4524992",""
"FAST","2015-02-09T00:00:00-05:00","2015-02-09","39.11808","39.60833","38.97933","39.09033","2684227",""
"FAST","2015-02-10T00:00:00-05:00","2015-02-10","39.42333","39.42333","38.62783","39.32158","2838390",""
"FAST","2015-02-11T00:00:00-05:00","2015-02-11","39.22908","39.42333","38.93308","39.02558","2850066",""
"FAST","2015-02-12T00:00:00-05:00","2015-02-12","38.97933","39.16433","37.90634","39.07183","6046296",""
"FAST","2015-02-13T00:00:00-05:00","2015-02-13","39.29383","40.05233","39.07183","39.31233","4718074",""
"FAST","2015-02-17T00:00:00-05:00","2015-02-17","39.34008","39.63608","39.16433","39.41408","3043364",""
