symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FB","2015-01-02T00:00:00-05:00","2015-01-02","78.58","78.93","77.7","78.45","18177400",""
"FB","2015-01-05T00:00:00-05:00","2015-01-05","77.98","79.25","76.86","77.19","26452100",""
"FB","2015-01-06T00:00:00-05:00","2015-01-06","77.23","77.59","75.36","76.15","27399200",""
"FB","2015-01-07T00:00:00-05:00","2015-01-07","76.76","77.36","75.82","76.15","22045300",""
"FB","2015-01-08T00:00:00-05:00","2015-01-08","76.74","78.23","76.08","78.18","23960900",""
"FB","2015-01-09T00:00:00-05:00","2015-01-09","78.2","78.62","77.2","77.74","21157000",""
"FB","2015-01-12T00:00:00-05:00","2015-01-12","77.84","78","76.21","76.72","19190100",""
"FB","2015-01-13T00:00:00-05:00","2015-01-13","77.23","78.08","75.85","76.45","25179500",""
"FB","2015-01-14T00:00:00-05:00","2015-01-14","76.42","77.2","76.03","76.28","25918500",""
"FB","2015-01-15T00:00:00-05:00","2015-01-15","76.4","76.57","73.54","74.05","34133900",""
"FB","2015-01-16T00:00:00-05:00","2015-01-16","74.04","75.32","73.84","75.18","21791500",""
"FB","2015-01-20T00:00:00-05:00","2015-01-20","75.72","76.31","74.82","76.24","22821600",""
"FB","2015-01-21T00:00:00-05:00","2015-01-21","76.16","77.3","75.85","76.74","25096700",""
"FB","2015-01-22T00:00:00-05:00","2015-01-22","77.17","77.75","76.68","77.65","19519400",""
"FB","2015-01-23T00:00:00-05:00","2015-01-23","77.65","78.19","77.04","77.83","16746500",""
"FB","2015-01-26T00:00:00-05:00","2015-01-26","77.98","78.47","77.29","77.5","19260800",""
"FB","2015-01-27T00:00:00-05:00","2015-01-27","76.71","76.88","75.63","75.78","20109900",""
"FB","2015-01-28T00:00:00-05:00","2015-01-28","76.9","77.64","76","76.24","53306400",""
"FB","2015-01-29T00:00:00-05:00","2015-01-29","76.85","78.02","74.21","78","61293400",""
"FB","2015-01-30T00:00:00-05:00","2015-01-30","78","78.16","75.75","75.91","42649400",""
"FB","2015-02-02T00:00:00-05:00","2015-02-02","76.11","76.14","73.75","74.99","41955200",""
"FB","2015-02-03T00:00:00-05:00","2015-02-03","75.16","75.58","73.86","75.4","26957700",""
"FB","2015-02-04T00:00:00-05:00","2015-02-04","75.09","76.35","75.01","75.63","20277300",""
"FB","2015-02-05T00:00:00-05:00","2015-02-05","75.71","75.98","75.21","75.61","15062500",""
"FB","2015-02-06T00:00:00-05:00","2015-02-06","75.68","75.7","74.25","74.47","21210900",""
"FB","2015-02-09T00:00:00-05:00","2015-02-09","74.05","74.83","73.45","74.44","16194300",""
"FB","2015-02-10T00:00:00-05:00","2015-02-10","74.85","75.34","74.5","75.19","15811300",""
"FB","2015-02-11T00:00:00-05:00","2015-02-11","75.09","76.75","75.03","76.51","20877400",""
"FB","2015-02-12T00:00:00-05:00","2015-02-12","76.84","76.87","75.89","76.23","17234900",""
"FB","2015-02-13T00:00:00-05:00","2015-02-13","76.46","76.48","75.5","75.74","18621800",""
"FB","2015-02-17T00:00:00-05:00","2015-02-17","75.3","76.91","75.08","75.6","25254400",""
"FB","2015-02-18T00:00:00-05:00","2015-02-18","75.94","76.9","75.45","76.71","22426400",""
"FB","2015-02-19T00:00:00-05:00","2015-02-19","76.99","79.84","76.95","79.42","45851100",""
"FB","2015-02-20T00:00:00-05:00","2015-02-20","79.55","80.34","79.2","79.89","36931700",""
"FB","2015-02-23T00:00:00-05:00","2015-02-23","79.96","80.19","78.38","78.84","24139000",""
"FB","2015-02-24T00:00:00-05:00","2015-02-24","78.5","79.48","78.1","78.45","18897100",""
"FB","2015-02-25T00:00:00-05:00","2015-02-25","78.5","80.2","78.5","79.56","25593700",""
"FB","2015-02-26T00:00:00-05:00","2015-02-26","79.98","81.37","79.72","80.41","31111800",""
"FB","2015-02-27T00:00:00-05:00","2015-02-27","80.68","81.23","78.62","78.97","30739100",""
"FB","2015-03-02T00:00:00-05:00","2015-03-02","79","79.86","78.52","79.75","21662500",""
"FB","2015-03-03T00:00:00-05:00","2015-03-03","79.61","79.7","78.52","79.6","18634900",""
"FB","2015-03-04T00:00:00-05:00","2015-03-04","79.3","81.15","78.85","80.89","28126600",""
"FB","2015-03-05T00:00:00-05:00","2015-03-05","81.23","81.99","81.05","81.21","27825700",""
"FB","2015-03-06T00:00:00-05:00","2015-03-06","80.9","81.33","79.83","80","24488500",""
"FB","2015-03-09T00:00:00-04:00","2015-03-09","79.68","79.91","78.63","79.44","18925000",""
"FB","2015-03-10T00:00:00-04:00","2015-03-10","78.5","79.26","77.55","77.55","23067000",""
"FB","2015-03-11T00:00:00-04:00","2015-03-11","77.8","78.43","77.26","77.57","20215700",""
"FB","2015-03-12T00:00:00-04:00","2015-03-12","78.1","79.05","77.91","78.93","16093300",""
