symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FBHS","2015-01-02T00:00:00-05:00","2015-01-02","44.2534","44.51503","42.829","43.4007","771944",""
"FBHS","2015-01-05T00:00:00-05:00","2015-01-05","43.08094","43.3038","42.53831","42.81931","849241",""
"FBHS","2015-01-06T00:00:00-05:00","2015-01-06","43.01311","43.14877","41.42398","41.85033","1380624",""
"FBHS","2015-01-07T00:00:00-05:00","2015-01-07","42.14103","42.65458","41.88909","42.4511","910956",""
"FBHS","2015-01-08T00:00:00-05:00","2015-01-08","42.88714","43.84643","42.66427","43.82705","1108895",""
"FBHS","2015-01-09T00:00:00-05:00","2015-01-09","43.94333","44.93169","43.74953","44.35999","1346877",""
"FBHS","2015-01-12T00:00:00-05:00","2015-01-12","44.34061","44.70882","43.95302","44.41813","1394659",""
"FBHS","2015-01-13T00:00:00-05:00","2015-01-13","44.97045","46.04602","43.32318","44.12744","2992832",""
"FBHS","2015-01-14T00:00:00-05:00","2015-01-14","43.73984","44.71852","43.73984","44.24371","1438004",""
"FBHS","2015-01-15T00:00:00-05:00","2015-01-15","44.56348","44.65069","42.28637","42.33482","1031288",""
"FBHS","2015-01-16T00:00:00-05:00","2015-01-16","42.19916","43.57512","41.67591","43.51698","939130",""
"FBHS","2015-01-20T00:00:00-05:00","2015-01-20","43.64295","43.82705","42.29606","42.85807","702386",""
"FBHS","2015-01-21T00:00:00-05:00","2015-01-21","42.80962","43.68171","42.61583","42.96466","1143881",""
"FBHS","2015-01-22T00:00:00-05:00","2015-01-22","43.21659","43.65263","42.51893","43.44915","1060184",""
"FBHS","2015-01-23T00:00:00-05:00","2015-01-23","43.38132","43.78829","43.0228","43.45884","455220",""
"FBHS","2015-01-26T00:00:00-05:00","2015-01-26","43.45884","44.38906","43.36194","44.04023","881131",""
"FBHS","2015-01-27T00:00:00-05:00","2015-01-27","43.45884","44.03054","43.13908","43.93364","705482",""
"FBHS","2015-01-28T00:00:00-05:00","2015-01-28","44.34061","44.67976","43.65263","43.79799","953784",""
"FBHS","2015-01-29T00:00:00-05:00","2015-01-29","43.70108","44.41813","43.46853","43.9724","1181652",""
"FBHS","2015-01-30T00:00:00-05:00","2015-01-30","43.63326","44.10806","43.31349","43.4007","1401677",""
"FBHS","2015-02-02T00:00:00-05:00","2015-02-02","43.65263","44.51503","43.0228","44.45689","1632538",""
"FBHS","2015-02-03T00:00:00-05:00","2015-02-03","44.79603","45.90067","44.47627","45.67781","2144002",""
"FBHS","2015-02-04T00:00:00-05:00","2015-02-04","45.27084","46.45299","44.8251","45.76501","2667954",""
"FBHS","2015-02-05T00:00:00-05:00","2015-02-05","43.60419","44.29216","41.73405","42.56738","6166369",""
"FBHS","2015-02-06T00:00:00-05:00","2015-02-06","42.27668","42.64489","41.77281","41.95692","2436371",""
"FBHS","2015-02-09T00:00:00-05:00","2015-02-09","41.92785","42.37358","41.64684","41.70498","2162372",""
"FBHS","2015-02-10T00:00:00-05:00","2015-02-10","41.93754","43.22628","41.47243","42.9259","2483121",""
"FBHS","2015-02-11T00:00:00-05:00","2015-02-11","42.91621","43.12938","42.4511","43.09063","1826040",""
"FBHS","2015-02-12T00:00:00-05:00","2015-02-12","43.07125","44.18557","43.00342","44.14682","2494989",""
"FBHS","2015-02-13T00:00:00-05:00","2015-02-13","44.2631","45.35804","44.10806","45.13518","3185714",""
