symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FCX","2015-01-02T00:00:00-05:00","2015-01-02","22.66263","23.02173","22.59469","22.85674","9614222",""
"FCX","2015-01-05T00:00:00-05:00","2015-01-05","22.39087","22.39087","21.30384","21.49795","24508374",""
"FCX","2015-01-06T00:00:00-05:00","2015-01-06","21.54648","22.11911","21.45913","21.86677","16234612",""
"FCX","2015-01-07T00:00:00-05:00","2015-01-07","22.12882","22.22587","21.73089","22.18705","12106077",""
"FCX","2015-01-08T00:00:00-05:00","2015-01-08","22.37146","22.80821","22.14823","22.68204","11291497",""
"FCX","2015-01-09T00:00:00-05:00","2015-01-09","22.82762","22.91497","22.40057","22.75968","10204601",""
"FCX","2015-01-12T00:00:00-05:00","2015-01-12","22.37146","22.48792","21.78912","22.39087","15920876",""
"FCX","2015-01-13T00:00:00-05:00","2015-01-13","22.21623","22.3343","20.61249","20.70104","30564504",""
"FCX","2015-01-14T00:00:00-05:00","2015-01-14","18.94972","19.04811","17.56243","18.43809","61259000",""
"FCX","2015-01-15T00:00:00-05:00","2015-01-15","18.77262","18.98907","18.02486","18.0347","25766506",""
"FCX","2015-01-16T00:00:00-05:00","2015-01-16","18.32986","19.01859","18.27083","18.93004","25872412",""
"FCX","2015-01-20T00:00:00-05:00","2015-01-20","18.93004","19.03827","18.55616","18.95955","17169404",""
"FCX","2015-01-21T00:00:00-05:00","2015-01-21","18.80213","19.73683","18.78246","19.53021","21704568",""
"FCX","2015-01-22T00:00:00-05:00","2015-01-22","20.15006","20.22877","19.42198","19.69747","19351152",""
"FCX","2015-01-23T00:00:00-05:00","2015-01-23","19.44166","19.54005","18.88084","18.93004","23539732",""
"FCX","2015-01-26T00:00:00-05:00","2015-01-26","18.84149","19.29408","18.65455","19.24488","16554803",""
"FCX","2015-01-27T00:00:00-05:00","2015-01-27","17.88712","18.55616","17.71985","18.08389","34398876",""
"FCX","2015-01-28T00:00:00-05:00","2015-01-28","17.9855","18.02486","17.11968","17.13936","27853122",""
"FCX","2015-01-29T00:00:00-05:00","2015-01-29","17.13936","17.13936","16.16531","16.55886","33808972",""
"FCX","2015-01-30T00:00:00-05:00","2015-01-30","16.47031","16.98194","16.34241","16.53918","27722620",""
"FCX","2015-02-02T00:00:00-05:00","2015-02-02","16.70645","17.21807","16.53918","17.16888","21565324",""
"FCX","2015-02-03T00:00:00-05:00","2015-02-03","18.00518","18.94972","17.84776","18.67423","33684264",""
