symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FE","2015-01-02T00:00:00-05:00","2015-01-02","34.6614","34.82096","34.25362","34.75005","2657136",""
"FE","2015-01-05T00:00:00-05:00","2015-01-05","34.57275","34.6348","33.69513","33.81924","3458507",""
"FE","2015-01-06T00:00:00-05:00","2015-01-06","33.96994","34.35999","33.80151","33.99654","4149215",""
"FE","2015-01-07T00:00:00-05:00","2015-01-07","34.05859","34.52843","33.8547","34.28021","2678456",""
"FE","2015-01-08T00:00:00-05:00","2015-01-08","34.41319","34.72345","34.30681","34.59048","2385048",""
"FE","2015-01-09T00:00:00-05:00","2015-01-09","34.64367","34.73232","34.16497","34.54616","3593760",""
"FE","2015-01-12T00:00:00-05:00","2015-01-12","34.53729","34.73232","33.8813","34.09405","3469900",""
"FE","2015-01-13T00:00:00-05:00","2015-01-13","33.68627","34.74118","33.62422","34.24475","4207085",""
"FE","2015-01-14T00:00:00-05:00","2015-01-14","34.16497","35.11351","34.00541","35.06031","4989843",""
"FE","2015-01-15T00:00:00-05:00","2015-01-15","35.22875","35.69858","35.08691","35.39718","6050554",""
"FE","2015-01-16T00:00:00-05:00","2015-01-16","35.43264","36.34571","35.2908","36.27479","4270820",""
"FE","2015-01-20T00:00:00-05:00","2015-01-20","36.32798","36.34571","35.83155","36.31025","3002885",""
"FE","2015-01-21T00:00:00-05:00","2015-01-21","36.18615","36.77122","35.95566","36.61166","2932156",""
"FE","2015-01-22T00:00:00-05:00","2015-01-22","36.75349","36.94852","35.99112","36.23934","2786185",""
"FE","2015-01-23T00:00:00-05:00","2015-01-23","36.33685","36.82441","36.21274","36.5496","2066711",""
"FE","2015-01-26T00:00:00-05:00","2015-01-26","36.45209","36.73576","36.26593","36.65598","1947250",""
"FE","2015-01-27T00:00:00-05:00","2015-01-27","36.57619","36.86874","36.44323","36.46096","1974323",""
"FE","2015-01-28T00:00:00-05:00","2015-01-28","36.50528","36.83328","36.02658","36.11523","2964531",""
"FE","2015-01-29T00:00:00-05:00","2015-01-29","36.12409","36.85101","35.90247","36.67371","3600867",""
"FE","2015-01-30T00:00:00-05:00","2015-01-30","36.46096","36.60279","35.72518","35.75177","3547059",""
"FE","2015-02-02T00:00:00-05:00","2015-02-02","35.7961","36.02658","35.36172","35.7695","3323929",""
"FE","2015-02-03T00:00:00-05:00","2015-02-03","35.68085","35.93793","35.39718","35.84928","3043382",""
"FE","2015-02-04T00:00:00-05:00","2015-02-04","35.7509","36.16234","35.58095","35.92084","5348020",""
"FE","2015-02-05T00:00:00-05:00","2015-02-05","36.0729","36.87789","35.80456","36.69901","4288925",""
"FE","2015-02-06T00:00:00-05:00","2015-02-06","36.50223","36.59167","34.65968","34.82962","5160752",""
