symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FISV","2015-01-02T00:00:00-05:00","2015-01-02","71.47","71.99","70.36","70.62","1023800",""
"FISV","2015-01-05T00:00:00-05:00","2015-01-05","70.36","70.69","69.56","69.82","1045300",""
"FISV","2015-01-06T00:00:00-05:00","2015-01-06","70.11","70.51","69.13","69.89","2873000",""
"FISV","2015-01-07T00:00:00-05:00","2015-01-07","70.28","70.86","69.74","70.84","1118500",""
"FISV","2015-01-08T00:00:00-05:00","2015-01-08","71.54","72.52","71.5","72.28","1566500",""
"FISV","2015-01-09T00:00:00-05:00","2015-01-09","72.33","72.71","71.75","72.07","1376000",""
"FISV","2015-01-12T00:00:00-05:00","2015-01-12","72.28","72.44","71.68","71.97","1202500",""
"FISV","2015-01-13T00:00:00-05:00","2015-01-13","72.5","73.73","71.74","72.22","975900",""
"FISV","2015-01-14T00:00:00-05:00","2015-01-14","71.43","71.93","71.17","71.79","832100",""
"FISV","2015-01-15T00:00:00-05:00","2015-01-15","71.87","72.23","71.38","71.72","877500",""
"FISV","2015-01-16T00:00:00-05:00","2015-01-16","71.83","73.14","71.53","73.04","1097600",""
"FISV","2015-01-20T00:00:00-05:00","2015-01-20","73.45","73.6","72.17","73.15","1174500",""
"FISV","2015-01-21T00:00:00-05:00","2015-01-21","72.51","73.07","71.99","72.42","1150100",""
"FISV","2015-01-22T00:00:00-05:00","2015-01-22","72.82","73.72","71.9","73.63","808900",""
"FISV","2015-01-23T00:00:00-05:00","2015-01-23","73.79","74.36","73.29","74.06","678500",""
"FISV","2015-01-26T00:00:00-05:00","2015-01-26","74","74.61","73.62","74.31","804800",""
"FISV","2015-01-27T00:00:00-05:00","2015-01-27","73.22","73.89","72.7","73.24","770400",""
"FISV","2015-01-28T00:00:00-05:00","2015-01-28","73.43","74.08","72.79","72.84","1085200",""
"FISV","2015-01-29T00:00:00-05:00","2015-01-29","72.67","73.91","72.61","73.87","1050200",""
"FISV","2015-01-30T00:00:00-05:00","2015-01-30","73.1","73.65","72.45","72.53","1534700",""
"FISV","2015-02-02T00:00:00-05:00","2015-02-02","73.11","73.52","71.78","73.44","1110800",""
"FISV","2015-02-03T00:00:00-05:00","2015-02-03","73.86","74.56","73.37","74.49","1476600",""
"FISV","2015-02-04T00:00:00-05:00","2015-02-04","74.05","76.29","73.71","75.79","2178100",""
"FISV","2015-02-05T00:00:00-05:00","2015-02-05","75.98","77.13","75.64","77.12","1665000",""
"FISV","2015-02-06T00:00:00-05:00","2015-02-06","77.12","77.8","76.71","76.98","1446700",""
"FISV","2015-02-09T00:00:00-05:00","2015-02-09","76.66","76.99","76.15","76.47","971200",""
"FISV","2015-02-10T00:00:00-05:00","2015-02-10","76.72","77.65","76.5","77.5","985300",""
"FISV","2015-02-11T00:00:00-05:00","2015-02-11","77.47","77.91","77.26","77.69","1270800",""
"FISV","2015-02-12T00:00:00-05:00","2015-02-12","78.01","78.47","77.82","78.45","936600",""
"FISV","2015-02-13T00:00:00-05:00","2015-02-13","78.49","78.73","78.2","78.7","1199500",""
"FISV","2015-02-17T00:00:00-05:00","2015-02-17","78.59","79.04","78.28","78.74","953400",""
"FISV","2015-02-18T00:00:00-05:00","2015-02-18","78.41","79.09","78.31","79.05","925900",""
"FISV","2015-02-19T00:00:00-05:00","2015-02-19","79.09","79.39","78.85","79.05","969200",""
"FISV","2015-02-20T00:00:00-05:00","2015-02-20","78.38","79.55","78.31","79.05","2553400",""
"FISV","2015-02-23T00:00:00-05:00","2015-02-23","78.18","78.95","78.17","78.81","1016300",""
"FISV","2015-02-24T00:00:00-05:00","2015-02-24","78.59","79.16","78.59","79.04","1313000",""
"FISV","2015-02-25T00:00:00-05:00","2015-02-25","78.92","79.49","78.64","78.9","1099500",""
"FISV","2015-02-26T00:00:00-05:00","2015-02-26","79.07","79.25","78.42","78.64","882000",""
"FISV","2015-02-27T00:00:00-05:00","2015-02-27","78.63","78.72","77.99","78.07","1171200",""
"FISV","2015-03-02T00:00:00-05:00","2015-03-02","78.32","79.05","77.99","78.87","1262100",""
"FISV","2015-03-03T00:00:00-05:00","2015-03-03","78.59","78.69","78.2","78.5","1451700",""
"FISV","2015-03-04T00:00:00-05:00","2015-03-04","78.37","78.55","77.7","77.98","834600",""
"FISV","2015-03-05T00:00:00-05:00","2015-03-05","78.31","78.31","77.72","77.96","729700",""
"FISV","2015-03-06T00:00:00-05:00","2015-03-06","77.67","78.23","76.34","77.53","906400",""
"FISV","2015-03-09T00:00:00-04:00","2015-03-09","77.43","78.24","77.2","78.14","1028700",""
"FISV","2015-03-10T00:00:00-04:00","2015-03-10","77.27","77.63","76.7","76.73","1139000",""
"FISV","2015-03-11T00:00:00-04:00","2015-03-11","76.82","77.27","76.69","76.95","980400",""
"FISV","2015-03-12T00:00:00-04:00","2015-03-12","77.88","78.33","77.17","78.24","877900",""
"FISV","2015-03-13T00:00:00-04:00","2015-03-13","77.98","78.23","76.93","77.39","1161300",""
"FISV","2015-03-16T00:00:00-04:00","2015-03-16","78.17","78.75","77.9","78.67","1160900",""
"FISV","2015-03-17T00:00:00-04:00","2015-03-17","78.32","78.76","78.32","78.57","967200",""
"FISV","2015-03-18T00:00:00-04:00","2015-03-18","78.28","80.17","78.14","79.84","1021300",""
"FISV","2015-03-19T00:00:00-04:00","2015-03-19","79.97","80.23","79.65","80.18","945300",""
"FISV","2015-03-20T00:00:00-04:00","2015-03-20","80.72","80.97","80.26","80.29","2485200",""
"FISV","2015-03-23T00:00:00-04:00","2015-03-23","80.64","80.68","80.2","80.24","707700",""
"FISV","2015-03-24T00:00:00-04:00","2015-03-24","79.93","80.07","79.58","79.6","755300",""
"FISV","2015-03-25T00:00:00-04:00","2015-03-25","79.64","79.64","77.83","77.83","839000",""
"FISV","2015-03-26T00:00:00-04:00","2015-03-26","77.41","78.66","77.3","78.43","811900",""
"FISV","2015-03-27T00:00:00-04:00","2015-03-27","78.26","78.63","77.99","78.4","732400",""
"FISV","2015-03-30T00:00:00-04:00","2015-03-30","78.86","79.86","78.8","79.73","602600",""
"FISV","2015-03-31T00:00:00-04:00","2015-03-31","78.98","79.9","78.89","79.4","1005300",""
"FISV","2015-04-01T00:00:00-04:00","2015-04-01","79.37","79.58","78.47","79.58","981500",""
"FISV","2015-04-02T00:00:00-04:00","2015-04-02","79.32","80.08","79.17","79.63","957400",""
"FISV","2015-04-06T00:00:00-04:00","2015-04-06","78.99","80.21","78.83","79.83","775300",""
"FISV","2015-04-07T00:00:00-04:00","2015-04-07","79.73","80.06","79.32","79.32","591700",""
"FISV","2015-04-08T00:00:00-04:00","2015-04-08","79.41","80.44","79.36","80.3","846500",""
"FISV","2015-04-09T00:00:00-04:00","2015-04-09","80.19","80.27","79.11","80.01","612500",""
"FISV","2015-04-10T00:00:00-04:00","2015-04-10","79.92","79.92","78.45","79.06","1446200",""
"FISV","2015-04-13T00:00:00-04:00","2015-04-13","78.99","79.83","78.76","78.95","849000",""
"FISV","2015-04-14T00:00:00-04:00","2015-04-14","78.5","79.18","78.34","78.61","687700",""
"FISV","2015-04-15T00:00:00-04:00","2015-04-15","78.62","79.26","78.6","78.88","608500",""
"FISV","2015-04-16T00:00:00-04:00","2015-04-16","78.62","78.89","78.37","78.65","713500",""
"FISV","2015-04-17T00:00:00-04:00","2015-04-17","77.98","78.21","76.92","77.43","981200",""
"FISV","2015-04-20T00:00:00-04:00","2015-04-20","77.78","78.4","77.64","78.16","709000",""
"FISV","2015-04-21T00:00:00-04:00","2015-04-21","78.64","79","78.04","78.54","834100",""
"FISV","2015-04-22T00:00:00-04:00","2015-04-22","78.72","79.11","78.18","78.93","561200",""
"FISV","2015-04-23T00:00:00-04:00","2015-04-23","78.6","79.91","78.6","79.75","723000",""
"FISV","2015-04-24T00:00:00-04:00","2015-04-24","80.03","80.03","78.78","79.27","737000",""
"FISV","2015-04-27T00:00:00-04:00","2015-04-27","79.51","79.67","78.9","79.11","935400",""
"FISV","2015-04-28T00:00:00-04:00","2015-04-28","78.71","79.57","78.57","79.52","957800",""
"FISV","2015-04-29T00:00:00-04:00","2015-04-29","79.03","79.5","78.62","78.82","862100",""
"FISV","2015-04-30T00:00:00-04:00","2015-04-30","78.36","78.82","77.36","77.6","1245700",""
"FISV","2015-05-01T00:00:00-04:00","2015-05-01","78.07","78.8","77.83","78.66","1292300",""
"FISV","2015-05-04T00:00:00-04:00","2015-05-04","78.66","79.08","78.5","78.62","1136400",""
"FISV","2015-05-05T00:00:00-04:00","2015-05-05","78.21","78.94","77.1","77.48","1256400",""
"FISV","2015-05-06T00:00:00-04:00","2015-05-06","78.49","80.79","77.07","78.89","2691000",""
"FISV","2015-05-07T00:00:00-04:00","2015-05-07","78.61","79.49","78.52","79.2","1120200",""
"FISV","2015-05-08T00:00:00-04:00","2015-05-08","79.79","80.6","79.56","80.14","781000",""
"FISV","2015-05-11T00:00:00-04:00","2015-05-11","80","80.9","79.84","80.21","1221400",""
"FISV","2015-05-12T00:00:00-04:00","2015-05-12","79.99","80.33","79.12","79.98","934100",""
"FISV","2015-05-13T00:00:00-04:00","2015-05-13","80.22","81","79.91","80.19","763000",""
"FISV","2015-05-14T00:00:00-04:00","2015-05-14","80.81","81","80.36","80.88","1098900",""
"FISV","2015-05-15T00:00:00-04:00","2015-05-15","81.23","81.55","80.65","80.98","937200",""
"FISV","2015-05-18T00:00:00-04:00","2015-05-18","80.81","81.66","80.81","81.46","993000",""
"FISV","2015-05-19T00:00:00-04:00","2015-05-19","81.43","81.55","80.87","81.01","868200",""
"FISV","2015-05-20T00:00:00-04:00","2015-05-20","80.87","81.58","80.71","81.11","793700",""
"FISV","2015-05-21T00:00:00-04:00","2015-05-21","80.86","81.2","80.67","80.9","634900",""
"FISV","2015-05-22T00:00:00-04:00","2015-05-22","80.63","81.04","80.57","80.57","559000",""
"FISV","2015-05-26T00:00:00-04:00","2015-05-26","80.5","80.5","79.39","79.76","700600",""
"FISV","2015-05-27T00:00:00-04:00","2015-05-27","79.98","80.94","79.55","80.78","697300",""
"FISV","2015-05-28T00:00:00-04:00","2015-05-28","80.59","80.97","80.25","80.79","515700",""
"FISV","2015-05-29T00:00:00-04:00","2015-05-29","80.67","80.67","79.94","80.15","1292300",""
"FISV","2015-06-01T00:00:00-04:00","2015-06-01","80.6","80.91","79.56","80.56","630300",""
"FISV","2015-06-02T00:00:00-04:00","2015-06-02","79.97","80.63","79.69","80.47","977100",""
"FISV","2015-06-03T00:00:00-04:00","2015-06-03","80.87","81.49","80.39","81.38","880300",""
"FISV","2015-06-04T00:00:00-04:00","2015-06-04","81.14","81.32","80.08","80.2","933200",""
"FISV","2015-06-05T00:00:00-04:00","2015-06-05","80.03","80.42","79.56","80.22","680400",""
"FISV","2015-06-08T00:00:00-04:00","2015-06-08","80.2","80.48","79.59","79.59","578500",""
"FISV","2015-06-09T00:00:00-04:00","2015-06-09","79.61","79.98","79.17","79.24","770900",""
"FISV","2015-06-10T00:00:00-04:00","2015-06-10","79.48","80.74","79.27","80.42","1170100",""
"FISV","2015-06-11T00:00:00-04:00","2015-06-11","80.37","81.3","80.33","80.98","805200",""
"FISV","2015-06-12T00:00:00-04:00","2015-06-12","80.49","80.88","80.2","80.32","496700",""
"FISV","2015-06-15T00:00:00-04:00","2015-06-15","79.54","80","79.02","79.56","808500",""
"FISV","2015-06-16T00:00:00-04:00","2015-06-16","79.39","80.78","79.39","80.63","940600",""
"FISV","2015-06-17T00:00:00-04:00","2015-06-17","80.79","81.3","80.48","80.93","1305300",""
"FISV","2015-06-18T00:00:00-04:00","2015-06-18","81.32","82.7","81.27","82.69","2218300",""
"FISV","2015-06-19T00:00:00-04:00","2015-06-19","85.44","85.49","84.09","85.27","5053500",""
"FISV","2015-06-22T00:00:00-04:00","2015-06-22","85.58","86.38","85.29","86.04","1760800",""
"FISV","2015-06-23T00:00:00-04:00","2015-06-23","86.38","86.39","85.36","85.7","1353900",""
"FISV","2015-06-24T00:00:00-04:00","2015-06-24","85.71","86.13","84.99","85","1393800",""
"FISV","2015-06-25T00:00:00-04:00","2015-06-25","85.14","85.42","84.72","84.88","996500",""
"FISV","2015-06-26T00:00:00-04:00","2015-06-26","84.77","85.19","84.48","85.01","1608200",""
"FISV","2015-06-29T00:00:00-04:00","2015-06-29","84.48","84.48","82.65","82.83","1426700",""
"FISV","2015-06-30T00:00:00-04:00","2015-06-30","83.72","83.72","82.6","82.83","1198300",""
"FISV","2015-07-01T00:00:00-04:00","2015-07-01","83.46","84.29","83.2","84.11","1071800",""
"FISV","2015-07-02T00:00:00-04:00","2015-07-02","84.11","84.46","83.34","83.85","945700",""
"FISV","2015-07-06T00:00:00-04:00","2015-07-06","83.32","84.38","83.24","84.31","898700",""
"FISV","2015-07-07T00:00:00-04:00","2015-07-07","84.38","84.96","83.16","84.96","1609300",""
"FISV","2015-07-08T00:00:00-04:00","2015-07-08","84.53","84.93","83.3","83.41","885800",""
"FISV","2015-07-09T00:00:00-04:00","2015-07-09","84.42","84.95","83.99","84.44","974900",""
"FISV","2015-07-10T00:00:00-04:00","2015-07-10","85.41","86.5","85.24","86.35","1201100",""
"FISV","2015-07-13T00:00:00-04:00","2015-07-13","86.85","87.3","86.39","87.09","1164000",""
"FISV","2015-07-14T00:00:00-04:00","2015-07-14","87.29","87.54","86.86","87.4","902000",""
"FISV","2015-07-15T00:00:00-04:00","2015-07-15","86.98","87.65","86.82","87.19","1073100",""
"FISV","2015-07-16T00:00:00-04:00","2015-07-16","87.94","88.4","87.37","88.23","875700",""
"FISV","2015-07-17T00:00:00-04:00","2015-07-17","88.15","88.28","87.76","88.04","784000",""
"FISV","2015-07-20T00:00:00-04:00","2015-07-20","88.15","88.65","88.07","88.14","1029500",""
"FISV","2015-07-21T00:00:00-04:00","2015-07-21","88.09","88.36","87.28","87.35","988300",""
"FISV","2015-07-22T00:00:00-04:00","2015-07-22","87.34","88.25","87.34","87.97","716400",""
"FISV","2015-07-23T00:00:00-04:00","2015-07-23","87.84","87.95","86.36","86.67","1212800",""
"FISV","2015-07-24T00:00:00-04:00","2015-07-24","86.93","86.93","85.78","85.99","1105000",""
"FISV","2015-07-27T00:00:00-04:00","2015-07-27","85.85","86.25","84.95","85.06","1366100",""
"FISV","2015-07-28T00:00:00-04:00","2015-07-28","85.41","85.86","84.69","85.64","1640500",""
"FISV","2015-07-29T00:00:00-04:00","2015-07-29","85.64","88.18","85.36","87.81","1490700",""
"FISV","2015-07-30T00:00:00-04:00","2015-07-30","86.76","88.77","85.32","87.58","1991800",""
"FISV","2015-07-31T00:00:00-04:00","2015-07-31","88.05","88.1","86.85","86.86","1193600",""
"FISV","2015-08-03T00:00:00-04:00","2015-08-03","86.85","87.65","86.29","87.32","1105400",""
"FISV","2015-08-04T00:00:00-04:00","2015-08-04","87.29","88.6","87.13","87.75","1057900",""
"FISV","2015-08-05T00:00:00-04:00","2015-08-05","88.27","89.2","88.03","88.54","1110200",""
"FISV","2015-08-06T00:00:00-04:00","2015-08-06","88.41","88.71","86.91","87.05","908700",""
"FISV","2015-08-07T00:00:00-04:00","2015-08-07","87","87.7","86.77","87.51","1111100",""
"FISV","2015-08-10T00:00:00-04:00","2015-08-10","88.03","89.49","87.8","88.84","977700",""
"FISV","2015-08-11T00:00:00-04:00","2015-08-11","88.32","88.68","87.68","88.05","835000",""
"FISV","2015-08-12T00:00:00-04:00","2015-08-12","87.39","88.74","86.55","88.53","1402800",""
"FISV","2015-08-13T00:00:00-04:00","2015-08-13","88.5","89.82","88.25","89.16","760300",""
"FISV","2015-08-14T00:00:00-04:00","2015-08-14","88.87","89.8","88.7","89.58","572800",""
"FISV","2015-08-17T00:00:00-04:00","2015-08-17","89.25","90.24","88.53","90.11","717300",""
"FISV","2015-08-18T00:00:00-04:00","2015-08-18","90.04","90.38","89.69","90.28","483700",""
"FISV","2015-08-19T00:00:00-04:00","2015-08-19","89.99","90.54","89.07","89.8","712900",""
"FISV","2015-08-20T00:00:00-04:00","2015-08-20","88.96","89.62","88.41","88.42","1019900",""
"FISV","2015-08-21T00:00:00-04:00","2015-08-21","87.6","87.94","84.85","84.87","1791000",""
"FISV","2015-08-24T00:00:00-04:00","2015-08-24","80.6","84.22","77.96","81.41","3140700",""
"FISV","2015-08-25T00:00:00-04:00","2015-08-25","83.41","83.54","80.05","80.07","2095500",""
"FISV","2015-08-26T00:00:00-04:00","2015-08-26","82.09","84.73","81.16","84.63","2144000",""
"FISV","2015-08-27T00:00:00-04:00","2015-08-27","85.48","86.78","84.77","86.56","1868400",""
"FISV","2015-08-28T00:00:00-04:00","2015-08-28","86.31","86.99","85.91","86.78","951200",""
"FISV","2015-08-31T00:00:00-04:00","2015-08-31","85.81","86.52","85.23","85.27","1228100",""
"FISV","2015-09-01T00:00:00-04:00","2015-09-01","83.43","84.17","82.4","82.87","1474200",""
"FISV","2015-09-02T00:00:00-04:00","2015-09-02","83.82","85.19","83.32","85.18","1537400",""
"FISV","2015-09-03T00:00:00-04:00","2015-09-03","86.03","86.45","85","85.73","1102100",""
"FISV","2015-09-04T00:00:00-04:00","2015-09-04","84.23","85.01","83.7","84.11","1144000",""
"FISV","2015-09-08T00:00:00-04:00","2015-09-08","85.72","86.64","84.14","86.57","1368500",""
"FISV","2015-09-09T00:00:00-04:00","2015-09-09","87.44","87.72","84.92","85.11","1003900",""
"FISV","2015-09-10T00:00:00-04:00","2015-09-10","84.87","86.75","84.59","85.92","934100",""
"FISV","2015-09-11T00:00:00-04:00","2015-09-11","85.21","86.24","85.13","86.07","1196900",""
"FISV","2015-09-14T00:00:00-04:00","2015-09-14","85.98","86.07","85.12","85.21","1086100",""
"FISV","2015-09-15T00:00:00-04:00","2015-09-15","85.66","86.97","85.08","86.7","1310300",""
"FISV","2015-09-16T00:00:00-04:00","2015-09-16","86.61","87.49","86.33","87.3","997600",""
"FISV","2015-09-17T00:00:00-04:00","2015-09-17","87.45","88.88","87.36","87.6","1009200",""
"FISV","2015-09-18T00:00:00-04:00","2015-09-18","86.42","88.19","86.09","86.53","1931700",""
"FISV","2015-09-21T00:00:00-04:00","2015-09-21","87.17","88.27","87.03","87.81","907400",""
