symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FL","2015-01-02T00:00:00-05:00","2015-01-02","53.32592","53.59997","52.32423","52.95737","1005193",""
"FL","2015-01-05T00:00:00-05:00","2015-01-05","52.57938","53.01407","52.14468","52.81562","2164673",""
"FL","2015-01-06T00:00:00-05:00","2015-01-06","52.94792","53.07077","50.96344","51.44538","2873674",""
"FL","2015-01-07T00:00:00-05:00","2015-01-07","52.02183","54.11971","52.00293","53.78896","3445001",""
"FL","2015-01-08T00:00:00-05:00","2015-01-08","54.32761","54.45046","53.81731","54.33706","2398432",""
"FL","2015-01-09T00:00:00-05:00","2015-01-09","53.59997","53.77007","52.76838","53.12747","1851020",""
"FL","2015-01-12T00:00:00-05:00","2015-01-12","53.38262","53.88346","53.21252","53.66612","1975465",""
"FL","2015-01-13T00:00:00-05:00","2015-01-13","53.94962","54.00631","52.03128","52.56993","2338749",""
"FL","2015-01-14T00:00:00-05:00","2015-01-14","50.9286","50.9286","49.00265","50.48269","6023751",""
"FL","2015-01-15T00:00:00-05:00","2015-01-15","50.3973","50.53012","49.1165","49.45805","3481549",""
"FL","2015-01-16T00:00:00-05:00","2015-01-16","49.44855","49.82805","48.49981","49.40112","3299835",""
"FL","2015-01-20T00:00:00-05:00","2015-01-20","49.70472","49.78062","48.95521","49.18291","2466944",""
"FL","2015-01-21T00:00:00-05:00","2015-01-21","49.08804","49.88498","48.90777","49.81857","1684226",""
"FL","2015-01-22T00:00:00-05:00","2015-01-22","49.62882","51.04245","49.62882","50.73885","2429632",""
"FL","2015-01-23T00:00:00-05:00","2015-01-23","50.81475","51.2322","50.28345","50.71039","1988417",""
"FL","2015-01-26T00:00:00-05:00","2015-01-26","50.59654","51.34604","50.29294","51.22271","1433789",""
"FL","2015-01-27T00:00:00-05:00","2015-01-27","50.51115","51.68759","50.51115","51.3081","1355897",""
"FL","2015-01-28T00:00:00-05:00","2015-01-28","51.53579","51.93427","50.84321","51.03296","1460878",""
"FL","2015-01-29T00:00:00-05:00","2015-01-29","51.34604","51.62118","50.66295","51.56425","1610128",""
"FL","2015-01-30T00:00:00-05:00","2015-01-30","51.99119","52.09555","50.42576","50.49218","1892185",""
"FL","2015-02-02T00:00:00-05:00","2015-02-02","50.625","50.9286","49.44855","50.60603","2263307",""
"FL","2015-02-03T00:00:00-05:00","2015-02-03","50.74834","51.89632","50.48269","51.85837","2255191",""
"FL","2015-02-04T00:00:00-05:00","2015-02-04","51.2322","51.80144","50.80526","51.54528","2336456",""
"FL","2015-02-05T00:00:00-05:00","2015-02-05","51.66862","52.53197","51.45041","51.61169","2896776",""
"FL","2015-02-06T00:00:00-05:00","2015-02-06","51.80144","51.89632","50.1696","50.37832","3160809",""
"FL","2015-02-09T00:00:00-05:00","2015-02-09","50.13165","50.29294","49.52446","49.74267","1890287",""
"FL","2015-02-10T00:00:00-05:00","2015-02-10","50.07473","50.58705","49.866","50.55859","1579139",""
"FL","2015-02-11T00:00:00-05:00","2015-02-11","50.52064","51.02347","50.48269","50.64397","1552578",""
"FL","2015-02-12T00:00:00-05:00","2015-02-12","51.03296","51.42194","50.51115","51.31758","2097509",""
"FL","2015-02-13T00:00:00-05:00","2015-02-13","51.25117","51.69708","51.02347","51.19424","1107569",""
"FL","2015-02-17T00:00:00-05:00","2015-02-17","51.08039","51.36502","50.40679","50.90014","1127068",""
"FL","2015-02-18T00:00:00-05:00","2015-02-18","50.67244","51.36502","50.67244","51.01398","1772553",""
"FL","2015-02-19T00:00:00-05:00","2015-02-19","51.71605","52.49403","51.62118","52.25684","2600173",""
"FL","2015-02-20T00:00:00-05:00","2015-02-20","52.29479","52.75967","51.91529","52.71224","2218089",""
"FL","2015-02-23T00:00:00-05:00","2015-02-23","52.85455","53.30994","52.72173","53.1202","1382037",""
"FL","2015-02-24T00:00:00-05:00","2015-02-24","53.12968","53.30994","52.56044","52.94942","1333446",""
"FL","2015-02-25T00:00:00-05:00","2015-02-25","52.82609","53.29097","52.56044","53.01583","1265567",""
"FL","2015-02-26T00:00:00-05:00","2015-02-26","52.97789","53.4238","52.75967","52.97789","1271364",""
"FL","2015-02-27T00:00:00-05:00","2015-02-27","53.08225","53.49969","52.99686","53.29097","1353262",""
"FL","2015-03-02T00:00:00-05:00","2015-03-02","53.32892","53.64201","52.98737","53.28148","1499139",""
"FL","2015-03-03T00:00:00-05:00","2015-03-03","53.37635","53.87919","52.91147","53.54713","2727605",""
"FL","2015-03-04T00:00:00-05:00","2015-03-04","53.62303","54.65716","53.18661","54.54332","4328247",""
"FL","2015-03-05T00:00:00-05:00","2015-03-05","54.78999","54.88486","53.58508","54.10689","3713856",""
