symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FLS","2015-01-02T00:00:00-05:00","2015-01-02","57.42684","57.54123","56.27334","56.86439","1228049",""
"FLS","2015-01-05T00:00:00-05:00","2015-01-05","56.04455","56.17801","54.63367","54.94825","4986464",""
"FLS","2015-01-06T00:00:00-05:00","2015-01-06","55.08171","55.27237","53.53737","54.23328","3988248",""
"FLS","2015-01-07T00:00:00-05:00","2015-01-07","54.89106","54.89106","53.68036","54.07122","1608936",""
"FLS","2015-01-08T00:00:00-05:00","2015-01-08","54.30001","54.83386","53.77569","54.71946","2414663",""
"FLS","2015-01-09T00:00:00-05:00","2015-01-09","54.92919","55.01498","54.25234","54.42394","1153990",""
"FLS","2015-01-12T00:00:00-05:00","2015-01-12","54.18561","54.35721","53.35624","53.48017","2014369",""
"FLS","2015-01-13T00:00:00-05:00","2015-01-13","54.00449","54.46207","53.13698","53.87102","1906953",""
"FLS","2015-01-14T00:00:00-05:00","2015-01-14","53.02258","53.6613","52.54593","53.29904","3666314",""
"FLS","2015-01-15T00:00:00-05:00","2015-01-15","53.75663","54.03308","52.89866","52.96539","1437636",""
"FLS","2015-01-16T00:00:00-05:00","2015-01-16","52.5078","53.11792","52.18368","53.07978","2500784",""
"FLS","2015-01-20T00:00:00-05:00","2015-01-20","53.53737","53.75663","52.86053","53.55643","1132696",""
"FLS","2015-01-21T00:00:00-05:00","2015-01-21","53.40391","55.35817","53.39437","55.25331","1677225",""
"FLS","2015-01-22T00:00:00-05:00","2015-01-22","54.90059","55.05312","53.14651","53.79476","2363682",""
"FLS","2015-01-23T00:00:00-05:00","2015-01-23","53.34671","53.50877","52.23135","52.83192","1816740",""
"FLS","2015-01-26T00:00:00-05:00","2015-01-26","52.91772","53.55643","52.84146","53.17511","1625195",""
"FLS","2015-01-27T00:00:00-05:00","2015-01-27","52.25994","52.46967","51.57357","52.00255","2233188",""
"FLS","2015-01-28T00:00:00-05:00","2015-01-28","52.31714","52.42201","50.69653","50.8014","2032517",""
"FLS","2015-01-29T00:00:00-05:00","2015-01-29","50.63933","52.09789","50.28661","52.02162","1900554",""
"FLS","2015-01-30T00:00:00-05:00","2015-01-30","51.53544","52.21228","51.00159","51.94536","2653727",""
"FLS","2015-02-02T00:00:00-05:00","2015-02-02","52.55547","54.96732","52.44107","54.77666","2516205",""
"FLS","2015-02-03T00:00:00-05:00","2015-02-03","55.21518","56.45447","55.14845","56.16848","2375640",""
"FLS","2015-02-04T00:00:00-05:00","2015-02-04","55.69183","55.69183","54.01402","54.29048","1357284",""
"FLS","2015-02-05T00:00:00-05:00","2015-02-05","54.84339","55.5679","54.40487","55.36771","973879",""
"FLS","2015-02-06T00:00:00-05:00","2015-02-06","55.5393","55.98735","54.09028","54.53833","2123569",""
"FLS","2015-02-09T00:00:00-05:00","2015-02-09","54.33814","55.5393","54.33814","55.03405","1000523",""
"FLS","2015-02-10T00:00:00-05:00","2015-02-10","55.17705","55.29144","53.80429","54.51927","1251651",""
"FLS","2015-02-11T00:00:00-05:00","2015-02-11","54.27141","54.57647","53.90915","54.43347","1027482",""
"FLS","2015-02-12T00:00:00-05:00","2015-02-12","54.82432","55.6251","54.6146","55.58697","953424",""
"FLS","2015-02-13T00:00:00-05:00","2015-02-13","55.93969","57.09318","55.93969","56.54027","1702086",""
"FLS","2015-02-17T00:00:00-05:00","2015-02-17","56.34007","57.15991","55.75856","56.79766","1445294",""
"FLS","2015-02-18T00:00:00-05:00","2015-02-18","58.00835","61.4021","57.79862","58.62799","5377946",""
"FLS","2015-02-19T00:00:00-05:00","2015-02-19","58.00835","60.03888","57.68422","59.64803","2307456",""
"FLS","2015-02-20T00:00:00-05:00","2015-02-20","59.52409","60.01028","58.90445","59.62896","2119478",""
"FLS","2015-02-23T00:00:00-05:00","2015-02-23","59.28577","59.75289","58.97118","59.3239","1496484",""
"FLS","2015-02-24T00:00:00-05:00","2015-02-24","59.25717","59.85775","58.97118","59.64803","1088848",""
"FLS","2015-02-25T00:00:00-05:00","2015-02-25","59.90542","60.05795","59.63849","59.92448","1319625",""
"FLS","2015-02-26T00:00:00-05:00","2015-02-26","59.73382","59.90542","59.10464","59.67662","1247140",""
"FLS","2015-02-27T00:00:00-05:00","2015-02-27","59.67662","60.02935","59.16184","59.22857","1125353",""
"FLS","2015-03-02T00:00:00-05:00","2015-03-02","59.12371","59.36204","58.26574","59.19997","1254483",""
"FLS","2015-03-03T00:00:00-05:00","2015-03-03","59.21904","59.27624","58.64706","58.88539","998845",""
"FLS","2015-03-04T00:00:00-05:00","2015-03-04","58.56126","58.63752","57.52216","57.81769","1518828",""
"FLS","2015-03-05T00:00:00-05:00","2015-03-05","57.40777","57.40777","55.6537","56.26381","2878315",""
"FLS","2015-03-06T00:00:00-05:00","2015-03-06","56.19708","56.82626","55.92062","56.22568","2685301",""
"FLS","2015-03-09T00:00:00-04:00","2015-03-09","56.17801","56.5212","56.05408","56.27334","2151682",""
"FLS","2015-03-10T00:00:00-04:00","2015-03-10","55.80622","56.05408","55.22471","55.33911","2163325",""
"FLS","2015-03-11T00:00:00-04:00","2015-03-11","55.30097","55.37724","54.75759","54.95779","1003356",""
"FLS","2015-03-12T00:00:00-04:00","2015-03-12","55.09125","55.5393","55.00545","55.37724","749501",""
"FLS","2015-03-13T00:00:00-04:00","2015-03-13","55.00545","55.02452","52.71753","53.7471","3020767",""
"FLS","2015-03-16T00:00:00-04:00","2015-03-16","53.92822","54.41441","53.64223","54.30001","1320569",""
"FLS","2015-03-17T00:00:00-04:00","2015-03-17","53.84242","54.37627","53.76616","54.17608","1050140",""
"FLS","2015-03-18T00:00:00-04:00","2015-03-18","53.83289","55.91109","53.75663","55.6537","1543479",""
"FLS","2015-03-19T00:00:00-04:00","2015-03-19","55.09125","55.12938","54.41441","54.60506","924996",""
"FLS","2015-03-20T00:00:00-04:00","2015-03-20","54.89106","55.31051","54.63367","54.91012","1255112",""
"FLS","2015-03-23T00:00:00-04:00","2015-03-23","54.95779","55.32957","54.67179","54.69086","1161648",""
"FLS","2015-03-24T00:00:00-04:00","2015-03-24","54.73853","54.91965","54.53833","54.68133","1334626",""
"FLS","2015-03-25T00:00:00-04:00","2015-03-25","55.01603","55.30293","54.72914","54.77695","1283486",""
"FLS","2015-03-26T00:00:00-04:00","2015-03-26","54.50919","54.70045","53.68677","54.27012","1871376",""
