symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FRT","2015-01-02T00:00:00-05:00","2015-01-02","124.7065","125.9868","123.7324","125.9311","270119",""
"FRT","2015-01-05T00:00:00-05:00","2015-01-05","125.4672","127.6938","125.2631","127.6381","539161",""
"FRT","2015-01-06T00:00:00-05:00","2015-01-06","128.2783","129.4658","127.8237","129.3081","606852",""
"FRT","2015-01-07T00:00:00-05:00","2015-01-07","129.7163","132.1933","128.1762","132.0171","374567",""
"FRT","2015-01-08T00:00:00-05:00","2015-01-08","132.249","132.6108","130.9038","131.4418","451959",""
"FRT","2015-01-09T00:00:00-05:00","2015-01-09","131.4604","132.3974","130.3471","131.5625","334469",""
"FRT","2015-01-12T00:00:00-05:00","2015-01-12","131.7109","132.9541","131.7109","132.3418","286719",""
"FRT","2015-01-13T00:00:00-05:00","2015-01-13","132.6757","133.3066","131.0151","131.6367","380711",""
"FRT","2015-01-14T00:00:00-05:00","2015-01-14","130.9594","133.1303","130.6069","132.7685","425659",""
"FRT","2015-01-15T00:00:00-05:00","2015-01-15","132.7778","133.5107","132.1376","132.6479","262682",""
"FRT","2015-01-16T00:00:00-05:00","2015-01-16","132.6572","134.0766","131.9707","133.8169","318193",""
"FRT","2015-01-20T00:00:00-05:00","2015-01-20","133.8725","134.4013","132.2026","132.8149","305474",""
"FRT","2015-01-21T00:00:00-05:00","2015-01-21","132.5366","133.0005","131.3769","132.7778","229914",""
"FRT","2015-01-22T00:00:00-05:00","2015-01-22","133.2046","135.4497","132.9633","135.1528","333391",""
"FRT","2015-01-23T00:00:00-05:00","2015-01-23","135.7187","136.0991","134.2715","134.5869","197038",""
"FRT","2015-01-26T00:00:00-05:00","2015-01-26","134.2436","137.2031","133.3066","137.1938","352685",""
"FRT","2015-01-27T00:00:00-05:00","2015-01-27","136.7485","137.7319","135.9414","136.6001","277988",""
"FRT","2015-01-28T00:00:00-05:00","2015-01-28","137.2495","137.5928","136.0805","136.1455","295342",""
"FRT","2015-01-29T00:00:00-05:00","2015-01-29","136.1362","136.9433","135.0786","136.7485","256645",""
"FRT","2015-01-30T00:00:00-05:00","2015-01-30","136.1269","136.5073","133.2509","133.3808","1044476",""
"FRT","2015-02-02T00:00:00-05:00","2015-02-02","133.8076","133.9004","130.8295","133.4643","430509",""
"FRT","2015-02-03T00:00:00-05:00","2015-02-03","133.4643","135.06","132.4345","135.0044","244142",""
"FRT","2015-02-04T00:00:00-05:00","2015-02-04","134.6147","134.9858","133.7426","134.2622","286287",""
"FRT","2015-02-05T00:00:00-05:00","2015-02-05","135.2734","136.5073","134.3271","136.4145","214176",""
"FRT","2015-02-06T00:00:00-05:00","2015-02-06","136.3403","136.4145","131.08","132.0171","480955",""
"FRT","2015-02-09T00:00:00-05:00","2015-02-09","132.2397","132.852","131.0337","131.1914","178606",""
"FRT","2015-02-10T00:00:00-05:00","2015-02-10","131.7573","132.1655","130.041","132.082","276802",""
"FRT","2015-02-11T00:00:00-05:00","2015-02-11","133.1953","133.854","130.31","131.9614","259125",""
"FRT","2015-02-12T00:00:00-05:00","2015-02-12","132.4438","134.123","131.5068","134.0952","325415",""
"FRT","2015-02-13T00:00:00-05:00","2015-02-13","133.7519","133.9839","132.5737","133.5571","381681",""
"FRT","2015-02-17T00:00:00-05:00","2015-02-17","132.8891","134.9765","132.8891","133.2046","401945",""
"FRT","2015-02-18T00:00:00-05:00","2015-02-18","133.0747","134.5219","131.8779","134.3735","360877",""
"FRT","2015-02-19T00:00:00-05:00","2015-02-19","133.7983","134.0581","131.646","131.9521","367345",""
"FRT","2015-02-20T00:00:00-05:00","2015-02-20","131.3955","134.0395","130.9316","133.8169","286934",""
"FRT","2015-02-23T00:00:00-05:00","2015-02-23","133.9653","134.9951","133.2046","134.9116","307953",""
"FRT","2015-02-24T00:00:00-05:00","2015-02-24","133.8818","134.0024","132.0634","132.6757","435144",""
"FRT","2015-02-25T00:00:00-05:00","2015-02-25","132.5273","133.7055","131.7295","132.2304","308169",""
"FRT","2015-02-26T00:00:00-05:00","2015-02-26","132.3881","132.7314","130.3564","130.4121","261280",""
"FRT","2015-02-27T00:00:00-05:00","2015-02-27","130.7368","132.2397","129.6142","131.7666","407335",""
"FRT","2015-03-02T00:00:00-05:00","2015-03-02","132.0078","134.0859","131.4233","132.3603","409167",""
"FRT","2015-03-03T00:00:00-05:00","2015-03-03","132.1284","132.6665","130.5605","131.4418","265807",""
"FRT","2015-03-04T00:00:00-05:00","2015-03-04","131.6645","131.9799","130.31","130.7275","265269",""
"FRT","2015-03-05T00:00:00-05:00","2015-03-05","131.6274","132.7778","130.4677","131.5996","284886",""
"FRT","2015-03-06T00:00:00-05:00","2015-03-06","130.0595","130.0595","126.729","127.2021","369501",""
"FRT","2015-03-09T00:00:00-04:00","2015-03-09","127.9257","129.0205","127.8051","128.6865","325523",""
"FRT","2015-03-10T00:00:00-04:00","2015-03-10","128.2411","128.7607","127.7123","128.0463","373381",""
"FRT","2015-03-11T00:00:00-04:00","2015-03-11","128.4082","130.0781","127.9443","129.6049","432342",""
"FRT","2015-03-12T00:00:00-04:00","2015-03-12","129.8183","131.7109","129.7534","130.9223","348266",""
"FRT","2015-03-13T00:00:00-04:00","2015-03-13","130.7275","131.646","129.7719","131.479","366806",""
"FRT","2015-03-16T00:00:00-04:00","2015-03-16","132.2304","134.2065","131.748","133.1489","536035",""
"FRT","2015-03-17T00:00:00-04:00","2015-03-17","132.9448","134.0859","132.3881","133.3066","407766",""
"FRT","2015-03-18T00:00:00-04:00","2015-03-18","133.3346","137.4322","132.6346","136.9282","475257",""
"FRT","2015-03-19T00:00:00-04:00","2015-03-19","136.2935","138.1416","136.0694","136.6481","436045",""
"FRT","2015-03-20T00:00:00-04:00","2015-03-20","137.3295","139.6443","136.7975","139.4856","828700",""
"FRT","2015-03-23T00:00:00-04:00","2015-03-23","139.3736","141.0444","138.8043","140.2604","564394",""
"FRT","2015-03-24T00:00:00-04:00","2015-03-24","140.167","140.251","138.8323","138.9443","435295",""
"FRT","2015-03-25T00:00:00-04:00","2015-03-25","139.103","139.579","135.8921","136.0414","373263",""
"FRT","2015-03-26T00:00:00-04:00","2015-03-26","135.9014","136.2561","134.716","135.276","368763",""
"FRT","2015-03-27T00:00:00-04:00","2015-03-27","135.2107","136.3121","135.1827","135.9574","259163",""
"FRT","2015-03-30T00:00:00-04:00","2015-03-30","136.2188","139.0003","135.9761","138.9443","417510",""
"FRT","2015-03-31T00:00:00-04:00","2015-03-31","138.8043","139.355","136.8441","137.4042","650104",""
"FRT","2015-04-01T00:00:00-04:00","2015-04-01","136.7415","137.6562","135.2387","136.6761","426510",""
"FRT","2015-04-02T00:00:00-04:00","2015-04-02","136.4335","139.103","136.4335","138.5616","299232",""
"FRT","2015-04-06T00:00:00-04:00","2015-04-06","138.4216","140.4657","138.4122","139.2616","409904",""
"FRT","2015-04-07T00:00:00-04:00","2015-04-07","139.1216","139.1216","136.3401","136.3868","356014",""
"FRT","2015-04-08T00:00:00-04:00","2015-04-08","136.5081","137.2642","136.4708","136.9842","262377",""
"FRT","2015-04-09T00:00:00-04:00","2015-04-09","136.6575","136.6575","133.0639","133.3253","412261",""
"FRT","2015-04-10T00:00:00-04:00","2015-04-10","134.548","135.3974","132.5412","132.9333","425438",""
"FRT","2015-04-13T00:00:00-04:00","2015-04-13","133.2226","133.3439","131.6265","131.6265","324516",""
"FRT","2015-04-14T00:00:00-04:00","2015-04-14","132.2612","132.9893","131.7292","131.8225","358371",""
"FRT","2015-04-15T00:00:00-04:00","2015-04-15","131.9252","132.3452","129.9837","130.0957","338229",""
"FRT","2015-04-16T00:00:00-04:00","2015-04-16","129.7504","130.9358","129.1624","129.9744","381084",""
"FRT","2015-04-17T00:00:00-04:00","2015-04-17","129.5637","130.3291","128.1636","129.7597","397797",""
"FRT","2015-04-20T00:00:00-04:00","2015-04-20","130.4691","130.8051","129.5544","130.2544","310588",""
"FRT","2015-04-21T00:00:00-04:00","2015-04-21","130.9825","131.8225","130.0584","130.8705","291411",""
"FRT","2015-04-22T00:00:00-04:00","2015-04-22","130.8425","132.0465","130.6278","131.0945","221772",""
"FRT","2015-04-23T00:00:00-04:00","2015-04-23","130.7118","131.5985","130.4318","130.9265","244806",""
"FRT","2015-04-24T00:00:00-04:00","2015-04-24","131.3558","132.0185","130.3291","131.0665","250056",""
"FRT","2015-04-27T00:00:00-04:00","2015-04-27","131.0851","132.0745","130.7118","131.0851","451473",""
"FRT","2015-04-28T00:00:00-04:00","2015-04-28","130.8611","130.9265","129.7411","129.9744","260448",""
