symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FSLR","2015-01-02T00:00:00-05:00","2015-01-02","44.72","45.34","43.72","44.54","1873700",""
"FSLR","2015-01-05T00:00:00-05:00","2015-01-05","43.88","43.98","41.51","41.83","3668000",""
"FSLR","2015-01-06T00:00:00-05:00","2015-01-06","42.01","42.01","39.88","40.86","3712200",""
"FSLR","2015-01-07T00:00:00-05:00","2015-01-07","42","42.47","41.4","41.75","2869700",""
"FSLR","2015-01-08T00:00:00-05:00","2015-01-08","42.39","43.68","42.03","43.63","3211900",""
"FSLR","2015-01-09T00:00:00-05:00","2015-01-09","43.91","44.44","42.83","44.2","1965500",""
"FSLR","2015-01-12T00:00:00-05:00","2015-01-12","43.8","43.89","42.15","42.83","2358900",""
"FSLR","2015-01-13T00:00:00-05:00","2015-01-13","43.23","44.49","42.33","42.71","2455000",""
"FSLR","2015-01-14T00:00:00-05:00","2015-01-14","42.04","42.82","41.39","42.28","2131000",""
"FSLR","2015-01-15T00:00:00-05:00","2015-01-15","42.83","43.09","40.12","40.16","2500800",""
"FSLR","2015-01-16T00:00:00-05:00","2015-01-16","40.18","41.06","39.81","40.72","2787600",""
"FSLR","2015-01-20T00:00:00-05:00","2015-01-20","40.67","40.72","39.18","39.83","2071000",""
"FSLR","2015-01-21T00:00:00-05:00","2015-01-21","39.77","41.9","39.69","41.4","2434600",""
"FSLR","2015-01-22T00:00:00-05:00","2015-01-22","41.74","42","40.57","41.9","1742300",""
"FSLR","2015-01-23T00:00:00-05:00","2015-01-23","41.74","43.1","41.5","42.54","1797400",""
"FSLR","2015-01-26T00:00:00-05:00","2015-01-26","42.35","44.38","42.03","44.17","1745100",""
"FSLR","2015-01-27T00:00:00-05:00","2015-01-27","43.3","44.04","42.69","43.72","1916300",""
"FSLR","2015-01-28T00:00:00-05:00","2015-01-28","43.66","44.48","42.53","42.7","2192600",""
"FSLR","2015-01-29T00:00:00-05:00","2015-01-29","42.88","42.99","41.15","42.36","1604800",""
"FSLR","2015-01-30T00:00:00-05:00","2015-01-30","41.92","43.22","41.82","42.32","1944500",""
"FSLR","2015-02-02T00:00:00-05:00","2015-02-02","42.68","45.64","42.59","45.48","3311100",""
"FSLR","2015-02-03T00:00:00-05:00","2015-02-03","46.19","48.62","46.15","48.16","4290300",""
"FSLR","2015-02-04T00:00:00-05:00","2015-02-04","47.46","47.95","46.22","46.98","2236800",""
"FSLR","2015-02-05T00:00:00-05:00","2015-02-05","47.24","47.65","46.29","46.9","1766500",""
