symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"FTV","2016-07-05T00:00:00-04:00","2016-07-05","49.10379","54.01417","48.10979","48.30859","6268184",""
"FTV","2016-07-06T00:00:00-04:00","2016-07-06","46.78776","48.30859","46.01244","47.46368","6746855",""
"FTV","2016-07-07T00:00:00-04:00","2016-07-07","47.33447","47.71219","47.06608","47.45375","5519898",""
"FTV","2016-07-08T00:00:00-04:00","2016-07-08","47.67242","50.30654","47.245","49.89899","4268997",""
"FTV","2016-07-11T00:00:00-04:00","2016-07-11","48.91493","50.92282","48.68631","50.81348","6078749",""
"FTV","2016-07-12T00:00:00-04:00","2016-07-12","50.6942","50.75384","49.95863","50.26678","5586396",""
"FTV","2016-07-13T00:00:00-04:00","2016-07-13","50.26678","50.7936","49.53122","50.31647","4894045",""
"FTV","2016-07-14T00:00:00-04:00","2016-07-14","50.02822","51.42976","49.65049","51.26078","3502501",""
"FTV","2016-07-15T00:00:00-04:00","2016-07-15","51.46952","51.59874","50.30654","50.92282","3712058",""
"FTV","2016-07-18T00:00:00-04:00","2016-07-18","50.46558","51.27072","50.20713","50.98246","1566895",""
"FTV","2016-07-19T00:00:00-04:00","2016-07-19","50.73396","51.25084","50.13755","51.2409","1966390",""
"FTV","2016-07-20T00:00:00-04:00","2016-07-20","51.52916","51.60868","49.71013","50.03815","3371817",""
"FTV","2016-07-21T00:00:00-04:00","2016-07-21","50.0978","50.31647","49.69026","49.93876","3055420",""
"FTV","2016-07-22T00:00:00-04:00","2016-07-22","49.7002","49.98846","48.99445","49.10379","2465382",""
"FTV","2016-07-25T00:00:00-04:00","2016-07-25","48.92487","49.15349","47.57303","48.68631","3063167",""
"FTV","2016-07-26T00:00:00-04:00","2016-07-26","48.26883","49.12367","47.99051","48.98451","1580879",""
"FTV","2016-07-27T00:00:00-04:00","2016-07-27","48.78571","49.20319","48.42787","48.62667","1638323",""
"FTV","2016-07-28T00:00:00-04:00","2016-07-28","48.44775","48.79565","48.06009","48.35829","2940632",""
"FTV","2016-07-29T00:00:00-04:00","2016-07-29","48.16943","48.50739","47.72213","47.92093","4511048",""
"FTV","2016-08-01T00:00:00-04:00","2016-08-01","47.82153","48.21913","47.30465","47.51339","2998881",""
"FTV","2016-08-02T00:00:00-04:00","2016-08-02","47.21518","47.73207","46.8971","47.21518","3287009",""
"FTV","2016-08-03T00:00:00-04:00","2016-08-03","47.21518","49.18331","47.06608","48.98451","4738311",""
"FTV","2016-08-04T00:00:00-04:00","2016-08-04","49.29265","49.80954","49.18331","49.73001","3065078",""
"FTV","2016-08-05T00:00:00-04:00","2016-08-05","49.95863","50.67432","49.95863","50.27672","2681880",""
"FTV","2016-08-08T00:00:00-04:00","2016-08-08","50.32642","50.56498","49.64055","49.74989","2129166",""
"FTV","2016-08-09T00:00:00-04:00","2016-08-09","48.43781","50.22702","48.12967","50.15744","1084402",""
"FTV","2016-08-10T00:00:00-04:00","2016-08-10","50.16738","50.4954","49.79959","50.1475","1189532",""
