symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"GD","2015-01-02T00:00:00-05:00","2015-01-02","130.649","131.1962","129.413","130.6301","1178673",""
"GD","2015-01-05T00:00:00-05:00","2015-01-05","130.1678","130.7999","127.7335","127.9033","1523129",""
"GD","2015-01-06T00:00:00-05:00","2015-01-06","128.1109","128.894","126.6013","128.0543","2938682",""
"GD","2015-01-07T00:00:00-05:00","2015-01-07","127.8656","128.9506","127.3467","127.5637","2191160",""
"GD","2015-01-08T00:00:00-05:00","2015-01-08","128.4411","130.7433","128.2902","130.6395","4089375",""
"GD","2015-01-09T00:00:00-05:00","2015-01-09","130.5546","131.6302","129.6205","131.1207","3214140",""
"GD","2015-01-12T00:00:00-05:00","2015-01-12","131.7057","131.7151","129.7621","130.1112","1469500",""
"GD","2015-01-13T00:00:00-05:00","2015-01-13","131.6302","132.8002","128.9695","130.0074","1825084",""
"GD","2015-01-14T00:00:00-05:00","2015-01-14","128.7374","130.6234","128.3298","130.178","1328046",""
"GD","2015-01-15T00:00:00-05:00","2015-01-15","130.9457","131.249","129.5998","130.5192","1563860",""
"GD","2015-01-16T00:00:00-05:00","2015-01-16","130.3107","131.884","129.6662","131.8082","1774140",""
"GD","2015-01-20T00:00:00-05:00","2015-01-20","131.8271","132.5853","129.4766","130.8793","1858864",""
"GD","2015-01-21T00:00:00-05:00","2015-01-21","131.0878","132.0641","130.614","131.6376","1263897",""
"GD","2015-01-22T00:00:00-05:00","2015-01-22","132.1399","134.1681","131.23","133.8364","1383333",""
"GD","2015-01-23T00:00:00-05:00","2015-01-23","133.789","134.9738","133.0024","133.9407","945786",""
"GD","2015-01-26T00:00:00-05:00","2015-01-26","133.7606","133.7606","132.2252","132.7465","1291118",""
"GD","2015-01-27T00:00:00-05:00","2015-01-27","131.1068","131.5049","129.8936","130.0358","1677810",""
"GD","2015-01-28T00:00:00-05:00","2015-01-28","131.7418","134.5093","129.0217","129.2776","2916912",""
"GD","2015-01-29T00:00:00-05:00","2015-01-29","129.2018","129.6946","126.093","127.4578","3305715",""
"GD","2015-01-30T00:00:00-05:00","2015-01-30","125.894","128.0549","125.7044","126.2542","3671516",""
"GD","2015-02-02T00:00:00-05:00","2015-02-02","126.8987","129.3629","125.5812","129.0122","2142895",""
"GD","2015-02-03T00:00:00-05:00","2015-02-03","129.7515","131.8366","129.3439","131.6944","1997398",""
"GD","2015-02-04T00:00:00-05:00","2015-02-04","131.5049","132.5664","131.0405","131.2964","1583063",""
"GD","2015-02-05T00:00:00-05:00","2015-02-05","131.3248","131.9314","130.813","131.448","1476709",""
"GD","2015-02-06T00:00:00-05:00","2015-02-06","131.448","133.0213","131.0784","132.0167","1507096",""
"GD","2015-02-09T00:00:00-05:00","2015-02-09","131.4101","131.9882","129.4956","129.7894","2006894",""
