symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"GIS","2015-01-02T00:00:00-05:00","2015-01-02","48.29274","48.74747","48.0199","48.30184","2384471",""
"GIS","2015-01-05T00:00:00-05:00","2015-01-05","47.53788","47.91986","47.3469","47.42875","4569375",""
"GIS","2015-01-06T00:00:00-05:00","2015-01-06","47.69249","47.8562","47.20138","47.31052","3338655",""
"GIS","2015-01-07T00:00:00-05:00","2015-01-07","47.70159","48.43826","47.62883","48.31093","3523049",""
"GIS","2015-01-08T00:00:00-05:00","2015-01-08","48.65922","49.18165","48.54923","49.09916","4370885",""
"GIS","2015-01-09T00:00:00-05:00","2015-01-09","49.11749","49.19998","48.39342","48.60423","2238959",""
"GIS","2015-01-12T00:00:00-05:00","2015-01-12","48.46674","48.74171","48.13679","48.25594","2192370",""
"GIS","2015-01-13T00:00:00-05:00","2015-01-13","48.60423","48.8242","48.09096","48.31093","3240877",""
"GIS","2015-01-14T00:00:00-05:00","2015-01-14","48.04513","48.56757","47.93515","48.5034","4831311",""
"GIS","2015-01-15T00:00:00-05:00","2015-01-15","48.74171","49.41994","48.40259","48.98917","4944781",""
"GIS","2015-01-16T00:00:00-05:00","2015-01-16","48.87002","49.08083","48.60423","48.95251","4662088",""
"GIS","2015-01-20T00:00:00-05:00","2015-01-20","49.13582","49.99737","48.77837","49.85989","5692810",""
"GIS","2015-01-21T00:00:00-05:00","2015-01-21","49.58492","49.93321","49.38329","49.5666","3890056",""
"GIS","2015-01-22T00:00:00-05:00","2015-01-22","49.86905","50.22651","49.40162","50.20817","3258006",""
"GIS","2015-01-23T00:00:00-05:00","2015-01-23","50.11652","50.15318","49.71324","50.00653","3273608",""
"GIS","2015-01-26T00:00:00-05:00","2015-01-26","49.95154","50.38232","49.7499","50.36399","4056333",""
"GIS","2015-01-27T00:00:00-05:00","2015-01-27","49.82323","50.84059","49.74074","50.51063","5258351",""
"GIS","2015-01-28T00:00:00-05:00","2015-01-28","50.62978","50.95057","49.5116","49.5666","3400280",""
"GIS","2015-01-29T00:00:00-05:00","2015-01-29","49.12665","49.2458","48.44841","49.15415","4855314",""
"GIS","2015-01-30T00:00:00-05:00","2015-01-30","48.73254","48.94335","48.04513","48.10013","4276290",""
"GIS","2015-02-02T00:00:00-05:00","2015-02-02","48.25594","48.66838","47.56853","48.64089","3961956",""
"GIS","2015-02-03T00:00:00-05:00","2015-02-03","48.98917","49.035","48.42092","48.81503","2871990",""
"GIS","2015-02-04T00:00:00-05:00","2015-02-04","48.83336","49.18165","48.63172","48.77837","2656397",""
"GIS","2015-02-05T00:00:00-05:00","2015-02-05","48.8242","48.98917","48.67755","48.94335","2126143",""
"GIS","2015-02-06T00:00:00-05:00","2015-02-06","48.81503","48.99834","48.56757","48.72338","2178950",""
"GIS","2015-02-09T00:00:00-05:00","2015-02-09","48.63172","48.78753","48.41175","48.57673","3456470",""
"GIS","2015-02-10T00:00:00-05:00","2015-02-10","48.66838","48.95251","48.43008","48.78753","2760593",""
"GIS","2015-02-11T00:00:00-05:00","2015-02-11","48.91585","49.0625","48.36592","48.72338","2753392",""
"GIS","2015-02-12T00:00:00-05:00","2015-02-12","48.16428","48.54007","48.03597","48.51257","3399298",""
"GIS","2015-02-13T00:00:00-05:00","2015-02-13","48.26511","48.26511","47.61436","48.10013","3780077",""
"GIS","2015-02-17T00:00:00-05:00","2015-02-17","47.96265","48.13679","47.66019","47.97181","3855797",""
"GIS","2015-02-18T00:00:00-05:00","2015-02-18","47.97181","48.54007","47.96265","48.46674","2807072",""
"GIS","2015-02-19T00:00:00-05:00","2015-02-19","48.46674","49.16331","48.3476","48.98917","3744181",""
"GIS","2015-02-20T00:00:00-05:00","2015-02-20","48.95251","49.09916","48.60423","49.0075","3396461",""
"GIS","2015-02-23T00:00:00-05:00","2015-02-23","48.92501","49.08083","48.81503","49.02584","1906295",""
"GIS","2015-02-24T00:00:00-05:00","2015-02-24","48.91585","49.035","48.59506","48.96167","2687710",""
"GIS","2015-02-25T00:00:00-05:00","2015-02-25","48.90668","49.18165","48.87002","49.07166","1990197",""
"GIS","2015-02-26T00:00:00-05:00","2015-02-26","49.15415","49.15415","48.89752","48.96167","2290238",""
"GIS","2015-02-27T00:00:00-05:00","2015-02-27","48.98917","49.34662","48.87919","49.3008","3314850",""
"GIS","2015-03-02T00:00:00-05:00","2015-03-02","49.13582","49.2733","48.87919","49.035","1657098",""
"GIS","2015-03-03T00:00:00-05:00","2015-03-03","48.95251","49.035","48.62255","49.01667","1844650",""
"GIS","2015-03-04T00:00:00-05:00","2015-03-04","48.88835","48.98001","48.54923","48.7692","2175350",""
"GIS","2015-03-05T00:00:00-05:00","2015-03-05","48.89752","48.89752","48.5034","48.83336","1746346",""
"GIS","2015-03-06T00:00:00-05:00","2015-03-06","48.52174","48.5309","47.60519","47.77934","3743199",""
"GIS","2015-03-09T00:00:00-04:00","2015-03-09","47.74268","48.26511","47.60519","48.11846","2367703",""
"GIS","2015-03-10T00:00:00-04:00","2015-03-10","47.85266","47.94432","47.46771","47.46771","2487829",""
"GIS","2015-03-11T00:00:00-04:00","2015-03-11","47.62352","47.75184","47.13776","47.38522","2776741",""
"GIS","2015-03-12T00:00:00-04:00","2015-03-12","47.5502","48.30177","47.54103","48.22844","2728734",""
