symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"GPC","2015-01-02T00:00:00-05:00","2015-01-02","99.39858","100.0187","97.64939","98.58414","629174",""
"GPC","2015-01-05T00:00:00-05:00","2015-01-05","98.4083","98.81551","97.58461","97.9548","1264831",""
"GPC","2015-01-06T00:00:00-05:00","2015-01-06","93.3921","96.35369","92.78127","93.93814","2480283",""
"GPC","2015-01-07T00:00:00-05:00","2015-01-07","94.86364","95.57627","94.50269","95.37267","1171044",""
"GPC","2015-01-08T00:00:00-05:00","2015-01-08","95.98349","96.46475","94.93768","95.57627","1316803",""
"GPC","2015-01-09T00:00:00-05:00","2015-01-09","95.52074","95.53","93.45688","93.81783","1196003",""
"GPC","2015-01-12T00:00:00-05:00","2015-01-12","93.81783","93.84559","89.80116","90.25465","1962184",""
"GPC","2015-01-13T00:00:00-05:00","2015-01-13","91.1709","92.06863","89.21809","89.84743","1491519",""
"GPC","2015-01-14T00:00:00-05:00","2015-01-14","89.38469","89.82892","87.10796","88.18153","1666452",""
"GPC","2015-01-15T00:00:00-05:00","2015-01-15","88.38515","88.82013","87.8391","87.99644","1589521",""
"GPC","2015-01-16T00:00:00-05:00","2015-01-16","88.07973","89.91222","87.7373","89.86594","1071422",""
"GPC","2015-01-20T00:00:00-05:00","2015-01-20","89.91222","90.25465","88.80162","90.20838","1244950",""
"GPC","2015-01-21T00:00:00-05:00","2015-01-21","89.92148","90.72665","89.42171","90.47678","863966",""
"GPC","2015-01-22T00:00:00-05:00","2015-01-22","90.92101","91.63365","90.05105","91.23569","842248",""
"GPC","2015-01-23T00:00:00-05:00","2015-01-23","91.07835","91.5411","90.58783","91.06909","1077148",""
"GPC","2015-01-26T00:00:00-05:00","2015-01-26","91.22643","91.65215","90.58783","91.30047","941006",""
"GPC","2015-01-27T00:00:00-05:00","2015-01-27","90.35645","90.87474","89.73637","90.25465","847326",""
"GPC","2015-01-28T00:00:00-05:00","2015-01-28","90.69889","90.69889","88.17228","88.3111","1145868",""
"GPC","2015-01-29T00:00:00-05:00","2015-01-29","88.54248","88.63503","87.47815","88.3111","1472827",""
"GPC","2015-01-30T00:00:00-05:00","2015-01-30","87.31156","87.57071","85.91406","86.01587","3031878",""
"GPC","2015-02-02T00:00:00-05:00","2015-02-02","86.38606","86.86732","84.99782","86.47862","2243979",""
"GPC","2015-02-03T00:00:00-05:00","2015-02-03","86.47862","91.03207","86.02512","90.62485","6500494",""
"GPC","2015-02-04T00:00:00-05:00","2015-02-04","90.35645","90.68964","87.98718","88.38515","1700380",""
"GPC","2015-02-05T00:00:00-05:00","2015-02-05","88.82013","89.7919","88.20005","88.80162","1437386",""
"GPC","2015-02-06T00:00:00-05:00","2015-02-06","88.89417","89.95849","88.73683","89.39394","953647",""
"GPC","2015-02-09T00:00:00-05:00","2015-02-09","88.79237","89.80116","88.79237","88.92194","621286",""
"GPC","2015-02-10T00:00:00-05:00","2015-02-10","89.32915","89.82892","88.70907","89.32915","822691",""
"GPC","2015-02-11T00:00:00-05:00","2015-02-11","89.30138","89.81042","88.84789","89.2366","571259",""
"GPC","2015-02-12T00:00:00-05:00","2015-02-12","89.11629","89.73637","88.77385","89.57904","709455",""
"GPC","2015-02-13T00:00:00-05:00","2015-02-13","89.66233","90.21764","89.33841","89.78265","1175582",""
"GPC","2015-02-17T00:00:00-05:00","2015-02-17","90.69889","91.14314","88.99598","89.41245","1551271",""
"GPC","2015-02-18T00:00:00-05:00","2015-02-18","89.10703","89.1348","87.69102","88.43142","990600",""
"GPC","2015-02-19T00:00:00-05:00","2015-02-19","88.52397","89.30138","88.26483","88.5795","630470",""
"GPC","2015-02-20T00:00:00-05:00","2015-02-20","88.46844","89.18108","87.97792","89.10703","730849",""
