symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"GS","2015-01-02T00:00:00-05:00","2015-01-02","188.0343","188.4483","185.531","187.1774","1950255",""
"GS","2015-01-05T00:00:00-05:00","2015-01-05","185.8776","186.8211","180.5052","181.3332","3549034",""
"GS","2015-01-06T00:00:00-05:00","2015-01-06","181.2947","181.6413","177.0872","177.6649","3563160",""
"GS","2015-01-07T00:00:00-05:00","2015-01-07","179.8986","180.9962","178.8588","180.3126","1969989",""
"GS","2015-01-08T00:00:00-05:00","2015-01-08","182.3056","183.7209","182.2093","183.1914","2038228",""
"GS","2015-01-09T00:00:00-05:00","2015-01-09","183.3936","184.1927","180.0045","180.38","2057131",""
"GS","2015-01-12T00:00:00-05:00","2015-01-12","180.3896","180.5533","177.2606","178.1848","2164630",""
"GS","2015-01-13T00:00:00-05:00","2015-01-13","179.6387","182.3345","176.5481","178.05","2851380",""
"GS","2015-01-14T00:00:00-05:00","2015-01-14","174.4395","175.7201","171.4742","173.5249","5405812",""
"GS","2015-01-15T00:00:00-05:00","2015-01-15","173.4768","174.8439","170.8965","171.8496","3267459",""
"GS","2015-01-16T00:00:00-05:00","2015-01-16","170.3477","173.3997","167.5844","170.6365","5322098",""
"GS","2015-01-20T00:00:00-05:00","2015-01-20","170.9639","171.6956","167.7481","169.096","3755205",""
"GS","2015-01-21T00:00:00-05:00","2015-01-21","168.0562","171.7534","166.3906","170.5595","3881399",""
"GS","2015-01-22T00:00:00-05:00","2015-01-22","172.1577","175.7971","170.6558","175.2676","6468861",""
"GS","2015-01-23T00:00:00-05:00","2015-01-23","174.7765","176.1726","173.7078","173.7752","3244401",""
"GS","2015-01-26T00:00:00-05:00","2015-01-26","172.0711","174.2566","171.4356","173.7078","2842240",""
"GS","2015-01-27T00:00:00-05:00","2015-01-27","170.6461","171.994","169.7411","169.924","3464489",""
"GS","2015-01-28T00:00:00-05:00","2015-01-28","171.1179","171.349","166.535","166.612","3133786",""
"GS","2015-01-29T00:00:00-05:00","2015-01-29","166.7372","169.7411","166.6313","169.4426","2514964",""
"GS","2015-01-30T00:00:00-05:00","2015-01-30","167.6518","169.1538","165.9092","165.9958","3154663",""
"GS","2015-02-02T00:00:00-05:00","2015-02-02","166.5543","169.0672","165.8514","168.9612","3090267",""
"GS","2015-02-03T00:00:00-05:00","2015-02-03","169.4619","173.7656","169.3656","173.5345","3912455",""
"GS","2015-02-04T00:00:00-05:00","2015-02-04","172.0711","173.987","171.8881","172.1288","3095668",""
"GS","2015-02-05T00:00:00-05:00","2015-02-05","172.7643","174.8439","172.5621","174.0448","2528362",""
