symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HAR","2015-01-02T00:00:00-05:00","2015-01-02","107.67","107.89","103.68","104.91","413400",""
"HAR","2015-01-05T00:00:00-05:00","2015-01-05","103.41","103.57","97.67","98.31","1387200",""
"HAR","2015-01-06T00:00:00-05:00","2015-01-06","98.38","99.08","96.08","96.86","1139400",""
"HAR","2015-01-07T00:00:00-05:00","2015-01-07","97.36","100.4","97.34","100.37","777200",""
"HAR","2015-01-08T00:00:00-05:00","2015-01-08","101.61","102.22","100.55","101.79","574600",""
"HAR","2015-01-09T00:00:00-05:00","2015-01-09","102.22","102.75","100.19","100.56","537200",""
"HAR","2015-01-12T00:00:00-05:00","2015-01-12","100.61","100.84","98.9","100.26","460800",""
"HAR","2015-01-13T00:00:00-05:00","2015-01-13","101.5","102.88","98.57","99.98","614300",""
"HAR","2015-01-14T00:00:00-05:00","2015-01-14","98.35","99.75","97.82","99.33","610300",""
"HAR","2015-01-15T00:00:00-05:00","2015-01-15","99.81","100.73","95.75","95.87","659000",""
"HAR","2015-01-16T00:00:00-05:00","2015-01-16","95.5","97.45","94.7","97.32","799000",""
"HAR","2015-01-20T00:00:00-05:00","2015-01-20","99.11","99.39","96.73","97.87","640200",""
"HAR","2015-01-21T00:00:00-05:00","2015-01-21","97.55","99.53","97.31","98.77","513900",""
"HAR","2015-01-22T00:00:00-05:00","2015-01-22","99.17","100","98.06","98.88","607100",""
"HAR","2015-01-23T00:00:00-05:00","2015-01-23","98.73","102.04","98.31","101.56","819800",""
"HAR","2015-01-26T00:00:00-05:00","2015-01-26","101.14","103.01","100.1","102.53","754100",""
"HAR","2015-01-27T00:00:00-05:00","2015-01-27","100.98","102.99","100.15","102.35","651400",""
"HAR","2015-01-28T00:00:00-05:00","2015-01-28","102.51","102.76","99.92","101.01","1317300",""
"HAR","2015-01-29T00:00:00-05:00","2015-01-29","113.01","126","112","125.01","4834100",""
"HAR","2015-01-30T00:00:00-05:00","2015-01-30","123.69","132","123.33","129.63","2896200",""
"HAR","2015-02-02T00:00:00-05:00","2015-02-02","129.79","132.57","128.78","131.02","1930100",""
"HAR","2015-02-03T00:00:00-05:00","2015-02-03","132.08","135.07","131.43","134.44","1534700",""
"HAR","2015-02-04T00:00:00-05:00","2015-02-04","134.39","134.39","131.54","131.97","1361800",""
"HAR","2015-02-05T00:00:00-05:00","2015-02-05","133.05","135.36","132.91","134.99","1033600",""
"HAR","2015-02-06T00:00:00-05:00","2015-02-06","134.54","135.47","131.65","132.16","861400",""
"HAR","2015-02-09T00:00:00-05:00","2015-02-09","131.87","134.15","130.57","130.62","708200",""
"HAR","2015-02-10T00:00:00-05:00","2015-02-10","132.37","133.08","131.23","132.58","623200",""
"HAR","2015-02-11T00:00:00-05:00","2015-02-11","132.9","132.9","131.26","131.72","579400",""
"HAR","2015-02-12T00:00:00-05:00","2015-02-12","133.45","139.72","133.12","139.58","1314200",""
"HAR","2015-02-13T00:00:00-05:00","2015-02-13","139.21","140","135.13","136.4","791100",""
"HAR","2015-02-17T00:00:00-05:00","2015-02-17","136.19","139.09","135.21","137.16","649900",""
"HAR","2015-02-18T00:00:00-05:00","2015-02-18","136.7","137.14","135.2","136.53","525100",""
"HAR","2015-02-19T00:00:00-05:00","2015-02-19","136.72","137.65","136.09","136.28","401100",""
"HAR","2015-02-20T00:00:00-05:00","2015-02-20","136.12","137.3","134","137.08","470900",""
"HAR","2015-02-23T00:00:00-05:00","2015-02-23","136.59","137.05","135.67","136.79","396500",""
"HAR","2015-02-24T00:00:00-05:00","2015-02-24","136.72","136.83","134.15","134.5","590600",""
"HAR","2015-02-25T00:00:00-05:00","2015-02-25","134.11","138.33","134.11","137.65","934500",""
"HAR","2015-02-26T00:00:00-05:00","2015-02-26","138.12","139.8","137.52","137.78","738300",""
"HAR","2015-02-27T00:00:00-05:00","2015-02-27","138.01","139.79","137.04","137.99","632600",""
"HAR","2015-03-02T00:00:00-05:00","2015-03-02","138.95","145","138.04","142.39","1257300",""
"HAR","2015-03-03T00:00:00-05:00","2015-03-03","142.26","144.37","140.63","142.43","893900",""
"HAR","2015-03-04T00:00:00-05:00","2015-03-04","141.69","142","137.6","138.89","813800",""
"HAR","2015-03-05T00:00:00-05:00","2015-03-05","139.17","139.69","137.65","137.95","741800",""
"HAR","2015-03-06T00:00:00-05:00","2015-03-06","137.09","137.47","134.27","134.99","701900",""
"HAR","2015-03-09T00:00:00-04:00","2015-03-09","134.88","134.98","132.01","132.62","915300",""
"HAR","2015-03-10T00:00:00-04:00","2015-03-10","131.34","132.09","129.54","129.57","995000",""
"HAR","2015-03-11T00:00:00-04:00","2015-03-11","130.46","132.22","130.2","130.74","830500",""
"HAR","2015-03-12T00:00:00-04:00","2015-03-12","132.28","133.84","131.67","132.17","605500",""
"HAR","2015-03-13T00:00:00-04:00","2015-03-13","131.01","131.6","128.75","130.29","951800",""
"HAR","2015-03-16T00:00:00-04:00","2015-03-16","131.21","135.99","131.13","134.44","1060900",""
"HAR","2015-03-17T00:00:00-04:00","2015-03-17","134.61","135.25","132.42","133.16","708200",""
"HAR","2015-03-18T00:00:00-04:00","2015-03-18","132.92","137.27","131.87","136.06","686500",""
"HAR","2015-03-19T00:00:00-04:00","2015-03-19","135.3","138.15","135.01","136.83","598800",""
"HAR","2015-03-20T00:00:00-04:00","2015-03-20","137.37","138.97","135.75","136.52","1834700",""
"HAR","2015-03-23T00:00:00-04:00","2015-03-23","138.13","138.47","136.74","136.74","578800",""
"HAR","2015-03-24T00:00:00-04:00","2015-03-24","136.16","137.18","135.2","135.37","553000",""
"HAR","2015-03-25T00:00:00-04:00","2015-03-25","135.6","136.62","131.89","131.94","594000",""
"HAR","2015-03-26T00:00:00-04:00","2015-03-26","130.9","133.98","130.03","133.02","547500",""
"HAR","2015-03-27T00:00:00-04:00","2015-03-27","131.99","134.29","131.75","133.17","446100",""
"HAR","2015-03-30T00:00:00-04:00","2015-03-30","134.96","136.65","134.06","136.44","565900",""
"HAR","2015-03-31T00:00:00-04:00","2015-03-31","135.07","135.66","133.26","133.63","572200",""
"HAR","2015-04-01T00:00:00-04:00","2015-04-01","132.82","133.54","130.5","132.22","703500",""
"HAR","2015-04-02T00:00:00-04:00","2015-04-02","132.73","134.19","131.68","133.54","757400",""
"HAR","2015-04-06T00:00:00-04:00","2015-04-06","133.31","135.6","133.02","134.53","646200",""
"HAR","2015-04-07T00:00:00-04:00","2015-04-07","134.75","136.27","133.51","134.54","473200",""
"HAR","2015-04-08T00:00:00-04:00","2015-04-08","134.54","136.04","134.29","136","567900",""
"HAR","2015-04-09T00:00:00-04:00","2015-04-09","135.48","138.75","135.24","138.09","572600",""
"HAR","2015-04-10T00:00:00-04:00","2015-04-10","137.97","139.62","137.13","138.35","495000",""
"HAR","2015-04-13T00:00:00-04:00","2015-04-13","137.77","139","136.9","137.34","506600",""
"HAR","2015-04-14T00:00:00-04:00","2015-04-14","137.54","138.82","135.94","136.5","476200",""
"HAR","2015-04-15T00:00:00-04:00","2015-04-15","137.25","139.08","136.74","138.33","364200",""
"HAR","2015-04-16T00:00:00-04:00","2015-04-16","137.58","138.71","136","138.4","732400",""
"HAR","2015-04-17T00:00:00-04:00","2015-04-17","137.33","137.7","135.7","137.03","539500",""
"HAR","2015-04-20T00:00:00-04:00","2015-04-20","139.51","144.19","138.07","142","964300",""
"HAR","2015-04-21T00:00:00-04:00","2015-04-21","142.75","144.43","142","143.24","759400",""
"HAR","2015-04-22T00:00:00-04:00","2015-04-22","144","144.99","142.13","144.53","710300",""
"HAR","2015-04-23T00:00:00-04:00","2015-04-23","144.67","149.12","144.1","146.49","967100",""
"HAR","2015-04-24T00:00:00-04:00","2015-04-24","147.5","149.11","144.97","145.1","704300",""
"HAR","2015-04-27T00:00:00-04:00","2015-04-27","146.53","146.99","143.26","143.59","592000",""
"HAR","2015-04-28T00:00:00-04:00","2015-04-28","143.99","145.35","140.67","144.14","625600",""
"HAR","2015-04-29T00:00:00-04:00","2015-04-29","143","144.05","139.75","140.2","1079100",""
"HAR","2015-04-30T00:00:00-04:00","2015-04-30","122.05","134","119.1","130.38","5112000",""
"HAR","2015-05-01T00:00:00-04:00","2015-05-01","130.59","132.49","123.74","126.48","2711300",""
"HAR","2015-05-04T00:00:00-04:00","2015-05-04","126.27","128.99","125.68","127.28","1460200",""
"HAR","2015-05-05T00:00:00-04:00","2015-05-05","126.76","127.26","122.91","123.12","1161800",""
"HAR","2015-05-06T00:00:00-04:00","2015-05-06","122.66","123.47","121.12","122.68","1149000",""
"HAR","2015-05-07T00:00:00-04:00","2015-05-07","121.88","123.93","120.67","123.65","1111600",""
"HAR","2015-05-08T00:00:00-04:00","2015-05-08","124.73","129.79","124.4","129.28","1822800",""
"HAR","2015-05-11T00:00:00-04:00","2015-05-11","128.35","132.74","127.98","132.08","1745300",""
"HAR","2015-05-12T00:00:00-04:00","2015-05-12","130.62","131.87","129.76","130.29","1576400",""
"HAR","2015-05-13T00:00:00-04:00","2015-05-13","130","130.86","126.75","126.8","1864000",""
"HAR","2015-05-14T00:00:00-04:00","2015-05-14","127.28","127.68","124.67","126.4","1556600",""
"HAR","2015-05-15T00:00:00-04:00","2015-05-15","126.47","126.82","124.85","125.49","996800",""
"HAR","2015-05-18T00:00:00-04:00","2015-05-18","125.03","126.85","124.8","125.79","737500",""
"HAR","2015-05-19T00:00:00-04:00","2015-05-19","126.09","126.94","122.94","123.41","1111800",""
"HAR","2015-05-20T00:00:00-04:00","2015-05-20","123.87","127.48","123.47","126.55","1013100",""
"HAR","2015-05-21T00:00:00-04:00","2015-05-21","126.66","127.54","124.78","125.07","879000",""
"HAR","2015-05-22T00:00:00-04:00","2015-05-22","125.07","125.96","124.12","124.85","605600",""
"HAR","2015-05-26T00:00:00-04:00","2015-05-26","124.43","124.99","122.18","122.5","1140100",""
"HAR","2015-05-27T00:00:00-04:00","2015-05-27","122.24","123.49","121.73","122.38","989800",""
"HAR","2015-05-28T00:00:00-04:00","2015-05-28","122.3","122.82","121.41","122.32","787400",""
"HAR","2015-05-29T00:00:00-04:00","2015-05-29","122.68","122.68","120.15","120.52","2759500",""
"HAR","2015-06-01T00:00:00-04:00","2015-06-01","121.08","121.7","119.82","121.25","735600",""
"HAR","2015-06-02T00:00:00-04:00","2015-06-02","121","123.72","120.26","122.28","653100",""
"HAR","2015-06-03T00:00:00-04:00","2015-06-03","121.77","124.86","121.34","123.56","749500",""
"HAR","2015-06-04T00:00:00-04:00","2015-06-04","122.55","124.29","121.51","121.76","873400",""
"HAR","2015-06-05T00:00:00-04:00","2015-06-05","121.38","123.17","120.96","122.59","756800",""
"HAR","2015-06-08T00:00:00-04:00","2015-06-08","122.48","123.26","120.56","120.62","745700",""
"HAR","2015-06-09T00:00:00-04:00","2015-06-09","120.98","120.98","118.38","119.96","636000",""
"HAR","2015-06-10T00:00:00-04:00","2015-06-10","120.91","120.97","117.03","117.8","1207100",""
"HAR","2015-06-11T00:00:00-04:00","2015-06-11","119.19","123.1","118.08","122.4","1519100",""
"HAR","2015-06-12T00:00:00-04:00","2015-06-12","121.44","122.42","120.42","120.59","572900",""
"HAR","2015-06-15T00:00:00-04:00","2015-06-15","119.95","120.39","118.84","119.48","564700",""
"HAR","2015-06-16T00:00:00-04:00","2015-06-16","119.4","121.96","119.4","121.9","686100",""
"HAR","2015-06-17T00:00:00-04:00","2015-06-17","122.26","123.98","121.51","122.55","681600",""
"HAR","2015-06-18T00:00:00-04:00","2015-06-18","122.51","125.93","122.51","125.49","759100",""
"HAR","2015-06-19T00:00:00-04:00","2015-06-19","125.41","127.7","124","126.05","2784800",""
"HAR","2015-06-22T00:00:00-04:00","2015-06-22","127.37","128.6","125.58","126.15","970800",""
"HAR","2015-06-23T00:00:00-04:00","2015-06-23","126.48","127.3","126","126.92","598100",""
"HAR","2015-06-24T00:00:00-04:00","2015-06-24","126.32","127.49","124.51","124.73","584500",""
"HAR","2015-06-25T00:00:00-04:00","2015-06-25","125.55","125.55","124.03","124.28","562500",""
"HAR","2015-06-26T00:00:00-04:00","2015-06-26","125.05","126.2","123.75","126.12","867400",""
"HAR","2015-06-29T00:00:00-04:00","2015-06-29","124.19","124.86","118.25","118.46","885300",""
"HAR","2015-06-30T00:00:00-04:00","2015-06-30","120.31","120.78","118.06","118.94","719900",""
"HAR","2015-07-01T00:00:00-04:00","2015-07-01","120.61","122","119.39","120.48","658000",""
"HAR","2015-07-02T00:00:00-04:00","2015-07-02","120.29","120.6","117.87","119","593700",""
"HAR","2015-07-06T00:00:00-04:00","2015-07-06","117.57","119.69","117.33","118.93","878900",""
