symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HAS","2015-01-02T00:00:00-05:00","2015-01-02","51.8152","52.16094","50.99288","51.36666","901172",""
"HAS","2015-01-05T00:00:00-05:00","2015-01-05","51.21715","51.67503","51.02092","51.51617","1130933",""
"HAS","2015-01-06T00:00:00-05:00","2015-01-06","51.75913","51.93668","50.83403","50.84337","972230",""
"HAS","2015-01-07T00:00:00-05:00","2015-01-07","51.02092","51.42273","49.91827","51.08633","2032641",""
"HAS","2015-01-08T00:00:00-05:00","2015-01-08","51.33863","51.40404","50.22663","51.3947","1920276",""
"HAS","2015-01-09T00:00:00-05:00","2015-01-09","51.37601","51.67503","49.64728","49.73138","1623309",""
"HAS","2015-01-12T00:00:00-05:00","2015-01-12","49.45104","49.53514","48.87168","49.16136","1918135",""
"HAS","2015-01-13T00:00:00-05:00","2015-01-13","49.03988","49.694","48.04937","48.50725","1517899",""
"HAS","2015-01-14T00:00:00-05:00","2015-01-14","48.3297","48.96513","48.18954","48.77824","1570979",""
"HAS","2015-01-15T00:00:00-05:00","2015-01-15","48.97447","49.02119","48.37643","48.55397","1379208",""
"HAS","2015-01-16T00:00:00-05:00","2015-01-16","48.46987","49.13333","48.4325","49.09595","1136712",""
"HAS","2015-01-20T00:00:00-05:00","2015-01-20","48.70348","49.33891","48.11478","48.66611","1785330",""
"HAS","2015-01-21T00:00:00-05:00","2015-01-21","48.51659","49.40432","48.40446","49.3576","1181016",""
"HAS","2015-01-22T00:00:00-05:00","2015-01-22","49.72203","50.48828","49.30153","50.31073","1220612",""
"HAS","2015-01-23T00:00:00-05:00","2015-01-23","50.05843","51.5629","49.24546","51.33863","2740866",""
"HAS","2015-01-26T00:00:00-05:00","2015-01-26","50.22663","52.03946","49.7781","51.25453","2646586",""
"HAS","2015-01-27T00:00:00-05:00","2015-01-27","50.74058","51.41338","50.17057","51.06764","1623416",""
"HAS","2015-01-28T00:00:00-05:00","2015-01-28","51.19846","51.77782","51.13305","51.44142","1227033",""
"HAS","2015-01-29T00:00:00-05:00","2015-01-29","51.45076","52.2357","51.3947","52.11422","1392906",""
"HAS","2015-01-30T00:00:00-05:00","2015-01-30","52.11422","52.4344","51.39853","51.7187","1388644",""
"HAS","2015-02-02T00:00:00-05:00","2015-02-02","51.49269","51.70929","50.75816","51.51153","1448854",""
"HAS","2015-02-03T00:00:00-05:00","2015-02-03","51.78463","52.99001","51.76579","52.87701","802264",""
"HAS","2015-02-04T00:00:00-05:00","2015-02-04","52.90526","54.05415","52.90526","53.28194","1396714",""
"HAS","2015-02-05T00:00:00-05:00","2015-02-05","53.25369","53.47028","52.63216","52.85817","1093755",""
"HAS","2015-02-06T00:00:00-05:00","2015-02-06","52.75459","52.97118","52.03888","52.49091","1644774",""
"HAS","2015-02-09T00:00:00-05:00","2015-02-09","54.99585","57.12412","53.8658","56.18241","5232503",""
"HAS","2015-02-10T00:00:00-05:00","2015-02-10","57.32188","58.14117","56.35192","58.01874","2995508",""
"HAS","2015-02-11T00:00:00-05:00","2015-02-11","58.39542","58.79094","57.54789","57.63264","1759671",""
"HAS","2015-02-12T00:00:00-05:00","2015-02-12","57.89632","58.69677","57.81157","58.53668","999033",""
"HAS","2015-02-13T00:00:00-05:00","2015-02-13","58.56493","59.41247","58.53668","59.08287","1525204",""
"HAS","2015-02-17T00:00:00-05:00","2015-02-17","59.21471","59.3183","58.44251","58.82861","1392785",""
"HAS","2015-02-18T00:00:00-05:00","2015-02-18","58.8757","59.07346","58.04699","58.49901","1292117",""
"HAS","2015-02-19T00:00:00-05:00","2015-02-19","58.63085","58.77211","57.91515","58.17883","2069214",""
"HAS","2015-02-20T00:00:00-05:00","2015-02-20","57.4443","58.35776","56.58734","58.22592","1771352",""
"HAS","2015-02-23T00:00:00-05:00","2015-02-23","58.23534","58.40484","57.96224","58.40484","1455225",""
"HAS","2015-02-24T00:00:00-05:00","2015-02-24","58.5461","58.65911","58.18825","58.43309","611653",""
"HAS","2015-02-25T00:00:00-05:00","2015-02-25","58.56493","59.12054","58.36717","58.46135","1105542",""
"HAS","2015-02-26T00:00:00-05:00","2015-02-26","58.44251","58.95103","58.22592","58.85686","645527",""
"HAS","2015-02-27T00:00:00-05:00","2015-02-27","59.09229","59.11113","58.38601","58.67794","776035",""
"HAS","2015-03-02T00:00:00-05:00","2015-03-02","58.80978","59.77032","58.75327","59.46898","740780",""
"HAS","2015-03-03T00:00:00-05:00","2015-03-03","59.2053","59.49723","58.82861","59.06404","755753",""
"HAS","2015-03-04T00:00:00-05:00","2015-03-04","59.57256","59.61965","58.4896","58.79094","685773",""
"HAS","2015-03-05T00:00:00-05:00","2015-03-05","58.67794","59.18646","58.50843","58.79094","831041",""
"HAS","2015-03-06T00:00:00-05:00","2015-03-06","58.62144","58.63085","57.8304","58.05641","1230315",""
"HAS","2015-03-09T00:00:00-04:00","2015-03-09","58.31067","58.70619","57.94341","58.35776","660925",""
"HAS","2015-03-10T00:00:00-04:00","2015-03-10","57.96224","58.04699","57.4443","57.7739","917904",""
"HAS","2015-03-11T00:00:00-04:00","2015-03-11","56.512","57.98107","56.512","57.35955","772000",""
"HAS","2015-03-12T00:00:00-04:00","2015-03-12","57.61381","58.28242","57.3313","58.1035","1256013",""
"HAS","2015-03-13T00:00:00-04:00","2015-03-13","58.2165","58.85686","56.70977","57.19004","1357424",""
"HAS","2015-03-16T00:00:00-04:00","2015-03-16","57.51022","58.11291","57.07703","57.91515","884136",""
"HAS","2015-03-17T00:00:00-04:00","2015-03-17","57.67973","58.09408","57.27479","58.00932","701490",""
"HAS","2015-03-18T00:00:00-04:00","2015-03-18","57.99991","58.1035","56.76627","57.84924","988521",""
"HAS","2015-03-19T00:00:00-04:00","2015-03-19","57.64206","57.91515","57.1147","57.53847","1389918",""
"HAS","2015-03-20T00:00:00-04:00","2015-03-20","57.74565","57.90574","57.26538","57.51964","2668125",""
"HAS","2015-03-23T00:00:00-04:00","2015-03-23","57.70798","58.65911","57.54789","57.80215","1198670",""
"HAS","2015-03-24T00:00:00-04:00","2015-03-24","57.98107","58.44251","57.74565","57.90574","954115",""
"HAS","2015-03-25T00:00:00-04:00","2015-03-25","58.00932","58.05641","57.14295","57.14295","1118922",""
"HAS","2015-03-26T00:00:00-04:00","2015-03-26","56.73802","57.28421","56.25775","57.02995","1075384",""
"HAS","2015-03-27T00:00:00-04:00","2015-03-27","56.90752","57.92457","56.55909","57.47255","832103",""
"HAS","2015-03-30T00:00:00-04:00","2015-03-30","57.91515","58.99812","57.56672","58.92278","1084622",""
"HAS","2015-03-31T00:00:00-04:00","2015-03-31","58.95103","59.88333","58.6026","59.55373","1526160",""
"HAS","2015-04-01T00:00:00-04:00","2015-04-01","59.45956","60.22234","58.91337","60.07167","1766573",""
"HAS","2015-04-02T00:00:00-04:00","2015-04-02","59.96808","60.15643","59.25238","59.75149","1058924",""
"HAS","2015-04-06T00:00:00-04:00","2015-04-06","59.57256","60.72145","59.32772","60.41069","1118285",""
"HAS","2015-04-07T00:00:00-04:00","2015-04-07","60.41069","60.67436","59.57256","59.90216","1156938",""
"HAS","2015-04-08T00:00:00-04:00","2015-04-08","60.35418","60.44836","59.87391","60.3071","983105",""
"HAS","2015-04-09T00:00:00-04:00","2015-04-09","60.23176","60.53311","60.034","60.46719","489853",""
"HAS","2015-04-10T00:00:00-04:00","2015-04-10","60.52369","60.82504","60.22234","60.46719","827855",""
"HAS","2015-04-13T00:00:00-04:00","2015-04-13","60.59903","61.00396","60.06225","60.15643","906861",""
"HAS","2015-04-14T00:00:00-04:00","2015-04-14","60.05283","61.11697","59.93983","60.72145","856102",""
"HAS","2015-04-15T00:00:00-04:00","2015-04-15","60.96629","61.20172","60.58961","61.04163","1283197",""
