symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HBAN","2015-01-02T00:00:00-05:00","2015-01-02","9.900683","9.900683","9.723217","9.80728","6863080",""
"HBAN","2015-01-05T00:00:00-05:00","2015-01-05","9.769918","9.788599","9.517732","9.517732","8045916",""
"HBAN","2015-01-06T00:00:00-05:00","2015-01-06","9.517732","9.573773","9.209502","9.265545","12358534",""
"HBAN","2015-01-07T00:00:00-05:00","2015-01-07","9.358948","9.47103","9.284225","9.386968","14109126",""
"HBAN","2015-01-08T00:00:00-05:00","2015-01-08","9.46169","9.620475","9.443009","9.601794","12052975",""
"HBAN","2015-01-09T00:00:00-05:00","2015-01-09","9.508391","9.611135","9.293565","9.330926","11041120",""
"HBAN","2015-01-12T00:00:00-05:00","2015-01-12","9.340266","9.377627","9.237524","9.349607","11795274",""
"HBAN","2015-01-13T00:00:00-05:00","2015-01-13","9.43367","9.583114","9.237524","9.321586","16144935",""
"HBAN","2015-01-14T00:00:00-05:00","2015-01-14","9.228184","9.237524","9.013357","9.200163","15279007",""
"HBAN","2015-01-15T00:00:00-05:00","2015-01-15","9.153461","9.209502","9.013357","9.069399","11718188",""
"HBAN","2015-01-16T00:00:00-05:00","2015-01-16","9.022697","9.274885","8.994677","9.265545","10772926",""
"HBAN","2015-01-20T00:00:00-05:00","2015-01-20","9.284225","9.293565","9.069399","9.125441","8945355",""
"HBAN","2015-01-21T00:00:00-05:00","2015-01-21","9.125441","9.228184","9.060059","9.1161","14956318",""
"HBAN","2015-01-22T00:00:00-05:00","2015-01-22","9.162802","9.508391","9.078739","9.480371","13317286",""
"HBAN","2015-01-23T00:00:00-05:00","2015-01-23","9.47103","9.527072","9.312246","9.377627","11534789",""
"HBAN","2015-01-26T00:00:00-05:00","2015-01-26","9.396309","9.517732","9.368287","9.499051","8202656",""
"HBAN","2015-01-27T00:00:00-05:00","2015-01-27","9.377627","9.47103","9.302905","9.368287","11823860",""
"HBAN","2015-01-28T00:00:00-05:00","2015-01-28","9.443009","9.480371","9.1161","9.125441","10762969",""
"HBAN","2015-01-29T00:00:00-05:00","2015-01-29","9.172141","9.414989","9.125441","9.414989","16273090",""
"HBAN","2015-01-30T00:00:00-05:00","2015-01-30","9.274885","9.443009","9.237524","9.358948","13589976",""
"HBAN","2015-02-02T00:00:00-05:00","2015-02-02","9.424329","9.620475","9.321586","9.592454","13728516",""
"HBAN","2015-02-03T00:00:00-05:00","2015-02-03","9.620475","9.788599","9.601794","9.685856","14729023",""
"HBAN","2015-02-04T00:00:00-05:00","2015-02-04","9.667176","9.667176","9.489711","9.545753","17025424",""
"HBAN","2015-02-05T00:00:00-05:00","2015-02-05","9.573773","9.667176","9.555092","9.629815","14593909",""
"HBAN","2015-02-06T00:00:00-05:00","2015-02-06","9.732558","9.853981","9.685856","9.723217","13512676",""
"HBAN","2015-02-09T00:00:00-05:00","2015-02-09","9.657836","9.769918","9.592454","9.685856","7296151",""
"HBAN","2015-02-10T00:00:00-05:00","2015-02-10","9.769918","9.910023","9.751238","9.900683","9736125",""
"HBAN","2015-02-11T00:00:00-05:00","2015-02-11","9.872662","9.891342","9.769918","9.80728","7706525",""
"HBAN","2015-02-12T00:00:00-05:00","2015-02-12","9.872662","10.00343","9.797939","10.00343","8808956",""
"HBAN","2015-02-13T00:00:00-05:00","2015-02-13","10.00343","10.04079","9.910023","9.984745","4658860",""
"HBAN","2015-02-17T00:00:00-05:00","2015-02-17","9.938044","10.04079","9.900683","9.994085","4998893",""
"HBAN","2015-02-18T00:00:00-05:00","2015-02-18","9.975405","10.03145","9.919363","9.928703","5904542",""
"HBAN","2015-02-19T00:00:00-05:00","2015-02-19","9.919363","10.01277","9.80728","9.938044","6808264",""
"HBAN","2015-02-20T00:00:00-05:00","2015-02-20","9.900683","10.02211","9.816621","10.01277","7409960",""
"HBAN","2015-02-23T00:00:00-05:00","2015-02-23","9.956724","10.01277","9.891342","9.966064","6651309",""
"HBAN","2015-02-24T00:00:00-05:00","2015-02-24","9.994085","10.24627","9.984745","10.23693","13625735",""
"HBAN","2015-02-25T00:00:00-05:00","2015-02-25","10.21825","10.29297","10.19957","10.25561","13302404",""
"HBAN","2015-02-26T00:00:00-05:00","2015-02-26","10.20891","10.25561","10.16221","10.24627","9528850",""
"HBAN","2015-02-27T00:00:00-05:00","2015-02-27","10.21825","10.27429","10.17155","10.21825","5755403",""
"HBAN","2015-03-02T00:00:00-05:00","2015-03-02","10.20891","10.26495","10.15287","10.23693","7832217",""
"HBAN","2015-03-03T00:00:00-05:00","2015-03-03","10.21825","10.25561","10.10617","10.19957","7654813",""
"HBAN","2015-03-04T00:00:00-05:00","2015-03-04","10.14353","10.15287","10.00343","10.10617","10256452",""
"HBAN","2015-03-05T00:00:00-05:00","2015-03-05","10.10617","10.16221","9.984745","10.15287","8209937",""
"HBAN","2015-03-06T00:00:00-05:00","2015-03-06","10.16221","10.44242","10.08749","10.28363","18220894",""
"HBAN","2015-03-09T00:00:00-04:00","2015-03-09","10.30231","10.40506","10.28363","10.35836","9060876",""
"HBAN","2015-03-10T00:00:00-04:00","2015-03-10","10.20891","10.21825","10.04079","10.05013","13441693",""
"HBAN","2015-03-11T00:00:00-04:00","2015-03-11","10.05013","10.14353","10.04079","10.14353","6455169",""
"HBAN","2015-03-12T00:00:00-04:00","2015-03-12","10.24627","10.47044","10.23693","10.4611","9038714",""
"HBAN","2015-03-13T00:00:00-04:00","2015-03-13","10.43308","10.44242","10.29297","10.38638","11027951",""
"HBAN","2015-03-16T00:00:00-04:00","2015-03-16","10.44272","10.48968","10.37699","10.4615","6929660",""
"HBAN","2015-03-17T00:00:00-04:00","2015-03-17","10.44272","10.55541","10.31125","10.53663","10718100",""
"HBAN","2015-03-18T00:00:00-04:00","2015-03-18","10.51785","10.61176","10.37699","10.48029","9542498",""
"HBAN","2015-03-19T00:00:00-04:00","2015-03-19","10.48029","10.53663","10.31125","10.42394","8981106",""
"HBAN","2015-03-20T00:00:00-04:00","2015-03-20","10.51785","10.61176","10.39577","10.58359","10731836",""
"HBAN","2015-03-23T00:00:00-04:00","2015-03-23","10.58359","10.61176","10.47089","10.47089","5217796",""
"HBAN","2015-03-24T00:00:00-04:00","2015-03-24","10.43333","10.43333","10.32064","10.34881","11052358",""
"HBAN","2015-03-25T00:00:00-04:00","2015-03-25","10.36759","10.41455","10.16099","10.16099","8311417",""
"HBAN","2015-03-26T00:00:00-04:00","2015-03-26","10.1516","10.24551","10.02952","10.21734","9088763",""
"HBAN","2015-03-27T00:00:00-04:00","2015-03-27","10.18917","10.21734","10.10465","10.17038","4776946",""
"HBAN","2015-03-30T00:00:00-04:00","2015-03-30","10.22673","10.34881","10.22673","10.33942","4624458",""
"HBAN","2015-03-31T00:00:00-04:00","2015-03-31","10.2549","10.43333","10.22673","10.37699","9332721",""
"HBAN","2015-04-01T00:00:00-04:00","2015-04-01","10.3582","10.38638","10.23612","10.32064","7799647",""
"HBAN","2015-04-02T00:00:00-04:00","2015-04-02","10.33003","10.40516","10.30186","10.36759","5947543",""
"HBAN","2015-04-06T00:00:00-04:00","2015-04-06","10.24551","10.44272","10.17978","10.38638","6971828",""
"HBAN","2015-04-07T00:00:00-04:00","2015-04-07","10.39577","10.49907","10.3582","10.42394","7297142",""
"HBAN","2015-04-08T00:00:00-04:00","2015-04-08","10.44272","10.49907","10.3582","10.38638","10732049",""
"HBAN","2015-04-09T00:00:00-04:00","2015-04-09","10.41455","10.45211","10.31125","10.41455","10918825",""
"HBAN","2015-04-10T00:00:00-04:00","2015-04-10","10.45211","10.47089","10.33942","10.37699","9150205",""
"HBAN","2015-04-13T00:00:00-04:00","2015-04-13","10.37699","10.61176","10.37699","10.59298","8643866",""
"HBAN","2015-04-14T00:00:00-04:00","2015-04-14","10.58359","10.60237","10.43333","10.47089","11274061",""
"HBAN","2015-04-15T00:00:00-04:00","2015-04-15","10.47089","10.63054","10.47089","10.58359","10313028",""
"HBAN","2015-04-16T00:00:00-04:00","2015-04-16","10.5648","10.63054","10.48029","10.58359","5470380",""
"HBAN","2015-04-17T00:00:00-04:00","2015-04-17","10.50846","10.5648","10.38638","10.43333","7704769",""
"HBAN","2015-04-20T00:00:00-04:00","2015-04-20","10.47089","10.51785","10.38638","10.47089","7268923",""
"HBAN","2015-04-21T00:00:00-04:00","2015-04-21","10.51785","10.57419","10.4615","10.48968","7734159",""
"HBAN","2015-04-22T00:00:00-04:00","2015-04-22","10.30186","10.44272","10.22673","10.3582","18219800",""
"HBAN","2015-04-23T00:00:00-04:00","2015-04-23","10.30186","10.33942","10.24551","10.27368","9218995",""
"HBAN","2015-04-24T00:00:00-04:00","2015-04-24","10.1516","10.22673","10.09526","10.13282","11237750",""
"HBAN","2015-04-27T00:00:00-04:00","2015-04-27","10.19856","10.27368","10.03891","10.05769","12839294",""
"HBAN","2015-04-28T00:00:00-04:00","2015-04-28","10.07648","10.17978","10.02013","10.13282","14180161",""
"HBAN","2015-04-29T00:00:00-04:00","2015-04-29","10.05769","10.29247","10.05769","10.22673","12200380",""
"HBAN","2015-04-30T00:00:00-04:00","2015-04-30","10.22673","10.33942","10.17978","10.19856","12323371",""
"HBAN","2015-05-01T00:00:00-04:00","2015-05-01","10.29247","10.30186","10.1516","10.22673","4980759",""
"HBAN","2015-05-04T00:00:00-04:00","2015-05-04","10.2549","10.38638","10.22673","10.37699","8054680",""
"HBAN","2015-05-05T00:00:00-04:00","2015-05-05","10.30186","10.38638","10.28308","10.31125","11551456",""
"HBAN","2015-05-06T00:00:00-04:00","2015-05-06","10.33942","10.36759","10.1516","10.21734","8564428",""
"HBAN","2015-05-07T00:00:00-04:00","2015-05-07","10.20795","10.28308","10.17038","10.24551","7883132",""
"HBAN","2015-05-08T00:00:00-04:00","2015-05-08","10.26429","10.33003","10.21734","10.33003","5285734",""
"HBAN","2015-05-11T00:00:00-04:00","2015-05-11","10.33003","10.47089","10.28308","10.41455","7720954",""
"HBAN","2015-05-12T00:00:00-04:00","2015-05-12","10.36759","10.45211","10.28308","10.42394","7166803",""
"HBAN","2015-05-13T00:00:00-04:00","2015-05-13","10.39577","10.55541","10.3582","10.51785","8853749",""
"HBAN","2015-05-14T00:00:00-04:00","2015-05-14","10.5648","10.5648","10.45211","10.54602","6401704",""
"HBAN","2015-05-15T00:00:00-04:00","2015-05-15","10.57419","10.58359","10.33003","10.40516","5753845",""
"HBAN","2015-05-18T00:00:00-04:00","2015-05-18","10.40516","10.61176","10.39577","10.57419","7273076",""
"HBAN","2015-05-19T00:00:00-04:00","2015-05-19","10.59298","10.79019","10.59298","10.75262","11238495",""
"HBAN","2015-05-20T00:00:00-04:00","2015-05-20","10.74323","10.75262","10.63993","10.65871","5796120",""
"HBAN","2015-05-21T00:00:00-04:00","2015-05-21","10.62115","10.71506","10.60237","10.64932","7068197",""
"HBAN","2015-05-22T00:00:00-04:00","2015-05-22","10.64932","10.70567","10.57419","10.57419","5286160",""
"HBAN","2015-05-26T00:00:00-04:00","2015-05-26","10.48968","10.54602","10.45211","10.45211","15007235",""
"HBAN","2015-05-27T00:00:00-04:00","2015-05-27","10.4615","10.61176","10.44272","10.58359","11704157",""
"HBAN","2015-05-28T00:00:00-04:00","2015-05-28","10.55541","10.63054","10.52724","10.59298","10447626",""
"HBAN","2015-05-29T00:00:00-04:00","2015-05-29","10.61176","10.62115","10.44272","10.45211","13059400",""
"HBAN","2015-06-01T00:00:00-04:00","2015-06-01","10.48968","10.52724","10.27368","10.36759","12808945",""
"HBAN","2015-06-02T00:00:00-04:00","2015-06-02","10.36759","10.51785","10.34881","10.48968","7929027",""
"HBAN","2015-06-03T00:00:00-04:00","2015-06-03","10.49907","10.58359","10.47089","10.58359","10227733",""
"HBAN","2015-06-04T00:00:00-04:00","2015-06-04","10.55541","10.59298","10.4615","10.48029","9526099",""
"HBAN","2015-06-05T00:00:00-04:00","2015-06-05","10.58359","10.64932","10.49907","10.64932","9929254",""
"HBAN","2015-06-08T00:00:00-04:00","2015-06-08","10.63054","10.70567","10.57419","10.58359","14554565",""
"HBAN","2015-06-09T00:00:00-04:00","2015-06-09","10.60237","10.75262","10.55541","10.69628","12542518",""
"HBAN","2015-06-10T00:00:00-04:00","2015-06-10","10.73384","10.84653","10.71506","10.74323","12871878",""
"HBAN","2015-06-11T00:00:00-04:00","2015-06-11","10.74323","10.82775","10.70567","10.7808","6996426",""
"HBAN","2015-06-12T00:00:00-04:00","2015-06-12","10.77141","10.83714","10.75262","10.81836","8011234",""
"HBAN","2015-06-15T00:00:00-04:00","2015-06-15","10.75228","10.85612","10.6862","10.77116","8057538",""
"HBAN","2015-06-16T00:00:00-04:00","2015-06-16","10.7334","10.85612","10.72396","10.84668","5751949",""
"HBAN","2015-06-17T00:00:00-04:00","2015-06-17","10.88444","10.89388","10.72396","10.72396","8154571",""
"HBAN","2015-06-18T00:00:00-04:00","2015-06-18","10.71452","10.89388","10.6862","10.86556","14490412",""
"HBAN","2015-06-19T00:00:00-04:00","2015-06-19","10.8278","10.875","10.72396","10.72396","12044782",""
"HBAN","2015-06-22T00:00:00-04:00","2015-06-22","10.80892","10.93164","10.79004","10.9222","9074264",""
"HBAN","2015-06-23T00:00:00-04:00","2015-06-23","10.95052","11.05436","10.95052","11.02604","5697924",""
"HBAN","2015-06-24T00:00:00-04:00","2015-06-24","11.0166","11.0638","10.90332","10.93164","6215185",""
"HBAN","2015-06-25T00:00:00-04:00","2015-06-25","10.97884","11.02604","10.7806","10.79004","14709795",""
"HBAN","2015-06-26T00:00:00-04:00","2015-06-26","10.84668","10.875","10.79004","10.81836","11827518",""
