symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HBI","2015-01-02T00:00:00-05:00","2015-01-02","106.7839","107.1926","104.379","105.1394","628904",""
"HBI","2015-01-05T00:00:00-05:00","2015-01-05","104.417","104.8067","102.2688","102.554","663516",""
"HBI","2015-01-06T00:00:00-05:00","2015-01-06","102.5825","102.7346","99.90194","100.8905","860772",""
"HBI","2015-01-07T00:00:00-05:00","2015-01-07","101.5179","104.5026","101.5179","104.398","610704",""
"HBI","2015-01-08T00:00:00-05:00","2015-01-08","105.4721","106.5082","105.0349","106.3846","597869",""
"HBI","2015-01-09T00:00:00-05:00","2015-01-09","107.1736","107.7059","105.6337","106.0139","675088",""
"HBI","2015-01-12T00:00:00-05:00","2015-01-12","106.4797","107.2401","105.1584","105.358","561574",""
"HBI","2015-01-13T00:00:00-05:00","2015-01-13","106.3371","107.8675","104.7117","106.0329","464366",""
"HBI","2015-01-14T00:00:00-05:00","2015-01-14","105.339","105.5577","104.1414","105.4151","410187",""
"HBI","2015-01-15T00:00:00-05:00","2015-01-15","105.4151","105.9474","101.3468","101.5749","1001639",""
"HBI","2015-01-16T00:00:00-05:00","2015-01-16","101.6034","101.9741","100.824","101.8601","699495",""
"HBI","2015-01-20T00:00:00-05:00","2015-01-20","101.7175","102.3638","100.4533","101.803","995958",""
"HBI","2015-01-21T00:00:00-05:00","2015-01-21","101.7745","104.0083","100.957","103.8562","858563",""
"HBI","2015-01-22T00:00:00-05:00","2015-01-22","104.7592","107.6394","103.3714","107.4492","930311",""
"HBI","2015-01-23T00:00:00-05:00","2015-01-23","106.9264","109.3218","106.7268","108.7895","958190",""
"HBI","2015-01-26T00:00:00-05:00","2015-01-26","108.1717","108.3998","106.4512","107.839","934624",""
"HBI","2015-01-27T00:00:00-05:00","2015-01-27","106.5938","107.6108","105.8999","106.9074","858247",""
"HBI","2015-01-28T00:00:00-05:00","2015-01-28","107.8104","110.9187","107.6013","108.761","1601612",""
"HBI","2015-01-29T00:00:00-05:00","2015-01-29","109.5689","110.6431","107.896","110.3294","1163757",""
"HBI","2015-01-30T00:00:00-05:00","2015-01-30","108.2667","112.4206","105.3105","105.8713","2065348",""
"HBI","2015-02-02T00:00:00-05:00","2015-02-02","106.3371","106.7268","104.5786","105.8618","1409617",""
"HBI","2015-02-03T00:00:00-05:00","2015-02-03","106.1185","108.6849","105.6907","108.6279","814588",""
"HBI","2015-02-04T00:00:00-05:00","2015-02-04","107.6869","109.5975","107.5728","108.6184","834892",""
"HBI","2015-02-05T00:00:00-05:00","2015-02-05","109.019","109.8298","108.4086","108.876","517150",""
"HBI","2015-02-06T00:00:00-05:00","2015-02-06","109.3434","111.0413","108.4849","110.1923","791818",""
"HBI","2015-02-09T00:00:00-05:00","2015-02-09","109.9062","111.2893","109.0763","110.2495","640646",""
"HBI","2015-02-10T00:00:00-05:00","2015-02-10","111.3465","111.709","110.3259","111.3942","365244",""
"HBI","2015-02-11T00:00:00-05:00","2015-02-11","111.6327","112.3099","110.7265","111.8807","558245",""
"HBI","2015-02-12T00:00:00-05:00","2015-02-12","112.3576","113.1875","111.3465","112.4149","487587",""
"HBI","2015-02-13T00:00:00-05:00","2015-02-13","113.2829","113.8838","112.2813","113.6263","628275",""
"HBI","2015-02-17T00:00:00-05:00","2015-02-17","113.5118","113.5404","112.3004","112.5198","515892",""
"HBI","2015-02-18T00:00:00-05:00","2015-02-18","112.4339","113.7026","111.7948","113.4546","480563",""
"HBI","2015-02-19T00:00:00-05:00","2015-02-19","113.8838","113.9506","112.453","112.5198","430137",""
"HBI","2015-02-20T00:00:00-05:00","2015-02-20","112.9395","116.6024","112.8346","116.2304","676080",""
"HBI","2015-02-23T00:00:00-05:00","2015-02-23","115.9347","117.2701","115.5913","117.1747","601228",""
"HBI","2015-02-24T00:00:00-05:00","2015-02-24","117.3941","117.4513","116.1445","116.6882","423323",""
"HBI","2015-02-25T00:00:00-05:00","2015-02-25","117.4609","121.1619","117.0221","119.3114","873589",""
"HBI","2015-02-26T00:00:00-05:00","2015-02-26","119.6262","123.0029","119.4163","122.9648","1015430",""
"HBI","2015-02-27T00:00:00-05:00","2015-02-27","122.8408","123.2319","120.7709","121.658","651024",""
"HBI","2015-03-02T00:00:00-05:00","2015-03-02","122.4497","123.4894","121.8106","122.8599","599970",""
"HBI","2015-03-03T00:00:00-05:00","2015-03-03","122.5737","122.6309","121.1715","122.049","604478",""
"HBI","2015-03-04T00:00:00-05:00","2015-03-04","30.5528","30.90574","30.29526","30.82943","1786491",""
"HBI","2015-03-05T00:00:00-05:00","2015-03-05","30.98205","30.98205","30.58142","30.65773","2498949",""
"HBI","2015-03-06T00:00:00-05:00","2015-03-06","30.91528","31.04882","30.39064","30.52419","2918393",""
"HBI","2015-03-09T00:00:00-04:00","2015-03-09","30.58142","30.90574","30.47649","30.81035","1748017",""
"HBI","2015-03-10T00:00:00-04:00","2015-03-10","30.51465","30.77219","30.35249","30.57188","2044909",""
"HBI","2015-03-11T00:00:00-04:00","2015-03-11","30.52419","30.93436","30.52419","30.73404","2336979",""
"HBI","2015-03-12T00:00:00-04:00","2015-03-12","30.85804","30.99159","30.64819","30.95343","1275526",""
"HBI","2015-03-13T00:00:00-04:00","2015-03-13","30.95343","31.30637","30.70542","31.10605","3112233",""
"HBI","2015-03-16T00:00:00-04:00","2015-03-16","31.64023","32.23164","31.58299","32.08855","8998084",""
"HBI","2015-03-17T00:00:00-04:00","2015-03-17","32.09809","32.59411","32.06947","32.42241","4688741",""
"HBI","2015-03-18T00:00:00-04:00","2015-03-18","32.43195","33.03289","32.16486","32.80396","3824796",""
"HBI","2015-03-19T00:00:00-04:00","2015-03-19","32.69904","32.88028","32.05994","32.75627","3939171",""
"HBI","2015-03-20T00:00:00-04:00","2015-03-20","33.02335","33.05197","32.50826","32.60365","66881940",""
"HBI","2015-03-23T00:00:00-04:00","2015-03-23","32.70858","33.19505","32.65134","32.65134","4099359",""
"HBI","2015-03-24T00:00:00-04:00","2015-03-24","32.65134","32.83258","32.0027","32.55595","4943384",""
"HBI","2015-03-25T00:00:00-04:00","2015-03-25","32.63226","32.86119","32.11716","32.11716","2957602",""
"HBI","2015-03-26T00:00:00-04:00","2015-03-26","32.0027","32.06947","31.51622","31.91685","3066316",""
"HBI","2015-03-27T00:00:00-04:00","2015-03-27","31.91685","32.3461","31.831","32.2984","2864089",""
"HBI","2015-03-30T00:00:00-04:00","2015-03-30","32.4701","32.53688","32.0504","32.10763","3014003",""
"HBI","2015-03-31T00:00:00-04:00","2015-03-31","32.05994","32.31749","31.93593","31.96455","3178908",""
"HBI","2015-04-01T00:00:00-04:00","2015-04-01","31.98362","32.62273","31.6593","32.60365","4192452",""
"HBI","2015-04-02T00:00:00-04:00","2015-04-02","32.54641","32.8135","32.45103","32.56549","2411307",""
"HBI","2015-04-06T00:00:00-04:00","2015-04-06","32.3461","32.74673","32.14579","32.44149","2427032",""
"HBI","2015-04-07T00:00:00-04:00","2015-04-07","32.42241","32.59411","32.21255","32.23164","1662891",""
"HBI","2015-04-08T00:00:00-04:00","2015-04-08","32.36518","32.59411","32.23164","32.52734","4486095",""
"HBI","2015-04-09T00:00:00-04:00","2015-04-09","32.67042","32.92797","32.5178","32.90889","2383106",""
"HBI","2015-04-10T00:00:00-04:00","2015-04-10","33.00428","33.14736","32.62273","32.90889","2060739",""
"HBI","2015-04-13T00:00:00-04:00","2015-04-13","32.9375","33.01382","32.56549","32.57503","1236317",""
"HBI","2015-04-14T00:00:00-04:00","2015-04-14","32.48918","32.65134","32.27933","32.32702","1479430",""
"HBI","2015-04-15T00:00:00-04:00","2015-04-15","32.38425","32.47964","32.28886","32.28886","1565080",""
"HBI","2015-04-16T00:00:00-04:00","2015-04-16","32.20301","32.38425","32.15532","32.2221","2274288",""
"HBI","2015-04-17T00:00:00-04:00","2015-04-17","32.02178","32.21255","31.91685","32.03132","2012305",""
"HBI","2015-04-20T00:00:00-04:00","2015-04-20","32.16486","32.24117","31.82147","32.2221","2486893",""
"HBI","2015-04-21T00:00:00-04:00","2015-04-21","32.24117","32.62273","32.07901","32.32702","2293892",""
"HBI","2015-04-22T00:00:00-04:00","2015-04-22","32.38425","32.57503","32.08855","32.54641","1942590",""
"HBI","2015-04-23T00:00:00-04:00","2015-04-23","32.57503","33.16644","32.44149","32.9852","3564910",""
"HBI","2015-04-24T00:00:00-04:00","2015-04-24","31.56392","31.99316","30.31433","30.73404","12734190",""
"HBI","2015-04-27T00:00:00-04:00","2015-04-27","30.76266","30.84851","30.0854","30.35249","5810788",""
"HBI","2015-04-28T00:00:00-04:00","2015-04-28","30.18079","30.28572","29.69431","29.87555","3475591",""
"HBI","2015-04-29T00:00:00-04:00","2015-04-29","29.71339","29.86601","29.36999","29.46538","3689035",""
"HBI","2015-04-30T00:00:00-04:00","2015-04-30","29.42723","29.87555","29.36045","29.64662","3607054",""
"HBI","2015-05-01T00:00:00-04:00","2015-05-01","29.70385","29.99002","29.6657","29.98047","2311924",""
"HBI","2015-05-04T00:00:00-04:00","2015-05-04","30.11402","30.61004","30.07586","30.24756","2542351",""
"HBI","2015-05-05T00:00:00-04:00","2015-05-05","30.16171","30.24756","29.64662","29.70385","2193355",""
"HBI","2015-05-06T00:00:00-04:00","2015-05-06","29.68477","29.7897","29.33184","29.53215","1982532",""
"HBI","2015-05-07T00:00:00-04:00","2015-05-07","29.51307","29.92324","29.33184","29.83739","3076380",""
"HBI","2015-05-08T00:00:00-04:00","2015-05-08","30.19033","30.6005","30.15217","30.19987","1730090",""
"HBI","2015-05-11T00:00:00-04:00","2015-05-11","30.14264","30.50511","30.10448","30.35249","2209185",""
"HBI","2015-05-12T00:00:00-04:00","2015-05-12","30.0854","30.14264","29.57985","29.57985","3627811",""
"HBI","2015-05-13T00:00:00-04:00","2015-05-13","29.618","29.75154","29.01706","29.05521","2719627",""
"HBI","2015-05-14T00:00:00-04:00","2015-05-14","29.2746","29.71339","29.09337","29.6657","2676225",""
"HBI","2015-05-15T00:00:00-04:00","2015-05-15","29.9614","30.2571","29.76108","29.86601","2143139",""
"HBI","2015-05-18T00:00:00-04:00","2015-05-18","29.94232","30.37157","29.9137","30.36203","2787979",""
"HBI","2015-05-19T00:00:00-04:00","2015-05-19","30.45772","30.86918","30.33332","30.6778","2605218",""
"HBI","2015-05-20T00:00:00-04:00","2015-05-20","30.65866","30.85961","30.4003","30.82133","2369558",""
"HBI","2015-05-21T00:00:00-04:00","2015-05-21","30.6778","31.07969","30.6778","31.05099","2759573",""
"HBI","2015-05-22T00:00:00-04:00","2015-05-22","31.01271","31.12754","30.76392","30.9553","2798971",""
"HBI","2015-05-26T00:00:00-04:00","2015-05-26","30.75435","30.85961","30.50556","30.62039","3011954",""
"HBI","2015-05-27T00:00:00-04:00","2015-05-27","30.66823","30.90745","30.49599","30.57254","2634584",""
"HBI","2015-05-28T00:00:00-04:00","2015-05-28","30.49599","30.69694","30.3716","30.55341","2425260",""
"HBI","2015-05-29T00:00:00-04:00","2015-05-29","30.61082","30.78306","30.36203","30.48642","3729593",""
"HBI","2015-06-01T00:00:00-04:00","2015-06-01","30.51513","30.75435","30.42901","30.63953","3261826",""
"HBI","2015-06-02T00:00:00-04:00","2015-06-02","30.56297","30.79263","30.39074","30.43858","2787058",""
"HBI","2015-06-03T00:00:00-04:00","2015-06-03","30.55341","30.76392","30.4003","30.64909","2172565",""
"HBI","2015-06-04T00:00:00-04:00","2015-06-04","30.46729","30.84047","30.43858","30.66823","1881622",""
"HBI","2015-06-05T00:00:00-04:00","2015-06-05","30.68737","31.04142","30.47686","30.9553","2518897",""
"HBI","2015-06-08T00:00:00-04:00","2015-06-08","30.87875","30.99357","30.72565","30.90745","2911001",""
"HBI","2015-06-09T00:00:00-04:00","2015-06-09","30.87875","30.98401","30.59168","30.89789","2236732",""
"HBI","2015-06-10T00:00:00-04:00","2015-06-10","31.05099","31.29978","30.90745","31.17538","1377487",""
"HBI","2015-06-11T00:00:00-04:00","2015-06-11","31.28064","31.49116","31.03185","31.09883","1338297",""
"HBI","2015-06-12T00:00:00-04:00","2015-06-12","30.9553","31.29978","30.86918","31.27107","1377696",""
"HBI","2015-06-15T00:00:00-04:00","2015-06-15","31.04142","31.14668","30.86918","31.00315","1744301",""
"HBI","2015-06-16T00:00:00-04:00","2015-06-16","30.92659","31.67296","30.92659","31.63469","1514494",""
"HBI","2015-06-17T00:00:00-04:00","2015-06-17","31.61555","31.73038","31.3859","31.54857","2003057",""
"HBI","2015-06-18T00:00:00-04:00","2015-06-18","31.58684","32.21839","31.57727","32.10356","2298285",""
"HBI","2015-06-19T00:00:00-04:00","2015-06-19","32.08442","32.52459","31.83563","32.31408","4951994",""
"HBI","2015-06-22T00:00:00-04:00","2015-06-22","32.53416","32.7064","32.38106","32.64899","2368095",""
"HBI","2015-06-23T00:00:00-04:00","2015-06-23","32.73511","32.96476","32.60114","32.84994","1561626",""
"HBI","2015-06-24T00:00:00-04:00","2015-06-24","32.76382","32.96476","32.62028","32.63942","2014030",""
"HBI","2015-06-25T00:00:00-04:00","2015-06-25","32.78295","33.05088","32.63942","32.77338","1610848",""
"HBI","2015-06-26T00:00:00-04:00","2015-06-26","32.9839","33.28053","32.77338","32.86907","3466971",""
"HBI","2015-06-29T00:00:00-04:00","2015-06-29","32.60114","32.7064","31.91218","31.94089","2051025",""
"HBI","2015-06-30T00:00:00-04:00","2015-06-30","32.18968","32.28537","31.55814","31.88348","8276629",""
"HBI","2015-07-01T00:00:00-04:00","2015-07-01","32.21839","32.71597","32.18968","32.54373","2270382",""
"HBI","2015-07-02T00:00:00-04:00","2015-07-02","32.62985","32.64899","32.33322","32.49589","1529543",""
"HBI","2015-07-06T00:00:00-04:00","2015-07-06","32.32365","32.582","32.13227","32.35236","1926664",""
"HBI","2015-07-07T00:00:00-04:00","2015-07-07","32.35236","32.47675","31.39547","32.23753","2836593",""
"HBI","2015-07-08T00:00:00-04:00","2015-07-08","32.1227","32.21839","31.18495","31.37633","4037675",""
"HBI","2015-07-09T00:00:00-04:00","2015-07-09","31.77822","32.30451","31.63469","31.72081","2766575",""
"HBI","2015-07-10T00:00:00-04:00","2015-07-10","32.05572","32.33322","31.82607","32.23753","1438100",""
"HBI","2015-07-13T00:00:00-04:00","2015-07-13","32.53416","32.65856","32.32365","32.51502","2052384",""
"HBI","2015-07-14T00:00:00-04:00","2015-07-14","32.52459","32.82123","32.37149","32.77338","1607504",""
"HBI","2015-07-15T00:00:00-04:00","2015-07-15","32.73511","32.93605","32.54373","32.56287","1680971",""
"HBI","2015-07-16T00:00:00-04:00","2015-07-16","32.80209","32.80209","32.4002","32.53416","2611802",""
"HBI","2015-07-17T00:00:00-04:00","2015-07-17","32.42891","32.5533","32.29494","32.48632","2813184",""
"HBI","2015-07-20T00:00:00-04:00","2015-07-20","32.59158","33.09872","32.582","32.9839","2554951",""
"HBI","2015-07-21T00:00:00-04:00","2015-07-21","33.02217","33.16571","32.73511","32.89778","1760500",""
"HBI","2015-07-22T00:00:00-04:00","2015-07-22","32.79252","32.92649","32.62028","32.84994","2236627",""
"HBI","2015-07-23T00:00:00-04:00","2015-07-23","32.95519","33.17527","32.46718","32.53416","2112265",""
"HBI","2015-07-24T00:00:00-04:00","2015-07-24","32.73511","32.73511","32.11313","32.28537","1629763",""
"HBI","2015-07-27T00:00:00-04:00","2015-07-27","32.06528","32.13227","31.2328","31.36676","3216157",""
"HBI","2015-07-28T00:00:00-04:00","2015-07-28","31.50072","31.77822","31.02228","31.73038","2561326",""
"HBI","2015-07-29T00:00:00-04:00","2015-07-29","31.80693","32.34278","31.68253","32.28537","2512731",""
"HBI","2015-07-30T00:00:00-04:00","2015-07-30","31.83563","32.68726","31.83563","32.66813","3642436",""
"HBI","2015-07-31T00:00:00-04:00","2015-07-31","29.83574","30.10367","28.19946","29.69221","19809232",""
"HBI","2015-08-03T00:00:00-04:00","2015-08-03","29.46255","29.52954","27.47223","27.80714","13213993",""
"HBI","2015-08-04T00:00:00-04:00","2015-08-04","27.81671","28.43868","27.68274","27.87412","7609570",""
"HBI","2015-08-05T00:00:00-04:00","2015-08-05","28.0655","28.08464","27.52964","27.66361","8333480",""
"HBI","2015-08-06T00:00:00-04:00","2015-08-06","27.62533","27.74973","27.0799","27.54878","6535880",""
"HBI","2015-08-07T00:00:00-04:00","2015-08-07","27.46266","27.69231","27.18516","27.39568","4759600",""
"HBI","2015-08-10T00:00:00-04:00","2015-08-10","27.53921","28.15162","27.51051","28.05593","4022000",""
"HBI","2015-08-11T00:00:00-04:00","2015-08-11","27.73059","27.74973","27.43395","27.56792","6423328",""
"HBI","2015-08-12T00:00:00-04:00","2015-08-12","27.29999","28.31429","27.24258","28.29515","7506528",""
"HBI","2015-08-13T00:00:00-04:00","2015-08-13","28.40998","28.82144","28.13248","28.60136","5069877",""
"HBI","2015-08-14T00:00:00-04:00","2015-08-14","28.77417","29.30223","28.55335","29.11021","6252999",""
"HBI","2015-08-17T00:00:00-04:00","2015-08-17","28.87018","29.55186","28.74537","29.28303","4033437",""
"HBI","2015-08-18T00:00:00-04:00","2015-08-18","29.36943","29.46545","29.0334","29.16781","3743467",""
"HBI","2015-08-19T00:00:00-04:00","2015-08-19","29.08141","29.89749","28.96619","29.66706","4630667",""
"HBI","2015-08-20T00:00:00-04:00","2015-08-20","29.10061","29.46545","28.92779","28.94699","3606502",""
"HBI","2015-08-21T00:00:00-04:00","2015-08-21","28.62056","28.81258","27.87168","27.90048","4680558",""
"HBI","2015-08-24T00:00:00-04:00","2015-08-24","26.45073","27.90048","25.26981","26.89238","6637960",""
"HBI","2015-08-25T00:00:00-04:00","2015-08-25","27.62206","28.0829","27.0748","27.1132","6403192",""
"HBI","2015-08-26T00:00:00-04:00","2015-08-26","27.71807","28.0637","27.0652","28.0253","4235812",""
"HBI","2015-08-27T00:00:00-04:00","2015-08-27","28.28452","29.11981","28.15011","28.81258","3991254",""
"HBI","2015-08-28T00:00:00-04:00","2015-08-28","28.67817","29.24462","28.62056","29.0526","2707116",""
"HBI","2015-08-31T00:00:00-04:00","2015-08-31","28.90859","29.28303","28.77417","28.90859","3151236",""
"HBI","2015-09-01T00:00:00-04:00","2015-09-01","28.30372","28.87018","28.00609","28.20771","3508699",""
"HBI","2015-09-02T00:00:00-04:00","2015-09-02","28.58215","28.78377","28.0829","28.77417","3727531",""
"HBI","2015-09-03T00:00:00-04:00","2015-09-03","28.83178","29.22542","28.44774","28.69736","3540050",""
"HBI","2015-09-04T00:00:00-04:00","2015-09-04","28.39013","28.69736","28.16931","28.39013","2957715",""
"HBI","2015-09-08T00:00:00-04:00","2015-09-08","29.0142","29.16781","28.69736","28.94699","2796065",""
"HBI","2015-09-09T00:00:00-04:00","2015-09-09","29.26382","29.35023","28.50535","28.58215","4133114",""
"HBI","2015-09-10T00:00:00-04:00","2015-09-10","28.42854","28.76457","28.39013","28.57255","2016874",""
"HBI","2015-09-11T00:00:00-04:00","2015-09-11","28.55335","28.78377","28.27492","28.77417","2245080",""
"HBI","2015-09-14T00:00:00-04:00","2015-09-14","28.71657","28.85098","28.39973","28.56295","1782732",""
"HBI","2015-09-15T00:00:00-04:00","2015-09-15","28.62056","28.80298","28.34213","28.71657","2757319",""
"HBI","2015-09-16T00:00:00-04:00","2015-09-16","28.73577","29.13901","28.52455","29.0526","3470162",""
"HBI","2015-09-17T00:00:00-04:00","2015-09-17","29.76308","29.9839","29.44624","29.65746","6633064",""
"HBI","2015-09-18T00:00:00-04:00","2015-09-18","29.29263","29.51345","28.75497","28.81258","5056040",""
"HBI","2015-09-21T00:00:00-04:00","2015-09-21","28.95659","29.21582","28.59175","28.92779","4156549",""
"HBI","2015-09-22T00:00:00-04:00","2015-09-22","28.60136","28.80298","28.34213","28.72617","2902720",""
"HBI","2015-09-23T00:00:00-04:00","2015-09-23","28.72617","28.80298","28.14051","28.28452","2026769",""
"HBI","2015-09-24T00:00:00-04:00","2015-09-24","28.0637","28.49574","27.67966","28.36133","3477869",""
"HBI","2015-09-25T00:00:00-04:00","2015-09-25","28.68776","28.85098","28.0157","28.17891","2325280",""
"HBI","2015-09-28T00:00:00-04:00","2015-09-28","28.0541","28.29412","27.32442","27.34363","3210918",""
"HBI","2015-09-29T00:00:00-04:00","2015-09-29","27.34363","27.60285","26.71956","26.91158","3292055",""
"HBI","2015-09-30T00:00:00-04:00","2015-09-30","27.32442","27.82368","27.23802","27.78527","3626604",""
"HBI","2015-10-01T00:00:00-04:00","2015-10-01","27.78527","27.85248","27.20921","27.58365","2882098",""
"HBI","2015-10-02T00:00:00-04:00","2015-10-02","27.19961","27.87168","26.81557","27.87168","2723885",""
"HBI","2015-10-05T00:00:00-04:00","2015-10-05","28.11171","28.52455","27.96769","28.43814","3368089",""
"HBI","2015-10-06T00:00:00-04:00","2015-10-06","28.47654","28.47654","27.76607","27.87168","2299762",""
"HBI","2015-10-07T00:00:00-04:00","2015-10-07","27.98689","28.22692","27.62206","27.79487","2800648",""
