symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HCN","2015-01-02T00:00:00-05:00","2015-01-02","66.51492","67.52073","66.46244","67.30207","2052203",""
"HCN","2015-01-05T00:00:00-05:00","2015-01-05","67.09216","68.30788","66.84727","68.13297","2362738",""
"HCN","2015-01-06T00:00:00-05:00","2015-01-06","67.94055","69.45364","65.86769","69.1038","3313092",""
"HCN","2015-01-07T00:00:00-05:00","2015-01-07","69.12128","70.0134","68.75394","69.74226","3128898",""
"HCN","2015-01-08T00:00:00-05:00","2015-01-08","69.92593","70.14459","68.69273","69.45364","2812304",""
"HCN","2015-01-09T00:00:00-05:00","2015-01-09","69.33994","70.0134","68.60526","69.52361","2110057",""
"HCN","2015-01-12T00:00:00-05:00","2015-01-12","69.75976","70.6956","69.69854","70.57316","1880586",""
"HCN","2015-01-13T00:00:00-05:00","2015-01-13","70.52943","71.13292","70.31077","70.73059","2185747",""
"HCN","2015-01-14T00:00:00-05:00","2015-01-14","70.50319","71.66644","70.37199","71.63145","2632112",""
"HCN","2015-01-15T00:00:00-05:00","2015-01-15","71.65768","72.81219","71.15916","72.74222","3523355",""
"HCN","2015-01-16T00:00:00-05:00","2015-01-16","72.83842","73.83549","72.49732","73.73928","3617910",""
"HCN","2015-01-20T00:00:00-05:00","2015-01-20","73.818","74.23782","72.59353","72.91714","3511693",""
"HCN","2015-01-21T00:00:00-05:00","2015-01-21","72.7772","72.89965","71.48277","72.09499","3268273",""
"HCN","2015-01-22T00:00:00-05:00","2015-01-22","72.20869","72.83842","72.10374","72.58479","3820741",""
"HCN","2015-01-23T00:00:00-05:00","2015-01-23","72.8909","73.03084","72.34864","72.79469","2470442",""
"HCN","2015-01-26T00:00:00-05:00","2015-01-26","72.61102","72.79469","71.65768","72.66351","2330381",""
"HCN","2015-01-27T00:00:00-05:00","2015-01-27","72.52356","73.17953","72.34864","72.61102","1805925",""
"HCN","2015-01-28T00:00:00-05:00","2015-01-28","72.67224","73.38944","72.61977","72.62852","2649948",""
"HCN","2015-01-29T00:00:00-05:00","2015-01-29","72.57604","73.2495","72.33989","73.24075","2707230",""
"HCN","2015-01-30T00:00:00-05:00","2015-01-30","73.06583","73.14454","71.6402","71.67518","3019022",""
"HCN","2015-02-02T00:00:00-05:00","2015-02-02","71.56148","71.76264","70.14459","71.67518","2989409",""
"HCN","2015-02-03T00:00:00-05:00","2015-02-03","71.71891","71.71891","70.27579","71.509","3298000",""
"HCN","2015-02-04T00:00:00-05:00","2015-02-04","71.2816","71.2816","70.25829","70.5994","2969172",""
"HCN","2015-02-05T00:00:00-05:00","2015-02-05","71.03671","71.45652","70.31952","71.39529","2152704",""
"HCN","2015-02-06T00:00:00-05:00","2015-02-06","71.15232","71.65594","68.00688","68.25428","4344290",""
"HCN","2015-02-09T00:00:00-05:00","2015-02-09","68.19243","68.72256","67.99805","68.09524","2134795",""
"HCN","2015-02-10T00:00:00-05:00","2015-02-10","68.09524","68.66071","67.60046","68.47517","2427478",""
"HCN","2015-02-11T00:00:00-05:00","2015-02-11","68.65187","69.12899","67.49442","68.24544","2842395",""
"HCN","2015-02-12T00:00:00-05:00","2015-02-12","68.33379","68.74023","67.90086","68.43098","1826494",""
"HCN","2015-02-13T00:00:00-05:00","2015-02-13","68.26311","68.50167","67.60928","68.13942","1434326",""
"HCN","2015-02-17T00:00:00-05:00","2015-02-17","67.839","68.87276","67.70647","68.00688","1936957",""
"HCN","2015-02-18T00:00:00-05:00","2015-02-18","68.18359","69.06715","67.36189","69.01413","2557409",""
"HCN","2015-02-19T00:00:00-05:00","2015-02-19","68.7314","68.7314","67.20285","67.34422","2269932",""
"HCN","2015-02-20T00:00:00-05:00","2015-02-20","67.73299","69.31454","67.45908","68.96112","4536130",""
"HCN","2015-02-23T00:00:00-05:00","2015-02-23","68.95229","69.56194","68.53701","69.5266","3342763",""
"HCN","2015-02-24T00:00:00-05:00","2015-02-24","67.41491","68.50167","67.19402","67.59161","18520502",""
"HCN","2015-02-25T00:00:00-05:00","2015-02-25","67.94504","69.21735","67.88319","68.59003","4969948",""
"HCN","2015-02-26T00:00:00-05:00","2015-02-26","68.6077","68.80208","67.11449","67.21169","3242599",""
"HCN","2015-02-27T00:00:00-05:00","2015-02-27","67.45024","68.13942","66.8406","68.13058","3010580",""
"HCN","2015-03-02T00:00:00-05:00","2015-03-02","68.66071","69.29687","68.23661","68.36914","3282325",""
"HCN","2015-03-03T00:00:00-05:00","2015-03-03","68.64304","68.74906","67.85668","68.53701","2223528",""
"HCN","2015-03-04T00:00:00-05:00","2015-03-04","68.484","69.08482","67.61812","67.786","2336255",""
"HCN","2015-03-05T00:00:00-05:00","2015-03-05","68.05106","68.69605","67.73299","67.75066","2280571",""
"HCN","2015-03-06T00:00:00-05:00","2015-03-06","66.1956","66.80525","64.6759","65.04699","5467938",""
