symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HOLX","2015-01-02T00:00:00-05:00","2015-01-02","26.83","27","26.15","26.38","1461200",""
"HOLX","2015-01-05T00:00:00-05:00","2015-01-05","26.3","26.48","25.96","26.12","942400",""
"HOLX","2015-01-06T00:00:00-05:00","2015-01-06","26.2","26.39","25.66","25.75","1490300",""
"HOLX","2015-01-07T00:00:00-05:00","2015-01-07","25.74","26.41","25.6","26.4","2059500",""
"HOLX","2015-01-08T00:00:00-05:00","2015-01-08","27.09","27.14","26.46","27.11","3009600",""
"HOLX","2015-01-09T00:00:00-05:00","2015-01-09","27.2","27.2","26.6","26.76","1091800",""
"HOLX","2015-01-12T00:00:00-05:00","2015-01-12","27.14","28.81","27.14","28.73","3956900",""
"HOLX","2015-01-13T00:00:00-05:00","2015-01-13","28.99","29.72","28.55","28.78","4498100",""
"HOLX","2015-01-14T00:00:00-05:00","2015-01-14","28.46","29.1","28.26","28.99","2492400",""
"HOLX","2015-01-15T00:00:00-05:00","2015-01-15","29.16","29.16","28.5","28.75","1276700",""
"HOLX","2015-01-16T00:00:00-05:00","2015-01-16","28.76","29.14","28.54","29.02","2685600",""
"HOLX","2015-01-20T00:00:00-05:00","2015-01-20","29.5","29.68","29.03","29.27","1870100",""
"HOLX","2015-01-21T00:00:00-05:00","2015-01-21","29","29.46","28.78","29.4","1482900",""
"HOLX","2015-01-22T00:00:00-05:00","2015-01-22","29.57","29.67","29.24","29.51","3523400",""
"HOLX","2015-01-23T00:00:00-05:00","2015-01-23","29.54","29.59","29.3","29.34","2077800",""
"HOLX","2015-01-26T00:00:00-05:00","2015-01-26","29.35","29.63","29.08","29.62","2444200",""
"HOLX","2015-01-27T00:00:00-05:00","2015-01-27","29.4","29.65","29.2","29.61","1722000",""
"HOLX","2015-01-28T00:00:00-05:00","2015-01-28","29.75","29.9","29.47","29.61","1888600",""
"HOLX","2015-01-29T00:00:00-05:00","2015-01-29","29.95","31.2","29.95","31.12","4796700",""
"HOLX","2015-01-30T00:00:00-05:00","2015-01-30","30.81","30.89","30.33","30.36","2308400",""
"HOLX","2015-02-02T00:00:00-05:00","2015-02-02","30.51","30.58","29.75","30.25","2068800",""
"HOLX","2015-02-03T00:00:00-05:00","2015-02-03","30.57","30.69","30.23","30.56","1819100",""
"HOLX","2015-02-04T00:00:00-05:00","2015-02-04","30.4","30.65","29.98","30","2698200",""
"HOLX","2015-02-05T00:00:00-05:00","2015-02-05","30.16","30.49","30.1","30.27","2313100",""
