symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HRL","2015-01-02T00:00:00-05:00","2015-01-02","49.45388","49.63402","48.67642","48.94189","467768",""
"HRL","2015-01-05T00:00:00-05:00","2015-01-05","48.66694","48.86604","47.98429","48.06963","732608",""
"HRL","2015-01-06T00:00:00-05:00","2015-01-06","48.28769","48.47731","47.5766","47.70934","1350780",""
"HRL","2015-01-07T00:00:00-05:00","2015-01-07","48.06014","48.69538","48.06014","48.48679","1329369",""
"HRL","2015-01-08T00:00:00-05:00","2015-01-08","48.81864","49.17892","48.70486","49.00826","1014535",""
"HRL","2015-01-09T00:00:00-05:00","2015-01-09","49.24529","49.51077","48.5342","48.61953","732503",""
"HRL","2015-01-12T00:00:00-05:00","2015-01-12","48.63849","48.81864","47.79467","47.89896","653188",""
"HRL","2015-01-13T00:00:00-05:00","2015-01-13","48.11703","48.59109","47.73778","48.06963","832279",""
"HRL","2015-01-14T00:00:00-05:00","2015-01-14","47.74726","48.05066","47.54816","47.96533","856432",""
"HRL","2015-01-15T00:00:00-05:00","2015-01-15","48.27976","48.77523","47.97486","48.53703","955262",""
"HRL","2015-01-16T00:00:00-05:00","2015-01-16","48.58467","49.11825","48.51797","49.06108","828061",""
"HRL","2015-01-20T00:00:00-05:00","2015-01-20","49.20401","49.52797","48.67995","49.50891","662239",""
"HRL","2015-01-21T00:00:00-05:00","2015-01-21","49.44221","50.54749","49.24212","50.49033","1463853",""
"HRL","2015-01-22T00:00:00-05:00","2015-01-22","50.50938","51.21447","49.83287","51.19542","976252",""
"HRL","2015-01-23T00:00:00-05:00","2015-01-23","51.17636","51.52891","50.69994","50.83334","699602",""
"HRL","2015-01-26T00:00:00-05:00","2015-01-26","50.90004","50.97626","50.42362","50.74759","664548",""
"HRL","2015-01-27T00:00:00-05:00","2015-01-27","50.35693","50.65231","50.13778","50.44268","577019",""
"HRL","2015-01-28T00:00:00-05:00","2015-01-28","50.57608","51.03344","49.83287","49.92816","647126",""
"HRL","2015-01-29T00:00:00-05:00","2015-01-29","50.09014","50.16636","49.30882","50.06155","684279",""
"HRL","2015-01-30T00:00:00-05:00","2015-01-30","49.7757","50.10919","48.6609","48.80382","1872952",""
"HRL","2015-02-02T00:00:00-05:00","2015-02-02","48.03203","49.34693","47.76524","49.29929","1112058",""
"HRL","2015-02-03T00:00:00-05:00","2015-02-03","49.50891","49.99485","49.36599","49.80429","945186",""
"HRL","2015-02-04T00:00:00-05:00","2015-02-04","49.709","51.63372","49.66136","51.41457","1740189",""
"HRL","2015-02-05T00:00:00-05:00","2015-02-05","51.41457","51.48126","50.75711","51.46221","923252",""
"HRL","2015-02-06T00:00:00-05:00","2015-02-06","51.39551","51.45268","50.88099","51.05249","914541",""
"HRL","2015-02-09T00:00:00-05:00","2015-02-09","50.90957","51.05249","50.51891","50.58561","618580",""
"HRL","2015-02-10T00:00:00-05:00","2015-02-10","50.86193","51.63372","50.72853","51.50985","553825",""
"HRL","2015-02-11T00:00:00-05:00","2015-02-11","51.73853","51.83381","50.89051","51.38598","589613",""
"HRL","2015-02-12T00:00:00-05:00","2015-02-12","51.39551","51.62419","51.00485","51.61466","897014",""
"HRL","2015-02-13T00:00:00-05:00","2015-02-13","51.44315","53.12013","51.23353","53.10107","1838318",""
"HRL","2015-02-17T00:00:00-05:00","2015-02-17","53.10107","53.26305","52.09107","53.08201","1966358",""
"HRL","2015-02-18T00:00:00-05:00","2015-02-18","53.06296","53.83475","52.88192","53.49173","1563871",""
"HRL","2015-02-19T00:00:00-05:00","2015-02-19","54.40644","55.26399","53.57748","54.9305","2054307",""
"HRL","2015-02-20T00:00:00-05:00","2015-02-20","54.89239","55.40691","54.43503","55.18776","873505",""
"HRL","2015-02-23T00:00:00-05:00","2015-02-23","55.13059","55.41644","54.7971","55.07342","792378",""
"HRL","2015-02-24T00:00:00-05:00","2015-02-24","54.94955","55.18776","54.73993","55.04484","615431",""
"HRL","2015-02-25T00:00:00-05:00","2015-02-25","54.9972","56.19776","54.81616","55.76899","1784898",""
"HRL","2015-02-26T00:00:00-05:00","2015-02-26","55.61654","55.79757","55.3021","55.70229","679766",""
"HRL","2015-02-27T00:00:00-05:00","2015-02-27","55.63559","56.15965","55.47361","55.74993","880327",""
"HRL","2015-03-02T00:00:00-05:00","2015-03-02","55.83569","55.91191","55.41644","55.74993","582372",""
"HRL","2015-03-03T00:00:00-05:00","2015-03-03","55.67371","55.72134","54.91145","55.61654","962084",""
"HRL","2015-03-04T00:00:00-05:00","2015-03-04","55.61654","55.61654","55.09248","55.21635","912442",""
"HRL","2015-03-05T00:00:00-05:00","2015-03-05","55.4355","55.4355","54.85427","55.20682","507332",""
"HRL","2015-03-06T00:00:00-05:00","2015-03-06","54.88286","54.88286","53.89192","54.08248","696243",""
"HRL","2015-03-09T00:00:00-04:00","2015-03-09","54.2921","55.0639","54.18729","54.89239","898903",""
"HRL","2015-03-10T00:00:00-04:00","2015-03-10","54.41597","54.52079","53.59654","53.59654","788600",""
"HRL","2015-03-11T00:00:00-04:00","2015-03-11","53.6823","53.70135","51.94815","52.63419","1877989",""
"HRL","2015-03-12T00:00:00-04:00","2015-03-12","52.51032","53.42503","52.41504","53.32022","890717",""
"HRL","2015-03-13T00:00:00-04:00","2015-03-13","53.13918","53.15824","52.21494","52.64371","665807",""
"HRL","2015-03-16T00:00:00-04:00","2015-03-16","52.92003","53.19635","52.48174","53.02485","1201057",""
"HRL","2015-03-17T00:00:00-04:00","2015-03-17","52.64371","52.80569","52.14824","52.6723","900897",""
"HRL","2015-03-18T00:00:00-04:00","2015-03-18","52.61513","53.6156","52.14824","53.43456","1504259",""
"HRL","2015-03-19T00:00:00-04:00","2015-03-19","53.34881","53.5489","53.00579","53.34881","485607",""
"HRL","2015-03-20T00:00:00-04:00","2015-03-20","53.57748","54.19682","53.52031","54.12059","891557",""
"HRL","2015-03-23T00:00:00-04:00","2015-03-23","54.18729","54.7304","54.18729","54.2921","454961",""
"HRL","2015-03-24T00:00:00-04:00","2015-03-24","54.23493","54.6923","53.76805","53.78711","673784",""
"HRL","2015-03-25T00:00:00-04:00","2015-03-25","54.15871","54.87333","53.93003","53.9872","1327417",""
"HRL","2015-03-26T00:00:00-04:00","2015-03-26","53.81569","54.17776","53.42503","53.9872","577439",""
"HRL","2015-03-27T00:00:00-04:00","2015-03-27","53.94909","54.60654","53.72041","54.5589","643033",""
"HRL","2015-03-30T00:00:00-04:00","2015-03-30","53.83475","54.67324","53.83475","54.65418","1072492",""
"HRL","2015-03-31T00:00:00-04:00","2015-03-31","54.47314","54.7304","54.09201","54.16824","757429",""
"HRL","2015-04-01T00:00:00-04:00","2015-04-01","54.04437","54.4255","53.78711","54.40644","727833",""
"HRL","2015-04-02T00:00:00-04:00","2015-04-02","54.22541","55.02578","54.22541","54.71135","498831",""
"HRL","2015-04-06T00:00:00-04:00","2015-04-06","54.4255","55.29257","54.37786","55.09248","1308736",""
"HRL","2015-04-07T00:00:00-04:00","2015-04-07","55.09248","55.54031","54.83522","55.25446","833939",""
"HRL","2015-04-08T00:00:00-04:00","2015-04-08","55.25446","55.56889","54.96861","55.48314","689631",""
"HRL","2015-04-09T00:00:00-04:00","2015-04-09","55.4355","55.53078","54.88286","55.29257","689526",""
"HRL","2015-04-10T00:00:00-04:00","2015-04-10","55.41644","55.7404","55.0639","55.22588","573975",""
"HRL","2015-04-13T00:00:00-04:00","2015-04-13","55.25446","55.28305","54.59701","54.67324","571457",""
"HRL","2015-04-14T00:00:00-04:00","2015-04-14","54.67324","55.41644","54.46362","55.37833","706318",""
"HRL","2015-04-15T00:00:00-04:00","2015-04-15","55.46408","55.85474","54.81616","54.90191","611968",""
"HRL","2015-04-16T00:00:00-04:00","2015-04-16","55.05503","55.21772","54.63396","54.98804","482037",""
"HRL","2015-04-17T00:00:00-04:00","2015-04-17","54.59568","54.59568","53.39946","53.92579","822274",""
"HRL","2015-04-20T00:00:00-04:00","2015-04-20","54.03106","54.45214","53.92579","53.96407","567932",""
"HRL","2015-04-21T00:00:00-04:00","2015-04-21","53.36118","53.57171","52.07882","52.72","1944137",""
"HRL","2015-04-22T00:00:00-04:00","2015-04-22","52.41377","52.92097","51.94485","52.80613","920604",""
"HRL","2015-04-23T00:00:00-04:00","2015-04-23","52.51904","52.77742","52.01183","52.51904","1511213",""
"HRL","2015-04-24T00:00:00-04:00","2015-04-24","52.56688","52.72957","52.34678","52.49033","486217",""
"HRL","2015-04-27T00:00:00-04:00","2015-04-27","52.47119","52.72957","52.27022","52.39463","579949",""
"HRL","2015-04-28T00:00:00-04:00","2015-04-28","52.28936","52.77742","52.24151","52.65302","450688",""
"HRL","2015-04-29T00:00:00-04:00","2015-04-29","52.62431","52.68172","52.09797","52.23195","847249",""
"HRL","2015-04-30T00:00:00-04:00","2015-04-30","52.27022","52.47119","51.82044","52.01183","1281636",""
"HRL","2015-05-01T00:00:00-04:00","2015-05-01","52.04055","52.93054","52.04055","52.90182","770967",""
"HRL","2015-05-04T00:00:00-04:00","2015-05-04","52.83484","53.50472","52.75828","53.34204","658739",""
"HRL","2015-05-05T00:00:00-04:00","2015-05-05","53.60042","54.06934","53.08366","53.23677","899496",""
"HRL","2015-05-06T00:00:00-04:00","2015-05-06","53.38989","53.43774","52.4042","52.72","677757",""
"HRL","2015-05-07T00:00:00-04:00","2015-05-07","52.75828","53.0358","52.39463","52.98795","569186",""
"HRL","2015-05-08T00:00:00-04:00","2015-05-08","53.4473","53.76311","53.15064","53.56215","486739",""
"HRL","2015-05-11T00:00:00-04:00","2015-05-11","53.52386","53.60999","53.3229","53.39946","520073",""
"HRL","2015-05-12T00:00:00-04:00","2015-05-12","53.14107","53.53343","52.85398","53.36118","607432",""
"HRL","2015-05-13T00:00:00-04:00","2015-05-13","53.543","53.88752","53.38989","53.56215","597818",""
"HRL","2015-05-14T00:00:00-04:00","2015-05-14","53.85881","54.34687","53.84924","54.27988","717674",""
"HRL","2015-05-15T00:00:00-04:00","2015-05-15","54.26074","54.42342","54.00235","54.23203","1010261",""
"HRL","2015-05-18T00:00:00-04:00","2015-05-18","54.00235","54.19375","53.29419","53.3229","1367009",""
"HRL","2015-05-19T00:00:00-04:00","2015-05-19","53.61956","53.81096","53.16978","53.38989","1339318",""
"HRL","2015-05-20T00:00:00-04:00","2015-05-20","53.97364","56.8063","53.87794","55.63879","2784699",""
"HRL","2015-05-21T00:00:00-04:00","2015-05-21","55.38998","55.7919","54.83493","55.04546","1570671",""
"HRL","2015-05-22T00:00:00-04:00","2015-05-22","54.99761","54.99761","54.37558","54.47127","1035236",""
"HRL","2015-05-26T00:00:00-04:00","2015-05-26","54.25117","54.45214","53.95451","54.17461","1119668",""
"HRL","2015-05-27T00:00:00-04:00","2015-05-27","55.95459","56.32782","55.20815","55.91631","2006626",""
"HRL","2015-05-28T00:00:00-04:00","2015-05-28","55.80148","55.89717","55.01675","55.69621","1516960",""
"HRL","2015-05-29T00:00:00-04:00","2015-05-29","55.52395","55.69621","54.75837","54.75837","2389601",""
"HRL","2015-06-01T00:00:00-04:00","2015-06-01","54.72966","54.91148","54.08848","54.61482","922799",""
"HRL","2015-06-02T00:00:00-04:00","2015-06-02","54.50955","54.5574","53.91623","54.31816","953520",""
"HRL","2015-06-03T00:00:00-04:00","2015-06-03","54.57654","54.62439","54.06934","54.45214","630212",""
"HRL","2015-06-04T00:00:00-04:00","2015-06-04","54.32773","54.39471","53.81096","53.86838","898033",""
"HRL","2015-06-05T00:00:00-04:00","2015-06-05","53.79182","53.98322","53.41859","53.83966","1226149",""
"HRL","2015-06-08T00:00:00-04:00","2015-06-08","53.87794","53.97364","53.60042","53.7344","649334",""
"HRL","2015-06-09T00:00:00-04:00","2015-06-09","53.67698","53.98322","53.2272","53.80139","692177",""
"HRL","2015-06-10T00:00:00-04:00","2015-06-10","53.90666","54.72009","53.90666","54.37558","628435",""
"HRL","2015-06-11T00:00:00-04:00","2015-06-11","54.48084","54.58611","54.00235","54.08848","523522",""
