symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HRS","2015-01-02T00:00:00-05:00","2015-01-02","67.96791","68.17459","66.74666","67.28214","433772",""
"HRS","2015-01-05T00:00:00-05:00","2015-01-05","66.71847","66.78423","65.30932","65.46902","707555",""
"HRS","2015-01-06T00:00:00-05:00","2015-01-06","65.46902","65.74146","64.11624","64.15382","1089275",""
"HRS","2015-01-07T00:00:00-05:00","2015-01-07","64.39808","64.6705","63.74987","64.32292","771529",""
"HRS","2015-01-08T00:00:00-05:00","2015-01-08","64.93356","66.28633","64.92416","65.79783","683178",""
"HRS","2015-01-09T00:00:00-05:00","2015-01-09","65.8448","66.03268","65.29053","65.70389","377462",""
"HRS","2015-01-12T00:00:00-05:00","2015-01-12","65.61933","65.61933","64.44505","64.70808","336799",""
"HRS","2015-01-13T00:00:00-05:00","2015-01-13","65.15901","65.6757","63.6841","64.28534","494021",""
"HRS","2015-01-14T00:00:00-05:00","2015-01-14","63.83441","64.32292","63.29893","64.27595","506689",""
"HRS","2015-01-15T00:00:00-05:00","2015-01-15","64.73627","64.94294","63.17681","63.23318","700636",""
"HRS","2015-01-16T00:00:00-05:00","2015-01-16","63.3553","63.61835","62.538","63.54319","665082",""
"HRS","2015-01-20T00:00:00-05:00","2015-01-20","63.71229","64.0223","63.09227","63.53379","482951",""
"HRS","2015-01-21T00:00:00-05:00","2015-01-21","63.50561","64.27595","63.29893","64.08806","621758",""
"HRS","2015-01-22T00:00:00-05:00","2015-01-22","64.38868","65.13083","63.99412","64.90536","514885",""
"HRS","2015-01-23T00:00:00-05:00","2015-01-23","64.81142","65.75085","64.81142","65.47842","823689",""
"HRS","2015-01-26T00:00:00-05:00","2015-01-26","65.3469","65.62873","64.78324","65.56297","442501",""
"HRS","2015-01-27T00:00:00-05:00","2015-01-27","64.94294","65.52539","64.66112","65.1778","679985",""
"HRS","2015-01-28T00:00:00-05:00","2015-01-28","65.76025","66.02329","64.05988","64.11624","512969",""
"HRS","2015-01-29T00:00:00-05:00","2015-01-29","63.98472","64.06927","62.99832","63.83441","872654",""
"HRS","2015-01-30T00:00:00-05:00","2015-01-30","63.3647","63.97533","62.91377","63.06408","981550",""
"HRS","2015-02-02T00:00:00-05:00","2015-02-02","63.44925","63.98472","62.14344","63.93775","736189",""
"HRS","2015-02-03T00:00:00-05:00","2015-02-03","64.05988","65.00871","64.05988","64.98052","545435",""
"HRS","2015-02-04T00:00:00-05:00","2015-02-04","64.63293","65.32811","64.34171","64.5202","978889",""
"HRS","2015-02-05T00:00:00-05:00","2015-02-05","64.88658","65.49721","64.6799","65.28114","673279",""
"HRS","2015-02-06T00:00:00-05:00","2015-02-06","71.67867","73.72664","69.56496","71.56594","7720941",""
"HRS","2015-02-09T00:00:00-05:00","2015-02-09","71.44382","72.77781","70.98349","71.05865","3348938",""
"HRS","2015-02-10T00:00:00-05:00","2015-02-10","71.35927","71.72564","70.07224","71.45321","1771069",""
"HRS","2015-02-11T00:00:00-05:00","2015-02-11","71.28411","72.11082","71.00228","71.94172","1358480",""
