symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HSIC","2015-01-02T00:00:00-05:00","2015-01-02","136.6","138.12","135.69","136.84","347300",""
"HSIC","2015-01-05T00:00:00-05:00","2015-01-05","136.89","137.47","135.54","135.61","375300",""
"HSIC","2015-01-06T00:00:00-05:00","2015-01-06","135.74","137.04","133.77","134.82","768500",""
"HSIC","2015-01-07T00:00:00-05:00","2015-01-07","135.68","138.84","134.77","138.55","462000",""
"HSIC","2015-01-08T00:00:00-05:00","2015-01-08","139.26","141","139.26","140.5","467900",""
"HSIC","2015-01-09T00:00:00-05:00","2015-01-09","140.26","141.4","139.03","141.21","635100",""
"HSIC","2015-01-12T00:00:00-05:00","2015-01-12","141.23","142.13","139.74","139.86","254300",""
"HSIC","2015-01-13T00:00:00-05:00","2015-01-13","140","142.2","138.45","139.54","358400",""
"HSIC","2015-01-14T00:00:00-05:00","2015-01-14","137.98","139.64","137.67","139.09","277600",""
"HSIC","2015-01-15T00:00:00-05:00","2015-01-15","139.24","140.15","137.66","137.84","238400",""
"HSIC","2015-01-16T00:00:00-05:00","2015-01-16","137.71","139.55","137.32","139.5","319600",""
"HSIC","2015-01-20T00:00:00-05:00","2015-01-20","139.98","140.2","137.34","138.5","374600",""
"HSIC","2015-01-21T00:00:00-05:00","2015-01-21","138.22","139","137.58","138.16","331400",""
"HSIC","2015-01-22T00:00:00-05:00","2015-01-22","138.14","142.56","137.45","142.56","402600",""
"HSIC","2015-01-23T00:00:00-05:00","2015-01-23","142.46","143.89","142.17","143.33","433500",""
"HSIC","2015-01-26T00:00:00-05:00","2015-01-26","143","143.64","140.94","143.59","401700",""
"HSIC","2015-01-27T00:00:00-05:00","2015-01-27","142.12","143.16","140.68","142.74","487700",""
"HSIC","2015-01-28T00:00:00-05:00","2015-01-28","143","143.74","140.25","140.59","476100",""
"HSIC","2015-01-29T00:00:00-05:00","2015-01-29","140.96","140.96","138.96","140.01","614200",""
"HSIC","2015-01-30T00:00:00-05:00","2015-01-30","139.47","140.32","137.81","138.07","452600",""
"HSIC","2015-02-02T00:00:00-05:00","2015-02-02","138.39","138.9","135.53","138.75","533700",""
"HSIC","2015-02-03T00:00:00-05:00","2015-02-03","138.78","139.99","137.18","138.84","550600",""
"HSIC","2015-02-04T00:00:00-05:00","2015-02-04","138.43","140.81","138.12","139.69","407600",""
"HSIC","2015-02-05T00:00:00-05:00","2015-02-05","140.05","141.56","139","141.17","218500",""
"HSIC","2015-02-06T00:00:00-05:00","2015-02-06","141.69","141.7","139.13","139.83","309500",""
"HSIC","2015-02-09T00:00:00-05:00","2015-02-09","139.37","139.64","138.16","139.23","470400",""
