symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"HUM","2015-01-02T00:00:00-05:00","2015-01-02","142.3813","143.9137","138.8844","140.4561","1000937",""
"HUM","2015-01-05T00:00:00-05:00","2015-01-05","139.1791","140.2301","136.2323","136.7332","1717027",""
"HUM","2015-01-06T00:00:00-05:00","2015-01-06","137.7254","138.9827","135.0143","136.6252","1803255",""
"HUM","2015-01-07T00:00:00-05:00","2015-01-07","137.5092","139.7194","137.2538","139.2184","893228",""
"HUM","2015-01-08T00:00:00-05:00","2015-01-08","141.0749","145.7604","141.0749","145.2103","1376289",""
"HUM","2015-01-09T00:00:00-05:00","2015-01-09","144.729","145.4362","143.9727","144.1495","1243943",""
"HUM","2015-01-12T00:00:00-05:00","2015-01-12","144.0611","145.0826","142.3028","142.9314","804150",""
"HUM","2015-01-13T00:00:00-05:00","2015-01-13","144.6406","146.5757","143.1966","144.2379","808426",""
"HUM","2015-01-14T00:00:00-05:00","2015-01-14","142.676","145.1121","141.9295","144.9353","962659",""
"HUM","2015-01-15T00:00:00-05:00","2015-01-15","145.2791","147.1061","144.8371","145.2987","898624",""
"HUM","2015-01-16T00:00:00-05:00","2015-01-16","145.1907","147.4008","144.228","147.2829","830924",""
"HUM","2015-01-20T00:00:00-05:00","2015-01-20","148.1866","148.442","144.3852","146.3301","1690660",""
"HUM","2015-01-21T00:00:00-05:00","2015-01-21","146.782","151.6442","146.4873","150.5637","1672539",""
"HUM","2015-01-22T00:00:00-05:00","2015-01-22","150.9861","151.7228","148.9135","150.9272","1006536",""
"HUM","2015-01-23T00:00:00-05:00","2015-01-23","151.3496","152.5479","148.6876","148.7858","673841",""
"HUM","2015-01-26T00:00:00-05:00","2015-01-26","148.2947","149.6109","146.2614","149.3064","837643",""
"HUM","2015-01-27T00:00:00-05:00","2015-01-27","148.3733","149.3555","147.391","148.0786","645539",""
"HUM","2015-01-28T00:00:00-05:00","2015-01-28","148.9135","149.6011","145.8586","146.2712","999817",""
"HUM","2015-01-29T00:00:00-05:00","2015-01-29","146.3596","147.3026","143.6092","146.9686","931914",""
"HUM","2015-01-30T00:00:00-05:00","2015-01-30","145.397","146.9981","143.3735","143.845","1023843",""
"HUM","2015-02-02T00:00:00-05:00","2015-02-02","144.2772","144.5031","140.8981","143.3931","1567273",""
"HUM","2015-02-03T00:00:00-05:00","2015-02-03","143.3735","146.114","141.8116","145.947","1264610",""
"HUM","2015-02-04T00:00:00-05:00","2015-02-04","145.5443","150.1708","142.6957","147.8723","1816388",""
"HUM","2015-02-05T00:00:00-05:00","2015-02-05","150.7798","151.1826","146.9882","147.6955","1225415",""
"HUM","2015-02-06T00:00:00-05:00","2015-02-06","147.6267","147.9214","144.7486","145.1219","1185202",""
"HUM","2015-02-09T00:00:00-05:00","2015-02-09","144.6602","146.5855","144.0414","144.5424","770249",""
