symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"IBM","2015-01-02T00:00:00-05:00","2015-01-02","146.2954","148.1184","146.0233","146.9847","6092107",""
"IBM","2015-01-05T00:00:00-05:00","2015-01-05","146.2682","146.2682","144.3817","144.6719","5380843",""
"IBM","2015-01-06T00:00:00-05:00","2015-01-06","144.817","145.08","140.7356","141.5519","6777130",""
"IBM","2015-01-07T00:00:00-05:00","2015-01-07","142.5768","142.5768","139.7016","140.6268","5184035",""
"IBM","2015-01-08T00:00:00-05:00","2015-01-08","141.7061","144.2456","141.0803","143.6833","4676084",""
"IBM","2015-01-09T00:00:00-05:00","2015-01-09","143.6833","145.4247","142.6221","144.3091","4948637",""
"IBM","2015-01-12T00:00:00-05:00","2015-01-12","144.2093","144.4361","141.2707","141.8875","4617097",""
"IBM","2015-01-13T00:00:00-05:00","2015-01-13","142.6312","145.0891","141.1982","142.223","4826473",""
"IBM","2015-01-14T00:00:00-05:00","2015-01-14","140.4998","141.9328","139.4386","141.307","5171245",""
"IBM","2015-01-15T00:00:00-05:00","2015-01-15","142.1142","142.3682","139.8196","140.1914","4687771",""
"IBM","2015-01-16T00:00:00-05:00","2015-01-16","139.7379","142.9668","139.5112","142.5223","6346358",""
"IBM","2015-01-20T00:00:00-05:00","2015-01-20","142.1233","142.6947","139.7016","142.35","9253488",""
"IBM","2015-01-21T00:00:00-05:00","2015-01-21","138.7947","140.1279","137.017","137.9421","13117313",""
"IBM","2015-01-22T00:00:00-05:00","2015-01-22","137.8061","141.2344","137.6428","140.9351","6747801",""
"IBM","2015-01-23T00:00:00-05:00","2015-01-23","140.5089","142.9396","140.4816","141.3705","5330676",""
"IBM","2015-01-26T00:00:00-05:00","2015-01-26","143.647","144.6265","141.2798","141.8149","8697135",""
"IBM","2015-01-27T00:00:00-05:00","2015-01-27","140.527","140.663","138.3956","139.3751","6239960",""
"IBM","2015-01-28T00:00:00-05:00","2015-01-28","139.6744","140.1551","137.4523","137.4523","4957017",""
"IBM","2015-01-29T00:00:00-05:00","2015-01-29","137.2982","141.1075","135.6112","141.0168","9174214",""
"IBM","2015-01-30T00:00:00-05:00","2015-01-30","139.5928","140.7991","138.8037","139.0486","7236678",""
"IBM","2015-02-02T00:00:00-05:00","2015-02-02","139.6744","140.273","137.4161","140.273","5195502",""
"IBM","2015-02-03T00:00:00-05:00","2015-02-03","140.3547","143.8465","140.3547","143.7286","6107542",""
"IBM","2015-02-04T00:00:00-05:00","2015-02-04","142.5858","143.9463","142.1233","142.3591","4055671",""
"IBM","2015-02-05T00:00:00-05:00","2015-02-05","142.6584","143.8375","142.5314","143.2207","5792430",""
"IBM","2015-02-06T00:00:00-05:00","2015-02-06","143.7048","144.3807","142.691","143.1385","3565378",""
"IBM","2015-02-09T00:00:00-05:00","2015-02-09","142.4809","143.8509","141.9329","142.2526","3347825",""
"IBM","2015-02-10T00:00:00-05:00","2015-02-10","143.1568","144.8191","141.6406","144.8191","4861939",""
"IBM","2015-02-11T00:00:00-05:00","2015-02-11","144.0975","145.3031","143.5495","144.4903","3970704",""
"IBM","2015-02-12T00:00:00-05:00","2015-02-12","144.9652","145.6776","144.3898","144.7825","3649246",""
"IBM","2015-02-13T00:00:00-05:00","2015-02-13","145.02","146.8649","144.8921","146.4996","4058623",""
"IBM","2015-02-17T00:00:00-05:00","2015-02-17","145.9059","147.4221","145.8877","147.0111","3169140",""
"IBM","2015-02-18T00:00:00-05:00","2015-02-18","147.8331","148.3902","146.7188","148.1345","4771830",""
"IBM","2015-02-19T00:00:00-05:00","2015-02-19","148.0066","150.2352","147.4495","149.6872","3836800",""
"IBM","2015-02-20T00:00:00-05:00","2015-02-20","149.4588","150.0982","148.0432","149.468","3671034",""
"IBM","2015-02-23T00:00:00-05:00","2015-02-23","149.9977","150.153","148.4176","148.7921","2971951",""
"IBM","2015-02-24T00:00:00-05:00","2015-02-24","148.4085","150.6918","147.5134","150.5457","5147704",""
"IBM","2015-02-25T00:00:00-05:00","2015-02-25","150.6462","150.6644","148.4907","148.7008","4384461",""
"IBM","2015-02-26T00:00:00-05:00","2015-02-26","149.5502","149.9155","145.9242","146.9289","7785388",""
"IBM","2015-02-27T00:00:00-05:00","2015-02-27","147.0933","148.2258","146.2804","147.9062","4828436",""
"IBM","2015-03-02T00:00:00-05:00","2015-03-02","147.7691","147.8605","145.9607","146.5727","6479301",""
"IBM","2015-03-03T00:00:00-05:00","2015-03-03","146.1708","147.7326","146.1343","147.075","3541291",""
"IBM","2015-03-04T00:00:00-05:00","2015-03-04","146.6275","146.6457","144.9652","145.6045","3978368",""
"IBM","2015-03-05T00:00:00-05:00","2015-03-05","146.0064","147.5043","145.8603","147.212","4151360",""
"IBM","2015-03-06T00:00:00-05:00","2015-03-06","146.3078","147.4495","144.3624","144.7643","4970880",""
