symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ICE","2015-01-02T00:00:00-05:00","2015-01-02","212.94","213.2975","208.5052","210.283","593668",""
"ICE","2015-01-05T00:00:00-05:00","2015-01-05","209.6646","213.3748","208.8433","211.4328","1091703",""
"ICE","2015-01-06T00:00:00-05:00","2015-01-06","212.1574","213.3168","206.3312","208.4086","1426625",""
"ICE","2015-01-07T00:00:00-05:00","2015-01-07","209.1525","211.5487","206.5824","211.3555","3054969",""
"ICE","2015-01-08T00:00:00-05:00","2015-01-08","212.3217","216.0802","212.3217","214.0125","875908",""
"ICE","2015-01-09T00:00:00-05:00","2015-01-09","214.2927","216.2831","213.1333","214.1381","604018",""
"ICE","2015-01-12T00:00:00-05:00","2015-01-12","213.8096","214.6309","207.7129","208.5342","847446",""
"ICE","2015-01-13T00:00:00-05:00","2015-01-13","209.5777","212.1187","201.7031","202.4181","1839067",""
"ICE","2015-01-14T00:00:00-05:00","2015-01-14","200.3118","203.1331","199.1524","200.9688","1324368",""
"ICE","2015-01-15T00:00:00-05:00","2015-01-15","200.9688","202.1959","198.5823","198.7273","1204931",""
"ICE","2015-01-16T00:00:00-05:00","2015-01-16","198.3021","202.4181","197.5775","202.3215","925277",""
"ICE","2015-01-20T00:00:00-05:00","2015-01-20","203.4616","204.7853","199.7225","200.9399","787831",""
"ICE","2015-01-21T00:00:00-05:00","2015-01-21","200.2249","202.1379","198.621","199.5775","616955",""
"ICE","2015-01-22T00:00:00-05:00","2015-01-22","199.8191","207.3264","199.278","206.9496","1204827",""
"ICE","2015-01-23T00:00:00-05:00","2015-01-23","207.7709","210.5052","206.6501","209.3844","927554",""
"ICE","2015-01-26T00:00:00-05:00","2015-01-26","207.9255","210.5149","206.8143","210.3893","475990",""
"ICE","2015-01-27T00:00:00-05:00","2015-01-27","207.9834","209.6936","205.3071","205.51","778930",""
"ICE","2015-01-28T00:00:00-05:00","2015-01-28","205.394","206.3216","198.4374","198.4954","1096775",""
"ICE","2015-01-29T00:00:00-05:00","2015-01-29","198.3118","199.0365","195.4035","197.9446","1381603",""
"ICE","2015-01-30T00:00:00-05:00","2015-01-30","196.3794","201.8964","195.935","198.7756","1055065",""
"ICE","2015-02-02T00:00:00-05:00","2015-02-02","200.0799","201.5582","198.621","201.365","692302",""
"ICE","2015-02-03T00:00:00-05:00","2015-02-03","201.5389","204.4182","201.5389","204.2249","556719",""
"ICE","2015-02-04T00:00:00-05:00","2015-02-04","203.336","208.8627","203.336","207.7322","1096568",""
"ICE","2015-02-05T00:00:00-05:00","2015-02-05","208.4472","218.4667","208.4375","218.2155","1421450",""
"ICE","2015-02-06T00:00:00-05:00","2015-02-06","219.0754","223.1817","219.0657","220.9884","1136311",""
"ICE","2015-02-09T00:00:00-05:00","2015-02-09","220.1285","224.1092","219.8097","221.2879","653179",""
"ICE","2015-02-10T00:00:00-05:00","2015-02-10","221.916","223.8677","221.0754","223.4812","627926",""
"ICE","2015-02-11T00:00:00-05:00","2015-02-11","223.0754","224.7759","222.2928","224.003","556926",""
"ICE","2015-02-12T00:00:00-05:00","2015-02-12","223.9353","226.9402","223.3653","226.5054","521633",""
"ICE","2015-02-13T00:00:00-05:00","2015-02-13","226.9402","227.4136","225.1527","225.3363","481061",""
"ICE","2015-02-17T00:00:00-05:00","2015-02-17","225.6938","227.7325","224.8919","226.8726","527636",""
"ICE","2015-02-18T00:00:00-05:00","2015-02-18","226.3315","227.6455","224.9498","226.8339","517596",""
"ICE","2015-02-19T00:00:00-05:00","2015-02-19","225.9547","228.747","225.8098","226.003","382427",""
"ICE","2015-02-20T00:00:00-05:00","2015-02-20","226.003","227.5296","223.4619","227.0755","1132896",""
"ICE","2015-02-23T00:00:00-05:00","2015-02-23","226.7566","227.0561","224.6503","226.4957","388947",""
"ICE","2015-02-24T00:00:00-05:00","2015-02-24","226.1286","230.1383","225.4619","227.5682","542539",""
"ICE","2015-02-25T00:00:00-05:00","2015-02-25","227.1045","231.8678","225.4039","230.776","880566",""
"ICE","2015-02-26T00:00:00-05:00","2015-02-26","231.2881","231.9354","228.66","230.177","696235",""
"ICE","2015-02-27T00:00:00-05:00","2015-02-27","230.119","231.0369","227.288","227.404","531258",""
"ICE","2015-03-02T00:00:00-05:00","2015-03-02","227.6069","231.6939","226.8436","231.2301","746949",""
"ICE","2015-03-03T00:00:00-05:00","2015-03-03","230.2059","231.8098","224.4861","227.6455","818881",""
"ICE","2015-03-04T00:00:00-05:00","2015-03-04","227.1721","227.2494","223.201","225.0754","914306",""
"ICE","2015-03-05T00:00:00-05:00","2015-03-05","226.8049","227.0465","225.0851","226.1962","622026",""
"ICE","2015-03-06T00:00:00-05:00","2015-03-06","225.9064","228.2832","222.4764","222.631","736082",""
"ICE","2015-03-09T00:00:00-04:00","2015-03-09","223.4329","226.5537","222.2928","226.0223","713623",""
