symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"IFF","2015-01-02T00:00:00-05:00","2015-01-02","96.32084","96.73872","95.13368","95.7795","306615",""
"IFF","2015-01-05T00:00:00-05:00","2015-01-05","95.3996","95.97894","93.89905","94.37391","402959",""
"IFF","2015-01-06T00:00:00-05:00","2015-01-06","94.7728","95.38062","92.6834","93.21525","443603",""
"IFF","2015-01-07T00:00:00-05:00","2015-01-07","93.78508","94.24095","93.01581","94.13648","543948",""
"IFF","2015-01-08T00:00:00-05:00","2015-01-08","94.86777","96.56777","94.7823","96.52978","351576",""
"IFF","2015-01-09T00:00:00-05:00","2015-01-09","96.92866","97.38453","96.24486","97.01414","479297",""
"IFF","2015-01-12T00:00:00-05:00","2015-01-12","96.99514","97.34654","95.57056","96.01693","304720",""
"IFF","2015-01-13T00:00:00-05:00","2015-01-13","96.87168","97.86889","96.51079","97.65045","638081",""
"IFF","2015-01-14T00:00:00-05:00","2015-01-14","96.73872","99.00855","96.56777","98.73313","693676",""
"IFF","2015-01-15T00:00:00-05:00","2015-01-15","99.1795","100.6516","99.01805","99.97727","797917",""
"IFF","2015-01-16T00:00:00-05:00","2015-01-16","99.84431","102.0192","99.58788","101.9622","766645",""
"IFF","2015-01-20T00:00:00-05:00","2015-01-20","103.0069","103.0069","100.7086","102.1711","534472",""
"IFF","2015-01-21T00:00:00-05:00","2015-01-21","101.8482","102.3611","100.8225","101.4588","713577",""
"IFF","2015-01-22T00:00:00-05:00","2015-01-22","102.1426","105.3907","101.9242","105.3622","827715",""
"IFF","2015-01-23T00:00:00-05:00","2015-01-23","104.9633","105.3147","102.627","103.5672","938168",""
"IFF","2015-01-26T00:00:00-05:00","2015-01-26","103.3013","103.4058","102.1806","102.9214","495302",""
"IFF","2015-01-27T00:00:00-05:00","2015-01-27","101.9242","102.1141","100.9555","101.5443","549107",""
"IFF","2015-01-28T00:00:00-05:00","2015-01-28","102.1141","102.4655","99.8918","99.96777","748429",""
"IFF","2015-01-29T00:00:00-05:00","2015-01-29","99.84431","101.5633","99.73035","101.4304","352524",""
"IFF","2015-01-30T00:00:00-05:00","2015-01-30","100.5851","101.9907","100.4046","100.775","431915",""
"IFF","2015-02-02T00:00:00-05:00","2015-02-02","101.1739","101.7058","100.0532","101.4114","331044",""
"IFF","2015-02-03T00:00:00-05:00","2015-02-03","102.1711","102.703","101.3734","102.57","501830",""
"IFF","2015-02-04T00:00:00-05:00","2015-02-04","102.2756","102.9594","101.9052","102.2946","304615",""
"IFF","2015-02-05T00:00:00-05:00","2015-02-05","102.9119","103.3298","102.4655","103.1778","293243",""
"IFF","2015-02-06T00:00:00-05:00","2015-02-06","103.3108","103.6147","102.646","103.5862","364422",""
"IFF","2015-02-09T00:00:00-05:00","2015-02-09","103.3393","103.4058","101.7248","101.9812","380111",""
"IFF","2015-02-10T00:00:00-05:00","2015-02-10","102.2566","102.8169","101.8387","102.513","390640",""
"IFF","2015-02-11T00:00:00-05:00","2015-02-11","102.6555","102.9499","101.3449","101.6203","1106639",""
"IFF","2015-02-12T00:00:00-05:00","2015-02-12","103.8331","110.6237","103.8331","108.9996","1413255",""
"IFF","2015-02-13T00:00:00-05:00","2015-02-13","109.541","112.6181","109.0566","111.0795","802023",""
"IFF","2015-02-17T00:00:00-05:00","2015-02-17","111.0035","111.6873","109.9779","111.3075","521626",""
"IFF","2015-02-18T00:00:00-05:00","2015-02-18","111.108","112.4186","110.9466","112.3237","350312",""
"IFF","2015-02-19T00:00:00-05:00","2015-02-19","112.3237","114.3656","111.6589","114.0617","554583",""
"IFF","2015-02-20T00:00:00-05:00","2015-02-20","113.9762","115.4293","113.3114","115.2963","440233",""
"IFF","2015-02-23T00:00:00-05:00","2015-02-23","114.584","115.8661","114.432","115.1443","455501",""
"IFF","2015-02-24T00:00:00-05:00","2015-02-24","114.9069","116.6734","114.527","116.4644","476876",""
"IFF","2015-02-25T00:00:00-05:00","2015-02-25","116.7779","116.8918","115.3248","115.7427","497935",""
"IFF","2015-02-26T00:00:00-05:00","2015-02-26","115.8661","116.246","115.1823","115.7142","495723",""
"IFF","2015-02-27T00:00:00-05:00","2015-02-27","115.8186","116.3505","115.0304","115.7996","390640",""
