symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ILMN","2015-01-02T00:00:00-05:00","2015-01-02","186.17","189.99","183.95","185.42","1532000",""
"ILMN","2015-01-05T00:00:00-05:00","2015-01-05","185.18","193.77","184.48","190.72","1548500",""
"ILMN","2015-01-06T00:00:00-05:00","2015-01-06","190.45","192.9","185.81","188.31","1139600",""
"ILMN","2015-01-07T00:00:00-05:00","2015-01-07","189.18","197","188.13","194.92","2363100",""
"ILMN","2015-01-08T00:00:00-05:00","2015-01-08","197.82","199.47","194.89","196.82","1741200",""
"ILMN","2015-01-09T00:00:00-05:00","2015-01-09","198.24","199.48","194.45","194.8","1255900",""
"ILMN","2015-01-12T00:00:00-05:00","2015-01-12","196.01","198.75","180.02","190.1","3059200",""
"ILMN","2015-01-13T00:00:00-05:00","2015-01-13","192.77","193.17","182.2","185.09","1878300",""
"ILMN","2015-01-14T00:00:00-05:00","2015-01-14","181.96","184.35","179.3","182.41","1237500",""
"ILMN","2015-01-15T00:00:00-05:00","2015-01-15","182.99","185.49","179.36","180.91","1703000",""
"ILMN","2015-01-16T00:00:00-05:00","2015-01-16","181.19","184.25","179.6","183.82","1430300",""
"ILMN","2015-01-20T00:00:00-05:00","2015-01-20","184.45","196.99","184.4","196.73","2365800",""
"ILMN","2015-01-21T00:00:00-05:00","2015-01-21","193.49","194.29","189","191.77","2073900",""
"ILMN","2015-01-22T00:00:00-05:00","2015-01-22","192.45","194.38","185.7","193.89","1430700",""
"ILMN","2015-01-23T00:00:00-05:00","2015-01-23","194.29","199.46","194.1","197.16","1633500",""
"ILMN","2015-01-26T00:00:00-05:00","2015-01-26","197.95","201.95","195.61","201.68","1316800",""
"ILMN","2015-01-27T00:00:00-05:00","2015-01-27","198.9","206","197.02","203.25","1660600",""
"ILMN","2015-01-28T00:00:00-05:00","2015-01-28","208.74","213.33","197.56","197.86","2261900",""
"ILMN","2015-01-29T00:00:00-05:00","2015-01-29","198","201.67","193.45","200","1423400",""
"ILMN","2015-01-30T00:00:00-05:00","2015-01-30","198.62","202","195","195.19","1471600",""
"ILMN","2015-02-02T00:00:00-05:00","2015-02-02","195.37","196.76","190.24","194.77","1293200",""
"ILMN","2015-02-03T00:00:00-05:00","2015-02-03","193.23","194.8","187.2","193","1594100",""
"ILMN","2015-02-04T00:00:00-05:00","2015-02-04","191.09","193.75","188.91","192.03","900000",""
"ILMN","2015-02-05T00:00:00-05:00","2015-02-05","193","194.78","192.16","194.51","1158600",""
"ILMN","2015-02-06T00:00:00-05:00","2015-02-06","195.17","195.85","191.79","192.64","1297400",""
"ILMN","2015-02-09T00:00:00-05:00","2015-02-09","192","194.62","190.54","192.27","1134800",""
"ILMN","2015-02-10T00:00:00-05:00","2015-02-10","192.89","194.78","192.28","194.01","818200",""
"ILMN","2015-02-11T00:00:00-05:00","2015-02-11","193.48","196.72","193.36","195.67","957000",""
"ILMN","2015-02-12T00:00:00-05:00","2015-02-12","196.52","197.22","193.61","196.73","630300",""
"ILMN","2015-02-13T00:00:00-05:00","2015-02-13","197.04","198.68","195.62","198.54","535500",""
"ILMN","2015-02-17T00:00:00-05:00","2015-02-17","197.29","199.1","196.06","198.86","711100",""
"ILMN","2015-02-18T00:00:00-05:00","2015-02-18","199","199.8","197","198.62","479200",""
"ILMN","2015-02-19T00:00:00-05:00","2015-02-19","196.74","202.61","196.74","202.34","1099400",""
"ILMN","2015-02-20T00:00:00-05:00","2015-02-20","203.29","203.88","200.07","203.13","750900",""
"ILMN","2015-02-23T00:00:00-05:00","2015-02-23","203.44","203.75","200.17","200.95","653200",""
"ILMN","2015-02-24T00:00:00-05:00","2015-02-24","200.04","200.8","197.25","199.7","625600",""
"ILMN","2015-02-25T00:00:00-05:00","2015-02-25","199.5","199.63","194.5","196.22","928600",""
"ILMN","2015-02-26T00:00:00-05:00","2015-02-26","196.44","198.89","193.18","198.46","714200",""
"ILMN","2015-02-27T00:00:00-05:00","2015-02-27","196.64","199.4","195.35","195.46","537900",""
"ILMN","2015-03-02T00:00:00-05:00","2015-03-02","194.11","196.84","192.5","194.06","965400",""
"ILMN","2015-03-03T00:00:00-05:00","2015-03-03","194.13","196.38","190.78","196.03","1078400",""
"ILMN","2015-03-04T00:00:00-05:00","2015-03-04","194.86","196.25","192.36","192.68","791700",""
"ILMN","2015-03-05T00:00:00-05:00","2015-03-05","191.79","200.26","191.59","200.13","1493500",""
"ILMN","2015-03-06T00:00:00-05:00","2015-03-06","198.62","199.49","192.69","193.14","1099100",""
