symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"INCY","2015-01-02T00:00:00-05:00","2015-01-02","73.65","74.88","72.68","73.76","781100",""
"INCY","2015-01-05T00:00:00-05:00","2015-01-05","73.82","74.98","73.22","74.22","968900",""
"INCY","2015-01-06T00:00:00-05:00","2015-01-06","73.23","74.83","69.05","71.49","2249100",""
"INCY","2015-01-07T00:00:00-05:00","2015-01-07","72.48","74.7","71.99","74.45","1009000",""
"INCY","2015-01-08T00:00:00-05:00","2015-01-08","74.97","75.65","72.94","73.21","1098100",""
"INCY","2015-01-09T00:00:00-05:00","2015-01-09","73.01","73.84","71.48","72.03","1266200",""
"INCY","2015-01-12T00:00:00-05:00","2015-01-12","73.07","73.96","71.68","73.3","895900",""
"INCY","2015-01-13T00:00:00-05:00","2015-01-13","73.51","77.25","73.51","76.18","1635500",""
"INCY","2015-01-14T00:00:00-05:00","2015-01-14","75.28","77.24","74.55","75.78","1330600",""
"INCY","2015-01-15T00:00:00-05:00","2015-01-15","75.29","76.45","72.54","72.9","1395000",""
"INCY","2015-01-16T00:00:00-05:00","2015-01-16","73.03","74.45","72.25","74.38","1369100",""
"INCY","2015-01-20T00:00:00-05:00","2015-01-20","74.44","77.79","73.19","77.4","1155800",""
"INCY","2015-01-21T00:00:00-05:00","2015-01-21","76.51","78.88","75","77.43","1370000",""
"INCY","2015-01-22T00:00:00-05:00","2015-01-22","77.99","78.25","75.67","77.61","861700",""
"INCY","2015-01-23T00:00:00-05:00","2015-01-23","77.29","80","76.84","79.9","1253800",""
"INCY","2015-01-26T00:00:00-05:00","2015-01-26","79.14","83.84","79.01","82.95","1913500",""
"INCY","2015-01-27T00:00:00-05:00","2015-01-27","81.99","83.77","81.52","83.07","1051600",""
"INCY","2015-01-28T00:00:00-05:00","2015-01-28","83.51","84.73","80.44","81.44","1540200",""
"INCY","2015-01-29T00:00:00-05:00","2015-01-29","81.7","81.7","79.56","81.34","842300",""
"INCY","2015-01-30T00:00:00-05:00","2015-01-30","81.05","82.81","79.51","79.71","701100",""
"INCY","2015-02-02T00:00:00-05:00","2015-02-02","80.44","81","76.4","78.38","995600",""
"INCY","2015-02-03T00:00:00-05:00","2015-02-03","79.5","79.5","73.25","75.96","1742700",""
"INCY","2015-02-04T00:00:00-05:00","2015-02-04","74.66","75.39","72.62","73.02","1837800",""
