symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"INTU","2015-01-02T00:00:00-05:00","2015-01-02","89.12409","90.0423","87.34568","88.15756","1947163",""
"INTU","2015-01-05T00:00:00-05:00","2015-01-05","87.27802","88.27355","86.73676","87.80961","2586148",""
"INTU","2015-01-06T00:00:00-05:00","2015-01-06","87.77094","88.1479","84.67804","85.11298","2367635",""
"INTU","2015-01-07T00:00:00-05:00","2015-01-07","85.26807","86.3052","85.17114","85.94656","1710125",""
"INTU","2015-01-08T00:00:00-05:00","2015-01-08","86.4409","87.84636","86.38274","87.10001","2016639",""
"INTU","2015-01-09T00:00:00-05:00","2015-01-09","87.55558","87.72036","85.16145","85.26807","2287870",""
"INTU","2015-01-12T00:00:00-05:00","2015-01-12","85.20022","85.55885","83.82383","84.05646","1893146",""
"INTU","2015-01-13T00:00:00-05:00","2015-01-13","84.50233","86.18889","82.99993","83.65905","1602829",""
"INTU","2015-01-14T00:00:00-05:00","2015-01-14","82.58314","83.61059","82.46684","83.58151","1669270",""
"INTU","2015-01-15T00:00:00-05:00","2015-01-15","83.50397","83.97891","82.28266","82.46684","939351",""
"INTU","2015-01-16T00:00:00-05:00","2015-01-16","82.34082","83.78506","82.14697","83.76567","1437759",""
"INTU","2015-01-20T00:00:00-05:00","2015-01-20","84.37633","85.26807","83.52335","84.73495","1901709",""
"INTU","2015-01-21T00:00:00-05:00","2015-01-21","83.28103","85.22929","83.28103","83.74628","1826602",""
"INTU","2015-01-22T00:00:00-05:00","2015-01-22","84.26001","86.51845","83.62028","86.06288","3092380",""
"INTU","2015-01-23T00:00:00-05:00","2015-01-23","86.64445","87.34234","86.1695","86.67353","2206367",""
"INTU","2015-01-26T00:00:00-05:00","2015-01-26","86.7123","86.86739","85.91749","86.61537","2123832",""
"INTU","2015-01-27T00:00:00-05:00","2015-01-27","85.48131","86.75108","84.8125","85.73332","1568577",""
"INTU","2015-01-28T00:00:00-05:00","2015-01-28","86.5669","86.78015","84.8028","84.8125","1590759",""
"INTU","2015-01-29T00:00:00-05:00","2015-01-29","84.63803","86.06288","84.36663","85.73332","1668651",""
"INTU","2015-01-30T00:00:00-05:00","2015-01-30","85.25837","85.78178","84.06615","84.15339","1960515",""
"INTU","2015-02-02T00:00:00-05:00","2015-02-02","84.8222","86.13073","83.13564","85.56854","1828356",""
"INTU","2015-02-03T00:00:00-05:00","2015-02-03","85.82056","87.73974","85.82056","87.72036","2061311",""
"INTU","2015-02-04T00:00:00-05:00","2015-02-04","87.15817","88.3407","87.04186","87.75913","1530405",""
"INTU","2015-02-05T00:00:00-05:00","2015-02-05","87.69128","88.98043","87.42957","88.8932","1118762",""
"INTU","2015-02-06T00:00:00-05:00","2015-02-06","87.87545","88.3504","84.64773","85.13237","4003257",""
"INTU","2015-02-09T00:00:00-05:00","2015-02-09","84.97728","86.1792","84.29878","85.14205","2270228",""
"INTU","2015-02-10T00:00:00-05:00","2015-02-10","85.74301","86.52814","85.40376","86.40213","1875092",""
"INTU","2015-02-11T00:00:00-05:00","2015-02-11","86.62507","87.02247","85.83025","86.06288","1922137",""
"INTU","2015-02-12T00:00:00-05:00","2015-02-12","86.4409","86.93524","85.95626","86.64445","2031702",""
"INTU","2015-02-13T00:00:00-05:00","2015-02-13","86.87708","87.50711","86.70261","87.47803","2432616",""
"INTU","2015-02-17T00:00:00-05:00","2015-02-17","87.32294","87.5265","86.76077","87.32294","2976109",""
"INTU","2015-02-18T00:00:00-05:00","2015-02-18","87.23572","87.51681","86.32458","87.00309","2480486",""
"INTU","2015-02-19T00:00:00-05:00","2015-02-19","86.96432","88.44732","86.52814","88.31162","2899042",""
"INTU","2015-02-20T00:00:00-05:00","2015-02-20","91.99491","93.91409","91.20979","93.74931","4981400",""
"INTU","2015-02-23T00:00:00-05:00","2015-02-23","93.74931","93.74931","92.98358","93.38098","1889123",""
"INTU","2015-02-24T00:00:00-05:00","2015-02-24","93.25498","94.4472","92.98358","94.38904","1444259",""
"INTU","2015-02-25T00:00:00-05:00","2015-02-25","94.18549","95.07723","94.0401","94.64106","1425070",""
"INTU","2015-02-26T00:00:00-05:00","2015-02-26","94.53444","95.05785","94.29211","94.67983","1094620",""
"INTU","2015-02-27T00:00:00-05:00","2015-02-27","94.36966","94.90277","94.13703","94.63136","1339233",""
"INTU","2015-03-02T00:00:00-05:00","2015-03-02","94.56351","95.65881","94.25334","95.64912","1028902",""
"INTU","2015-03-03T00:00:00-05:00","2015-03-03","95.00938","95.52311","94.60229","94.99","1352748",""
"INTU","2015-03-04T00:00:00-05:00","2015-03-04","94.41813","95.05785","93.9044","94.45689","1180147",""
"INTU","2015-03-05T00:00:00-05:00","2015-03-05","94.5829","95.16447","93.85594","95.10632","1157140",""
"INTU","2015-03-06T00:00:00-05:00","2015-03-06","94.64106","95.24202","94.14672","94.41813","1693721",""
"INTU","2015-03-09T00:00:00-04:00","2015-03-09","94.50536","94.89307","93.93349","94.64106","1254325",""
"INTU","2015-03-10T00:00:00-04:00","2015-03-10","93.34222","93.96256","92.45047","92.46017","1390818",""
"INTU","2015-03-11T00:00:00-04:00","2015-03-11","92.50863","93.16775","92.09184","92.25661","1093588",""
"INTU","2015-03-12T00:00:00-04:00","2015-03-12","92.46986","93.7687","92.31477","93.71054","819056",""
"INTU","2015-03-13T00:00:00-04:00","2015-03-13","93.38098","94.98031","93.3616","94.76706","1791731",""
"INTU","2015-03-16T00:00:00-04:00","2015-03-16","95.08693","96.68625","94.79615","96.32761","1497700",""
"INTU","2015-03-17T00:00:00-04:00","2015-03-17","95.71696","96.32761","95.38741","95.9399","1499764",""
"INTU","2015-03-18T00:00:00-04:00","2015-03-18","95.62004","97.56831","95.41649","96.86073","1483257",""
"INTU","2015-03-19T00:00:00-04:00","2015-03-19","96.74441","97.2969","96.71533","96.71533","1232763",""
"INTU","2015-03-20T00:00:00-04:00","2015-03-20","97.33567","97.78154","97.07397","97.34537","3544259",""
"INTU","2015-03-23T00:00:00-04:00","2015-03-23","97.76216","97.76216","96.98672","97.05458","1203463",""
"INTU","2015-03-24T00:00:00-04:00","2015-03-24","97.12243","97.62646","96.6281","96.63779","1522977",""
"INTU","2015-03-25T00:00:00-04:00","2015-03-25","96.58932","96.63779","94.3115","94.33089","1482844",""
"INTU","2015-03-26T00:00:00-04:00","2015-03-26","93.7687","94.60229","93.3616","93.96256","813176",""
"INTU","2015-03-27T00:00:00-04:00","2015-03-27","93.68147","94.30181","93.0902","94.07887","1056138",""
"INTU","2015-03-30T00:00:00-04:00","2015-03-30","94.79615","95.71696","94.79615","95.21294","903758",""
"INTU","2015-03-31T00:00:00-04:00","2015-03-31","94.35027","95.60065","93.98194","93.98194","1930803",""
"INTU","2015-04-01T00:00:00-04:00","2015-04-01","93.84624","94.69921","93.29375","94.67983","1345320",""
"INTU","2015-04-02T00:00:00-04:00","2015-04-02","94.68952","95.67819","94.35996","95.47465","1115976",""
"INTU","2015-04-06T00:00:00-04:00","2015-04-06","94.45689","95.74604","93.94317","94.8446","1374620",""
"INTU","2015-04-07T00:00:00-04:00","2015-04-07","95.20325","95.59096","94.33089","94.35996","1270729",""
"INTU","2015-04-08T00:00:00-04:00","2015-04-08","94.28222","95.55526","94.28222","95.15682","1343718",""
"INTU","2015-04-09T00:00:00-04:00","2015-04-09","95.11795","95.62328","94.5446","95.16654","829713",""
"INTU","2015-04-10T00:00:00-04:00","2015-04-10","95.07908","96.31325","94.8167","96.09946","1714789",""
"INTU","2015-04-13T00:00:00-04:00","2015-04-13","95.39006","96.38127","95.12767","95.12767","1258513",""
"INTU","2015-04-14T00:00:00-04:00","2015-04-14","94.70009","95.35119","94.35996","95.11795","1877171",""
"INTU","2015-04-15T00:00:00-04:00","2015-04-15","95.62328","95.87595","95.05965","95.19569","983657",""
"INTU","2015-04-16T00:00:00-04:00","2015-04-16","94.51545","94.73896","94.17533","94.64178","1507540",""
"INTU","2015-04-17T00:00:00-04:00","2015-04-17","93.78661","93.98097","92.63992","92.88286","1595729",""
