symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"IPG","2015-01-02T00:00:00-05:00","2015-01-02","19.3945","19.3945","18.65965","18.83638","2824149",""
"IPG","2015-01-05T00:00:00-05:00","2015-01-05","18.76197","18.76197","18.24106","18.29687","3309748",""
"IPG","2015-01-06T00:00:00-05:00","2015-01-06","18.25966","18.4271","17.67364","17.80387","10643183",""
"IPG","2015-01-07T00:00:00-05:00","2015-01-07","17.9527","18.26896","17.76666","18.26896","3801367",""
"IPG","2015-01-08T00:00:00-05:00","2015-01-08","18.455","19.12474","18.40849","19.11544","5388889",""
"IPG","2015-01-09T00:00:00-05:00","2015-01-09","19.14334","19.15265","18.82708","18.87359","5087231",""
"IPG","2015-01-12T00:00:00-05:00","2015-01-12","18.86429","18.96661","18.58523","18.77127","1931322",""
"IPG","2015-01-13T00:00:00-05:00","2015-01-13","18.99451","19.19916","18.60383","18.84568","3557008",""
"IPG","2015-01-14T00:00:00-05:00","2015-01-14","18.58523","18.72476","18.40849","18.67825","2759861",""
"IPG","2015-01-15T00:00:00-05:00","2015-01-15","18.71546","18.78987","18.15734","18.28757","5263538",""
"IPG","2015-01-16T00:00:00-05:00","2015-01-16","18.25036","18.4178","18.21315","18.38989","4502298",""
"IPG","2015-01-20T00:00:00-05:00","2015-01-20","18.37129","18.455","18.13874","18.40849","3449396",""
"IPG","2015-01-21T00:00:00-05:00","2015-01-21","18.31548","18.84568","18.25966","18.81778","3499923",""
"IPG","2015-01-22T00:00:00-05:00","2015-01-22","18.98521","19.45031","18.81778","19.4038","4676885",""
"IPG","2015-01-23T00:00:00-05:00","2015-01-23","19.46891","19.47821","19.06893","19.15265","2664289",""
"IPG","2015-01-26T00:00:00-05:00","2015-01-26","19.08753","19.38519","19.01312","19.30148","2343388",""
"IPG","2015-01-27T00:00:00-05:00","2015-01-27","18.99451","19.23636","18.83638","18.9387","3663653",""
"IPG","2015-01-28T00:00:00-05:00","2015-01-28","19.06893","19.06893","18.36198","18.37129","4821909",""
"IPG","2015-01-29T00:00:00-05:00","2015-01-29","18.38059","18.87359","18.12013","18.86429","4322442",""
"IPG","2015-01-30T00:00:00-05:00","2015-01-30","18.67825","18.87359","18.50151","18.54802","3942305",""
"IPG","2015-02-02T00:00:00-05:00","2015-02-02","18.60383","18.79917","18.15734","18.78987","3285451",""
"IPG","2015-02-03T00:00:00-05:00","2015-02-03","18.9201","19.18055","18.81778","19.17125","3529165",""
"IPG","2015-02-04T00:00:00-05:00","2015-02-04","19.14334","19.33869","19.03172","19.14334","2765344",""
"IPG","2015-02-05T00:00:00-05:00","2015-02-05","19.17125","19.4224","19.06893","19.4038","2905100",""
"IPG","2015-02-06T00:00:00-05:00","2015-02-06","19.3945","19.44101","18.96661","19.03172","2897144",""
"IPG","2015-02-09T00:00:00-05:00","2015-02-09","18.90149","19.4131","18.87359","19.36659","2405633",""
"IPG","2015-02-10T00:00:00-05:00","2015-02-10","19.44101","19.52472","19.11544","19.38519","4405651",""
"IPG","2015-02-11T00:00:00-05:00","2015-02-11","19.37589","19.4131","19.18985","19.34799","3095706",""
"IPG","2015-02-12T00:00:00-05:00","2015-02-12","19.37589","19.76657","19.35729","19.68286","2983041",""
"IPG","2015-02-13T00:00:00-05:00","2015-02-13","19.85029","20.58514","19.73867","20.55724","7358698",""
"IPG","2015-02-17T00:00:00-05:00","2015-02-17","20.53863","20.83629","20.53863","20.78979","6856651",""
"IPG","2015-02-18T00:00:00-05:00","2015-02-18","20.70607","20.8735","20.65956","20.70607","2828771",""
"IPG","2015-02-19T00:00:00-05:00","2015-02-19","20.70607","20.8735","20.60375","20.75258","2181378",""
"IPG","2015-02-20T00:00:00-05:00","2015-02-20","20.68746","20.8828","20.50143","20.8642","6802146",""
"IPG","2015-02-23T00:00:00-05:00","2015-02-23","20.79909","20.97582","20.74327","20.93862","2051727",""
"IPG","2015-02-24T00:00:00-05:00","2015-02-24","20.93862","20.98512","20.67816","20.90141","3024430",""
"IPG","2015-02-25T00:00:00-05:00","2015-02-25","20.92931","21.10605","20.74327","20.92001","2863925",""
"IPG","2015-02-26T00:00:00-05:00","2015-02-26","20.94807","21.04159","20.83585","21.00418","2291961",""
"IPG","2015-02-27T00:00:00-05:00","2015-02-27","21.04159","21.1351","20.82649","20.85455","4188063",""
"IPG","2015-03-02T00:00:00-05:00","2015-03-02","20.94807","21.19121","20.82649","21.04159","4536766",""
"IPG","2015-03-03T00:00:00-05:00","2015-03-03","20.93871","21.06029","20.77038","20.99483","3157568",""
"IPG","2015-03-04T00:00:00-05:00","2015-03-04","20.96677","21.04159","20.8826","20.93871","3256480",""
"IPG","2015-03-05T00:00:00-05:00","2015-03-05","21.01353","21.01353","20.58335","20.5927","2905639",""
"IPG","2015-03-06T00:00:00-05:00","2015-03-06","20.48983","20.57399","20.22798","20.34955","2620988",""
"IPG","2015-03-09T00:00:00-04:00","2015-03-09","20.38696","20.49918","20.18122","20.42437","5238448",""
"IPG","2015-03-10T00:00:00-04:00","2015-03-10","20.30279","20.3589","20.16251","20.27474","3054701",""
"IPG","2015-03-11T00:00:00-04:00","2015-03-11","20.3215","20.3215","19.88196","19.94742","3884379",""
"IPG","2015-03-12T00:00:00-04:00","2015-03-12","20.06899","20.29344","20.00353","20.29344","3354535",""
"IPG","2015-03-13T00:00:00-04:00","2015-03-13","20.28409","20.28409","19.96613","20.14381","2045485",""
"IPG","2015-03-16T00:00:00-04:00","2015-03-16","20.21863","20.48983","20.15316","20.48983","2378896",""
"IPG","2015-03-17T00:00:00-04:00","2015-03-17","20.36826","20.42437","20.20927","20.28409","1819860",""
"IPG","2015-03-18T00:00:00-04:00","2015-03-18","20.28409","20.55529","19.97548","20.50853","3404045",""
"IPG","2015-03-19T00:00:00-04:00","2015-03-19","20.45242","20.54594","20.33085","20.48983","2050510",""
"IPG","2015-03-20T00:00:00-04:00","2015-03-20","20.56464","20.74233","20.50853","20.65816","3102927",""
"IPG","2015-03-23T00:00:00-04:00","2015-03-23","20.65816","20.74233","20.56464","20.6301","1979936",""
"IPG","2015-03-24T00:00:00-04:00","2015-03-24","20.57399","20.65816","20.36826","20.6114","4182610",""
"IPG","2015-03-25T00:00:00-04:00","2015-03-25","20.6114","20.72362","20.24668","20.26538","4743143",""
"IPG","2015-03-26T00:00:00-04:00","2015-03-26","20.14381","20.38696","20.05029","20.34955","2890882",""
"IPG","2015-03-27T00:00:00-04:00","2015-03-27","20.33085","20.68622","20.30279","20.6301","4464267",""
"IPG","2015-03-30T00:00:00-04:00","2015-03-30","20.74233","20.82649","20.53659","20.66751","3070954",""
"IPG","2015-03-31T00:00:00-04:00","2015-03-31","20.62075","20.98548","20.51788","20.68622","3479431",""
"IPG","2015-04-01T00:00:00-04:00","2015-04-01","20.6114","20.67686","20.3589","20.53659","2323933",""
"IPG","2015-04-02T00:00:00-04:00","2015-04-02","20.56464","20.79844","20.51788","20.68622","2779139",""
"IPG","2015-04-06T00:00:00-04:00","2015-04-06","20.52724","20.77973","20.48048","20.70492","2806407",""
"IPG","2015-04-07T00:00:00-04:00","2015-04-07","20.69557","20.72362","20.3402","20.37761","2287470",""
"IPG","2015-04-08T00:00:00-04:00","2015-04-08","20.45242","20.57399","20.39631","20.50853","2234325",""
"IPG","2015-04-09T00:00:00-04:00","2015-04-09","20.50853","20.54594","20.24668","20.3402","2598746",""
"IPG","2015-04-10T00:00:00-04:00","2015-04-10","20.33085","20.42437","20.22798","20.39631","2747808",""
"IPG","2015-04-13T00:00:00-04:00","2015-04-13","20.17187","20.48983","20.05964","20.20927","3938700",""
"IPG","2015-04-14T00:00:00-04:00","2015-04-14","20.15316","20.27474","19.97548","20.25603","3055556",""
"IPG","2015-04-15T00:00:00-04:00","2015-04-15","20.31214","20.3215","19.91937","19.96613","3962118",""
"IPG","2015-04-16T00:00:00-04:00","2015-04-16","19.96613","19.96613","19.70428","19.70428","6951591",""
"IPG","2015-04-17T00:00:00-04:00","2015-04-17","19.54529","19.61076","19.32085","19.47983","4453039",""
"IPG","2015-04-20T00:00:00-04:00","2015-04-20","19.6014","19.62011","19.36761","19.50789","8034482",""
"IPG","2015-04-21T00:00:00-04:00","2015-04-21","19.62946","19.88196","19.54529","19.76974","6003005",""
"IPG","2015-04-22T00:00:00-04:00","2015-04-22","19.77909","19.99418","19.57335","19.95677","4766882",""
"IPG","2015-04-23T00:00:00-04:00","2015-04-23","19.94742","20.00353","19.72298","19.78844","5395743",""
"IPG","2015-04-24T00:00:00-04:00","2015-04-24","20.48983","20.55529","20.30279","20.37761","7247790",""
"IPG","2015-04-27T00:00:00-04:00","2015-04-27","20.36826","20.40566","19.37696","19.45178","8962645",""
"IPG","2015-04-28T00:00:00-04:00","2015-04-28","19.37696","19.73233","19.11511","19.69492","6258891",""
"IPG","2015-04-29T00:00:00-04:00","2015-04-29","19.63881","19.78844","19.37696","19.40502","5205513",""
"IPG","2015-04-30T00:00:00-04:00","2015-04-30","19.40502","19.76039","19.33956","19.48918","6461419",""
"IPG","2015-05-01T00:00:00-04:00","2015-05-01","19.63881","19.67622","19.49854","19.64816","5531760",""
"IPG","2015-05-04T00:00:00-04:00","2015-05-04","19.69492","19.90066","19.69492","19.70428","2990114",""
"IPG","2015-05-05T00:00:00-04:00","2015-05-05","19.63881","19.90066","19.46113","19.47983","4274250",""
"IPG","2015-05-06T00:00:00-04:00","2015-05-06","19.5827","19.6014","19.18993","19.33956","4571305",""
"IPG","2015-05-07T00:00:00-04:00","2015-05-07","19.30215","19.53594","19.19928","19.36761","3572354",""
"IPG","2015-05-08T00:00:00-04:00","2015-05-08","19.62011","19.76039","19.48918","19.64816","2696588",""
"IPG","2015-05-11T00:00:00-04:00","2015-05-11","19.63881","19.90066","19.63881","19.66687","6194198",""
"IPG","2015-05-12T00:00:00-04:00","2015-05-12","19.52659","19.564","19.25539","19.49854","3515574",""
"IPG","2015-05-13T00:00:00-04:00","2015-05-13","19.48918","19.59205","19.33956","19.45178","3790707",""
"IPG","2015-05-14T00:00:00-04:00","2015-05-14","19.6014","19.82585","19.57335","19.76974","2498338",""
"IPG","2015-05-15T00:00:00-04:00","2015-05-15","19.80715","19.89131","19.66687","19.71363","3438476",""
"IPG","2015-05-18T00:00:00-04:00","2015-05-18","19.72298","19.93807","19.57335","19.88196","3741198",""
"IPG","2015-05-19T00:00:00-04:00","2015-05-19","19.95677","19.96613","19.57335","19.59205","2717547",""
"IPG","2015-05-20T00:00:00-04:00","2015-05-20","19.65752","19.70428","19.50789","19.55465","6235687",""
"IPG","2015-05-21T00:00:00-04:00","2015-05-21","19.55465","19.8352","19.43307","19.65752","3047750",""
"IPG","2015-05-22T00:00:00-04:00","2015-05-22","19.62946","19.70428","19.47048","19.564","3758521",""
"IPG","2015-05-26T00:00:00-04:00","2015-05-26","19.51724","19.57335","19.18993","19.3115","2240420",""
"IPG","2015-05-27T00:00:00-04:00","2015-05-27","19.32085","19.45178","19.16187","19.40502","3309197",""
"IPG","2015-05-28T00:00:00-04:00","2015-05-28","19.40502","19.45178","19.18993","19.30215","2840197",""
"IPG","2015-05-29T00:00:00-04:00","2015-05-29","19.30215","19.39621","19.10461","19.20808","2679422",""
"IPG","2015-06-01T00:00:00-04:00","2015-06-01","19.2363","19.31155","19.01995","19.21749","1758464",""
"IPG","2015-06-02T00:00:00-04:00","2015-06-02","19.16105","19.42443","19.12342","19.30215","1691276",""
"IPG","2015-06-03T00:00:00-04:00","2015-06-03","19.32096","19.47147","19.17986","19.40562","1172486",""
"IPG","2015-06-04T00:00:00-04:00","2015-06-04","19.27393","19.3774","18.98233","19.01055","2219847",""
"IPG","2015-06-05T00:00:00-04:00","2015-06-05","19.01995","19.0858","18.77538","18.99173","2844840",""
