symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"IR","2015-01-02T00:00:00-05:00","2015-01-02","60.10847","60.5913","59.30373","59.89071","1166319",""
"IR","2015-01-05T00:00:00-05:00","2015-01-05","59.36054","59.6351","58.59368","58.8493","1860914",""
"IR","2015-01-06T00:00:00-05:00","2015-01-06","58.90611","59.03865","57.14517","57.61854","2343518",""
"IR","2015-01-07T00:00:00-05:00","2015-01-07","58.23392","58.48954","57.77002","57.93096","1811586",""
"IR","2015-01-08T00:00:00-05:00","2015-01-08","58.40433","59.13332","58.36647","59.10492","1813382",""
"IR","2015-01-09T00:00:00-05:00","2015-01-09","59.2848","59.2848","58.33806","58.46114","1021295",""
"IR","2015-01-12T00:00:00-05:00","2015-01-12","59.59723","59.61616","58.16765","58.88717","2385662",""
"IR","2015-01-13T00:00:00-05:00","2015-01-13","59.49308","59.88125","57.85522","58.59368","1412321",""
"IR","2015-01-14T00:00:00-05:00","2015-01-14","57.41973","58.21499","57.30611","58.15818","1666140",""
"IR","2015-01-15T00:00:00-05:00","2015-01-15","58.43274","58.85877","57.67534","58.27179","2909460",""
"IR","2015-01-16T00:00:00-05:00","2015-01-16","58.04457","58.4138","56.94636","58.33806","3066209",""
"IR","2015-01-20T00:00:00-05:00","2015-01-20","58.8777","59.37001","58.15818","59.04811","2605469",""
"IR","2015-01-21T00:00:00-05:00","2015-01-21","58.75463","59.90965","58.55581","59.75817","1969074",""
"IR","2015-01-22T00:00:00-05:00","2015-01-22","60.35462","61.31083","60.03273","61.29189","2866787",""
"IR","2015-01-23T00:00:00-05:00","2015-01-23","61.06467","62.10608","60.92266","61.21615","3330062",""
"IR","2015-01-26T00:00:00-05:00","2015-01-26","61.22561","61.88834","60.55343","61.85046","1764689",""
"IR","2015-01-27T00:00:00-05:00","2015-01-27","61.01733","61.64218","60.38302","61.31083","1793207",""
"IR","2015-01-28T00:00:00-05:00","2015-01-28","61.68005","61.98301","60.40195","60.44929","2139766",""
"IR","2015-01-29T00:00:00-05:00","2015-01-29","60.39249","61.30135","59.93805","61.21615","2999665",""
"IR","2015-01-30T00:00:00-05:00","2015-01-30","62.34277","62.99602","61.39603","62.86348","4537681",""
"IR","2015-02-02T00:00:00-05:00","2015-02-02","62.95815","62.98655","61.4907","62.63626","3231302",""
"IR","2015-02-03T00:00:00-05:00","2015-02-03","63.04335","63.98063","62.97708","63.85755","2799081",""
"IR","2015-02-04T00:00:00-05:00","2015-02-04","63.90489","63.90489","62.92975","63.25164","2118640",""
"IR","2015-02-05T00:00:00-05:00","2015-02-05","63.34631","63.74394","63.18536","63.28004","1996748",""
"IR","2015-02-06T00:00:00-05:00","2015-02-06","63.32738","63.56406","62.91081","63.04335","2785456",""
"IR","2015-02-09T00:00:00-05:00","2015-02-09","63.00549","63.67767","62.48478","62.86348","2385873",""
"IR","2015-02-10T00:00:00-05:00","2015-02-10","63.22324","63.49779","62.78773","63.42205","1751485",""
"IR","2015-02-11T00:00:00-05:00","2015-02-11","63.13803","63.48832","63.06229","63.10963","2100262",""
"IR","2015-02-12T00:00:00-05:00","2015-02-12","63.67767","64.21732","63.16643","64.02796","3716652",""
"IR","2015-02-13T00:00:00-05:00","2015-02-13","64.14157","64.40666","63.39365","64.08477","2182121",""
"IR","2015-02-17T00:00:00-05:00","2015-02-17","63.99009","64.22678","63.47886","64.15104","1480872",""
"IR","2015-02-18T00:00:00-05:00","2015-02-18","64.15104","64.85162","63.83862","64.29305","2240321",""
"IR","2015-02-19T00:00:00-05:00","2015-02-19","64.02796","64.5392","63.90489","64.34985","1383485",""
"IR","2015-02-20T00:00:00-05:00","2015-02-20","64.39719","65.33447","63.99956","65.14511","1834507",""
"IR","2015-02-23T00:00:00-05:00","2015-02-23","65.13565","65.2682","64.67175","64.98417","1868096",""
"IR","2015-02-24T00:00:00-05:00","2015-02-24","64.70962","65.17352","64.5676","65.08831","1291168",""
"IR","2015-02-25T00:00:00-05:00","2015-02-25","64.73801","64.93683","64.26465","64.58654","1488583",""
"IR","2015-02-26T00:00:00-05:00","2015-02-26","64.66228","64.76643","64.08477","64.32146","1359297",""
"IR","2015-02-27T00:00:00-05:00","2015-02-27","64.16051","64.33092","63.54513","63.6114","1696032",""
"IR","2015-03-02T00:00:00-05:00","2015-03-02","63.64927","64.39719","63.54513","64.16998","1641318",""
"IR","2015-03-03T00:00:00-05:00","2015-03-03","63.81021","64.17944","63.39365","63.85755","1562310",""
"IR","2015-03-04T00:00:00-05:00","2015-03-04","63.60193","63.73447","62.65519","63.43152","2191100",""
"IR","2015-03-05T00:00:00-05:00","2015-03-05","63.81968","64.1037","63.71554","64.0753","1988087",""
"IR","2015-03-06T00:00:00-05:00","2015-03-06","63.59246","63.93329","62.84454","63.29898","1712404",""
"IR","2015-03-09T00:00:00-04:00","2015-03-09","63.43152","64.20785","63.43152","64.05637","1395527",""
"IR","2015-03-10T00:00:00-04:00","2015-03-10","63.43152","63.45992","62.62679","62.70253","1949956",""
"IR","2015-03-11T00:00:00-04:00","2015-03-11","63.02583","63.13995","62.51234","62.94976","1334311",""
"IR","2015-03-12T00:00:00-04:00","2015-03-12","63.19699","64.18594","63.13995","64.08134","1109682",""
"IR","2015-03-13T00:00:00-04:00","2015-03-13","64.01477","64.08134","63.0924","63.91969","1638653",""
"IR","2015-03-16T00:00:00-04:00","2015-03-16","64.08134","65.27947","64.01477","65.23193","1747602",""
"IR","2015-03-17T00:00:00-04:00","2015-03-17","64.64237","64.73746","64.13839","64.45219","1707114",""
"IR","2015-03-18T00:00:00-04:00","2015-03-18","64.20495","65.37457","63.7295","65.17487","1670728",""
"IR","2015-03-19T00:00:00-04:00","2015-03-19","64.84206","65.04175","64.10036","64.53777","1299502",""
"IR","2015-03-20T00:00:00-04:00","2015-03-20","64.91813","65.43162","64.785","64.86108","1934477",""
"IR","2015-03-23T00:00:00-04:00","2015-03-23","65.07979","65.14635","64.24299","64.24299","1117569",""
"IR","2015-03-24T00:00:00-04:00","2015-03-24","64.32858","64.785","63.80557","64.61384","1786407",""
