symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ISRG","2015-01-02T00:00:00-05:00","2015-01-02","530.88","535.8","521.31","525.57","178700",""
"ISRG","2015-01-05T00:00:00-05:00","2015-01-05","522.78","523.49","513.79","514.37","430500",""
"ISRG","2015-01-06T00:00:00-05:00","2015-01-06","523.4","524.43","514.39","519.79","282500",""
"ISRG","2015-01-07T00:00:00-05:00","2015-01-07","523.78","532.9","521.2","522.64","377200",""
"ISRG","2015-01-08T00:00:00-05:00","2015-01-08","528.6","536.7","523.78","533","408200",""
"ISRG","2015-01-09T00:00:00-05:00","2015-01-09","530.97","536.26","520.48","520.87","327200",""
"ISRG","2015-01-12T00:00:00-05:00","2015-01-12","520.05","526.3","514.92","525.51","320500",""
"ISRG","2015-01-13T00:00:00-05:00","2015-01-13","531.63","534","516.74","521.66","478100",""
"ISRG","2015-01-14T00:00:00-05:00","2015-01-14","521.31","536.84","518.98","535.36","322000",""
"ISRG","2015-01-15T00:00:00-05:00","2015-01-15","535.25","538.09","522.44","524.38","247400",""
"ISRG","2015-01-16T00:00:00-05:00","2015-01-16","522.96","531.79","519.39","530.63","265500",""
"ISRG","2015-01-20T00:00:00-05:00","2015-01-20","534.19","534.95","518.59","521.89","271700",""
"ISRG","2015-01-21T00:00:00-05:00","2015-01-21","517.92","527.13","516.02","518.12","247100",""
"ISRG","2015-01-22T00:00:00-05:00","2015-01-22","518.31","526.55","516.07","525.38","505400",""
"ISRG","2015-01-23T00:00:00-05:00","2015-01-23","512.34","526.82","508.02","517.57","506200",""
"ISRG","2015-01-26T00:00:00-05:00","2015-01-26","518.73","521.21","511.77","521.01","219900",""
"ISRG","2015-01-27T00:00:00-05:00","2015-01-27","513.01","517.16","506.02","509.21","387000",""
"ISRG","2015-01-28T00:00:00-05:00","2015-01-28","505","513.74","501.98","502.56","254600",""
"ISRG","2015-01-29T00:00:00-05:00","2015-01-29","501.24","507.52","492.95","504.98","281100",""
"ISRG","2015-01-30T00:00:00-05:00","2015-01-30","498.13","504.89","493.64","494.48","284000",""
"ISRG","2015-02-02T00:00:00-05:00","2015-02-02","499.85","507.87","494.66","507.13","410100",""
"ISRG","2015-02-03T00:00:00-05:00","2015-02-03","508.27","511.62","502.52","508.66","225700",""
"ISRG","2015-02-04T00:00:00-05:00","2015-02-04","507.41","512.79","504.1","504.92","171700",""
"ISRG","2015-02-05T00:00:00-05:00","2015-02-05","508.16","516.4","507.1","516.17","334800",""
"ISRG","2015-02-06T00:00:00-05:00","2015-02-06","513.66","523.4","509.76","512.27","288300",""
"ISRG","2015-02-09T00:00:00-05:00","2015-02-09","510","513.01","498.9","501.29","228800",""
"ISRG","2015-02-10T00:00:00-05:00","2015-02-10","502.73","504.98","495.51","499.87","310700",""
"ISRG","2015-02-11T00:00:00-05:00","2015-02-11","498.12","504","496.56","498.93","134500",""
"ISRG","2015-02-12T00:00:00-05:00","2015-02-12","500.15","508.28","495.88","507.71","236800",""
"ISRG","2015-02-13T00:00:00-05:00","2015-02-13","505.89","511.26","505.69","510.73","139800",""
"ISRG","2015-02-17T00:00:00-05:00","2015-02-17","510.73","516.27","507.2","514","190900",""
"ISRG","2015-02-18T00:00:00-05:00","2015-02-18","513.5","514.88","510.14","512.86","111800",""
"ISRG","2015-02-19T00:00:00-05:00","2015-02-19","509.51","512.85","505.42","511.47","128100",""
"ISRG","2015-02-20T00:00:00-05:00","2015-02-20","511.25","513.38","506.28","513.31","154300",""
"ISRG","2015-02-23T00:00:00-05:00","2015-02-23","509.63","514.93","508.62","513.7","116500",""
"ISRG","2015-02-24T00:00:00-05:00","2015-02-24","512.76","513.64","509.52","511.87","119400",""
"ISRG","2015-02-25T00:00:00-05:00","2015-02-25","513.19","513.19","505","507.66","115800",""
"ISRG","2015-02-26T00:00:00-05:00","2015-02-26","508.69","512.51","503.76","506.33","125100",""
"ISRG","2015-02-27T00:00:00-05:00","2015-02-27","504.83","506.33","497.54","500","282600",""
"ISRG","2015-03-02T00:00:00-05:00","2015-03-02","500.98","504.99","500.98","503.26","178200",""
"ISRG","2015-03-03T00:00:00-05:00","2015-03-03","508.25","510.99","502.05","509.07","278100",""
"ISRG","2015-03-04T00:00:00-05:00","2015-03-04","505.47","505.92","499","500.56","264100",""
"ISRG","2015-03-05T00:00:00-05:00","2015-03-05","501.46","504.41","498.05","499.52","205100",""
"ISRG","2015-03-06T00:00:00-05:00","2015-03-06","496.98","499.52","491.74","494.04","272300",""
"ISRG","2015-03-09T00:00:00-04:00","2015-03-09","490.7","494","486.67","492.59","299300",""
