symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ITW","2015-01-02T00:00:00-05:00","2015-01-02","89.67802","89.96074","88.47176","89.22568","1462767",""
"ITW","2015-01-05T00:00:00-05:00","2015-01-05","88.78275","88.78275","86.8697","87.02047","1939214",""
"ITW","2015-01-06T00:00:00-05:00","2015-01-06","87.34089","87.47282","85.2205","85.82364","2846586",""
"ITW","2015-01-07T00:00:00-05:00","2015-01-07","86.54928","87.12414","86.11578","86.75661","1800206",""
"ITW","2015-01-08T00:00:00-05:00","2015-01-08","87.58591","88.88641","87.54822","88.84872","1822383",""
"ITW","2015-01-09T00:00:00-05:00","2015-01-09","89.05605","89.26337","87.70842","88.17962","1503196",""
"ITW","2015-01-12T00:00:00-05:00","2015-01-12","88.24558","88.54715","87.49167","87.77439","1436663",""
"ITW","2015-01-13T00:00:00-05:00","2015-01-13","88.44349","89.07489","86.97336","87.67072","2246411",""
"ITW","2015-01-14T00:00:00-05:00","2015-01-14","86.3985","87.67072","86.33253","87.49167","2006914",""
"ITW","2015-01-15T00:00:00-05:00","2015-01-15","87.52937","88.11365","86.65294","86.86027","1841590",""
"ITW","2015-01-16T00:00:00-05:00","2015-01-16","86.77546","87.91575","86.19117","87.91575","2293419",""
"ITW","2015-01-20T00:00:00-05:00","2015-01-20","88.35867","88.43406","87.05817","88.02884","2132021",""
"ITW","2015-01-21T00:00:00-05:00","2015-01-21","87.72726","88.58485","87.60476","88.33041","1878199",""
"ITW","2015-01-22T00:00:00-05:00","2015-01-22","88.99007","89.4707","88.16077","89.15028","2379795",""
"ITW","2015-01-23T00:00:00-05:00","2015-01-23","89.17855","89.28222","88.16077","88.17019","1903454",""
"ITW","2015-01-26T00:00:00-05:00","2015-01-26","88.16077","88.566","87.53879","88.33041","2352524",""
"ITW","2015-01-27T00:00:00-05:00","2015-01-27","87.99114","88.73563","86.81316","88.07596","2867066",""
"ITW","2015-01-28T00:00:00-05:00","2015-01-28","88.44349","88.47176","86.75661","86.81316","3153677",""
"ITW","2015-01-29T00:00:00-05:00","2015-01-29","86.82257","88.64139","86.3985","88.34925","3398373",""
"ITW","2015-01-30T00:00:00-05:00","2015-01-30","87.62361","88.71678","87.51052","87.72726","4102857",""
"ITW","2015-02-02T00:00:00-05:00","2015-02-02","88.17019","89.51781","87.47282","89.44243","1857719",""
"ITW","2015-02-03T00:00:00-05:00","2015-02-03","89.51781","90.64869","89.37645","90.34712","2358254",""
"ITW","2015-02-04T00:00:00-05:00","2015-02-04","90.46964","91.03506","90.13037","90.32827","2240256",""
"ITW","2015-02-05T00:00:00-05:00","2015-02-05","90.46964","91.65704","90.3754","91.47799","1773890",""
"ITW","2015-02-06T00:00:00-05:00","2015-02-06","91.39318","92.20363","91.27066","91.49683","1921387",""
"ITW","2015-02-09T00:00:00-05:00","2015-02-09","91.10103","91.61935","90.86543","91.24239","1114186",""
"ITW","2015-02-10T00:00:00-05:00","2015-02-10","91.60992","91.64762","90.84659","91.45914","1144322",""
"ITW","2015-02-11T00:00:00-05:00","2015-02-11","91.41203","91.50626","90.7335","91.14816","877023",""
"ITW","2015-02-12T00:00:00-05:00","2015-02-12","91.49683","92.17536","91.31779","92.14709","1606231",""
"ITW","2015-02-13T00:00:00-05:00","2015-02-13","92.16594","93.00467","92.16594","92.59944","1358458",""
"ITW","2015-02-17T00:00:00-05:00","2015-02-17","92.22248","92.8633","92.17536","92.53347","1307417",""
"ITW","2015-02-18T00:00:00-05:00","2015-02-18","92.08112","93.01408","92.08112","92.76907","1276114",""
"ITW","2015-02-19T00:00:00-05:00","2015-02-19","92.32614","93.10833","92.32614","92.75964","1398250",""
"ITW","2015-02-20T00:00:00-05:00","2015-02-20","92.59001","94.06014","92.15652","93.75858","2356874",""
"ITW","2015-02-23T00:00:00-05:00","2015-02-23","93.5324","93.73031","93.18372","93.5324","1460751",""
"ITW","2015-02-24T00:00:00-05:00","2015-02-24","93.25911","94.12611","93.24026","93.74916","1916506",""
"ITW","2015-02-25T00:00:00-05:00","2015-02-25","93.55125","94.17323","93.55125","94.01302","1609415",""
"ITW","2015-02-26T00:00:00-05:00","2015-02-26","94.11669","94.19208","93.48528","93.58894","1884035",""
"ITW","2015-02-27T00:00:00-05:00","2015-02-27","93.59837","93.73031","93.1366","93.16487","1814319",""
"ITW","2015-03-02T00:00:00-05:00","2015-03-02","93.20257","94.13554","93.03294","93.82455","1907486",""
"ITW","2015-03-03T00:00:00-05:00","2015-03-03","93.48528","94.0413","93.40047","93.92821","2029834",""
"ITW","2015-03-04T00:00:00-05:00","2015-03-04","93.36278","93.56068","92.51462","92.54289","2162582",""
"ITW","2015-03-05T00:00:00-05:00","2015-03-05","92.48635","93.5324","92.43922","93.4099","1810074",""
"ITW","2015-03-06T00:00:00-05:00","2015-03-06","92.51462","92.97639","91.97746","92.13766","2505963",""
"ITW","2015-03-09T00:00:00-04:00","2015-03-09","92.09055","93.34393","92.06228","93.00467","1644432",""
"ITW","2015-03-10T00:00:00-04:00","2015-03-10","92.11882","92.22248","91.15758","91.15758","1982826",""
"ITW","2015-03-11T00:00:00-04:00","2015-03-11","91.25182","91.39318","90.61099","90.64869","1999274",""
"ITW","2015-03-12T00:00:00-04:00","2015-03-12","90.95967","92.59001","90.82774","92.42981","1506910",""
"ITW","2015-03-13T00:00:00-04:00","2015-03-13","92.27902","92.41096","91.17642","92.034","1893055",""
"ITW","2015-03-16T00:00:00-04:00","2015-03-16","92.2696","93.43816","92.16594","93.3722","1462236",""
"ITW","2015-03-17T00:00:00-04:00","2015-03-17","92.95754","93.29681","92.69368","93.07063","1538850",""
"ITW","2015-03-18T00:00:00-04:00","2015-03-18","92.69368","94.37113","91.73243","94.06014","2724980",""
"ITW","2015-03-19T00:00:00-04:00","2015-03-19","93.63607","93.93764","93.08006","93.64549","1768478",""
"ITW","2015-03-20T00:00:00-04:00","2015-03-20","93.94706","93.99418","92.71252","92.85388","5517980",""
"ITW","2015-03-23T00:00:00-04:00","2015-03-23","93.01408","93.23084","92.25075","92.26018","1926586",""
"ITW","2015-03-24T00:00:00-04:00","2015-03-24","92.034","92.51462","91.90206","91.98689","1728367",""
"ITW","2015-03-25T00:00:00-04:00","2015-03-25","92.15652","92.31672","90.9314","90.94083","1869498",""
"ITW","2015-03-26T00:00:00-04:00","2015-03-26","90.54502","91.34605","90.26231","90.9691","1788958",""
"ITW","2015-03-27T00:00:00-04:00","2015-03-27","91.39058","91.86416","90.97384","91.62737","1964523",""
"ITW","2015-03-30T00:00:00-04:00","2015-03-30","92.06306","93.02915","92.0157","92.71659","2083617",""
