symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"IVZ","2015-01-02T00:00:00-05:00","2015-01-02","35.85977","35.95005","35.09238","35.33614","3211071",""
"IVZ","2015-01-05T00:00:00-05:00","2015-01-05","35.0021","35.11044","34.25276","34.30693","4505358",""
"IVZ","2015-01-06T00:00:00-05:00","2015-01-06","33.9458","34.2979","33.31384","33.59371","5628069",""
"IVZ","2015-01-07T00:00:00-05:00","2015-01-07","33.99997","34.27082","33.77427","34.03609","2821843",""
"IVZ","2015-01-08T00:00:00-05:00","2015-01-08","34.45138","34.94793","34.32499","34.63194","3203428",""
"IVZ","2015-01-09T00:00:00-05:00","2015-01-09","34.65","34.7132","33.98192","33.99095","2890850",""
"IVZ","2015-01-12T00:00:00-05:00","2015-01-12","33.98192","33.98192","33.35898","33.79233","2532526",""
"IVZ","2015-01-13T00:00:00-05:00","2015-01-13","34.11734","34.54166","33.4312","33.70205","4712931",""
"IVZ","2015-01-14T00:00:00-05:00","2015-01-14","33.17841","33.29578","32.69992","32.99785","5224332",""
"IVZ","2015-01-15T00:00:00-05:00","2015-01-15","33.04299","33.22355","32.42005","32.43811","4808410",""
"IVZ","2015-01-16T00:00:00-05:00","2015-01-16","32.19435","32.81729","32.00476","32.80826","3796795",""
"IVZ","2015-01-20T00:00:00-05:00","2015-01-20","32.92562","32.97979","32.39297","32.48325","3430828",""
"IVZ","2015-01-21T00:00:00-05:00","2015-01-21","32.42005","32.89854","31.97767","32.78118","4778171",""
"IVZ","2015-01-22T00:00:00-05:00","2015-01-22","33.02494","33.8465","32.52839","33.69302","5574681",""
"IVZ","2015-01-23T00:00:00-05:00","2015-01-23","33.64788","33.70205","33.368","33.4312","5221895",""
"IVZ","2015-01-26T00:00:00-05:00","2015-01-26","33.62982","33.82844","33.25064","33.76524","3206751",""
"IVZ","2015-01-27T00:00:00-05:00","2015-01-27","33.28675","33.76524","33.16939","33.52148","3836006",""
"IVZ","2015-01-28T00:00:00-05:00","2015-01-28","33.79233","33.79233","32.79923","32.80826","4641488",""
"IVZ","2015-01-29T00:00:00-05:00","2015-01-29","33.6569","34.18054","33.07008","34.09929","7582182",""
"IVZ","2015-01-30T00:00:00-05:00","2015-01-30","33.55759","33.91872","32.88951","33.16036","5724767",""
"IVZ","2015-02-02T00:00:00-05:00","2015-02-02","33.25064","33.80135","32.94368","33.7833","3909443",""
"IVZ","2015-02-03T00:00:00-05:00","2015-02-03","34.09929","34.9389","33.99997","34.91182","5264096",""
"IVZ","2015-02-04T00:00:00-05:00","2015-02-04","34.77639","35.0653","34.64097","34.72223","3178285",""
"IVZ","2015-02-05T00:00:00-05:00","2015-02-05","34.88473","35.35419","34.83057","35.14655","3140846",""
"IVZ","2015-02-06T00:00:00-05:00","2015-02-06","35.46253","35.73338","34.97501","35.07432","3878650",""
"IVZ","2015-02-09T00:00:00-05:00","2015-02-09","34.83057","35.14655","34.72223","34.98404","2088913",""
"IVZ","2015-02-10T00:00:00-05:00","2015-02-10","35.35419","35.58892","34.9389","35.54379","2417330",""
"IVZ","2015-02-11T00:00:00-05:00","2015-02-11","35.55281","35.69727","35.25489","35.54379","2024115",""
"IVZ","2015-02-12T00:00:00-05:00","2015-02-12","35.91394","35.92297","35.5799","35.73338","2664336",""
"IVZ","2015-02-13T00:00:00-05:00","2015-02-13","35.7424","35.92297","35.59795","35.67921","2166670",""
"IVZ","2015-02-17T00:00:00-05:00","2015-02-17","35.83366","36.09715","35.68829","35.89726","2118954",""
"IVZ","2015-02-18T00:00:00-05:00","2015-02-18","35.83366","35.97903","35.4975","35.59744","2233971",""
"IVZ","2015-02-19T00:00:00-05:00","2015-02-19","35.48841","35.74281","35.36121","35.59744","3196921",""
"IVZ","2015-02-20T00:00:00-05:00","2015-02-20","35.39755","36.46966","35.39755","36.36971","4539594",""
"IVZ","2015-02-23T00:00:00-05:00","2015-02-23","36.3152","36.35154","35.96087","36.10624","2263908",""
"IVZ","2015-02-24T00:00:00-05:00","2015-02-24","36.02446","36.61502","36.02446","36.52417","3067706",""
"IVZ","2015-02-25T00:00:00-05:00","2015-02-25","36.43332","36.59686","36.3152","36.51508","2197539",""
"IVZ","2015-02-26T00:00:00-05:00","2015-02-26","36.45148","37.00571","36.38789","36.64228","4044965",""
"IVZ","2015-02-27T00:00:00-05:00","2015-02-27","36.66045","36.70588","36.41515","36.58777","4054431",""
"IVZ","2015-03-02T00:00:00-05:00","2015-03-02","36.27886","36.82399","36.20617","36.7604","3411657",""
"IVZ","2015-03-03T00:00:00-05:00","2015-03-03","36.66045","36.99662","36.36063","36.58777","2236832",""
"IVZ","2015-03-04T00:00:00-05:00","2015-03-04","36.46057","36.66954","36.16983","36.65137","2328736",""
"IVZ","2015-03-05T00:00:00-05:00","2015-03-05","36.6968","36.99662","36.56052","36.89668","2554697",""
"IVZ","2015-03-06T00:00:00-05:00","2015-03-06","36.90577","37.42365","36.39697","36.46966","3738547",""
"IVZ","2015-03-09T00:00:00-04:00","2015-03-09","36.52417","36.87851","36.45148","36.70588","2706146",""
"IVZ","2015-03-10T00:00:00-04:00","2015-03-10","36.27886","36.32429","35.83366","35.84275","3227519",""
"IVZ","2015-03-11T00:00:00-04:00","2015-03-11","35.98812","36.32429","35.98812","36.15166","2412164",""
"IVZ","2015-03-12T00:00:00-04:00","2015-03-12","36.3788","36.89668","36.28794","36.87851","2476772",""
"IVZ","2015-03-13T00:00:00-04:00","2015-03-13","36.81491","36.86943","36.17892","36.67863","3610873",""
"IVZ","2015-03-16T00:00:00-04:00","2015-03-16","37.06931","37.72347","36.96028","37.58719","4002040",""
"IVZ","2015-03-17T00:00:00-04:00","2015-03-17","37.30553","37.4509","37.10565","37.27827","2570106",""
"IVZ","2015-03-18T00:00:00-04:00","2015-03-18","37.24194","38.09598","37.10565","37.9597","3493874",""
"IVZ","2015-03-19T00:00:00-04:00","2015-03-19","37.78707","37.93244","37.20559","37.33279","3852903",""
"IVZ","2015-03-20T00:00:00-04:00","2015-03-20","37.12382","38.14141","37.12382","38.0233","6123416",""
"IVZ","2015-03-23T00:00:00-04:00","2015-03-23","38.0233","38.13232","37.59628","37.59628","2562402",""
"IVZ","2015-03-24T00:00:00-04:00","2015-03-24","37.49633","37.63261","37.17833","37.18742","2875314",""
"IVZ","2015-03-25T00:00:00-04:00","2015-03-25","37.22377","37.29645","36.41515","36.41515","2922201",""
"IVZ","2015-03-26T00:00:00-04:00","2015-03-26","36.14257","36.57868","36.0608","36.26069","2719353",""
"IVZ","2015-03-27T00:00:00-04:00","2015-03-27","36.188","36.36971","36.01538","36.05172","2531364",""
"IVZ","2015-03-30T00:00:00-04:00","2015-03-30","36.33337","36.506","36.20617","36.34246","4254087",""
"IVZ","2015-03-31T00:00:00-04:00","2015-03-31","36.15166","36.35154","36.01538","36.0608","2558550",""
"IVZ","2015-04-01T00:00:00-04:00","2015-04-01","36.05172","36.26977","35.75189","36.14257","3305665",""
"IVZ","2015-04-02T00:00:00-04:00","2015-04-02","36.06989","36.26977","35.90635","36.22435","2566915",""
"IVZ","2015-04-06T00:00:00-04:00","2015-04-06","35.84275","36.59686","35.74281","36.46966","2675438",""
"IVZ","2015-04-07T00:00:00-04:00","2015-04-07","36.51508","36.65137","36.11532","36.1244","3394707",""
"IVZ","2015-04-08T00:00:00-04:00","2015-04-08","36.10624","36.47874","36.09715","36.3788","2319270",""
"IVZ","2015-04-09T00:00:00-04:00","2015-04-09","36.27886","36.61502","36.08806","36.52417","2867169",""
"IVZ","2015-04-10T00:00:00-04:00","2015-04-10","36.5696","36.5696","36.14257","36.34246","3055379",""
"IVZ","2015-04-13T00:00:00-04:00","2015-04-13","36.33337","36.76949","36.26977","36.58777","2729919",""
"IVZ","2015-04-14T00:00:00-04:00","2015-04-14","36.57868","36.86034","36.3788","36.61502","2848238",""
"IVZ","2015-04-15T00:00:00-04:00","2015-04-15","36.81491","36.96028","36.61502","36.86034","2178939",""
"IVZ","2015-04-16T00:00:00-04:00","2015-04-16","36.7604","36.96936","36.48783","36.79674","2243986",""
"IVZ","2015-04-17T00:00:00-04:00","2015-04-17","36.43332","36.54234","36.01538","36.23343","2105966",""
"IVZ","2015-04-20T00:00:00-04:00","2015-04-20","36.46966","36.73314","36.41515","36.62411","1635222",""
"IVZ","2015-04-21T00:00:00-04:00","2015-04-21","36.66954","36.86034","36.3152","36.39697","1612769",""
"IVZ","2015-04-22T00:00:00-04:00","2015-04-22","36.51508","36.83308","36.14257","36.6968","1957820",""
"IVZ","2015-04-23T00:00:00-04:00","2015-04-23","36.68771","37.22377","36.48783","37.0784","1903998",""
"IVZ","2015-04-24T00:00:00-04:00","2015-04-24","37.02388","37.11473","36.82399","37.08748","1624766",""
"IVZ","2015-04-27T00:00:00-04:00","2015-04-27","37.19651","37.24194","36.76949","36.81491","1890571",""
"IVZ","2015-04-28T00:00:00-04:00","2015-04-28","36.74223","37.35096","36.66954","37.35096","2782090",""
"IVZ","2015-04-29T00:00:00-04:00","2015-04-29","37.0148","37.45999","36.90577","37.0148","2846808",""
"IVZ","2015-04-30T00:00:00-04:00","2015-04-30","37.38731","38.15958","37.18742","37.63261","5055134",""
"IVZ","2015-05-01T00:00:00-04:00","2015-05-01","37.93244","38.20501","37.60536","37.80524","3232692",""
"IVZ","2015-05-04T00:00:00-04:00","2015-05-04","37.99604","38.09598","37.78707","37.91427","2827766",""
"IVZ","2015-05-05T00:00:00-04:00","2015-05-05","37.68713","37.85976","37.24194","37.35096","2949938",""
"IVZ","2015-05-06T00:00:00-04:00","2015-05-06","37.39639","37.48724","36.68771","36.99662","2345466",""
"IVZ","2015-05-07T00:00:00-04:00","2015-05-07","37.04205","37.26919","36.84217","37.26011","2493392",""
"IVZ","2015-05-08T00:00:00-04:00","2015-05-08","37.65079","37.78707","37.48724","37.6417","2747089",""
"IVZ","2015-05-11T00:00:00-04:00","2015-05-11","37.53268","37.86884","37.44182","37.50542","2598283",""
"IVZ","2015-05-12T00:00:00-04:00","2015-05-12","37.25102","37.47816","36.79674","37.08748","2187524",""
"IVZ","2015-05-13T00:00:00-04:00","2015-05-13","37.13321","37.24296","36.71249","36.85883","3144506",""
"IVZ","2015-05-14T00:00:00-04:00","2015-05-14","37.02345","37.51735","36.932","37.48991","2162121",""
"IVZ","2015-05-15T00:00:00-04:00","2015-05-15","37.47161","37.54478","36.95029","37.07833","2378497",""
"IVZ","2015-05-18T00:00:00-04:00","2015-05-18","37.07833","37.26126","37.02345","37.20638","2056830",""
"IVZ","2015-05-19T00:00:00-04:00","2015-05-19","37.28869","37.30698","36.54786","36.92285","5801373",""
"IVZ","2015-05-20T00:00:00-04:00","2015-05-20","37.06918","37.54478","36.76736","37.41674","2559558",""
"IVZ","2015-05-21T00:00:00-04:00","2015-05-21","37.34357","37.40759","37.06004","37.1515","1880908",""
"IVZ","2015-05-22T00:00:00-04:00","2015-05-22","37.06004","37.24296","37.00516","37.06004","1147373",""
"IVZ","2015-05-26T00:00:00-04:00","2015-05-26","36.96858","37.06004","36.44725","36.5753","2301087",""
"IVZ","2015-05-27T00:00:00-04:00","2015-05-27","36.76736","37.04175","36.5753","36.94114","1569301",""
"IVZ","2015-05-28T00:00:00-04:00","2015-05-28","36.85883","36.99602","36.5753","36.89541","2335856",""
"IVZ","2015-05-29T00:00:00-04:00","2015-05-29","36.86797","36.99602","36.36493","36.42896","3208358",""
"IVZ","2015-06-01T00:00:00-04:00","2015-06-01","36.58444","36.71249","36.20945","36.46554","2919601",""
"IVZ","2015-06-02T00:00:00-04:00","2015-06-02","36.40152","36.50212","36.09055","36.4564","2822948",""
"IVZ","2015-06-03T00:00:00-04:00","2015-06-03","36.69419","36.8131","36.12714","36.42896","3628318",""
"IVZ","2015-06-04T00:00:00-04:00","2015-06-04","36.18201","36.3375","35.78873","35.83446","3297576",""
"IVZ","2015-06-05T00:00:00-04:00","2015-06-05","36.11799","36.18201","35.66983","35.85275","2516917",""
"IVZ","2015-06-08T00:00:00-04:00","2015-06-08","36.11799","36.48383","35.92592","35.97165","3043807",""
"IVZ","2015-06-09T00:00:00-04:00","2015-06-09","35.94421","36.02653","35.63324","35.66983","2892814",""
"IVZ","2015-06-10T00:00:00-04:00","2015-06-10","35.88934","36.22775","35.72471","35.77958","4185057",""
"IVZ","2015-06-11T00:00:00-04:00","2015-06-11","35.8619","36.01738","35.51435","35.99909","5420993",""
"IVZ","2015-06-12T00:00:00-04:00","2015-06-12","35.88934","36.20031","35.49606","36.0997","5122614",""
"IVZ","2015-06-15T00:00:00-04:00","2015-06-15","35.68812","36.07226","35.57837","36.05397","2933596",""
"IVZ","2015-06-16T00:00:00-04:00","2015-06-16","35.90763","36.20031","35.77958","36.16372","3380672",""
"IVZ","2015-06-17T00:00:00-04:00","2015-06-17","36.36493","36.41067","35.78873","35.88019","3908765",""
"IVZ","2015-06-18T00:00:00-04:00","2015-06-18","36.02653","36.37408","35.91677","36.12714","2765547",""
"IVZ","2015-06-19T00:00:00-04:00","2015-06-19","35.97165","35.99909","35.56008","35.57837","4342392",""
"IVZ","2015-06-22T00:00:00-04:00","2015-06-22","35.92592","36.03568","35.56922","35.60581","4769896",""
"IVZ","2015-06-23T00:00:00-04:00","2015-06-23","35.69727","35.93507","35.65154","35.80702","3619134",""
"IVZ","2015-06-24T00:00:00-04:00","2015-06-24","35.72471","35.79787","35.47776","35.53264","3222572",""
"IVZ","2015-06-25T00:00:00-04:00","2015-06-25","35.36801","35.57837","35.21252","35.24911","3010460",""
"IVZ","2015-06-26T00:00:00-04:00","2015-06-26","35.3863","35.49606","35.10277","35.2674","2828196",""
"IVZ","2015-06-29T00:00:00-04:00","2015-06-29","34.79181","34.98387","34.16072","34.20646","3318350",""
"IVZ","2015-06-30T00:00:00-04:00","2015-06-30","34.5723","34.78266","34.10585","34.28877","3435558",""
"IVZ","2015-07-01T00:00:00-04:00","2015-07-01","34.72778","34.87412","34.37109","34.58144","2816607",""
"IVZ","2015-07-02T00:00:00-04:00","2015-07-02","34.5723","34.68205","34.16987","34.40767","2460390",""
"IVZ","2015-07-06T00:00:00-04:00","2015-07-06","33.61196","34.10585","33.2644","34.07841","3334095",""
"IVZ","2015-07-07T00:00:00-04:00","2015-07-07","34.0967","34.0967","33.36501","33.9778","4022365",""
"IVZ","2015-07-08T00:00:00-04:00","2015-07-08","33.59366","33.75829","33.10892","33.12721","2681030",""
"IVZ","2015-07-09T00:00:00-04:00","2015-07-09","33.66683","33.87719","33.20038","33.33757","3586989",""
"IVZ","2015-07-10T00:00:00-04:00","2015-07-10","34.40767","34.47169","33.61196","33.77658","3000838",""
"IVZ","2015-07-13T00:00:00-04:00","2015-07-13","34.13329","34.36193","33.79488","34.28877","3828075",""
"IVZ","2015-07-14T00:00:00-04:00","2015-07-14","34.19731","35.01131","34.19731","34.75522","4995238",""
"IVZ","2015-07-15T00:00:00-04:00","2015-07-15","34.80095","34.98387","34.64547","34.70949","2906481",""
"IVZ","2015-07-16T00:00:00-04:00","2015-07-16","35.03875","35.3863","35.02046","35.30399","3248266",""
"IVZ","2015-07-17T00:00:00-04:00","2015-07-17","35.21252","35.25826","34.9107","35.20338","2080119",""
"IVZ","2015-07-20T00:00:00-04:00","2015-07-20","35.2674","35.33142","34.95644","35.06619","2094223",""
"IVZ","2015-07-21T00:00:00-04:00","2015-07-21","35.0296","35.1485","34.80095","35.13935","2227285",""
"IVZ","2015-07-22T00:00:00-04:00","2015-07-22","35.04789","35.32228","35.0296","35.21252","2739306",""
"IVZ","2015-07-23T00:00:00-04:00","2015-07-23","35.28569","35.28569","34.65461","34.75522","2151625",""
"IVZ","2015-07-24T00:00:00-04:00","2015-07-24","34.74607","34.74607","34.15158","34.27962","1892826",""
"IVZ","2015-07-27T00:00:00-04:00","2015-07-27","33.9778","34.06012","33.67598","33.78573","2584596",""
"IVZ","2015-07-28T00:00:00-04:00","2015-07-28","34.03268","34.16987","33.75829","34.08755","2237016",""
"IVZ","2015-07-29T00:00:00-04:00","2015-07-29","34.16987","34.5723","33.93207","34.48998","2979736",""
"IVZ","2015-07-30T00:00:00-04:00","2015-07-30","35.29484","36.10884","35.20338","35.66069","5833190",""
"IVZ","2015-07-31T00:00:00-04:00","2015-07-31","35.73385","35.77044","35.25826","35.30399","4402964",""
"IVZ","2015-08-03T00:00:00-04:00","2015-08-03","35.36801","35.40459","34.99302","35.25826","2807423",""
"IVZ","2015-08-04T00:00:00-04:00","2015-08-04","35.29484","35.3863","35.01131","35.13021","2266537",""
"IVZ","2015-08-05T00:00:00-04:00","2015-08-05","35.5052","35.6424","35.23082","35.42289","2658179",""
"IVZ","2015-08-06T00:00:00-04:00","2015-08-06","35.36801","35.46862","35.03875","35.30399","2702132",""
"IVZ","2015-08-07T00:00:00-04:00","2015-08-07","35.20338","35.31313","34.77351","34.94729","3257231",""
"IVZ","2015-08-10T00:00:00-04:00","2015-08-10","35.29484","35.6424","35.29484","35.55093","1803826",""
"IVZ","2015-08-11T00:00:00-04:00","2015-08-11","35.17594","35.2674","34.90156","35.05704","2020203",""
"IVZ","2015-08-12T00:00:00-04:00","2015-08-12","34.71864","34.71864","33.84975","34.60888","2582956",""
"IVZ","2015-08-13T00:00:00-04:00","2015-08-13","34.60888","34.70034","34.23389","34.26133","2377513",""
"IVZ","2015-08-14T00:00:00-04:00","2015-08-14","34.20646","34.54486","33.94122","34.30706","2676329",""
"IVZ","2015-08-17T00:00:00-04:00","2015-08-17","34.12414","34.46254","33.99609","34.44425","1720622",""
"IVZ","2015-08-18T00:00:00-04:00","2015-08-18","34.42583","34.49953","34.09419","34.28765","2166268",""
"IVZ","2015-08-19T00:00:00-04:00","2015-08-19","34.09419","34.16789","33.62437","33.77177","2939919",""
"IVZ","2015-08-20T00:00:00-04:00","2015-08-20","33.40328","33.48619","33.03479","33.06243","3311711",""
"IVZ","2015-08-21T00:00:00-04:00","2015-08-21","32.74001","32.8874","31.85564","31.87406","6968726",""
"IVZ","2015-08-24T00:00:00-04:00","2015-08-24","29.63551","31.39503","28.58532","30.28957","7703408",""
"IVZ","2015-08-25T00:00:00-04:00","2015-08-25","31.50558","31.68982","29.4789","29.51575","8042091",""
"IVZ","2015-08-26T00:00:00-04:00","2015-08-26","30.55672","30.62121","29.44205","30.57515","7534392",""
"IVZ","2015-08-27T00:00:00-04:00","2015-08-27","31.00812","32.03067","30.85151","31.83721","5800162",""
"IVZ","2015-08-28T00:00:00-04:00","2015-08-28","31.36739","31.98461","31.0726","31.88327","5427502",""
"IVZ","2015-08-31T00:00:00-04:00","2015-08-31","31.66218","31.74509","31.28448","31.42267","4303118",""
"IVZ","2015-09-01T00:00:00-04:00","2015-09-01","30.50145","30.80545","30.09611","30.31721","5075467",""
"IVZ","2015-09-02T00:00:00-04:00","2015-09-02","30.67648","30.98969","30.01321","30.36327","3397033",""
"IVZ","2015-09-03T00:00:00-04:00","2015-09-03","30.26193","30.75939","30.20666","30.308","5234279",""
"IVZ","2015-09-04T00:00:00-04:00","2015-09-04","29.86581","29.94872","29.26702","29.43284","5474831",""
"IVZ","2015-09-08T00:00:00-04:00","2015-09-08","30.12375","30.37248","29.7","30.32642","4697705",""
"IVZ","2015-09-09T00:00:00-04:00","2015-09-09","30.72254","31.03575","29.88424","29.96714","4693689",""
"IVZ","2015-09-10T00:00:00-04:00","2015-09-10","29.80132","30.41854","29.73684","30.1606","3814850",""
"IVZ","2015-09-11T00:00:00-04:00","2015-09-11","29.96714","30.29878","29.87502","30.28957","2828328",""
"IVZ","2015-09-14T00:00:00-04:00","2015-09-14","30.28036","30.33563","30.01321","30.0869","2903012",""
"IVZ","2015-09-15T00:00:00-04:00","2015-09-15","30.09611","30.81466","30.00399","30.63963","3517851",""
"IVZ","2015-09-16T00:00:00-04:00","2015-09-16","30.63963","31.11866","30.40012","31.05418","3350572",""
"IVZ","2015-09-17T00:00:00-04:00","2015-09-17","30.98048","31.49636","30.75018","30.83309","4197063",""
"IVZ","2015-09-18T00:00:00-04:00","2015-09-18","29.76448","30.44618","29.49733","29.9303","4480818",""
"IVZ","2015-09-21T00:00:00-04:00","2015-09-21","30.33563","30.55672","30.06848","30.26193","2788272",""
"IVZ","2015-09-22T00:00:00-04:00","2015-09-22","29.73684","29.89345","29.30387","29.5526","2938617",""
"IVZ","2015-09-23T00:00:00-04:00","2015-09-23","29.66315","29.71842","29.1012","29.37757","2780130",""
"IVZ","2015-09-24T00:00:00-04:00","2015-09-24","29.1012","29.5526","28.85247","29.43284","4167645",""
"IVZ","2015-09-25T00:00:00-04:00","2015-09-25","29.81975","29.98557","29.38678","29.49733","3427319",""
"IVZ","2015-09-28T00:00:00-04:00","2015-09-28","29.18411","29.34993","28.38265","28.48399","3773058",""
"IVZ","2015-09-29T00:00:00-04:00","2015-09-29","28.8709","28.8709","28.23526","28.39187","4601745",""
"IVZ","2015-09-30T00:00:00-04:00","2015-09-30","28.65902","28.90775","28.36423","28.76956","7226429",""
"IVZ","2015-10-01T00:00:00-04:00","2015-10-01","28.80641","29.09199","28.43793","28.99987","4034777",""
"IVZ","2015-10-02T00:00:00-04:00","2015-10-02","28.29974","29.06435","27.82992","29.06435","3864458",""
"IVZ","2015-10-05T00:00:00-04:00","2015-10-05","29.37757","30.04084","29.37757","29.93951","4052145",""
"IVZ","2015-10-06T00:00:00-04:00","2015-10-06","29.8566","30.00399","29.65393","29.93951","3838623",""
"IVZ","2015-10-07T00:00:00-04:00","2015-10-07","30.15139","30.60279","30.00399","30.40012","2929715",""
"IVZ","2015-10-08T00:00:00-04:00","2015-10-08","30.25272","30.55672","29.37757","30.52909","2647045",""
"IVZ","2015-10-09T00:00:00-04:00","2015-10-09","30.55672","30.70412","30.1606","30.28957","2801515",""
"IVZ","2015-10-12T00:00:00-04:00","2015-10-12","30.2343","30.32642","29.88424","30.05927","1892499",""
"IVZ","2015-10-13T00:00:00-04:00","2015-10-13","29.98557","30.01321","28.9446","28.98144","6224167",""
"IVZ","2015-10-14T00:00:00-04:00","2015-10-14","29.01829","29.29466","28.59453","28.66823","4687827",""
"IVZ","2015-10-15T00:00:00-04:00","2015-10-15","28.86169","29.49733","28.67744","29.4789","3868366",""
"IVZ","2015-10-16T00:00:00-04:00","2015-10-16","29.53418","29.95793","29.33151","29.84739","3429815",""
"IVZ","2015-10-19T00:00:00-04:00","2015-10-19","29.71842","29.74605","29.16569","29.2486","3062909",""
"IVZ","2015-10-20T00:00:00-04:00","2015-10-20","29.08278","29.43284","29.02751","29.38678","4063977",""
"IVZ","2015-10-21T00:00:00-04:00","2015-10-21","29.4789","29.52496","28.9446","28.98144","1946558",""
"IVZ","2015-10-22T00:00:00-04:00","2015-10-22","29.12884","30.48303","29.12884","30.38169","5229286",""
"IVZ","2015-10-23T00:00:00-04:00","2015-10-23","30.74096","31.2937","30.62121","31.22921","4776623",""
"IVZ","2015-10-26T00:00:00-04:00","2015-10-26","31.17394","31.22","30.86072","31.05418","2935577",""
"IVZ","2015-10-27T00:00:00-04:00","2015-10-27","30.82388","30.90678","30.43697","30.64885","2805423",""
"IVZ","2015-10-28T00:00:00-04:00","2015-10-28","30.63963","31.6806","30.47382","31.64376","5730146",""
"IVZ","2015-10-29T00:00:00-04:00","2015-10-29","31.48715","31.77273","30.04084","30.85151","7306866",""
"IVZ","2015-10-30T00:00:00-04:00","2015-10-30","30.86072","31.13709","30.38169","30.55672","5385601",""
"IVZ","2015-11-02T00:00:00-05:00","2015-11-02","30.69491","30.97127","30.50145","30.82388","4335250",""
"IVZ","2015-11-03T00:00:00-05:00","2015-11-03","30.67648","31.28448","30.612","31.01733","4249385",""
"IVZ","2015-11-04T00:00:00-05:00","2015-11-04","31.06339","31.15551","30.75018","30.89757","3035879",""
"IVZ","2015-11-05T00:00:00-05:00","2015-11-05","30.95284","31.32133","30.83309","31.22","2898778",""
"IVZ","2015-11-06T00:00:00-05:00","2015-11-06","31.55164","31.68982","31.05418","31.41345","3776640",""
"IVZ","2015-11-09T00:00:00-05:00","2015-11-09","31.46873","31.57006","30.68569","30.80545","4803761",""
"IVZ","2015-11-10T00:00:00-05:00","2015-11-10","30.67648","30.94363","30.07769","30.37248","4499381",""
"IVZ","2015-11-11T00:00:00-05:00","2015-11-11","30.86072","30.97127","30.5383","30.68569","3700328",""
"IVZ","2015-11-12T00:00:00-05:00","2015-11-12","30.39091","30.49224","29.90266","29.92108","3585262",""
"IVZ","2015-11-13T00:00:00-05:00","2015-11-13","29.9025","30.08829","29.40088","29.4659","3082768",""
"IVZ","2015-11-16T00:00:00-05:00","2015-11-16","29.39159","29.92108","29.24296","29.89322","3224974",""
"IVZ","2015-11-17T00:00:00-05:00","2015-11-17","29.92108","30.26479","29.74459","29.87464","2873389",""
"IVZ","2015-11-18T00:00:00-05:00","2015-11-18","30.04185","30.73855","29.96753","30.71068","2792114",""
"IVZ","2015-11-19T00:00:00-05:00","2015-11-19","30.71068","31.05439","30.70139","30.83144","2699319",""
"IVZ","2015-11-20T00:00:00-05:00","2015-11-20","31.01723","31.24946","30.71068","30.84073","2507380",""
"IVZ","2015-11-23T00:00:00-05:00","2015-11-23","30.84073","31.26804","30.68281","30.72926","3226911",""
"IVZ","2015-11-24T00:00:00-05:00","2015-11-24","30.49703","30.9615","30.39484","30.83144","2968121",""
"IVZ","2015-11-25T00:00:00-05:00","2015-11-25","30.91505","31.38881","30.87789","31.20302","2722895",""
"IVZ","2015-11-27T00:00:00-05:00","2015-11-27","31.18444","31.24946","30.85931","31.21231","1056690",""
"IVZ","2015-11-30T00:00:00-05:00","2015-11-30","31.25876","31.44454","31.11013","31.29591","2811598",""
"IVZ","2015-12-01T00:00:00-05:00","2015-12-01","31.45383","31.78825","31.17515","31.49099","3232617",""
"IVZ","2015-12-02T00:00:00-05:00","2015-12-02","31.55602","31.67677","31.09155","31.2216","2782533",""
"IVZ","2015-12-03T00:00:00-05:00","2015-12-03","31.37951","32.51282","30.67352","30.81286","3156939",""
"IVZ","2015-12-04T00:00:00-05:00","2015-12-04","30.94292","31.60246","30.71997","31.42596","3048751",""
"IVZ","2015-12-07T00:00:00-05:00","2015-12-07","31.35165","31.37023","30.9615","31.17515","2451079",""
"IVZ","2015-12-08T00:00:00-05:00","2015-12-08","30.72926","30.80358","30.37626","30.5156","3670752",""
"IVZ","2015-12-09T00:00:00-05:00","2015-12-09","30.35769","30.91505","29.96753","30.06971","4068841",""
"IVZ","2015-12-10T00:00:00-05:00","2015-12-10","30.19976","30.83144","29.96753","30.45987","4108779",""
"IVZ","2015-12-11T00:00:00-05:00","2015-12-11","29.94895","30.19048","29.15936","29.18722","8855276",""
"IVZ","2015-12-14T00:00:00-05:00","2015-12-14","29.21509","29.41946","27.9796","28.23042","6551246",""
"IVZ","2015-12-15T00:00:00-05:00","2015-12-15","28.58341","29.2058","28.3326","29.11291","5953251",""
"IVZ","2015-12-16T00:00:00-05:00","2015-12-16","29.42875","29.68885","28.84352","29.63311","4458318",""
"IVZ","2015-12-17T00:00:00-05:00","2015-12-17","29.80961","29.83748","28.9457","28.97357","3295054",""
"IVZ","2015-12-18T00:00:00-05:00","2015-12-18","28.79707","28.84352","28.49052","28.55555","6870966",""
"IVZ","2015-12-21T00:00:00-05:00","2015-12-21","28.84352","29.41017","28.74133","29.40088","3772265",""
