symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"JNPR","2015-01-02T00:00:00-05:00","2015-01-02","21.53619","21.65126","21.32524","21.5266","2176106",""
"JNPR","2015-01-05T00:00:00-05:00","2015-01-05","21.40195","21.41154","21.16223","21.28689","3969677",""
"JNPR","2015-01-06T00:00:00-05:00","2015-01-06","21.2773","21.30606","20.84581","20.98964","4507290",""
"JNPR","2015-01-07T00:00:00-05:00","2015-01-07","21.1047","21.7855","21.0184","21.45948","10232162",""
"JNPR","2015-01-08T00:00:00-05:00","2015-01-08","21.68002","22.14987","21.67043","22.08275","5651451",""
"JNPR","2015-01-09T00:00:00-05:00","2015-01-09","22.08275","22.25534","21.74714","22.10192","4335317",""
"JNPR","2015-01-12T00:00:00-05:00","2015-01-12","21.84303","21.91015","21.46907","21.5266","5639458",""
"JNPR","2015-01-13T00:00:00-05:00","2015-01-13","21.38277","21.98686","21.22935","21.47866","3692684",""
"JNPR","2015-01-14T00:00:00-05:00","2015-01-14","21.28689","21.42113","20.83622","21.33483","6612792",""
"JNPR","2015-01-15T00:00:00-05:00","2015-01-15","21.40195","21.62249","20.44308","20.5102","11278290",""
"JNPR","2015-01-16T00:00:00-05:00","2015-01-16","20.50061","20.78827","20.36637","20.74033","3855689",""
"JNPR","2015-01-20T00:00:00-05:00","2015-01-20","20.84581","20.94169","20.58691","20.82663","2954940",""
"JNPR","2015-01-21T00:00:00-05:00","2015-01-21","20.66362","20.98964","20.49103","20.94169","3102823",""
"JNPR","2015-01-22T00:00:00-05:00","2015-01-22","20.70198","21.15264","20.63486","21.14305","1841023",""
"JNPR","2015-01-23T00:00:00-05:00","2015-01-23","21.13347","21.45948","21.06635","21.1047","2235133",""
"JNPR","2015-01-26T00:00:00-05:00","2015-01-26","21.05676","21.24853","20.86498","21.23894","2241078",""
"JNPR","2015-01-27T00:00:00-05:00","2015-01-27","20.9321","21.12388","20.83622","20.9321","5261617",""
"JNPR","2015-01-28T00:00:00-05:00","2015-01-28","22.48547","22.61971","21.71838","21.71838","12502858",""
"JNPR","2015-01-29T00:00:00-05:00","2015-01-29","21.77591","22.04439","21.56496","21.77591","6823666",""
"JNPR","2015-01-30T00:00:00-05:00","2015-01-30","21.68002","22.05398","21.63208","21.79509","8346293",""
"JNPR","2015-02-02T00:00:00-05:00","2015-02-02","21.79509","21.89097","21.23894","21.63208","6254349",""
"JNPR","2015-02-03T00:00:00-05:00","2015-02-03","21.75673","22.32247","21.75673","22.26493","5694731",""
"JNPR","2015-02-04T00:00:00-05:00","2015-02-04","22.11151","22.51424","21.76632","21.80467","5920727",""
