symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"K","2015-01-02T00:00:00-05:00","2015-01-02","60.64026","61.11149","60.14132","60.50167","918101",""
"K","2015-01-05T00:00:00-05:00","2015-01-05","60.27991","60.40003","59.26355","59.37442","1476343",""
"K","2015-01-06T00:00:00-05:00","2015-01-06","59.62389","60.14132","59.32822","59.54997","2381674",""
"K","2015-01-07T00:00:00-05:00","2015-01-07","60.15056","61.06529","60.12284","60.99137","1821809",""
"K","2015-01-08T00:00:00-05:00","2015-01-08","61.42564","62.1371","61.32401","62.10014","1541281",""
"K","2015-01-09T00:00:00-05:00","2015-01-09","62.0447","62.0447","61.29628","61.37944","1463248",""
"K","2015-01-12T00:00:00-05:00","2015-01-12","60.96366","61.39792","60.38155","60.50167","1477426",""
"K","2015-01-13T00:00:00-05:00","2015-01-13","60.93593","61.5088","60.44623","60.95441","1489980",""
"K","2015-01-14T00:00:00-05:00","2015-01-14","60.64026","61.80447","60.31687","61.65664","2847598",""
"K","2015-01-15T00:00:00-05:00","2015-01-15","61.92458","63.09803","61.67511","62.58984","2475184",""
"K","2015-01-16T00:00:00-05:00","2015-01-16","62.38657","63.10727","62.36809","62.94096","2427022",""
"K","2015-01-20T00:00:00-05:00","2015-01-20","62.98715","63.76329","62.63604","63.72633","2719672",""
"K","2015-01-21T00:00:00-05:00","2015-01-21","63.4861","63.89265","63.08879","63.78176","5713919",""
"K","2015-01-22T00:00:00-05:00","2015-01-22","63.9296","64.56714","63.71709","64.53018","2444230",""
"K","2015-01-23T00:00:00-05:00","2015-01-23","64.1606","64.17908","63.40294","63.45838","2279615",""
"K","2015-01-26T00:00:00-05:00","2015-01-26","63.82797","63.82797","63.00563","63.64317","1549289",""
"K","2015-01-27T00:00:00-05:00","2015-01-27","63.09803","63.62469","62.88551","63.22739","1457187",""
"K","2015-01-28T00:00:00-05:00","2015-01-28","63.41217","63.62469","62.17406","62.25721","1853628",""
"K","2015-01-29T00:00:00-05:00","2015-01-29","62.16481","62.32189","61.25008","62.22025","2052010",""
"K","2015-01-30T00:00:00-05:00","2015-01-30","61.96154","62.0447","60.51091","60.59407","3061565",""
"K","2015-02-02T00:00:00-05:00","2015-02-02","60.65874","61.44412","60.0674","61.4164","1503184",""
"K","2015-02-03T00:00:00-05:00","2015-02-03","61.65664","61.87839","61.2316","61.58272","1579269",""
"K","2015-02-04T00:00:00-05:00","2015-02-04","61.49955","62.20177","61.34248","61.57347","1645396",""
"K","2015-02-05T00:00:00-05:00","2015-02-05","61.9985","62.07242","61.59196","61.93382","1413896",""
"K","2015-02-06T00:00:00-05:00","2015-02-06","61.66587","61.76751","60.96366","61.21313","1954713",""
"K","2015-02-09T00:00:00-05:00","2015-02-09","61.03757","61.43488","60.70494","60.79734","1651674",""
"K","2015-02-10T00:00:00-05:00","2015-02-10","61.12073","61.47184","60.88974","61.26856","1561736",""
"K","2015-02-11T00:00:00-05:00","2015-02-11","61.36097","61.70283","60.96366","61.25933","1377423",""
"K","2015-02-12T00:00:00-05:00","2015-02-12","58.0901","59.41138","57.73899","58.48741","5932649",""
"K","2015-02-13T00:00:00-05:00","2015-02-13","57.69279","58.48741","57.11993","58.39501","4337254",""
"K","2015-02-17T00:00:00-05:00","2015-02-17","58.06238","58.57057","57.59116","58.40425","3018274",""
"K","2015-02-18T00:00:00-05:00","2015-02-18","58.08086","59.11571","58.00694","58.94016","2358513",""
"K","2015-02-19T00:00:00-05:00","2015-02-19","58.82004","59.29126","58.72764","58.94016","2592287",""
"K","2015-02-20T00:00:00-05:00","2015-02-20","58.89396","59.49454","58.6722","59.21734","1677757",""
"K","2015-02-23T00:00:00-05:00","2015-02-23","58.95864","59.50378","58.9032","59.40214","2004173",""
"K","2015-02-24T00:00:00-05:00","2015-02-24","59.10647","59.35594","58.64449","59.16191","2035235",""
"K","2015-02-25T00:00:00-05:00","2015-02-25","59.16191","60.03968","59.05103","59.85489","2438602",""
"K","2015-02-26T00:00:00-05:00","2015-02-26","59.82717","60.00272","59.62389","59.75325","2401805",""
"K","2015-02-27T00:00:00-05:00","2015-02-27","59.61465","60.08588","59.55922","59.5777","2237514",""
"K","2015-03-02T00:00:00-05:00","2015-03-02","59.47606","59.79021","59.27279","59.40214","1378938",""
"K","2015-03-03T00:00:00-05:00","2015-03-03","59.17115","59.89185","58.83852","59.83641","3058427",""
"K","2015-03-04T00:00:00-05:00","2015-03-04","60.00399","60.42295","59.8364","60.25537","5528690",""
"K","2015-03-05T00:00:00-05:00","2015-03-05","60.25537","60.45088","59.40814","59.63159","2885771",""
"K","2015-03-06T00:00:00-05:00","2015-03-06","59.24987","59.3709","57.96507","58.16058","3019389",""
"K","2015-03-09T00:00:00-04:00","2015-03-09","58.23506","58.53299","58.07679","58.28161","1736704",""
"K","2015-03-10T00:00:00-04:00","2015-03-10","58.03024","58.43988","57.67645","58.29092","2670308",""
"K","2015-03-11T00:00:00-04:00","2015-03-11","58.28161","58.30023","57.50887","57.69507","1959794",""
"K","2015-03-12T00:00:00-04:00","2015-03-12","57.70438","58.0861","57.70438","58.01162","1699648",""
"K","2015-03-13T00:00:00-04:00","2015-03-13","57.88127","58.04885","57.45301","57.86266","1569145",""
"K","2015-03-16T00:00:00-04:00","2015-03-16","58.01162","58.51436","57.84404","58.50505","2195235",""
"K","2015-03-17T00:00:00-04:00","2015-03-17","58.03024","58.21644","57.723","57.95575","1919515",""
"K","2015-03-18T00:00:00-04:00","2015-03-18","57.90921","58.84022","57.28542","58.70988","2330142",""
"K","2015-03-19T00:00:00-04:00","2015-03-19","58.46781","58.89608","58.30023","58.47713","2101360",""
"K","2015-03-20T00:00:00-04:00","2015-03-20","58.6354","59.65952","58.6354","59.65952","4755234",""
"K","2015-03-23T00:00:00-04:00","2015-03-23","59.51055","59.84572","59.38021","59.53848","1712322",""
"K","2015-03-24T00:00:00-04:00","2015-03-24","59.58503","59.67813","58.58885","58.59816","1894704",""
"K","2015-03-25T00:00:00-04:00","2015-03-25","59.14745","59.56641","58.30954","58.79367","5882282",""
"K","2015-03-26T00:00:00-04:00","2015-03-26","59.07298","59.13815","58.15127","58.65402","2700597",""
"K","2015-03-27T00:00:00-04:00","2015-03-27","58.75643","59.464","58.65402","59.43607","1997387",""
"K","2015-03-30T00:00:00-04:00","2015-03-30","59.49193","60.98156","59.26849","60.98156","3882532",""
"K","2015-03-31T00:00:00-04:00","2015-03-31","60.64639","61.80085","60.55329","61.40051","4239239",""
"K","2015-04-01T00:00:00-04:00","2015-04-01","61.15845","61.67982","60.50674","61.61465","3868354",""
"K","2015-04-02T00:00:00-04:00","2015-04-02","61.36328","62.04292","61.27017","61.80085","2623692",""
"K","2015-04-06T00:00:00-04:00","2015-04-06","61.95913","62.37808","61.47499","61.47499","4266306",""
"K","2015-04-07T00:00:00-04:00","2015-04-07","61.40051","61.61465","61.09328","61.205","1724782",""
"K","2015-04-08T00:00:00-04:00","2015-04-08","61.19569","61.2981","60.73019","61.06535","2096204",""
"K","2015-04-09T00:00:00-04:00","2015-04-09","60.99087","61.12121","60.7488","60.97224","1753030",""
"K","2015-04-10T00:00:00-04:00","2015-04-10","61.13052","61.42845","60.86983","61.19569","1658510",""
"K","2015-04-13T00:00:00-04:00","2015-04-13","61.21431","61.2981","60.89777","60.94432","1039294",""
"K","2015-04-14T00:00:00-04:00","2015-04-14","60.91639","61.32603","60.75811","61.05604","1817369",""
"K","2015-04-15T00:00:00-04:00","2015-04-15","61.16776","61.48431","60.61846","60.67432","1490522",""
"K","2015-04-16T00:00:00-04:00","2015-04-16","60.60915","60.85122","60.32985","60.5626","1344230",""
"K","2015-04-17T00:00:00-04:00","2015-04-17","60.16227","60.32054","59.69676","59.94813","1607598",""
"K","2015-04-20T00:00:00-04:00","2015-04-20","60.36708","60.95363","59.77123","60.1064","1746049",""
"K","2015-04-21T00:00:00-04:00","2015-04-21","60.16227","60.34846","59.3709","59.45469","1883318",""
"K","2015-04-22T00:00:00-04:00","2015-04-22","59.62228","59.85503","59.33366","59.56641","1242513",""
"K","2015-04-23T00:00:00-04:00","2015-04-23","59.45469","59.68745","59.22194","59.44538","1003742",""
"K","2015-04-24T00:00:00-04:00","2015-04-24","59.59435","59.77123","59.23125","59.33366","1285477",""
"K","2015-04-27T00:00:00-04:00","2015-04-27","59.39883","59.47331","58.92401","59.22194","1544334",""
"K","2015-04-28T00:00:00-04:00","2015-04-28","59.26849","59.41745","58.97056","59.2778","1690518",""
"K","2015-04-29T00:00:00-04:00","2015-04-29","59.22194","59.54779","58.93332","59.0078","1331663",""
"K","2015-04-30T00:00:00-04:00","2015-04-30","59.09159","59.15676","58.68195","58.96125","1430909",""
"K","2015-05-01T00:00:00-04:00","2015-05-01","59.04504","59.5571","59.01711","59.48262","1733374",""
"K","2015-05-04T00:00:00-04:00","2015-05-04","59.464","59.98537","59.44538","59.70606","2362042",""
"K","2015-05-05T00:00:00-04:00","2015-05-05","60.45088","60.59053","58.2723","58.8216","3385333",""
"K","2015-05-06T00:00:00-04:00","2015-05-06","59.01711","59.11953","58.15127","58.66333","1773653",""
"K","2015-05-07T00:00:00-04:00","2015-05-07","58.67264","59.28711","58.60747","59.17539","1362167",""
"K","2015-05-08T00:00:00-04:00","2015-05-08","59.58503","59.92951","59.1847","59.22194","1683751",""
"K","2015-05-11T00:00:00-04:00","2015-05-11","58.97056","59.77123","58.97056","59.38021","1526826",""
"K","2015-05-12T00:00:00-04:00","2015-05-12","59.15676","59.31504","58.84022","59.2778","1439609",""
"K","2015-05-13T00:00:00-04:00","2015-05-13","59.29642","59.67813","59.11022","59.33366","1489233",""
"K","2015-05-14T00:00:00-04:00","2015-05-14","59.70606","60.28329","59.49193","60.12502","1949590",""
"K","2015-05-15T00:00:00-04:00","2015-05-15","60.16227","61.1119","60.08778","60.73019","3339577",""
"K","2015-05-18T00:00:00-04:00","2015-05-18","60.59053","60.59053","60.05054","60.18088","1867314",""
"K","2015-05-19T00:00:00-04:00","2015-05-19","60.32054","60.32054","59.65952","59.76193","1870107",""
"K","2015-05-20T00:00:00-04:00","2015-05-20","59.87365","60.15295","59.78054","59.79917","1494496",""
"K","2015-05-21T00:00:00-04:00","2015-05-21","59.71537","59.90158","59.38952","59.54779","1098262",""
"K","2015-05-22T00:00:00-04:00","2015-05-22","59.51055","59.734","59.26849","59.28711","1051109",""
"K","2015-05-26T00:00:00-04:00","2015-05-26","59.15676","59.26849","58.53299","58.65402","1215768",""
"K","2015-05-27T00:00:00-04:00","2015-05-27","58.79367","58.93332","58.57953","58.87746","1532411",""
