symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"KIM","2015-01-02T00:00:00-05:00","2015-01-02","22.46834","22.69071","22.41497","22.64623","3054021",""
"KIM","2015-01-05T00:00:00-05:00","2015-01-05","22.63734","23.03761","22.60176","22.85081","4616165",""
"KIM","2015-01-06T00:00:00-05:00","2015-01-06","22.98424","23.14434","22.8686","22.98424","5573913",""
"KIM","2015-01-07T00:00:00-05:00","2015-01-07","23.09987","23.64245","22.93087","23.58019","5139840",""
"KIM","2015-01-08T00:00:00-05:00","2015-01-08","23.69582","23.80256","23.50903","23.66024","4709590",""
"KIM","2015-01-09T00:00:00-05:00","2015-01-09","23.72251","23.76698","23.51793","23.60688","3161724",""
"KIM","2015-01-12T00:00:00-05:00","2015-01-12","23.65135","23.82925","23.63356","23.74919","3025803",""
"KIM","2015-01-13T00:00:00-05:00","2015-01-13","23.78477","23.97156","23.68693","23.85593","3886752",""
"KIM","2015-01-14T00:00:00-05:00","2015-01-14","23.70472","24.28288","23.67803","24.2562","3971521",""
"KIM","2015-01-15T00:00:00-05:00","2015-01-15","24.36293","24.52304","24.14946","24.26509","3967474",""
"KIM","2015-01-16T00:00:00-05:00","2015-01-16","24.17614","24.66536","24.16725","24.64757","3829528",""
"KIM","2015-01-20T00:00:00-05:00","2015-01-20","24.70984","24.72762","24.19393","24.28288","3231878",""
"KIM","2015-01-21T00:00:00-05:00","2015-01-21","24.15835","24.31846","24.06051","24.28288","3057619",""
"KIM","2015-01-22T00:00:00-05:00","2015-01-22","24.46078","24.92331","24.45188","24.92331","2725628",""
"KIM","2015-01-23T00:00:00-05:00","2015-01-23","24.93221","24.99447","24.75431","24.88773","2288408",""
"KIM","2015-01-26T00:00:00-05:00","2015-01-26","24.82547","25.19016","24.73652","25.17236","2720569",""
"KIM","2015-01-27T00:00:00-05:00","2015-01-27","25.06563","25.24352","25.03894","25.19905","2338100",""
"KIM","2015-01-28T00:00:00-05:00","2015-01-28","25.27021","25.38584","25.00336","25.01226","2979484",""
"KIM","2015-01-29T00:00:00-05:00","2015-01-29","25.03005","25.19905","24.83436","25.16347","2675487",""
"KIM","2015-01-30T00:00:00-05:00","2015-01-30","25.06563","25.119","24.58531","24.5942","3720813",""
"KIM","2015-02-02T00:00:00-05:00","2015-02-02","24.5942","24.73652","24.06941","24.70094","3340817",""
"KIM","2015-02-03T00:00:00-05:00","2015-02-03","24.67425","24.96778","24.55862","24.95889","2799604",""
"KIM","2015-02-04T00:00:00-05:00","2015-02-04","24.83436","24.9411","24.62089","24.62978","5394483",""
"KIM","2015-02-05T00:00:00-05:00","2015-02-05","24.63868","24.98557","24.57641","24.92331","3502372",""
"KIM","2015-02-06T00:00:00-05:00","2015-02-06","24.85215","24.85215","23.65135","23.77588","6687369",""
"KIM","2015-02-09T00:00:00-05:00","2015-02-09","23.79367","23.89151","23.52682","23.58909","2490885",""
"KIM","2015-02-10T00:00:00-05:00","2015-02-10","23.62466","23.97156","23.50903","23.9093","3302480",""
"KIM","2015-02-11T00:00:00-05:00","2015-02-11","23.96267","24.06941","23.59798","23.82035","5167159",""
"KIM","2015-02-12T00:00:00-05:00","2015-02-12","23.83814","24.10499","23.68693","24.0872","2471098",""
"KIM","2015-02-13T00:00:00-05:00","2015-02-13","24.06051","24.0872","23.71361","23.86482","1909536",""
"KIM","2015-02-17T00:00:00-05:00","2015-02-17","23.86482","24.05162","23.66914","23.80256","3890350",""
"KIM","2015-02-18T00:00:00-05:00","2015-02-18","23.80256","24.00714","23.5535","23.96267","2225113",""
"KIM","2015-02-19T00:00:00-05:00","2015-02-19","23.88261","23.94488","23.40229","23.42898","2928443",""
"KIM","2015-02-20T00:00:00-05:00","2015-02-20","23.47345","24.00714","23.34003","23.92709","5062492",""
"KIM","2015-02-23T00:00:00-05:00","2015-02-23","23.9093","24.26509","23.89151","24.2473","4420433",""
"KIM","2015-02-24T00:00:00-05:00","2015-02-24","24.09609","24.09609","23.45566","23.52682","4816057",""
