symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"KMB","2015-01-02T00:00:00-05:00","2015-01-02","105.9534","106.6153","105.7236","106.2292","1397205",""
"KMB","2015-01-05T00:00:00-05:00","2015-01-05","106.551","107.1761","105.4937","105.6224","1747893",""
"KMB","2015-01-06T00:00:00-05:00","2015-01-06","105.6224","106.1649","104.4181","104.602","1911163",""
"KMB","2015-01-07T00:00:00-05:00","2015-01-07","105.4478","105.5765","104.4917","105.3283","1576464",""
"KMB","2015-01-08T00:00:00-05:00","2015-01-08","105.7879","107.553","105.7879","107.553","2292960",""
"KMB","2015-01-09T00:00:00-05:00","2015-01-09","107.5714","107.7369","106.2016","106.5878","1326936",""
"KMB","2015-01-12T00:00:00-05:00","2015-01-12","106.7348","107.075","105.8523","106.4223","1284297",""
"KMB","2015-01-13T00:00:00-05:00","2015-01-13","106.9923","107.93","106.1281","106.7165","1408843",""
"KMB","2015-01-14T00:00:00-05:00","2015-01-14","106.3027","106.8635","105.6408","106.8544","1552643",""
"KMB","2015-01-15T00:00:00-05:00","2015-01-15","107.2037","107.5071","106.5418","106.8544","1191730",""
"KMB","2015-01-16T00:00:00-05:00","2015-01-16","107.0106","108.2977","106.551","108.1598","1422658",""
"KMB","2015-01-20T00:00:00-05:00","2015-01-20","108.4448","108.4724","107.0382","108.0495","1836979",""
"KMB","2015-01-21T00:00:00-05:00","2015-01-21","107.6818","108.2517","106.6981","108.1047","1659785",""
"KMB","2015-01-22T00:00:00-05:00","2015-01-22","108.4816","109.4101","107.7093","109.3825","2014172",""
"KMB","2015-01-23T00:00:00-05:00","2015-01-23","104.3446","105.7144","102.1933","102.6438","5784287",""
"KMB","2015-01-26T00:00:00-05:00","2015-01-26","102.1933","102.2209","100.5569","100.989","4676856",""
"KMB","2015-01-27T00:00:00-05:00","2015-01-27","100.3455","102.2944","99.58241","101.7796","3880085",""
"KMB","2015-01-28T00:00:00-05:00","2015-01-28","102.3772","102.7541","100.5017","100.7867","2575991",""
"KMB","2015-01-29T00:00:00-05:00","2015-01-29","100.989","101.8532","100.3638","101.3292","2930486",""
"KMB","2015-01-30T00:00:00-05:00","2015-01-30","100.5017","101.1269","99.20549","99.25145","3149557",""
"KMB","2015-02-02T00:00:00-05:00","2015-02-02","99.23307","101.3567","98.88371","101.228","2362467",""
"KMB","2015-02-03T00:00:00-05:00","2015-02-03","101.5682","101.5682","100.2995","101.2832","1983280",""
"KMB","2015-02-04T00:00:00-05:00","2015-02-04","101.6325","101.9911","100.7775","100.9982","1919321",""
"KMB","2015-02-05T00:00:00-05:00","2015-02-05","101.228","101.7429","100.9982","101.1453","2195934",""
"KMB","2015-02-06T00:00:00-05:00","2015-02-06","100.9706","101.0166","99.76627","100.2535","1746587",""
"KMB","2015-02-09T00:00:00-05:00","2015-02-09","99.96853","100.1524","98.99404","99.49048","2185383",""
"KMB","2015-02-10T00:00:00-05:00","2015-02-10","100.0513","100.6121","99.4537","100.4098","1468343",""
"KMB","2015-02-11T00:00:00-05:00","2015-02-11","100.7959","100.9798","99.72031","100.4834","1486617",""
"KMB","2015-02-12T00:00:00-05:00","2015-02-12","100.4558","101.5406","100.2811","101.2924","1489228",""
