symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"KMI","2015-01-02T00:00:00-05:00","2015-01-02","38.40417","38.79328","38.25034","38.73899","9572495",""
"KMI","2015-01-05T00:00:00-05:00","2015-01-05","38.29559","38.6304","37.48117","37.6893","17472660",""
"KMI","2015-01-06T00:00:00-05:00","2015-01-06","37.32734","37.59881","36.39529","36.94728","22127182",""
"KMI","2015-01-07T00:00:00-05:00","2015-01-07","37.1735","37.6893","37.07396","37.43592","13311672",""
"KMI","2015-01-08T00:00:00-05:00","2015-01-08","37.58976","38.54896","37.52642","38.31368","17085990",""
"KMI","2015-01-09T00:00:00-05:00","2015-01-09","38.37703","38.45847","37.58071","37.83408","11371910",""
"KMI","2015-01-12T00:00:00-05:00","2015-01-12","37.64405","38.00602","37.23685","37.6531","13838799",""
"KMI","2015-01-13T00:00:00-05:00","2015-01-13","37.6531","37.93362","36.712","37.00157","15655232",""
"KMI","2015-01-14T00:00:00-05:00","2015-01-14","36.58532","37.35448","36.39529","37.30019","14731268",""
"KMI","2015-01-15T00:00:00-05:00","2015-01-15","37.63501","37.74359","36.73915","36.89298","11483856",""
"KMI","2015-01-16T00:00:00-05:00","2015-01-16","36.97443","37.62596","36.84774","37.58071","9681346",""
"KMI","2015-01-20T00:00:00-05:00","2015-01-20","37.81599","37.92458","37.32734","37.84313","9709416",""
"KMI","2015-01-21T00:00:00-05:00","2015-01-21","37.96077","38.1689","37.84313","38.00602","11777588",""
"KMI","2015-01-22T00:00:00-05:00","2015-01-22","38.34988","38.84758","37.74359","38.07841","18694004",""
"KMI","2015-01-23T00:00:00-05:00","2015-01-23","38.45847","38.49467","37.97887","38.25034","12439204",""
"KMI","2015-01-26T00:00:00-05:00","2015-01-26","38.53991","38.5942","38.01506","38.25034","10282625",""
"KMI","2015-01-27T00:00:00-05:00","2015-01-27","38.15985","38.45847","38.14175","38.39513","10398549",""
"KMI","2015-01-28T00:00:00-05:00","2015-01-28","38.45847","38.45847","37.29114","37.42688","15769056",""
"KMI","2015-01-29T00:00:00-05:00","2015-01-29","37.51836","37.53666","36.54861","37.2439","15575954",""
"KMI","2015-01-30T00:00:00-05:00","2015-01-30","36.88711","37.98494","36.77733","37.55495","16016241",""
"KMI","2015-02-02T00:00:00-05:00","2015-02-02","37.83856","38.14046","36.90541","38.07642","14848738",""
"KMI","2015-02-03T00:00:00-05:00","2015-02-03","38.34174","38.39663","37.66474","37.94835","17226482",""
"KMI","2015-02-04T00:00:00-05:00","2015-02-04","37.74707","37.81112","37.23476","37.32624","13976254",""
"KMI","2015-02-05T00:00:00-05:00","2015-02-05","37.78367","38.04898","37.58241","37.9575","10304103",""
"KMI","2015-02-06T00:00:00-05:00","2015-02-06","38.10387","38.18621","37.77452","37.88431","8961929",""
"KMI","2015-02-09T00:00:00-05:00","2015-02-09","37.9026","38.05813","37.49092","37.69219","8954714",""
"KMI","2015-02-10T00:00:00-05:00","2015-02-10","37.75623","38.03983","37.50921","38.01239","8684946",""
"KMI","2015-02-11T00:00:00-05:00","2015-02-11","37.88431","38.10387","37.50921","37.70133","8870548",""
"KMI","2015-02-12T00:00:00-05:00","2015-02-12","38.03983","38.2594","37.82027","38.20451","9047078",""
"KMI","2015-02-13T00:00:00-05:00","2015-02-13","38.35088","38.41492","38.14962","38.39663","9327231",""
"KMI","2015-02-17T00:00:00-05:00","2015-02-17","38.40578","38.65279","38.20451","38.51556","9881961",""
"KMI","2015-02-18T00:00:00-05:00","2015-02-18","38.27769","38.62534","38.2411","38.58875","8604934",""
"KMI","2015-02-19T00:00:00-05:00","2015-02-19","38.21366","38.54301","38.21366","38.43322","8627014",""
"KMI","2015-02-20T00:00:00-05:00","2015-02-20","38.31429","38.45152","38.03983","38.30514","10613550",""
"KMI","2015-02-23T00:00:00-05:00","2015-02-23","38.16792","38.45152","38.07642","38.45152","8365443",""
"KMI","2015-02-24T00:00:00-05:00","2015-02-24","38.45152","38.72598","38.29599","38.5796","8612585",""
"KMI","2015-02-25T00:00:00-05:00","2015-02-25","38.5796","38.70768","38.44237","38.52471","7899579",""
"KMI","2015-02-26T00:00:00-05:00","2015-02-26","38.42407","38.45152","37.52751","37.71048","11880739",""
"KMI","2015-02-27T00:00:00-05:00","2015-02-27","37.71963","37.84771","37.33539","37.51836","11634800",""
"KMI","2015-03-02T00:00:00-05:00","2015-03-02","37.52751","37.76537","37.2988","37.35369","11926648",""
"KMI","2015-03-03T00:00:00-05:00","2015-03-03","37.43602","37.69219","37.07923","37.59155","8554216",""
"KMI","2015-03-04T00:00:00-05:00","2015-03-04","37.51836","37.57325","37.22561","37.54581","8512898",""
"KMI","2015-03-05T00:00:00-05:00","2015-03-05","37.44518","37.68304","37.30795","37.36283","6115697",""
"KMI","2015-03-06T00:00:00-05:00","2015-03-06","37.17986","37.28965","36.82307","36.96945","9569673",""
"KMI","2015-03-09T00:00:00-04:00","2015-03-09","36.87796","37.07923","36.6218","36.67669","9950934",""
"KMI","2015-03-10T00:00:00-04:00","2015-03-10","36.45713","36.82307","36.3016","36.67669","10375917",""
"KMI","2015-03-11T00:00:00-04:00","2015-03-11","36.61265","36.68584","36.3199","36.42053","9204589",""
"KMI","2015-03-12T00:00:00-04:00","2015-03-12","36.53032","36.53032","36.19182","36.38394","8242582",""
"KMI","2015-03-13T00:00:00-04:00","2015-03-13","36.17352","36.55776","36.09118","36.52116","9105885",""
"KMI","2015-03-16T00:00:00-04:00","2015-03-16","36.40224","37.28965","36.3382","37.16157","12326382",""
"KMI","2015-03-17T00:00:00-04:00","2015-03-17","37.15242","37.39943","36.84137","37.35369","11076135",""
"KMI","2015-03-18T00:00:00-04:00","2015-03-18","37.49092","38.2594","37.2988","38.02154","13127598",""
"KMI","2015-03-19T00:00:00-04:00","2015-03-19","37.9026","38.11302","37.74707","37.99409","8853825",""
"KMI","2015-03-20T00:00:00-04:00","2015-03-20","37.98494","38.53386","37.9575","38.53386","23200080",""
