symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"KMX","2015-01-02T00:00:00-05:00","2015-01-02","67.04","67.71","65.86","66.47","2151000",""
"KMX","2015-01-05T00:00:00-05:00","2015-01-05","66.01","66.31","64.1","64.58","2119900",""
"KMX","2015-01-06T00:00:00-05:00","2015-01-06","64.97","65.08","63.06","63.77","2366500",""
"KMX","2015-01-07T00:00:00-05:00","2015-01-07","64.44","64.8","63.79","64.78","1654000",""
"KMX","2015-01-08T00:00:00-05:00","2015-01-08","65.66","66.3","65.48","66.09","1514300",""
"KMX","2015-01-09T00:00:00-05:00","2015-01-09","65.88","66.01","64.9","65.04","1544900",""
"KMX","2015-01-12T00:00:00-05:00","2015-01-12","64.93","65.23","64.18","64.35","1434300",""
"KMX","2015-01-13T00:00:00-05:00","2015-01-13","65.06","65.72","63.77","64.27","1274400",""
"KMX","2015-01-14T00:00:00-05:00","2015-01-14","63.98","64.08","62.58","63.42","1783300",""
"KMX","2015-01-15T00:00:00-05:00","2015-01-15","64.04","64.94","62.18","62.23","1286500",""
"KMX","2015-01-16T00:00:00-05:00","2015-01-16","61.93","63.56","61.83","63.51","1704700",""
"KMX","2015-01-20T00:00:00-05:00","2015-01-20","63.55","63.71","62.12","62.81","1151400",""
"KMX","2015-01-21T00:00:00-05:00","2015-01-21","62.6","63.36","62.21","63.01","1231000",""
"KMX","2015-01-22T00:00:00-05:00","2015-01-22","63.29","64.44","62.76","64.24","1084800",""
"KMX","2015-01-23T00:00:00-05:00","2015-01-23","64.38","65.85","64.27","64.87","1621400",""
"KMX","2015-01-26T00:00:00-05:00","2015-01-26","64.75","65.42","64.24","64.77","1397400",""
"KMX","2015-01-27T00:00:00-05:00","2015-01-27","63.9","64.51","63.39","63.7","1404900",""
"KMX","2015-01-28T00:00:00-05:00","2015-01-28","64.11","64.38","62.42","62.53","1172700",""
"KMX","2015-01-29T00:00:00-05:00","2015-01-29","62.6","63.45","62.22","63.31","918500",""
"KMX","2015-01-30T00:00:00-05:00","2015-01-30","62.7","63.2","62.02","62.1","1164400",""
"KMX","2015-02-02T00:00:00-05:00","2015-02-02","62.21","62.59","60.83","62.53","1253800",""
"KMX","2015-02-03T00:00:00-05:00","2015-02-03","63.2","63.91","62.75","63.75","1640100",""
"KMX","2015-02-04T00:00:00-05:00","2015-02-04","63.61","64.82","63.45","64.46","1567800",""
"KMX","2015-02-05T00:00:00-05:00","2015-02-05","64.66","64.98","64.24","64.53","1384100",""
"KMX","2015-02-06T00:00:00-05:00","2015-02-06","64.54","64.97","64.14","64.42","853400",""
"KMX","2015-02-09T00:00:00-05:00","2015-02-09","63.96","65.01","63.81","64.55","1333000",""
"KMX","2015-02-10T00:00:00-05:00","2015-02-10","65.05","65.74","64.9","65.67","1621300",""
"KMX","2015-02-11T00:00:00-05:00","2015-02-11","65.42","66.08","64.77","65.97","1380800",""
"KMX","2015-02-12T00:00:00-05:00","2015-02-12","66.04","66.67","65.51","66.58","1066300",""
"KMX","2015-02-13T00:00:00-05:00","2015-02-13","66.51","67.73","66.51","67.68","1284000",""
"KMX","2015-02-17T00:00:00-05:00","2015-02-17","67.66","68.08","67.01","67.48","1013300",""
"KMX","2015-02-18T00:00:00-05:00","2015-02-18","67.17","67.68","66.89","67.51","1041200",""
"KMX","2015-02-19T00:00:00-05:00","2015-02-19","67.55","68.41","67.34","68.3","1081800",""
"KMX","2015-02-20T00:00:00-05:00","2015-02-20","68.22","68.33","66.98","68.13","1143700",""
"KMX","2015-02-23T00:00:00-05:00","2015-02-23","68.2","68.33","67.26","67.61","584900",""
"KMX","2015-02-24T00:00:00-05:00","2015-02-24","66.6","67.67","65.87","67.28","876100",""
"KMX","2015-02-25T00:00:00-05:00","2015-02-25","67.41","68.15","67.4","68.1","686500",""
"KMX","2015-02-26T00:00:00-05:00","2015-02-26","68.12","68.3","67.57","67.73","870400",""
"KMX","2015-02-27T00:00:00-05:00","2015-02-27","67.75","67.98","66.99","67.11","878800",""
"KMX","2015-03-02T00:00:00-05:00","2015-03-02","67.32","68.23","67.15","67.77","1394800",""
"KMX","2015-03-03T00:00:00-05:00","2015-03-03","67.69","67.69","66.95","67.39","898600",""
"KMX","2015-03-04T00:00:00-05:00","2015-03-04","65.86","66","64.54","64.69","1739800",""
"KMX","2015-03-05T00:00:00-05:00","2015-03-05","64.69","65.02","64.53","64.62","1296500",""
"KMX","2015-03-06T00:00:00-05:00","2015-03-06","64.12","64.63","62.89","63","2098700",""
"KMX","2015-03-09T00:00:00-04:00","2015-03-09","62.84","63.45","62.46","63.2","1646200",""
"KMX","2015-03-10T00:00:00-04:00","2015-03-10","62.72","63","62.15","62.15","1753800",""
"KMX","2015-03-11T00:00:00-04:00","2015-03-11","62.23","62.45","61.98","62","1633600",""
"KMX","2015-03-12T00:00:00-04:00","2015-03-12","62.3","62.95","62.15","62.45","2225500",""
"KMX","2015-03-13T00:00:00-04:00","2015-03-13","62.67","63.42","62.31","63.32","1460800",""
"KMX","2015-03-16T00:00:00-04:00","2015-03-16","63.82","64.4","63.73","64.18","1474600",""
"KMX","2015-03-17T00:00:00-04:00","2015-03-17","63.96","64.86","63.85","64.72","1642900",""
"KMX","2015-03-18T00:00:00-04:00","2015-03-18","64.69","66","64.16","65.48","1197300",""
"KMX","2015-03-19T00:00:00-04:00","2015-03-19","65.21","65.83","65.16","65.64","976500",""
"KMX","2015-03-20T00:00:00-04:00","2015-03-20","66.14","66.69","65.52","66.55","2390800",""
"KMX","2015-03-23T00:00:00-04:00","2015-03-23","66.5","66.98","66.24","66.45","1034400",""
"KMX","2015-03-24T00:00:00-04:00","2015-03-24","66.25","67.84","66.23","67.3","1623300",""
"KMX","2015-03-25T00:00:00-04:00","2015-03-25","67.23","67.45","66.18","66.35","2103600",""
"KMX","2015-03-26T00:00:00-04:00","2015-03-26","65.87","66.19","65.26","65.8","1862700",""
"KMX","2015-03-27T00:00:00-04:00","2015-03-27","65.74","66.81","65.66","66.69","1824300",""
"KMX","2015-03-30T00:00:00-04:00","2015-03-30","67.19","69.29","66.97","69.22","1894500",""
"KMX","2015-03-31T00:00:00-04:00","2015-03-31","69.19","69.6","68.75","69.01","3272600",""
"KMX","2015-04-01T00:00:00-04:00","2015-04-01","69.01","69.21","67.67","68.39","2713400",""
"KMX","2015-04-02T00:00:00-04:00","2015-04-02","71.98","75.4","71.97","74.73","9037200",""
"KMX","2015-04-06T00:00:00-04:00","2015-04-06","74.16","75.22","73.77","73.95","3105900",""
"KMX","2015-04-07T00:00:00-04:00","2015-04-07","73.95","74.25","73.28","73.42","2881200",""
"KMX","2015-04-08T00:00:00-04:00","2015-04-08","73.62","74.07","73.36","74.07","2574700",""
"KMX","2015-04-09T00:00:00-04:00","2015-04-09","74","74.55","73.4","74.11","1486600",""
"KMX","2015-04-10T00:00:00-04:00","2015-04-10","74.01","74.13","73.11","73.19","1175000",""
"KMX","2015-04-13T00:00:00-04:00","2015-04-13","73.44","73.74","72.91","73.01","1241700",""
"KMX","2015-04-14T00:00:00-04:00","2015-04-14","72.82","73.09","71.86","72.46","887100",""
"KMX","2015-04-15T00:00:00-04:00","2015-04-15","72.57","72.92","72.37","72.4","1016500",""
"KMX","2015-04-16T00:00:00-04:00","2015-04-16","72.42","72.45","71.57","71.68","926600",""
"KMX","2015-04-17T00:00:00-04:00","2015-04-17","71.22","71.39","70.13","70.61","1418000",""
"KMX","2015-04-20T00:00:00-04:00","2015-04-20","70.97","71.25","70.77","70.97","1264900",""
"KMX","2015-04-21T00:00:00-04:00","2015-04-21","71.33","71.91","70.75","70.88","1175700",""
"KMX","2015-04-22T00:00:00-04:00","2015-04-22","71.2","71.52","70.46","70.84","1366800",""
"KMX","2015-04-23T00:00:00-04:00","2015-04-23","70.78","71.05","70.3","70.72","1024500",""
"KMX","2015-04-24T00:00:00-04:00","2015-04-24","70.68","70.83","69.81","69.97","845400",""
"KMX","2015-04-27T00:00:00-04:00","2015-04-27","70.02","70.22","68.74","68.81","941400",""
"KMX","2015-04-28T00:00:00-04:00","2015-04-28","68.96","69.61","68.35","69.39","1221800",""
"KMX","2015-04-29T00:00:00-04:00","2015-04-29","69.21","69.28","68.37","68.76","947400",""
"KMX","2015-04-30T00:00:00-04:00","2015-04-30","68.44","68.83","67.69","68.11","1416400",""
"KMX","2015-05-01T00:00:00-04:00","2015-05-01","68.3","69.82","68.17","69.81","1296000",""
"KMX","2015-05-04T00:00:00-04:00","2015-05-04","69.93","71.36","69.93","71.33","1611000",""
"KMX","2015-05-05T00:00:00-04:00","2015-05-05","71.11","71.84","70.21","70.3","1637300",""
"KMX","2015-05-06T00:00:00-04:00","2015-05-06","70.35","70.71","69.4","69.97","1337000",""
"KMX","2015-05-07T00:00:00-04:00","2015-05-07","69.93","71.03","69.78","70.84","1240200",""
"KMX","2015-05-08T00:00:00-04:00","2015-05-08","71.56","72.14","71.46","71.53","1105000",""
"KMX","2015-05-11T00:00:00-04:00","2015-05-11","71.35","72.25","71.26","71.35","1350800",""
"KMX","2015-05-12T00:00:00-04:00","2015-05-12","70.96","71.65","70.73","71.27","834800",""
"KMX","2015-05-13T00:00:00-04:00","2015-05-13","71.82","71.87","70.84","71.11","960800",""
"KMX","2015-05-14T00:00:00-04:00","2015-05-14","71.91","72.05","71.28","71.72","1597900",""
"KMX","2015-05-15T00:00:00-04:00","2015-05-15","71.91","72.45","71.74","72.26","1741100",""
"KMX","2015-05-18T00:00:00-04:00","2015-05-18","72.49","73.2","72.32","73","1520200",""
"KMX","2015-05-19T00:00:00-04:00","2015-05-19","73","73.05","72.12","72.26","1036600",""
"KMX","2015-05-20T00:00:00-04:00","2015-05-20","72.38","72.63","72.1","72.3","996600",""
"KMX","2015-05-21T00:00:00-04:00","2015-05-21","72.01","72.94","71.92","72.51","1298300",""
"KMX","2015-05-22T00:00:00-04:00","2015-05-22","72.56","72.85","71.93","72.41","1286200",""
"KMX","2015-05-26T00:00:00-04:00","2015-05-26","72.36","72.68","71.61","71.71","868300",""
"KMX","2015-05-27T00:00:00-04:00","2015-05-27","72.15","72.99","71.87","72.84","1839400",""
"KMX","2015-05-28T00:00:00-04:00","2015-05-28","72.92","73.15","72.16","72.38","858700",""
"KMX","2015-05-29T00:00:00-04:00","2015-05-29","72.14","72.41","71.04","71.04","1481200",""
"KMX","2015-06-01T00:00:00-04:00","2015-06-01","71.44","72.05","70.83","71.7","856100",""
"KMX","2015-06-02T00:00:00-04:00","2015-06-02","71.37","72.23","71.36","72.1","874000",""
"KMX","2015-06-03T00:00:00-04:00","2015-06-03","72.1","73.14","72.1","72.81","1064600",""
"KMX","2015-06-04T00:00:00-04:00","2015-06-04","72.48","73.2","72.39","73.09","1287100",""
"KMX","2015-06-05T00:00:00-04:00","2015-06-05","73.11","73.76","72.85","73.7","1376700",""
"KMX","2015-06-08T00:00:00-04:00","2015-06-08","73.42","73.48","72.15","72.16","1706500",""
"KMX","2015-06-09T00:00:00-04:00","2015-06-09","72.05","72.85","72.05","72.59","819100",""
"KMX","2015-06-10T00:00:00-04:00","2015-06-10","72.85","73.34","72.81","73.15","1078700",""
"KMX","2015-06-11T00:00:00-04:00","2015-06-11","73.48","73.69","72.67","72.78","798600",""
"KMX","2015-06-12T00:00:00-04:00","2015-06-12","72.53","73.12","72.37","72.86","1182200",""
"KMX","2015-06-15T00:00:00-04:00","2015-06-15","72.45","72.45","71.4","71.55","1685500",""
"KMX","2015-06-16T00:00:00-04:00","2015-06-16","71.57","72.22","71.54","72.2","1189300",""
"KMX","2015-06-17T00:00:00-04:00","2015-06-17","72.38","73.19","72.04","72.28","1370800",""
