symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"KO","2015-01-02T00:00:00-05:00","2015-01-02","38.63749","38.7655","38.21693","38.52778","10851155",""
"KO","2015-01-05T00:00:00-05:00","2015-01-05","39.03064","39.28664","38.47293","38.52778","28757584",""
"KO","2015-01-06T00:00:00-05:00","2015-01-06","38.77464","39.2592","38.61921","38.82035","18481636",""
"KO","2015-01-07T00:00:00-05:00","2015-01-07","39.11292","39.41463","38.93007","39.30492","14669677",""
"KO","2015-01-08T00:00:00-05:00","2015-01-08","39.47863","39.8352","39.40549","39.78035","23782198",""
"KO","2015-01-09T00:00:00-05:00","2015-01-09","39.74377","39.82606","39.26835","39.34149","13927345",""
"KO","2015-01-12T00:00:00-05:00","2015-01-12","39.37806","39.49692","38.82035","38.98492","12486102",""
"KO","2015-01-13T00:00:00-05:00","2015-01-13","39.15864","39.53349","38.81121","38.97578","13704109",""
"KO","2015-01-14T00:00:00-05:00","2015-01-14","38.47293","38.94835","38.46378","38.91178","14708396",""
"KO","2015-01-15T00:00:00-05:00","2015-01-15","39.15864","39.18607","38.55521","38.74721","12242413",""
"KO","2015-01-16T00:00:00-05:00","2015-01-16","38.72892","38.93921","38.61921","38.88435","16531906",""
"KO","2015-01-20T00:00:00-05:00","2015-01-20","39.03978","39.61578","38.95749","39.46035","18645480",""
"KO","2015-01-21T00:00:00-05:00","2015-01-21","39.21349","39.7072","39.09464","39.6432","11725613",""
"KO","2015-01-22T00:00:00-05:00","2015-01-22","39.65235","40.07292","39.37806","40.0272","16088169",""
"KO","2015-01-23T00:00:00-05:00","2015-01-23","39.86263","39.99977","39.47863","39.59749","13516311",""
"KO","2015-01-26T00:00:00-05:00","2015-01-26","39.47863","39.52435","39.15864","39.31406","12197350",""
"KO","2015-01-27T00:00:00-05:00","2015-01-27","38.89349","38.98492","38.53693","38.75635","16706032",""
"KO","2015-01-28T00:00:00-05:00","2015-01-28","38.93921","39.12207","38.30836","38.32664","15617198",""
"KO","2015-01-29T00:00:00-05:00","2015-01-29","38.1895","38.53693","37.91521","38.49121","14938413",""
"KO","2015-01-30T00:00:00-05:00","2015-01-30","38.24436","38.33578","37.58607","37.64093","20993228",""
"KO","2015-02-02T00:00:00-05:00","2015-02-02","37.6775","38.0615","37.39407","38.02493","16622360",""
"KO","2015-02-03T00:00:00-05:00","2015-02-03","38.17121","38.26264","37.82378","38.0615","14430035",""
"KO","2015-02-04T00:00:00-05:00","2015-02-04","38.1895","38.48207","38.05236","38.10721","17937492",""
"KO","2015-02-05T00:00:00-05:00","2015-02-05","38.21693","38.23521","37.95178","38.20778","12117178",""
"KO","2015-02-06T00:00:00-05:00","2015-02-06","38.02493","38.18036","37.77807","37.89693","13525717",""
"KO","2015-02-09T00:00:00-05:00","2015-02-09","37.83293","37.89693","37.52208","37.69579","14624614",""
"KO","2015-02-10T00:00:00-05:00","2015-02-10","39.24092","39.34149","38.58264","38.7655","35201560",""
"KO","2015-02-11T00:00:00-05:00","2015-02-11","38.48207","38.84778","38.1255","38.73806","22417846",""
"KO","2015-02-12T00:00:00-05:00","2015-02-12","38.77464","39.00321","38.46378","38.55521","15113742",""
"KO","2015-02-13T00:00:00-05:00","2015-02-13","38.4455","38.61007","38.18036","38.39064","11803817",""
"KO","2015-02-17T00:00:00-05:00","2015-02-17","38.22607","38.29007","38.07064","38.22607","14004673",""
"KO","2015-02-18T00:00:00-05:00","2015-02-18","38.17121","38.21693","37.91521","38.15293","10707545",""
"KO","2015-02-19T00:00:00-05:00","2015-02-19","38.10721","38.61921","37.97007","38.50035","18132618",""
"KO","2015-02-20T00:00:00-05:00","2015-02-20","38.43636","38.50035","38.07064","38.37236","17480740",""
"KO","2015-02-23T00:00:00-05:00","2015-02-23","38.13464","38.55521","38.11636","38.26264","12939464",""
"KO","2015-02-24T00:00:00-05:00","2015-02-24","38.26264","38.7015","38.1895","38.51864","13981048",""
"KO","2015-02-25T00:00:00-05:00","2015-02-25","38.55521","38.61921","38.16207","38.4455","11291173",""
"KO","2015-02-26T00:00:00-05:00","2015-02-26","38.43636","38.90264","38.37236","38.82035","15691573",""
"KO","2015-02-27T00:00:00-05:00","2015-02-27","38.87521","39.91749","38.82949","39.58834","30967300",""
"KO","2015-03-02T00:00:00-05:00","2015-03-02","39.42377","39.57006","39.38721","39.49692","14781678",""
"KO","2015-03-03T00:00:00-05:00","2015-03-03","39.41463","39.46035","39.16778","39.26835","10977265",""
"KO","2015-03-04T00:00:00-05:00","2015-03-04","39.20435","39.29578","38.82949","38.85692","17787648",""
"KO","2015-03-05T00:00:00-05:00","2015-03-05","38.93007","38.95749","38.62835","38.7655","10087604",""
"KO","2015-03-06T00:00:00-05:00","2015-03-06","38.50949","38.58264","37.78722","37.96093","19884926",""
"KO","2015-03-09T00:00:00-04:00","2015-03-09","37.97007","37.98835","37.77807","37.84207","11072313",""
"KO","2015-03-10T00:00:00-04:00","2015-03-10","37.57693","37.62265","37.19293","37.20207","15967747",""
"KO","2015-03-11T00:00:00-04:00","2015-03-11","37.21122","37.23865","36.64437","36.66265","20288740",""
"KO","2015-03-12T00:00:00-04:00","2015-03-12","36.96686","37.40014","36.89312","37.40014","19231300",""
"KO","2015-03-13T00:00:00-04:00","2015-03-13","37.40014","37.40014","36.51515","36.79171","18916396",""
"KO","2015-03-16T00:00:00-04:00","2015-03-16","36.96686","37.19733","36.86546","37.14202","16530260",""
"KO","2015-03-17T00:00:00-04:00","2015-03-17","37.49233","37.54764","37.16967","37.34483","23497750",""
"KO","2015-03-18T00:00:00-04:00","2015-03-18","37.31717","37.60295","36.6903","37.4278","28472004",""
"KO","2015-03-19T00:00:00-04:00","2015-03-19","37.31717","37.35405","36.8378","36.89312","17418458",""
"KO","2015-03-20T00:00:00-04:00","2015-03-20","36.93921","37.48311","36.8839","37.47389","34287376",""
"KO","2015-03-23T00:00:00-04:00","2015-03-23","37.46467","37.74123","37.33561","37.44624","18506466",""
"KO","2015-03-24T00:00:00-04:00","2015-03-24","37.71358","37.78733","37.30796","37.30796","14628684",""
"KO","2015-03-25T00:00:00-04:00","2015-03-25","37.41858","37.51999","37.09593","37.28952","24744678",""
"KO","2015-03-26T00:00:00-04:00","2015-03-26","37.18811","37.39093","37.08671","37.19733","18830916",""
"KO","2015-03-27T00:00:00-04:00","2015-03-27","37.31717","37.31717","36.84702","36.94843","15603445",""
"KO","2015-03-30T00:00:00-04:00","2015-03-30","36.97609","37.43702","36.81937","37.34483","13626044",""
"KO","2015-03-31T00:00:00-04:00","2015-03-31","37.34483","37.70436","37.19733","37.3817","18012036",""
"KO","2015-04-01T00:00:00-04:00","2015-04-01","37.58451","37.62139","37.08671","37.50155","15512759",""
"KO","2015-04-02T00:00:00-04:00","2015-04-02","37.54764","37.6767","37.31717","37.50155","15558753",""
"KO","2015-04-06T00:00:00-04:00","2015-04-06","37.58451","38.35888","37.41858","37.95326","21525232",""
"KO","2015-04-07T00:00:00-04:00","2015-04-07","37.84264","38.13763","37.76889","37.80576","10601638",""
"KO","2015-04-08T00:00:00-04:00","2015-04-08","37.77811","37.87951","37.55686","37.69514","9713549",""
"KO","2015-04-09T00:00:00-04:00","2015-04-09","37.61217","37.8703","37.45546","37.84264","13788107",""
"KO","2015-04-10T00:00:00-04:00","2015-04-10","37.87951","37.94404","37.65826","37.68592","9458957",""
"KO","2015-04-13T00:00:00-04:00","2015-04-13","37.71358","37.76889","37.51999","37.51999","10431223",""
"KO","2015-04-14T00:00:00-04:00","2015-04-14","37.41858","37.47389","37.16967","37.34483","12159672",""
"KO","2015-04-15T00:00:00-04:00","2015-04-15","37.40936","37.62139","37.16967","37.24343","12137326",""
"KO","2015-04-16T00:00:00-04:00","2015-04-16","37.25264","37.66748","37.15124","37.4278","14232965",""
"KO","2015-04-17T00:00:00-04:00","2015-04-17","37.29874","37.48311","36.96686","37.15124","16629623",""
"KO","2015-04-20T00:00:00-04:00","2015-04-20","37.26186","37.70436","37.25264","37.48311","14127744",""
"KO","2015-04-21T00:00:00-04:00","2015-04-21","37.49233","37.78733","37.37249","37.59373","21340390",""
"KO","2015-04-22T00:00:00-04:00","2015-04-22","38.31279","38.32201","37.86108","38.08232","29165922",""
"KO","2015-04-23T00:00:00-04:00","2015-04-23","38.00858","38.17451","37.72279","37.75045","18884178",""
"KO","2015-04-24T00:00:00-04:00","2015-04-24","37.81498","37.90717","37.62139","37.69514","12608435",""
"KO","2015-04-27T00:00:00-04:00","2015-04-27","37.81498","37.93483","37.59373","37.63983","10895824",""
"KO","2015-04-28T00:00:00-04:00","2015-04-28","37.76889","37.76889","37.4278","37.58451","13206570",""
"KO","2015-04-29T00:00:00-04:00","2015-04-29","37.48311","37.56608","37.24343","37.32639","12335077",""
"KO","2015-04-30T00:00:00-04:00","2015-04-30","37.24343","37.40936","37.1328","37.39093","13777151",""
"KO","2015-05-01T00:00:00-04:00","2015-05-01","37.40936","37.73201","37.33561","37.71358","11767750",""
"KO","2015-05-04T00:00:00-04:00","2015-05-04","37.68592","37.88873","37.58451","37.75967","11069710",""
"KO","2015-05-05T00:00:00-04:00","2015-05-05","37.92561","37.92561","37.50155","37.56608","12714633",""
"KO","2015-05-06T00:00:00-04:00","2015-05-06","37.83342","37.87951","37.23421","37.48311","12915964",""
"KO","2015-05-07T00:00:00-04:00","2015-05-07","37.36327","37.71358","37.34483","37.51999","15007263",""
"KO","2015-05-08T00:00:00-04:00","2015-05-08","37.79655","37.95326","37.65826","37.77811","12088946",""
"KO","2015-05-11T00:00:00-04:00","2015-05-11","37.77811","38.15607","37.68592","37.74123","10970672",""
"KO","2015-05-12T00:00:00-04:00","2015-05-12","37.58451","37.75967","37.35405","37.51077","13434043",""
"KO","2015-05-13T00:00:00-04:00","2015-05-13","37.56608","38.12842","37.53842","37.84264","14301088",""
"KO","2015-05-14T00:00:00-04:00","2015-05-14","38.0731","38.34966","38.02701","38.25748","10805138",""
"KO","2015-05-15T00:00:00-04:00","2015-05-15","38.21139","38.43263","38.19295","38.27592","9197640",""
"KO","2015-05-18T00:00:00-04:00","2015-05-18","38.24826","38.24826","38.02701","38.09154","12487268",""
"KO","2015-05-19T00:00:00-04:00","2015-05-19","38.00858","38.15607","37.91639","38.08232","9840791",""
"KO","2015-05-20T00:00:00-04:00","2015-05-20","38.13763","38.34045","38.08232","38.1192","11894558",""
"KO","2015-05-21T00:00:00-04:00","2015-05-21","38.03623","38.09154","37.86108","38.00858","10056657",""
"KO","2015-05-22T00:00:00-04:00","2015-05-22","37.90717","38.0178","37.83342","37.99014","12918784",""
"KO","2015-05-26T00:00:00-04:00","2015-05-26","37.90717","37.96248","37.55686","37.78733","16482096",""
"KO","2015-05-27T00:00:00-04:00","2015-05-27","37.74123","37.98092","37.63983","37.90717","10699049",""
"KO","2015-05-28T00:00:00-04:00","2015-05-28","37.98092","38.0731","37.68592","37.92561","10191384",""
"KO","2015-05-29T00:00:00-04:00","2015-05-29","37.96248","37.96248","37.57529","37.75967","21292226",""
"KO","2015-06-01T00:00:00-04:00","2015-06-01","38.12842","38.17451","37.68592","37.74123","13759035",""
"KO","2015-06-02T00:00:00-04:00","2015-06-02","37.64905","37.94404","37.50155","37.78733","12885590",""
"KO","2015-06-03T00:00:00-04:00","2015-06-03","37.88873","37.99014","37.59373","37.6767","8844769",""
"KO","2015-06-04T00:00:00-04:00","2015-06-04","37.5292","37.77811","37.36327","37.41858","11005601",""
"KO","2015-06-05T00:00:00-04:00","2015-06-05","37.31717","37.35405","36.94843","36.96686","17329508",""
"KO","2015-06-08T00:00:00-04:00","2015-06-08","36.96686","37.11436","36.89312","37.02217","15554522",""
"KO","2015-06-09T00:00:00-04:00","2015-06-09","37.03139","37.26186","36.97609","37.05905","11685743",""
"KO","2015-06-10T00:00:00-04:00","2015-06-10","37.16967","37.37249","37.1328","37.17889","12995151",""
"KO","2015-06-11T00:00:00-04:00","2015-06-11","37.29043","37.41126","37.20678","37.27184","12851163",""
"KO","2015-06-12T00:00:00-04:00","2015-06-12","37.21607","37.29043","37.03018","37.14171","16727771",""
"KO","2015-06-15T00:00:00-04:00","2015-06-15","37.02089","37.04877","36.77922","36.79781","12227045",""
"KO","2015-06-16T00:00:00-04:00","2015-06-16","36.88146","37.31831","36.8071","37.25325","13467211",""
"KO","2015-06-17T00:00:00-04:00","2015-06-17","37.25325","37.47632","37.18819","37.42985","14953000",""
"KO","2015-06-18T00:00:00-04:00","2015-06-18","37.32761","37.8667","37.32761","37.78305","17552432",""
"KO","2015-06-19T00:00:00-04:00","2015-06-19","37.72728","37.78305","37.55068","37.55068","25337494",""
"KO","2015-06-22T00:00:00-04:00","2015-06-22","37.65292","37.93177","37.60645","37.62504","9441809",""
"KO","2015-06-23T00:00:00-04:00","2015-06-23","37.57857","37.66222","37.46703","37.53209","11936773",""
"KO","2015-06-24T00:00:00-04:00","2015-06-24","37.5228","37.59716","37.35549","37.35549","11173006",""
"KO","2015-06-25T00:00:00-04:00","2015-06-25","37.43914","37.49492","37.19748","37.19748","11412389",""
"KO","2015-06-26T00:00:00-04:00","2015-06-26","37.27184","37.50421","37.17889","37.17889","17445920",""
"KO","2015-06-29T00:00:00-04:00","2015-06-29","36.993","37.16031","36.62121","36.62121","16676882",""
"KO","2015-06-30T00:00:00-04:00","2015-06-30","36.8164","36.8164","36.36096","36.4632","15730753",""
"KO","2015-07-01T00:00:00-04:00","2015-07-01","36.60262","36.8071","36.50967","36.71416","12025533",""
"KO","2015-07-02T00:00:00-04:00","2015-07-02","36.83499","37.0023","36.57473","36.70486","9656985",""
"KO","2015-07-06T00:00:00-04:00","2015-07-06","36.60262","36.8071","36.45391","36.6398","11030452",""
"KO","2015-07-07T00:00:00-04:00","2015-07-07","36.70486","37.53209","36.62121","37.41126","21878004",""
"KO","2015-07-08T00:00:00-04:00","2015-07-08","37.1696","37.39267","37.03018","37.04877","12247487",""
"KO","2015-07-09T00:00:00-04:00","2015-07-09","37.60645","37.71799","37.08595","37.10453","14408175",""
"KO","2015-07-10T00:00:00-04:00","2015-07-10","37.42985","37.66222","37.32761","37.54139","14374070",""
"KO","2015-07-13T00:00:00-04:00","2015-07-13","37.6994","37.89459","37.63433","37.79234","10601929",""
"KO","2015-07-14T00:00:00-04:00","2015-07-14","38.01542","38.35003","37.95965","38.26637","21012998",""
"KO","2015-07-15T00:00:00-04:00","2015-07-15","38.24779","38.44298","38.20131","38.2292","12105901",""
"KO","2015-07-16T00:00:00-04:00","2015-07-16","38.51733","38.66605","38.43368","38.55451","11279088",""
"KO","2015-07-17T00:00:00-04:00","2015-07-17","38.3965","38.4058","38.15484","38.34073","10337371",""
"KO","2015-07-20T00:00:00-04:00","2015-07-20","38.43368","38.61028","38.31285","38.46157","10784721",""
"KO","2015-07-21T00:00:00-04:00","2015-07-21","38.46157","38.59169","38.20131","38.28497","14689840",""
"KO","2015-07-22T00:00:00-04:00","2015-07-22","37.93177","38.65675","37.72728","38.01542","16706899",""
"KO","2015-07-23T00:00:00-04:00","2015-07-23","38.09907","38.12696","37.62504","37.95965","14548255",""
"KO","2015-07-24T00:00:00-04:00","2015-07-24","37.88529","37.95036","37.55998","37.58786","11740532",""
"KO","2015-07-27T00:00:00-04:00","2015-07-27","37.43914","37.71799","37.32761","37.68081","11776144",""
"KO","2015-07-28T00:00:00-04:00","2015-07-28","37.78305","37.85741","37.58786","37.6901","11858126",""
"KO","2015-07-29T00:00:00-04:00","2015-07-29","37.67151","37.83882","37.63433","37.72728","9123241",""
"KO","2015-07-30T00:00:00-04:00","2015-07-30","37.6901","37.876","37.54139","37.6994","9785552",""
"KO","2015-07-31T00:00:00-04:00","2015-07-31","37.99683","38.31285","37.89459","38.18272","16471066",""
"KO","2015-08-03T00:00:00-04:00","2015-08-03","37.96894","38.61958","37.95965","38.61028","15785838",""
"KO","2015-08-04T00:00:00-04:00","2015-08-04","38.58239","38.917","38.42439","38.89841","18892332",""
"KO","2015-08-05T00:00:00-04:00","2015-08-05","38.96348","39.24232","38.87053","39.14937","16492368",""
"KO","2015-08-06T00:00:00-04:00","2015-08-06","39.03784","39.27021","38.90771","38.96348","12242215",""
"KO","2015-08-07T00:00:00-04:00","2015-08-07","38.86124","39.00996","38.60099","38.82406","11712775",""
"KO","2015-08-10T00:00:00-04:00","2015-08-10","38.9356","39.02855","38.64746","38.74041","10222790",""
"KO","2015-08-11T00:00:00-04:00","2015-08-11","38.48016","38.63816","38.26637","38.55451","12108806",""
"KO","2015-08-12T00:00:00-04:00","2015-08-12","38.2292","38.35003","37.96894","38.35003","10536301",""
"KO","2015-08-13T00:00:00-04:00","2015-08-13","38.36862","38.46157","38.11766","38.20131","11050141",""
"KO","2015-08-14T00:00:00-04:00","2015-08-14","38.11766","38.34073","38.07119","38.34073","10657230",""
"KO","2015-08-17T00:00:00-04:00","2015-08-17","38.13625","38.52663","38.08048","38.43368","8900534",""
