symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LB","2015-01-02T00:00:00-05:00","2015-01-02","75.66534","75.69144","74.31728","74.83912","2021233",""
"LB","2015-01-05T00:00:00-05:00","2015-01-05","74.8913","75.17831","73.61282","73.71719","2944407",""
"LB","2015-01-06T00:00:00-05:00","2015-01-06","74.08247","74.74345","72.64743","72.96053","2743307",""
"LB","2015-01-07T00:00:00-05:00","2015-01-07","73.92592","75.75232","73.74328","75.70884","3526091",""
"LB","2015-01-08T00:00:00-05:00","2015-01-08","75.17831","75.78711","74.06507","75.38704","4122837",""
"LB","2015-01-09T00:00:00-05:00","2015-01-09","75.60447","75.66534","73.6563","74.2564","1657896",""
"LB","2015-01-12T00:00:00-05:00","2015-01-12","74.5695","74.85651","73.952","74.54341","1652377",""
"LB","2015-01-13T00:00:00-05:00","2015-01-13","74.97827","75.23919","72.62134","72.89965","2921066",""
"LB","2015-01-14T00:00:00-05:00","2015-01-14","71.69944","72.24736","70.63839","71.42113","3417090",""
"LB","2015-01-15T00:00:00-05:00","2015-01-15","71.74293","72.11691","70.03828","70.09046","2979016",""
"LB","2015-01-16T00:00:00-05:00","2015-01-16","69.72518","71.5255","68.98592","71.40373","3651649",""
"LB","2015-01-20T00:00:00-05:00","2015-01-20","72.57785","72.57785","71.13412","71.47331","2716172",""
"LB","2015-01-21T00:00:00-05:00","2015-01-21","71.31676","71.92557","71.13412","71.57768","2450223",""
"LB","2015-01-22T00:00:00-05:00","2015-01-22","71.79511","73.18665","71.57768","72.98662","1856351",""
"LB","2015-01-23T00:00:00-05:00","2015-01-23","73.14317","74.12595","73.0388","73.79546","1539351",""
"LB","2015-01-26T00:00:00-05:00","2015-01-26","73.64761","74.48254","73.49106","74.24771","1421497",""
"LB","2015-01-27T00:00:00-05:00","2015-01-27","73.6824","74.8913","73.49976","74.38686","1307667",""
"LB","2015-01-28T00:00:00-05:00","2015-01-28","74.97827","75.36095","73.69109","73.86504","1712626",""
"LB","2015-01-29T00:00:00-05:00","2015-01-29","73.63891","75.14352","73.47366","75.12612","1948335",""
"LB","2015-01-30T00:00:00-05:00","2015-01-30","74.49993","74.9","73.44757","73.60412","2539217",""
"LB","2015-02-02T00:00:00-05:00","2015-02-02","73.69109","73.96941","71.64725","73.79546","1894870",""
"LB","2015-02-03T00:00:00-05:00","2015-02-03","73.84764","75.75232","73.82155","75.71753","2228886",""
"LB","2015-02-04T00:00:00-05:00","2015-02-04","75.71753","76.36112","75.09133","75.23919","2438150",""
"LB","2015-02-05T00:00:00-05:00","2015-02-05","78.85721","80.01393","77.93531","79.30946","4781212",""
"LB","2015-02-06T00:00:00-05:00","2015-02-06","79.14421","81.16196","78.95287","80.84886","2833451",""
"LB","2015-02-09T00:00:00-05:00","2015-02-09","80.33573","80.78798","79.5182","80.27485","2187264",""
"LB","2015-02-10T00:00:00-05:00","2015-02-10","80.89235","81.3272","80.65752","81.12717","1449322",""
"LB","2015-02-11T00:00:00-05:00","2015-02-11","81.49245","82.13604","80.84886","81.3446","1907517",""
"LB","2015-02-12T00:00:00-05:00","2015-02-12","81.37069","82.48392","81.16196","82.45783","1455071",""
"LB","2015-02-13T00:00:00-05:00","2015-02-13","82.03168","82.27519","81.37069","82.19692","1460245",""
"LB","2015-02-17T00:00:00-05:00","2015-02-17","81.81425","81.98818","80.68361","80.85756","2323170",""
"LB","2015-02-18T00:00:00-05:00","2015-02-18","80.90224","81.06312","80.21406","80.92906","1906573",""
"LB","2015-02-19T00:00:00-05:00","2015-02-19","80.91118","81.11674","80.25875","80.46431","1540587",""
"LB","2015-02-20T00:00:00-05:00","2015-02-20","80.46431","81.08099","80.34812","80.74137","1959720",""
"LB","2015-02-23T00:00:00-05:00","2015-02-23","81.28655","81.91219","81.10781","81.83174","1965426",""
"LB","2015-02-24T00:00:00-05:00","2015-02-24","82.17137","82.97574","81.00056","81.80493","1523916",""
"LB","2015-02-25T00:00:00-05:00","2015-02-25","81.77812","82.70762","81.50999","82.64506","1872000",""
"LB","2015-02-26T00:00:00-05:00","2015-02-26","82.32331","82.81487","80.75925","82.20712","2108531",""
"LB","2015-02-27T00:00:00-05:00","2015-02-27","81.95687","82.67187","81.69769","82.09987","1304615",""
"LB","2015-03-02T00:00:00-05:00","2015-03-02","82.10881","82.7523","82.09987","82.61825","1550993",""
"LB","2015-03-03T00:00:00-05:00","2015-03-03","82.38587","82.61825","81.08994","81.5815","1471216",""
"LB","2015-03-04T00:00:00-05:00","2015-03-04","81.87643","82.26968","80.91118","81.61725","1622489",""
"LB","2015-03-05T00:00:00-05:00","2015-03-05","82.18031","82.44843","81.50106","81.53681","1648112",""
