symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LEN","2015-01-02T00:00:00-05:00","2015-01-02","44.54131","44.65021","43.25427","43.84829","2044490",""
"LEN","2015-01-05T00:00:00-05:00","2015-01-05","43.73938","43.81858","43.19487","43.51168","2453368",""
"LEN","2015-01-06T00:00:00-05:00","2015-01-06","43.62058","43.62058","42.51175","43.14537","3588387",""
"LEN","2015-01-07T00:00:00-05:00","2015-01-07","43.48198","45.78874","43.29387","45.27392","9725495",""
"LEN","2015-01-08T00:00:00-05:00","2015-01-08","45.69963","46.65006","45.48183","46.39265","4627854",""
"LEN","2015-01-09T00:00:00-05:00","2015-01-09","46.51146","46.67976","45.76894","46.32335","3566469",""
"LEN","2015-01-12T00:00:00-05:00","2015-01-12","46.50156","47.29358","46.24415","46.60056","3589903",""
"LEN","2015-01-13T00:00:00-05:00","2015-01-13","47.54108","48.0361","44.67001","45.81844","10824657",""
"LEN","2015-01-14T00:00:00-05:00","2015-01-14","45.16502","45.82834","44.3037","45.30362","6484875",""
"LEN","2015-01-15T00:00:00-05:00","2015-01-15","45.74914","46.48176","41.21482","42.05634","16396425",""
"LEN","2015-01-16T00:00:00-05:00","2015-01-16","41.67023","43.16516","40.8386","42.76916","7617875",""
"LEN","2015-01-20T00:00:00-05:00","2015-01-20","42.67015","42.74936","41.30392","41.90784","5527931",""
"LEN","2015-01-21T00:00:00-05:00","2015-01-21","41.91773","43.20477","41.89793","42.83846","3824240",""
"LEN","2015-01-22T00:00:00-05:00","2015-01-22","43.07607","43.52158","42.57115","43.39288","4222108",""
"LEN","2015-01-23T00:00:00-05:00","2015-01-23","43.45227","43.94729","43.14537","43.29387","4083122",""
"LEN","2015-01-26T00:00:00-05:00","2015-01-26","43.85818","44.65021","43.76908","44.4423","3449300",""
"LEN","2015-01-27T00:00:00-05:00","2015-01-27","43.68921","44.65039","43.45139","44.53148","5055859",""
"LEN","2015-01-28T00:00:00-05:00","2015-01-28","44.65039","45.07648","43.91712","44.25403","4422199",""
"LEN","2015-01-29T00:00:00-05:00","2015-01-29","44.39276","45.88903","44.30357","45.78994","4720409",""
"LEN","2015-01-30T00:00:00-05:00","2015-01-30","45.3143","45.5323","44.38285","44.50176","3823052",""
"LEN","2015-02-02T00:00:00-05:00","2015-02-02","44.60085","45.00712","43.49103","44.23421","4744428",""
"LEN","2015-02-03T00:00:00-05:00","2015-02-03","44.31348","45.04676","43.81803","45.01703","3139135",""
"LEN","2015-02-04T00:00:00-05:00","2015-02-04","44.80894","46.5133","44.69994","46.04758","5300180",""
"LEN","2015-02-05T00:00:00-05:00","2015-02-05","45.93858","46.32503","45.15576","46.02776","4486180",""
"LEN","2015-02-06T00:00:00-05:00","2015-02-06","46.0773","47.68258","46.02776","47.58349","6111152",""
"LEN","2015-02-09T00:00:00-05:00","2015-02-09","47.54385","48.44558","47.36549","47.99967","3296465",""
"LEN","2015-02-10T00:00:00-05:00","2015-02-10","48.31676","49.14912","47.77176","48.93113","3348438",""
"LEN","2015-02-11T00:00:00-05:00","2015-02-11","49.16894","49.70403","48.24739","48.72303","2981199",""
"LEN","2015-02-12T00:00:00-05:00","2015-02-12","48.90139","49.8923","48.50503","49.80312","3016521",""
"LEN","2015-02-13T00:00:00-05:00","2015-02-13","49.78331","49.94185","49.10949","49.52567","3239649",""
"LEN","2015-02-17T00:00:00-05:00","2015-02-17","49.21849","49.95176","48.86176","49.95176","2367420",""
"LEN","2015-02-18T00:00:00-05:00","2015-02-18","49.84276","49.93194","49.05003","49.68422","3400107",""
"LEN","2015-02-19T00:00:00-05:00","2015-02-19","49.62476","50.26885","49.4464","49.78331","2258026",""
"LEN","2015-02-20T00:00:00-05:00","2015-02-20","49.70403","49.87249","49.05003","49.86258","2890071",""
"LEN","2015-02-23T00:00:00-05:00","2015-02-23","49.79322","50.13012","48.81221","49.34731","2546750",""
"LEN","2015-02-24T00:00:00-05:00","2015-02-24","50.15985","50.91294","50.02113","50.74449","3008851",""
"LEN","2015-02-25T00:00:00-05:00","2015-02-25","50.84358","51.04176","49.98149","50.21931","2273769",""
"LEN","2015-02-26T00:00:00-05:00","2015-02-26","50.04094","50.08058","49.2383","49.63467","2336943",""
