symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LLL","2015-01-02T00:00:00-05:00","2015-01-02","120.1836","121.4233","119.152","120.6568","759825",""
"LLL","2015-01-05T00:00:00-05:00","2015-01-05","119.4643","120.4675","117.3727","117.4768","700336",""
"LLL","2015-01-06T00:00:00-05:00","2015-01-06","117.5147","118.5557","115.8774","117.0131","607458",""
"LLL","2015-01-07T00:00:00-05:00","2015-01-07","117.8933","119.5211","117.8081","118.9722","833050",""
"LLL","2015-01-08T00:00:00-05:00","2015-01-08","119.7766","121.8492","119.7387","120.9785","1141270",""
"LLL","2015-01-09T00:00:00-05:00","2015-01-09","121.0164","121.1205","119.3791","120.3634","909761",""
"LLL","2015-01-12T00:00:00-05:00","2015-01-12","120.8271","120.9407","119.7482","120.0132","1085691",""
"LLL","2015-01-13T00:00:00-05:00","2015-01-13","120.193","122.5401","118.4611","119.4832","705091",""
"LLL","2015-01-14T00:00:00-05:00","2015-01-14","118.0825","119.7766","117.95","119.0668","653950",""
"LLL","2015-01-15T00:00:00-05:00","2015-01-15","120.2687","120.5527","118.7545","118.9722","681634",""
"LLL","2015-01-16T00:00:00-05:00","2015-01-16","118.8397","119.682","117.9595","118.9343","1099638",""
"LLL","2015-01-20T00:00:00-05:00","2015-01-20","119.2466","120.4769","117.5147","119.0573","677936",""
"LLL","2015-01-21T00:00:00-05:00","2015-01-21","118.9343","119.947","118.2813","119.0573","758768",""
"LLL","2015-01-22T00:00:00-05:00","2015-01-22","119.417","121.5653","119.417","121.376","950019",""
"LLL","2015-01-23T00:00:00-05:00","2015-01-23","121.4044","121.6883","120.5243","120.8934","658494",""
"LLL","2015-01-26T00:00:00-05:00","2015-01-26","120.5905","120.988","119.3507","120.9217","696533",""
"LLL","2015-01-27T00:00:00-05:00","2015-01-27","119.1993","120.4864","118.8207","118.9722","493764",""
"LLL","2015-01-28T00:00:00-05:00","2015-01-28","119.8239","120.5243","117.7702","117.9122","1037297",""
"LLL","2015-01-29T00:00:00-05:00","2015-01-29","115.8301","120.316","114.9405","116.4642","983620",""
"LLL","2015-01-30T00:00:00-05:00","2015-01-30","115.4989","117.9311","114.0887","116.521","1365804",""
"LLL","2015-02-02T00:00:00-05:00","2015-02-02","116.7292","117.9784","115.1866","117.7608","758451",""
"LLL","2015-02-03T00:00:00-05:00","2015-02-03","118.2907","120.1836","118.1204","120.1173","630599",""
"LLL","2015-02-04T00:00:00-05:00","2015-02-04","119.8618","121.253","119.0384","120.2687","685649",""
"LLL","2015-02-05T00:00:00-05:00","2015-02-05","120.6946","121.6883","119.7198","120.9596","509508",""
"LLL","2015-02-06T00:00:00-05:00","2015-02-06","121.4612","122.9944","120.8366","122.0006","741862",""
"LLL","2015-02-09T00:00:00-05:00","2015-02-09","121.3382","122.578","120.3066","120.723","478866",""
"LLL","2015-02-10T00:00:00-05:00","2015-02-10","121.2246","122.1521","120.4391","121.8303","407649",""
"LLL","2015-02-11T00:00:00-05:00","2015-02-11","121.6316","122.5401","120.6757","121.4896","577661",""
"LLL","2015-02-12T00:00:00-05:00","2015-02-12","122.1805","122.6631","121.3571","122.3319","460058",""
"LLL","2015-02-13T00:00:00-05:00","2015-02-13","122.1521","123.0606","121.9912","122.5117","466398",""
"LLL","2015-02-17T00:00:00-05:00","2015-02-17","122.1142","123.0606","121.7546","122.3792","414728",""
"LLL","2015-02-18T00:00:00-05:00","2015-02-18","122.1237","122.6442","120.988","122.6347","763629",""
"LLL","2015-02-19T00:00:00-05:00","2015-02-19","122.6915","124.1774","122.1331","124.149","651837",""
"LLL","2015-02-20T00:00:00-05:00","2015-02-20","123.8083","125.7957","123.1269","125.7484","554204",""
"LLL","2015-02-23T00:00:00-05:00","2015-02-23","123.0417","125.1427","122.1521","124.8777","695793",""
"LLL","2015-02-24T00:00:00-05:00","2015-02-24","123.7042","125.5875","123.5244","125.3414","592560",""
"LLL","2015-02-25T00:00:00-05:00","2015-02-25","125.1522","125.2089","123.742","124.0543","769652",""
"LLL","2015-02-26T00:00:00-05:00","2015-02-26","124.159","125.4144","123.9782","124.3587","919128",""
"LLL","2015-02-27T00:00:00-05:00","2015-02-27","124.2541","124.4158","123.0366","123.1032","469026",""
"LLL","2015-03-02T00:00:00-05:00","2015-03-02","122.9986","124.8628","122.8084","124.8438","508138",""
"LLL","2015-03-03T00:00:00-05:00","2015-03-03","124.0448","124.4633","121.8097","122.5325","654282",""
"LLL","2015-03-04T00:00:00-05:00","2015-03-04","122.4565","122.4565","121.2961","121.6575","548407",""
"LLL","2015-03-05T00:00:00-05:00","2015-03-05","121.2105","121.8097","120.8015","121.0393","376083",""
"LLL","2015-03-06T00:00:00-05:00","2015-03-06","120.1833","120.8205","118.6995","119.1751","510346",""
"LLL","2015-03-09T00:00:00-04:00","2015-03-09","119.3748","120.754","119.2227","120.1072","391854",""
"LLL","2015-03-10T00:00:00-04:00","2015-03-10","119.0705","119.4319","117.7865","117.815","492578",""
"LLL","2015-03-11T00:00:00-04:00","2015-03-11","119.6792","120.2499","118.4047","118.9659","789597",""
"LLL","2015-03-12T00:00:00-04:00","2015-03-12","119.3843","120.345","118.8993","119.489","466083",""
"LLL","2015-03-13T00:00:00-04:00","2015-03-13","119.4129","120.3355","117.6248","118.7851","472286",""
"LLL","2015-03-16T00:00:00-04:00","2015-03-16","119.0134","120.9156","118.9659","120.7825","512554",""
"LLL","2015-03-17T00:00:00-04:00","2015-03-17","120.2974","121.1629","120.0787","120.811","393431",""
"LLL","2015-03-18T00:00:00-04:00","2015-03-18","120.6493","121.7051","118.5378","120.8966","836594",""
"LLL","2015-03-19T00:00:00-04:00","2015-03-19","120.6208","121.1059","120.1072","120.5732","579528",""
"LLL","2015-03-20T00:00:00-04:00","2015-03-20","121.1629","122.6942","120.6969","122.3233","1458178",""
"LLL","2015-03-23T00:00:00-04:00","2015-03-23","122.5611","123.1698","121.3627","121.4292","565439",""
"LLL","2015-03-24T00:00:00-04:00","2015-03-24","121.1154","122.2567","120.6398","120.9727","691291",""
"LLL","2015-03-25T00:00:00-04:00","2015-03-25","121.4958","121.4958","118.5474","118.5474","951827",""
"LLL","2015-03-26T00:00:00-04:00","2015-03-26","117.8626","119.3273","117.368","119.0515","589832",""
"LLL","2015-03-27T00:00:00-04:00","2015-03-27","119.0895","119.7743","118.6615","119.1085","569014",""
"LLL","2015-03-30T00:00:00-04:00","2015-03-30","119.7267","120.9727","119.7267","120.4972","794012",""
"LLL","2015-03-31T00:00:00-04:00","2015-03-31","120.0026","120.383","119.0419","119.6412","456305",""
"LLL","2015-04-01T00:00:00-04:00","2015-04-01","118.8137","119.6697","117.349","119.1656","733452",""
"LLL","2015-04-02T00:00:00-04:00","2015-04-02","119.2797","120.4306","118.7851","118.8802","421609",""
"LLL","2015-04-06T00:00:00-04:00","2015-04-06","118.4998","120.1928","118.224","119.5841","425499",""
"LLL","2015-04-07T00:00:00-04:00","2015-04-07","119.5841","121.1154","119.2417","119.2417","478489",""
"LLL","2015-04-08T00:00:00-04:00","2015-04-08","119.3368","120.6969","119.2607","120.1357","419716",""
"LLL","2015-04-09T00:00:00-04:00","2015-04-09","120.1548","120.7349","119.2417","119.6602","453781",""
"LLL","2015-04-10T00:00:00-04:00","2015-04-10","119.9075","120.4211","119.2036","119.8789","340126",""
"LLL","2015-04-13T00:00:00-04:00","2015-04-13","119.4129","120.1072","118.3001","118.4903","402158",""
"LLL","2015-04-14T00:00:00-04:00","2015-04-14","118.1669","118.7566","116.9685","117.9006","386492",""
"LLL","2015-04-15T00:00:00-04:00","2015-04-15","118.1003","118.7947","117.4631","117.5962","428653",""
"LLL","2015-04-16T00:00:00-04:00","2015-04-16","117.4631","118.69","117.0351","118.3381","515183",""
"LLL","2015-04-17T00:00:00-04:00","2015-04-17","117.3204","117.5772","116.1125","116.4549","578792",""
