symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LLTC","2015-01-02T00:00:00-05:00","2015-01-02","45.8","46.16","45.28","45.99","1638900",""
"LLTC","2015-01-05T00:00:00-05:00","2015-01-05","46.07","46.15","45.25","45.29","3237500",""
"LLTC","2015-01-06T00:00:00-05:00","2015-01-06","45.58","45.69","43.98","44.06","3166200",""
"LLTC","2015-01-07T00:00:00-05:00","2015-01-07","44.29","44.67","43.57","44.24","2895900",""
"LLTC","2015-01-08T00:00:00-05:00","2015-01-08","44.47","45.55","44.47","45.46","1796600",""
"LLTC","2015-01-09T00:00:00-05:00","2015-01-09","45.48","45.81","45.02","45.67","1254600",""
"LLTC","2015-01-12T00:00:00-05:00","2015-01-12","45.65","45.75","44.87","45.45","2185100",""
"LLTC","2015-01-13T00:00:00-05:00","2015-01-13","46.01","46.94","45.1","45.17","4179700",""
"LLTC","2015-01-14T00:00:00-05:00","2015-01-14","46.91","47.11","45.18","45.62","6099800",""
"LLTC","2015-01-15T00:00:00-05:00","2015-01-15","45.78","46.34","44.81","44.84","3148800",""
"LLTC","2015-01-16T00:00:00-05:00","2015-01-16","44.61","45.39","44.48","45.32","3907500",""
"LLTC","2015-01-20T00:00:00-05:00","2015-01-20","45.52","46.22","45.43","45.91","2413500",""
"LLTC","2015-01-21T00:00:00-05:00","2015-01-21","45.64","46.49","45.64","46.33","2722300",""
"LLTC","2015-01-22T00:00:00-05:00","2015-01-22","46.46","46.96","45.69","46.85","3267300",""
"LLTC","2015-01-23T00:00:00-05:00","2015-01-23","46.77","46.99","46.38","46.76","2049500",""
"LLTC","2015-01-26T00:00:00-05:00","2015-01-26","46.63","46.99","46.22","46.79","1578600",""
"LLTC","2015-01-27T00:00:00-05:00","2015-01-27","46.2","46.55","45.82","46.03","2057300",""
"LLTC","2015-01-28T00:00:00-05:00","2015-01-28","46.5","46.68","45.46","45.54","1752300",""
"LLTC","2015-01-29T00:00:00-05:00","2015-01-29","45.51","46.04","45.14","45.75","2316100",""
"LLTC","2015-01-30T00:00:00-05:00","2015-01-30","45.36","45.95","44.9","44.94","4702300",""
"LLTC","2015-02-02T00:00:00-05:00","2015-02-02","45.17","45.17","44.3","44.97","2745900",""
"LLTC","2015-02-03T00:00:00-05:00","2015-02-03","45.12","46.12","45.12","46.08","3341200",""
"LLTC","2015-02-04T00:00:00-05:00","2015-02-04","45.99","46.14","45.43","45.74","3092300",""
"LLTC","2015-02-05T00:00:00-05:00","2015-02-05","45.91","46.39","45.52","46.36","1564800",""
"LLTC","2015-02-06T00:00:00-05:00","2015-02-06","46.38","46.85","46.21","46.38","2464100",""
"LLTC","2015-02-09T00:00:00-05:00","2015-02-09","46.21","46.32","45.81","45.9","1699100",""
"LLTC","2015-02-10T00:00:00-05:00","2015-02-10","46.24","47.22","45.95","47.17","2321700",""
"LLTC","2015-02-11T00:00:00-05:00","2015-02-11","47.03","47.5","46.88","47.22","2188000",""
"LLTC","2015-02-12T00:00:00-05:00","2015-02-12","47.56","47.94","47.17","47.93","2136500",""
"LLTC","2015-02-13T00:00:00-05:00","2015-02-13","48.06","48.63","47.9","48.38","2136500",""
"LLTC","2015-02-17T00:00:00-05:00","2015-02-17","48.22","48.89","48","48.75","2169600",""
"LLTC","2015-02-18T00:00:00-05:00","2015-02-18","47.48","48.21","47.48","47.96","2693200",""
"LLTC","2015-02-19T00:00:00-05:00","2015-02-19","47.89","48.01","47.67","47.88","1248800",""
"LLTC","2015-02-20T00:00:00-05:00","2015-02-20","47.96","48.25","47.57","48.25","1309000",""
"LLTC","2015-02-23T00:00:00-05:00","2015-02-23","48.2","48.29","47.67","47.92","1334100",""
"LLTC","2015-02-24T00:00:00-05:00","2015-02-24","48","48.72","47.85","48.58","1339500",""
"LLTC","2015-02-25T00:00:00-05:00","2015-02-25","48.57","48.68","48.33","48.48","1054300",""
"LLTC","2015-02-26T00:00:00-05:00","2015-02-26","48.64","48.71","48.18","48.4","1097900",""
"LLTC","2015-02-27T00:00:00-05:00","2015-02-27","48.54","48.54","48.1","48.19","1392900",""
"LLTC","2015-03-02T00:00:00-05:00","2015-03-02","48.65","49.57","48.38","49.55","1664100",""
"LLTC","2015-03-03T00:00:00-05:00","2015-03-03","49.11","49.43","48.16","48.2","3774400",""
"LLTC","2015-03-04T00:00:00-05:00","2015-03-04","48.01","48.3","47.36","47.55","3938800",""
"LLTC","2015-03-05T00:00:00-05:00","2015-03-05","47.55","48.47","47.51","48.37","3392200",""
"LLTC","2015-03-06T00:00:00-05:00","2015-03-06","48","48.4","47.52","47.65","1598200",""
"LLTC","2015-03-09T00:00:00-04:00","2015-03-09","47.64","47.94","47.43","47.77","2053000",""
"LLTC","2015-03-10T00:00:00-04:00","2015-03-10","47.38","47.53","46.86","46.86","2199900",""
"LLTC","2015-03-11T00:00:00-04:00","2015-03-11","47","47.45","46.72","47.1","2585800",""
"LLTC","2015-03-12T00:00:00-04:00","2015-03-12","46.96","46.96","46.34","46.81","1960700",""
"LLTC","2015-03-13T00:00:00-04:00","2015-03-13","46.81","47.03","46.35","46.8","1420800",""
"LLTC","2015-03-16T00:00:00-04:00","2015-03-16","47.17","47.62","47.04","47.56","1510400",""
"LLTC","2015-03-17T00:00:00-04:00","2015-03-17","47.33","47.34","46.9","47.23","1034300",""
"LLTC","2015-03-18T00:00:00-04:00","2015-03-18","47.23","47.76","46.42","47.56","1939100",""
"LLTC","2015-03-19T00:00:00-04:00","2015-03-19","47.47","47.79","47.29","47.59","1024400",""
"LLTC","2015-03-20T00:00:00-04:00","2015-03-20","47.9","48.74","47.66","48.53","2686200",""
"LLTC","2015-03-23T00:00:00-04:00","2015-03-23","48.67","48.67","48.25","48.26","1769600",""
"LLTC","2015-03-24T00:00:00-04:00","2015-03-24","48.23","48.44","47.66","47.7","1968200",""
"LLTC","2015-03-25T00:00:00-04:00","2015-03-25","47.69","47.82","45.45","45.47","2844700",""
"LLTC","2015-03-26T00:00:00-04:00","2015-03-26","44.61","45.82","44.44","45.6","3551400",""
"LLTC","2015-03-27T00:00:00-04:00","2015-03-27","45.4","47","45.33","46.68","2304400",""
"LLTC","2015-03-30T00:00:00-04:00","2015-03-30","46.93","47.77","46.54","47.59","2794500",""
"LLTC","2015-03-31T00:00:00-04:00","2015-03-31","47.41","47.53","46.64","46.8","2342400",""
"LLTC","2015-04-01T00:00:00-04:00","2015-04-01","46.62","46.69","45.67","46.13","2437500",""
"LLTC","2015-04-02T00:00:00-04:00","2015-04-02","46.45","46.69","45.92","46.12","3213100",""
"LLTC","2015-04-06T00:00:00-04:00","2015-04-06","45.82","46.39","45.41","46.24","2604200",""
"LLTC","2015-04-07T00:00:00-04:00","2015-04-07","46.08","46.56","45.96","46.08","1553100",""
"LLTC","2015-04-08T00:00:00-04:00","2015-04-08","46.44","46.44","45.89","46.18","1283000",""
"LLTC","2015-04-09T00:00:00-04:00","2015-04-09","46.12","46.44","45.89","46.35","1731500",""
"LLTC","2015-04-10T00:00:00-04:00","2015-04-10","46.44","46.57","46.2","46.49","1592800",""
"LLTC","2015-04-13T00:00:00-04:00","2015-04-13","46.55","46.61","46","46.01","2187800",""
"LLTC","2015-04-14T00:00:00-04:00","2015-04-14","45.79","46.12","45.25","45.42","3540400",""
"LLTC","2015-04-15T00:00:00-04:00","2015-04-15","46.3","46.69","45.45","46.17","4958800",""
"LLTC","2015-04-16T00:00:00-04:00","2015-04-16","46.18","46.71","46.14","46.64","3398900",""
"LLTC","2015-04-17T00:00:00-04:00","2015-04-17","46.22","46.62","45.87","46.17","2647000",""
"LLTC","2015-04-20T00:00:00-04:00","2015-04-20","46.48","47.16","46.32","47.01","2040400",""
"LLTC","2015-04-21T00:00:00-04:00","2015-04-21","47.31","47.77","47.04","47.63","2856700",""
"LLTC","2015-04-22T00:00:00-04:00","2015-04-22","47.76","47.9","47.17","47.61","3119400",""
"LLTC","2015-04-23T00:00:00-04:00","2015-04-23","46.87","48.1","46.5","47.44","4676100",""
"LLTC","2015-04-24T00:00:00-04:00","2015-04-24","47.34","47.34","46","46.1","3235200",""
"LLTC","2015-04-27T00:00:00-04:00","2015-04-27","46.3","46.83","46.05","46.18","1476100",""
"LLTC","2015-04-28T00:00:00-04:00","2015-04-28","46.1","46.76","45.95","46.76","2239400",""
"LLTC","2015-04-29T00:00:00-04:00","2015-04-29","46.37","46.67","45.99","46.21","1539700",""
"LLTC","2015-04-30T00:00:00-04:00","2015-04-30","45.73","46.39","45.65","46.13","1897700",""
"LLTC","2015-05-01T00:00:00-04:00","2015-05-01","46.43","47.08","46.28","46.99","1746300",""
"LLTC","2015-05-04T00:00:00-04:00","2015-05-04","47.21","47.29","46.67","47.04","1854700",""
"LLTC","2015-05-05T00:00:00-04:00","2015-05-05","46.88","46.88","45.56","45.71","2333400",""
"LLTC","2015-05-06T00:00:00-04:00","2015-05-06","45.84","46","45.29","45.83","2357600",""
"LLTC","2015-05-07T00:00:00-04:00","2015-05-07","45.82","46.28","45.67","45.9","1836000",""
"LLTC","2015-05-08T00:00:00-04:00","2015-05-08","46.1","46.84","46.07","46.54","1836400",""
"LLTC","2015-05-11T00:00:00-04:00","2015-05-11","46.44","46.6","46.2","46.33","1250100",""
"LLTC","2015-05-12T00:00:00-04:00","2015-05-12","46.14","46.25","45.55","45.99","1889700",""
"LLTC","2015-05-13T00:00:00-04:00","2015-05-13","45.75","46.28","45.65","46.06","1911000",""
"LLTC","2015-05-14T00:00:00-04:00","2015-05-14","46.77","47.27","46.63","47.11","1854600",""
"LLTC","2015-05-15T00:00:00-04:00","2015-05-15","47.3","47.46","46.89","47.08","1663500",""
"LLTC","2015-05-18T00:00:00-04:00","2015-05-18","47.03","47.4","46.86","47.34","1584300",""
"LLTC","2015-05-19T00:00:00-04:00","2015-05-19","47.32","47.5","46.79","46.96","1201200",""
"LLTC","2015-05-20T00:00:00-04:00","2015-05-20","46.97","47.38","46.76","46.92","1433600",""
"LLTC","2015-05-21T00:00:00-04:00","2015-05-21","46.81","47.15","46.6","46.96","1188300",""
"LLTC","2015-05-22T00:00:00-04:00","2015-05-22","46.9","47.25","46.86","47.06","1261800",""
"LLTC","2015-05-26T00:00:00-04:00","2015-05-26","47.01","47.02","46.35","46.6","1368600",""
"LLTC","2015-05-27T00:00:00-04:00","2015-05-27","46.72","47.94","46.56","47.74","1993700",""
"LLTC","2015-05-28T00:00:00-04:00","2015-05-28","47.77","48.22","47.52","48.03","2406400",""
"LLTC","2015-05-29T00:00:00-04:00","2015-05-29","47.9","48.29","47.77","47.85","2078500",""
"LLTC","2015-06-01T00:00:00-04:00","2015-06-01","48.13","48.27","47.45","47.76","1701000",""
"LLTC","2015-06-02T00:00:00-04:00","2015-06-02","47.47","47.68","47.06","47.29","3167500",""
"LLTC","2015-06-03T00:00:00-04:00","2015-06-03","47.44","47.54","46.73","46.91","1871700",""
"LLTC","2015-06-04T00:00:00-04:00","2015-06-04","46.65","46.9","46.39","46.61","1628400",""
"LLTC","2015-06-05T00:00:00-04:00","2015-06-05","46.54","46.74","46.17","46.63","1081000",""
"LLTC","2015-06-08T00:00:00-04:00","2015-06-08","46.52","46.55","45.79","45.92","1290900",""
"LLTC","2015-06-09T00:00:00-04:00","2015-06-09","45.91","46.18","45.6","45.99","1578200",""
"LLTC","2015-06-10T00:00:00-04:00","2015-06-10","46.18","46.76","46.11","46.66","959100",""
"LLTC","2015-06-11T00:00:00-04:00","2015-06-11","46.75","46.76","46.43","46.48","1070400",""
"LLTC","2015-06-12T00:00:00-04:00","2015-06-12","46.18","46.18","45.64","45.78","1456800",""
"LLTC","2015-06-15T00:00:00-04:00","2015-06-15","45.27","46.01","45.2","45.87","1326000",""
"LLTC","2015-06-16T00:00:00-04:00","2015-06-16","45.74","46.12","45.67","45.99","946300",""
"LLTC","2015-06-17T00:00:00-04:00","2015-06-17","46","46.48","45.97","46.24","1045000",""
"LLTC","2015-06-18T00:00:00-04:00","2015-06-18","46.45","47.2","46.42","47.03","1524700",""
"LLTC","2015-06-19T00:00:00-04:00","2015-06-19","47.07","47.37","46.37","47.27","3748500",""
"LLTC","2015-06-22T00:00:00-04:00","2015-06-22","47.5","47.52","46.95","47.15","1954100",""
"LLTC","2015-06-23T00:00:00-04:00","2015-06-23","47.3","47.43","46.45","46.56","1521800",""
"LLTC","2015-06-24T00:00:00-04:00","2015-06-24","46.5","46.68","46.04","46.23","1624500",""
"LLTC","2015-06-25T00:00:00-04:00","2015-06-25","46.46","46.51","46.16","46.19","1049100",""
"LLTC","2015-06-26T00:00:00-04:00","2015-06-26","46.14","46.22","45.18","45.37","2279900",""
"LLTC","2015-06-29T00:00:00-04:00","2015-06-29","45.02","45.39","44.31","44.35","2694700",""
"LLTC","2015-06-30T00:00:00-04:00","2015-06-30","44.77","44.77","44.18","44.23","2816300",""
"LLTC","2015-07-01T00:00:00-04:00","2015-07-01","44.54","44.63","44.04","44.26","2474700",""
"LLTC","2015-07-02T00:00:00-04:00","2015-07-02","44.63","44.63","44.01","44.45","2159600",""
"LLTC","2015-07-06T00:00:00-04:00","2015-07-06","44.07","44.43","43.48","43.65","2605400",""
"LLTC","2015-07-07T00:00:00-04:00","2015-07-07","43.44","43.97","42.54","43.76","3463700",""
"LLTC","2015-07-08T00:00:00-04:00","2015-07-08","43.35","43.37","42.63","42.83","2312800",""
"LLTC","2015-07-09T00:00:00-04:00","2015-07-09","43.71","43.99","42.46","42.48","2174100",""
"LLTC","2015-07-10T00:00:00-04:00","2015-07-10","42.89","43.28","42.45","43.04","1401900",""
"LLTC","2015-07-13T00:00:00-04:00","2015-07-13","43.26","43.44","42.91","43.35","1506600",""
"LLTC","2015-07-14T00:00:00-04:00","2015-07-14","43.5","43.6","43.32","43.54","1285800",""
"LLTC","2015-07-15T00:00:00-04:00","2015-07-15","43.47","43.66","43.04","43.27","2137200",""
"LLTC","2015-07-16T00:00:00-04:00","2015-07-16","43.1","43.72","42.72","43.58","3857400",""
"LLTC","2015-07-17T00:00:00-04:00","2015-07-17","43.47","43.63","43.26","43.57","2581700",""
"LLTC","2015-07-20T00:00:00-04:00","2015-07-20","43.55","43.72","42.92","43","2080500",""
"LLTC","2015-07-21T00:00:00-04:00","2015-07-21","42.93","43.57","42.85","43.12","3137300",""
"LLTC","2015-07-22T00:00:00-04:00","2015-07-22","40","40.66","39.43","40.41","9665900",""
"LLTC","2015-07-23T00:00:00-04:00","2015-07-23","40.38","41.91","40.21","40.98","6956300",""
"LLTC","2015-07-24T00:00:00-04:00","2015-07-24","41.02","41.15","39.92","40.21","4158300",""
"LLTC","2015-07-27T00:00:00-04:00","2015-07-27","39.93","40.46","39.65","40.27","3215900",""
"LLTC","2015-07-28T00:00:00-04:00","2015-07-28","40.66","40.94","40.03","40.73","2616000",""
"LLTC","2015-07-29T00:00:00-04:00","2015-07-29","40.64","40.85","40.23","40.78","2267100",""
"LLTC","2015-07-30T00:00:00-04:00","2015-07-30","40.41","41.15","40.19","40.99","1853500",""
"LLTC","2015-07-31T00:00:00-04:00","2015-07-31","40.93","41.07","40.61","41","3525800",""
"LLTC","2015-08-03T00:00:00-04:00","2015-08-03","40.97","41.41","40.45","41.33","3380100",""
"LLTC","2015-08-04T00:00:00-04:00","2015-08-04","41.45","41.49","40.85","41.05","4102500",""
"LLTC","2015-08-05T00:00:00-04:00","2015-08-05","41.29","41.99","41.16","41.52","2416600",""
"LLTC","2015-08-06T00:00:00-04:00","2015-08-06","41.37","41.92","41","41.68","3464800",""
"LLTC","2015-08-07T00:00:00-04:00","2015-08-07","41.53","41.94","41.36","41.91","2273900",""
"LLTC","2015-08-10T00:00:00-04:00","2015-08-10","42.14","43.04","42.1","43","2312900",""
"LLTC","2015-08-11T00:00:00-04:00","2015-08-11","42.7","42.82","42.02","42.05","2519100",""
"LLTC","2015-08-12T00:00:00-04:00","2015-08-12","41.2","41.82","40.67","41.65","2556000",""
"LLTC","2015-08-13T00:00:00-04:00","2015-08-13","41.76","41.94","41.11","41.13","1851100",""
"LLTC","2015-08-14T00:00:00-04:00","2015-08-14","41.24","41.36","40.97","41.24","2104000",""
"LLTC","2015-08-17T00:00:00-04:00","2015-08-17","40.79","41.4","40.78","41.3","1755900",""
"LLTC","2015-08-18T00:00:00-04:00","2015-08-18","41.35","41.5","40.35","40.53","2178200",""
"LLTC","2015-08-19T00:00:00-04:00","2015-08-19","40.9","41.16","40.25","40.33","3523800",""
"LLTC","2015-08-20T00:00:00-04:00","2015-08-20","39.87","40.18","39.4","39.44","4559500",""
"LLTC","2015-08-21T00:00:00-04:00","2015-08-21","39.21","39.35","38.44","38.55","5033200",""
"LLTC","2015-08-24T00:00:00-04:00","2015-08-24","37.33","39.61","36.41","38.43","6967900",""
"LLTC","2015-08-25T00:00:00-04:00","2015-08-25","39.44","39.63","37.38","37.41","8322900",""
"LLTC","2015-08-26T00:00:00-04:00","2015-08-26","38.2","39.73","37.86","39.71","4946500",""
"LLTC","2015-08-27T00:00:00-04:00","2015-08-27","40.2","40.85","39.92","40.69","3717300",""
"LLTC","2015-08-28T00:00:00-04:00","2015-08-28","40.61","41.21","40.22","40.81","3276300",""
"LLTC","2015-08-31T00:00:00-04:00","2015-08-31","40.68","40.83","40.19","40.28","2943100",""
"LLTC","2015-09-01T00:00:00-04:00","2015-09-01","39.12","39.76","38.25","38.46","5100500",""
"LLTC","2015-09-02T00:00:00-04:00","2015-09-02","39.19","39.66","38.6","39.66","3887500",""
"LLTC","2015-09-03T00:00:00-04:00","2015-09-03","39.62","40.22","39.62","39.88","2267400",""
"LLTC","2015-09-04T00:00:00-04:00","2015-09-04","39.28","39.57","38.93","39.12","2109400",""
"LLTC","2015-09-08T00:00:00-04:00","2015-09-08","39.89","41.14","39.89","41.09","2353100",""
"LLTC","2015-09-09T00:00:00-04:00","2015-09-09","41.37","41.76","40.26","40.35","2130900",""
"LLTC","2015-09-10T00:00:00-04:00","2015-09-10","40.16","40.73","39.78","40.26","2100500",""
"LLTC","2015-09-11T00:00:00-04:00","2015-09-11","39.95","40.6","39.62","40.57","1921900",""
"LLTC","2015-09-14T00:00:00-04:00","2015-09-14","40.6","40.87","40.44","40.59","1440100",""
"LLTC","2015-09-15T00:00:00-04:00","2015-09-15","40.8","41.36","40.69","40.94","3259600",""
"LLTC","2015-09-16T00:00:00-04:00","2015-09-16","40.94","41.13","40.56","41.01","2537100",""
"LLTC","2015-09-17T00:00:00-04:00","2015-09-17","41.05","41.29","40.59","40.64","2299800",""
"LLTC","2015-09-18T00:00:00-04:00","2015-09-18","40.11","40.67","39.81","39.93","4316300",""
"LLTC","2015-09-21T00:00:00-04:00","2015-09-21","40.17","40.27","39.42","39.74","2005000",""
"LLTC","2015-09-22T00:00:00-04:00","2015-09-22","39.13","39.27","38.65","38.83","2957900",""
"LLTC","2015-09-23T00:00:00-04:00","2015-09-23","38.9","39.99","38.33","38.83","3131600",""
"LLTC","2015-09-24T00:00:00-04:00","2015-09-24","38.58","38.97","37.75","38.89","3222500",""
"LLTC","2015-09-25T00:00:00-04:00","2015-09-25","39.22","39.52","38.62","39.02","2326700",""
"LLTC","2015-09-28T00:00:00-04:00","2015-09-28","38.88","39.16","38.31","38.31","2542100",""
"LLTC","2015-09-29T00:00:00-04:00","2015-09-29","38.27","38.86","38.06","38.73","1880300",""
"LLTC","2015-09-30T00:00:00-04:00","2015-09-30","39.23","40.45","38.21","40.35","3423000",""
"LLTC","2015-10-01T00:00:00-04:00","2015-10-01","40.52","40.84","39.3","39.96","3515100",""
"LLTC","2015-10-02T00:00:00-04:00","2015-10-02","39.14","40.22","38.89","40.15","4398100",""
"LLTC","2015-10-05T00:00:00-04:00","2015-10-05","40.44","41.93","40.41","41.8","3273200",""
"LLTC","2015-10-06T00:00:00-04:00","2015-10-06","41.95","42.04","41.37","41.85","2586800",""
