symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LLY","2015-01-02T00:00:00-05:00","2015-01-02","64.90309","65.87985","64.85658","65.17287","3382017",""
"LLY","2015-01-05T00:00:00-05:00","2015-01-05","64.86589","65.20077","64.32635","64.531","5208850",""
"LLY","2015-01-06T00:00:00-05:00","2015-01-06","65.04263","65.96358","64.37286","64.85658","5511889",""
"LLY","2015-01-07T00:00:00-05:00","2015-01-07","65.14496","65.61008","63.67517","64.40077","9721002",""
"LLY","2015-01-08T00:00:00-05:00","2015-01-08","65.15427","66.50311","64.80077","65.92637","8032412",""
"LLY","2015-01-09T00:00:00-05:00","2015-01-09","65.14496","65.21938","64.19611","65.05193","8752116",""
"LLY","2015-01-12T00:00:00-05:00","2015-01-12","65.32171","65.6845","64.44727","64.57751","6232346",""
"LLY","2015-01-13T00:00:00-05:00","2015-01-13","65.18217","65.86125","64.01006","64.5403","3617009",""
"LLY","2015-01-14T00:00:00-05:00","2015-01-14","63.95425","65.00542","63.91704","64.8938","3629157",""
"LLY","2015-01-15T00:00:00-05:00","2015-01-15","65.52636","66.29846","64.86589","64.87519","4358965",""
"LLY","2015-01-16T00:00:00-05:00","2015-01-16","64.73565","65.93566","64.59612","65.74962","4582993",""
"LLY","2015-01-20T00:00:00-05:00","2015-01-20","65.92637","67.07056","65.92637","67.00545","6625469",""
"LLY","2015-01-21T00:00:00-05:00","2015-01-21","66.62405","67.44267","66.14962","67.2008","5585418",""
"LLY","2015-01-22T00:00:00-05:00","2015-01-22","67.61941","67.62871","66.64265","67.40545","4926451",""
"LLY","2015-01-23T00:00:00-05:00","2015-01-23","67.40545","67.77755","67.02406","67.09847","3120903",""
"LLY","2015-01-26T00:00:00-05:00","2015-01-26","66.83801","67.13568","66.10311","67.07986","3726550",""
"LLY","2015-01-27T00:00:00-05:00","2015-01-27","66.75428","67.10777","66.4659","66.72638","3936173",""
"LLY","2015-01-28T00:00:00-05:00","2015-01-28","67.07986","67.33103","65.82404","66.01939","3338050",""
"LLY","2015-01-29T00:00:00-05:00","2015-01-29","66.01939","67.12638","65.50775","67.07986","4747896",""
"LLY","2015-01-30T00:00:00-05:00","2015-01-30","67.92638","68.345","66.58684","66.97754","7224021",""
"LLY","2015-02-02T00:00:00-05:00","2015-02-02","66.85661","66.97754","65.33101","66.68916","6745007",""
"LLY","2015-02-03T00:00:00-05:00","2015-02-03","66.59614","66.64265","64.97752","65.94497","7322168",""
"LLY","2015-02-04T00:00:00-05:00","2015-02-04","65.33101","65.57287","64.90309","65.32171","5779561",""
"LLY","2015-02-05T00:00:00-05:00","2015-02-05","65.76822","66.57754","65.74962","66.4287","4135368",""
"LLY","2015-02-06T00:00:00-05:00","2015-02-06","66.19614","66.41009","65.34031","65.45194","3489408",""
"LLY","2015-02-09T00:00:00-05:00","2015-02-09","65.18217","65.35892","64.5403","64.75426","4053991",""
"LLY","2015-02-10T00:00:00-05:00","2015-02-10","65.21938","65.63799","65.01472","65.58218","7404404",""
"LLY","2015-02-11T00:00:00-05:00","2015-02-11","65.58218","66.16305","65.30111","65.53533","3689127",""
"LLY","2015-02-12T00:00:00-05:00","2015-02-12","65.76019","66.09747","65.4229","66.07873","3611316",""
"LLY","2015-02-13T00:00:00-05:00","2015-02-13","66.22863","66.41601","65.76019","66.10683","2873662",""
"LLY","2015-02-17T00:00:00-05:00","2015-02-17","65.9663","67.09994","65.86324","67.04372","4239139",""
"LLY","2015-02-18T00:00:00-05:00","2015-02-18","66.90319","66.94066","65.76955","66.52843","4055980",""
"LLY","2015-02-19T00:00:00-05:00","2015-02-19","66.35979","66.79076","66.30357","66.63149","2494427",""
"LLY","2015-02-20T00:00:00-05:00","2015-02-20","66.49096","67.41847","65.83513","67.34352","3694891",""
"LLY","2015-02-23T00:00:00-05:00","2015-02-23","67.07182","67.381","66.24737","66.60338","3606086",""
"LLY","2015-02-24T00:00:00-05:00","2015-02-24","66.51907","66.98751","66.05999","66.42538","3371373",""
"LLY","2015-02-25T00:00:00-05:00","2015-02-25","66.39727","66.39727","65.62902","65.91946","3233790",""
"LLY","2015-02-26T00:00:00-05:00","2015-02-26","65.74145","65.87261","65.15121","65.61028","4851059",""
"LLY","2015-02-27T00:00:00-05:00","2015-02-27","65.53533","66.05062","65.49786","65.74145","3579082",""
"LLY","2015-03-02T00:00:00-05:00","2015-03-02","65.73208","66.65023","65.73208","66.63149","4072097",""
"LLY","2015-03-03T00:00:00-05:00","2015-03-03","66.63149","66.6596","65.66649","65.92883","4415895",""
"LLY","2015-03-04T00:00:00-05:00","2015-03-04","65.57281","66.35043","65.40417","66.19115","3207533",""
"LLY","2015-03-05T00:00:00-05:00","2015-03-05","66.27547","66.60338","65.95693","66.13493","3699374",""
"LLY","2015-03-06T00:00:00-05:00","2015-03-06","65.82577","65.82577","63.99883","64.09253","6276842",""
"LLY","2015-03-09T00:00:00-04:00","2015-03-09","64.4017","65.33858","64.10189","65.18868","6241940",""
"LLY","2015-03-10T00:00:00-04:00","2015-03-10","64.75771","65.04815","64.22369","64.43917","3911672",""
"LLY","2015-03-11T00:00:00-04:00","2015-03-11","64.54223","64.95446","64.09253","64.13937","3655078",""
"LLY","2015-03-12T00:00:00-04:00","2015-03-12","64.41106","65.23553","64.21432","65.16994","2907497",""
"LLY","2015-03-13T00:00:00-04:00","2015-03-13","65.02941","65.62902","64.77645","65.47912","3440858",""
"LLY","2015-03-16T00:00:00-04:00","2015-03-16","65.83513","66.89382","65.75082","66.58465","4186412",""
"LLY","2015-03-17T00:00:00-04:00","2015-03-17","66.24737","66.76266","65.90071","66.36916","2745791",""
"LLY","2015-03-18T00:00:00-04:00","2015-03-18","66.42538","69.489","66.22863","68.89876","6869656",""
"LLY","2015-03-19T00:00:00-04:00","2015-03-19","68.58958","69.87312","68.00871","69.53584","7526084",""
"LLY","2015-03-20T00:00:00-04:00","2015-03-20","70.47273","71.39088","69.83565","71.31593","11435516",""
"LLY","2015-03-23T00:00:00-04:00","2015-03-23","71.22224","72.57136","71.15665","71.54079","6707630",""
"LLY","2015-03-24T00:00:00-04:00","2015-03-24","71.45646","71.85932","70.61327","70.79128","5455933",""
"LLY","2015-03-25T00:00:00-04:00","2015-03-25","70.88496","71.65321","69.66701","69.66701","5797490",""
"LLY","2015-03-26T00:00:00-04:00","2015-03-26","69.32973","69.65764","68.78633","68.80508","4294429",""
"LLY","2015-03-27T00:00:00-04:00","2015-03-27","68.97372","69.32036","68.58022","68.93623","4452612",""
