symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LMT","2015-01-02T00:00:00-05:00","2015-01-02","176.6933","178.8824","175.7183","177.8062","981410",""
"LMT","2015-01-05T00:00:00-05:00","2015-01-05","177.4291","178.9008","173.474","174.1086","1637750",""
"LMT","2015-01-06T00:00:00-05:00","2015-01-06","174.4122","175.6723","171.8183","173.29","1311483",""
"LMT","2015-01-07T00:00:00-05:00","2015-01-07","174.1362","175.6999","174.0443","175.5251","1024137",""
"LMT","2015-01-08T00:00:00-05:00","2015-01-08","175.5895","181.0899","175.5895","179.4803","2123182",""
"LMT","2015-01-09T00:00:00-05:00","2015-01-09","179.4435","181.2647","179.1951","179.3791","1565016",""
"LMT","2015-01-12T00:00:00-05:00","2015-01-12","179.8298","180.492","178.1741","178.8732","974996",""
"LMT","2015-01-13T00:00:00-05:00","2015-01-13","180.4093","182.5248","177.2267","178.7628","1190369",""
"LMT","2015-01-14T00:00:00-05:00","2015-01-14","178.5788","178.6616","176.261","177.7326","1197218",""
"LMT","2015-01-15T00:00:00-05:00","2015-01-15","178.5881","179.1123","176.4633","176.9416","975431",""
"LMT","2015-01-16T00:00:00-05:00","2015-01-16","176.4909","179.1491","176.4909","179.0939","1180150",""
"LMT","2015-01-20T00:00:00-05:00","2015-01-20","180.86","181.1911","177.5303","180.0505","933030",""
"LMT","2015-01-21T00:00:00-05:00","2015-01-21","179.3607","180.9703","178.5421","179.8206","1050991",""
"LMT","2015-01-22T00:00:00-05:00","2015-01-22","181.2003","182.6352","179.6182","182.2029","1421942",""
"LMT","2015-01-23T00:00:00-05:00","2015-01-23","182.1109","182.9295","181.1543","181.605","1428465",""
"LMT","2015-01-26T00:00:00-05:00","2015-01-26","180.5104","181.1267","177.5487","179.9861","1456188",""
"LMT","2015-01-27T00:00:00-05:00","2015-01-27","177.5211","177.9718","175.056","175.2676","2112637",""
"LMT","2015-01-28T00:00:00-05:00","2015-01-28","176.4541","179.1767","173.8419","174.0718","1707330",""
"LMT","2015-01-29T00:00:00-05:00","2015-01-29","174.081","177.0888","172.0943","177.0612","2192872",""
"LMT","2015-01-30T00:00:00-05:00","2015-01-30","174.5501","175.6447","173.1796","173.2624","2488371",""
