symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LOW","2015-01-02T00:00:00-05:00","2015-01-02","65.52222","65.86423","63.97371","64.31571","4434898",""
"LOW","2015-01-05T00:00:00-05:00","2015-01-05","63.83121","64.01171","62.5962","62.7767","7723809",""
"LOW","2015-01-06T00:00:00-05:00","2015-01-06","63.22321","63.46071","62.09269","62.9192","5523517",""
"LOW","2015-01-07T00:00:00-05:00","2015-01-07","63.5177","64.97122","63.4987","64.79072","4967945",""
"LOW","2015-01-08T00:00:00-05:00","2015-01-08","65.49373","66.49123","65.38923","66.15873","5833093",""
"LOW","2015-01-09T00:00:00-05:00","2015-01-09","66.07323","66.14923","64.85722","64.91422","5940881",""
"LOW","2015-01-12T00:00:00-05:00","2015-01-12","65.18022","65.28473","64.25871","64.45821","4846999",""
"LOW","2015-01-13T00:00:00-05:00","2015-01-13","65.07572","65.94023","63.98321","64.46771","6352035",""
"LOW","2015-01-14T00:00:00-05:00","2015-01-14","63.79321","64.27772","63.5177","64.02121","5063944",""
"LOW","2015-01-15T00:00:00-05:00","2015-01-15","64.25871","64.80022","62.9097","63.0332","5566464",""
"LOW","2015-01-16T00:00:00-05:00","2015-01-16","62.9188","64.9303","62.82347","64.8159","5053103",""
"LOW","2015-01-20T00:00:00-05:00","2015-01-20","64.83497","65.18769","63.15713","63.41452","6216412",""
"LOW","2015-01-21T00:00:00-05:00","2015-01-21","64.13905","64.70151","63.63379","64.17718","5435767",""
"LOW","2015-01-22T00:00:00-05:00","2015-01-22","64.52037","66.37933","64.25345","66.30308","7415386",""
"LOW","2015-01-23T00:00:00-05:00","2015-01-23","66.27447","66.86552","65.90268","66.4556","5103558",""
"LOW","2015-01-26T00:00:00-05:00","2015-01-26","66.43654","67.20872","66.17914","67.15153","5311989",""
"LOW","2015-01-27T00:00:00-05:00","2015-01-27","66.38887","66.7416","66.03614","66.58907","6132914",""
"LOW","2015-01-28T00:00:00-05:00","2015-01-28","66.96086","67.79025","65.92175","65.98848","5635701",""
"LOW","2015-01-29T00:00:00-05:00","2015-01-29","66.18867","66.96086","65.63575","66.66533","6723274",""
"LOW","2015-01-30T00:00:00-05:00","2015-01-30","66.22681","66.3698","64.51084","64.59664","9402556",""
"LOW","2015-02-02T00:00:00-05:00","2015-02-02","64.42504","65.29256","63.08086","65.21629","5974099",""
"LOW","2015-02-03T00:00:00-05:00","2015-02-03","65.85502","66.40794","65.1591","66.37933","5351220",""
"LOW","2015-02-04T00:00:00-05:00","2015-02-04","66.26494","67.99044","66.18867","67.37078","6444458",""
"LOW","2015-02-05T00:00:00-05:00","2015-02-05","67.50425","68.16203","67.42799","68.13344","5165657",""
"LOW","2015-02-06T00:00:00-05:00","2015-02-06","68.19064","68.87702","67.94277","68.54337","5073033",""
"LOW","2015-02-09T00:00:00-05:00","2015-02-09","68.11436","68.47663","67.46611","67.63771","2937958",""
"LOW","2015-02-10T00:00:00-05:00","2015-02-10","67.78071","68.53383","67.72351","68.4099","4290816",""
"LOW","2015-02-11T00:00:00-05:00","2015-02-11","68.40037","68.51476","67.79978","68.09531","3198837",""
"LOW","2015-02-12T00:00:00-05:00","2015-02-12","68.2383","68.86749","68.10484","68.81982","3605313",""
"LOW","2015-02-13T00:00:00-05:00","2015-02-13","68.69589","68.95329","68.48616","68.68636","2685575",""
"LOW","2015-02-17T00:00:00-05:00","2015-02-17","68.4385","69.20115","68.16203","69.08675","3871542",""
"LOW","2015-02-18T00:00:00-05:00","2015-02-18","68.85796","69.35368","68.7531","69.13441","3949690",""
"LOW","2015-02-19T00:00:00-05:00","2015-02-19","69.15349","69.44901","68.72449","68.91515","3171039",""
"LOW","2015-02-20T00:00:00-05:00","2015-02-20","68.76262","70.1354","68.40037","70.12586","4499980",""
"LOW","2015-02-23T00:00:00-05:00","2015-02-23","70.47859","70.86945","69.8494","70.28793","5142895",""
